地图ID	节点ID	备注	行动力消耗	节点类型（0=空节点，1=战斗节点，2=事件节点，3=商店节点，4=休息点）	战斗节点类型(1普通 2精英 3boss)	关卡ID	怪物buff	怪物等级	随机事件ID	商店ID	休息点标题	休息点事件（1=恢复生命，2=获得代币，3=随机获得n个buff）	下一关	图标（对应resource.txt）	节点名
10001	20101	事件	0	2					2110				{20111}	2200015	ui.TxtDlcRogueRandom
10001	20102	精英战	0	1	2	4332	6202	60					{20112}	2200012	ui.TxtDlcRogueFight2
10001	20103	随机事件	0	2					2310				{20113}	2200015	ui.TxtDlcRogueRandom
10001	20111	事件	0	2					2111				{20121}	2200015	ui.TxtDlcRogueRandom
10001	20112	事件	0	2					2211				{20122}	2200015	ui.TxtDlcRogueRandom
10001	20113	精英战	0	1	2	4333	6104	60					{20123}	2200012	ui.TxtDlcRogueFight2
10001	20121	精英战	0	1	2	4334	6202	60					{20131,20132}	2200012	ui.TxtDlcRogueFight2
10001	20122	普通战斗	0	1	1	4308	6006	58					{20132,20131}	2200011	ui.TxtDlcRogueFight1
10001	20123	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20133}	2200016	ui.TxtDlcRogueRest
10001	20131	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30001}	2200016	ui.TxtDlcRogueRest
10001	20132	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30001}	2200016	ui.TxtDlcRogueRest
10001	20133	事件	0	2					2313				{30001}	2200015	ui.TxtDlcRogueRandom
10001	30001	空	0	0									{30011}		
10001	30011	战斗	0	1	1	4302	6007	59					{30021,30022,30023}	2200011	ui.TxtDlcRogueFight1
10001	30021	事件	0	2					3102				{30031}	2200015	ui.TxtDlcRogueRandom
10001	30022	战斗	0	1	1	4302	6007	59					{30032,30033}	2200011	ui.TxtDlcRogueFight1
10001	30023	战斗	0	1	1	4311	6007	59					{30033,30032}	2200011	ui.TxtDlcRogueFight1
10001	30031	精英战	0	1	2	4331	6104	62					{30041,30042}	2200012	ui.TxtDlcRogueFight2
10001	30032	随机事件	0	2					3203				{30042,30041}	2200015	ui.TxtDlcRogueRandom
10001	30033	精英战	0	1	2	4335	6203	62					{30043}	2200012	ui.TxtDlcRogueFight2
10001	30041	战斗	0	1	1	4305	6008	60					{30051}	2200011	ui.TxtDlcRogueFight1
10001	30042	精英战	0	1	2	4334	6104	62					{30052,30053}	2200012	ui.TxtDlcRogueFight2
10001	30043	事件	0	2					3304				{30053,30052}	2200015	ui.TxtDlcRogueRandom
10001	30051	事件	0	2					3105				{30061,30062}	2200015	ui.TxtDlcRogueRandom
10001	30052	随机事件	0	2					3205				{30062,30061}	2200015	ui.TxtDlcRogueRandom
10001	30053	普通战斗	0	1	1	4311	6008	60					{30063,30072}	2200011	ui.TxtDlcRogueFight1
10001	30061	精英战	0	1	2	4332	6203	63					{30071}	2200012	ui.TxtDlcRogueFight2
10001	30062	普通战斗	0	1	1	4304	6008	60					{30072}	2200011	ui.TxtDlcRogueFight1
10001	30063	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30073}	2200016	ui.TxtDlcRogueRest
10001	30071	普通战斗	0	1	1	4307	6009	61					{30081,30082}	2200011	ui.TxtDlcRogueFight1
10001	30072	精英战	0	1	2	4331	6105	63					{30082,30081}	2200012	ui.TxtDlcRogueFight2
10001	30073	精英战	0	1	2	4332	6203	63					{30083}	2200012	ui.TxtDlcRogueFight2
10001	30081	随机事件	0	2					3108				{30092}	2200015	ui.TxtDlcRogueRandom
10001	30082	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30092}	2200016	ui.TxtDlcRogueRest
10001	30083	普通战斗	0	1	1	4301	6009	61					{30092}	2200011	ui.TxtDlcRogueFight1
10001	30092	商店	0	3						7			{30101}	2200014	ui.TxtDlcRogueShop
10001	30101	boss战	0	1		4341	6105	65						2200013	ui.TxtDlcRogueFight3
10002	10001	空节点	0	0									{10011}		
10002	10011	商店	0	3						1			{10021,10022,10023}	2200014	ui.TxtDlcRogueShop
10002	10021	普通战斗	0	1	1	4301	6001	50					{10031}	2200011	ui.TxtDlcRogueFight1
10002	10022	奇遇	0	2					1104				{10032}	2200015	ui.TxtDlcRogueRandom
10002	10023	奇遇	0	2					1212				{10033}	2200015	ui.TxtDlcRogueRandom
10002	10031	奇遇	0	2					1306				{10041}	2200015	ui.TxtDlcRogueRandom
10002	10032	普通战斗	0	1	1	4391	6001	50					{10042,10043}	2200011	ui.TxtDlcRogueFight1
10002	10033	普通战斗	0	1	1	4394	6001	50					{10042,10043}	2200011	ui.TxtDlcRogueFight1
10002	10041	奇遇	0	2					1204				{10051}	2200015	ui.TxtDlcRogueRandom
10002	10042	精英战斗	0	1	2	4333	6301	53					{10052}	2200012	ui.TxtDlcRogueFight2
10002	10043	奇遇	0	2					1206				{10053,10062}	2200015	ui.TxtDlcRogueRandom
10002	10051	商店	0	3						2			{10061,10072}	2200014	ui.TxtDlcRogueShop
10002	10052	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10062}	2200016	ui.TxtDlcRogueRest
10002	10053	精英战斗	0	1	2	4335	6401	53					{10063}	2200012	ui.TxtDlcRogueFight2
10002	10061	精英战斗	0	1	2	4331	6301	54					{10071}	2200012	ui.TxtDlcRogueFight2
10002	10062	商店	0	3						2			{10072}	2200014	ui.TxtDlcRogueShop
10002	10063	普通战斗	0	1	1	4395	6002	51					{10073}	2200011	ui.TxtDlcRogueFight1
10002	10071	奇遇	0	2					2306				{10081}	2200015	ui.TxtDlcRogueRandom
10002	10072	普通战斗	0	1	1	4398	6002	52					{10082}	2200011	ui.TxtDlcRogueFight1
10002	10073	奇遇	0	2					1211				{10083}	2200015	ui.TxtDlcRogueRandom
10002	10081	普通战斗	0	1	1	4312	6002	52					{10091}	2200011	ui.TxtDlcRogueFight1
10002	10082	奇遇	0	2					2106				{10092,10093}	2200015	ui.TxtDlcRogueRandom
10002	10083	商店	0	3						2			{10092,10093}	2200014	ui.TxtDlcRogueShop
10002	10091	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10101}	2200016	ui.TxtDlcRogueRest
10002	10092	普通战斗	0	1	1	4302	6003	53					{10102}	2200011	ui.TxtDlcRogueFight1
10002	10093	精英战斗	0	1	2	4334	6401	56					{10103}	2200012	ui.TxtDlcRogueFight2
10002	10101	精英战斗	0	1	2	4332		56					{10111,10122}	2200012	ui.TxtDlcRogueFight2
10002	10102	奇遇	0	2					1103				{10112}	2200015	ui.TxtDlcRogueRandom
10002	10103	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10113}	2200016	ui.TxtDlcRogueRest
10002	10111	普通战斗	0	1	1	4303	6003	54					{10121}	2200011	ui.TxtDlcRogueFight1
10002	10112	精英战斗	0	1	2	4333	6301	57					{10122}	2200012	ui.TxtDlcRogueFight2
10002	10113	普通战斗	0	1	1	4304	6003	54					{10123}	2200011	ui.TxtDlcRogueFight1
10002	10121	商店	0	3						3			{20001}	2200014	ui.TxtDlcRogueShop
10002	10122	奇遇	0	2					1202				{20001}	2200015	ui.TxtDlcRogueRandom
10002	10123	奇遇	0	2					1305				{20001}	2200015	ui.TxtDlcRogueRandom
10002	20001	空节点	0	0									{20011}		
10002	20011	奇遇	0	2					3102				{20021,20022,20023}	2200015	ui.TxtDlcRogueRandom
10002	20021	奇遇	0	2					2313				{20031}	2200015	ui.TxtDlcRogueRandom
10002	20022	精英战斗	0	1	2	4331	6302	58					{20032}	2200012	ui.TxtDlcRogueFight2
10002	20023	奇遇	0	2					2201				{20033}	2200015	ui.TxtDlcRogueRandom
10002	20031	普通战斗	0	1	1	4305	6004	55					{20041}	2200011	ui.TxtDlcRogueFight1
10002	20032	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20042,20051}	2200016	ui.TxtDlcRogueRest
10002	20033	精英战斗	0	1	2	4335	6402	58					{20043}	2200012	ui.TxtDlcRogueFight2
10002	20041	奇遇	0	2					1311				{20051}	2200015	ui.TxtDlcRogueRandom
10002	20042	普通战斗	0	1	1	4306	6004	55					{20052,20053}	2200011	ui.TxtDlcRogueFight1
10002	20043	奇遇	0	2					3205				{20052,20053}	2200015	ui.TxtDlcRogueRandom
10002	20051	商店	0	3						4			{20061}	2200014	ui.TxtDlcRogueShop
10002	20052	商店	0	3						4			{20062}	2200014	ui.TxtDlcRogueShop
10002	20053	普通战斗	0	1	1	4398	6005	56					{20063}	2200011	ui.TxtDlcRogueFight1
10002	20061	精英战斗	0	1	2	4332	6302	59					{20071}	2200012	ui.TxtDlcRogueFight2
10002	20062	奇遇	0	2					1107				{20072,20083}	2200015	ui.TxtDlcRogueRandom
10002	20063	精英战斗	0	1	2	4334	6402	59					{20073}	2200012	ui.TxtDlcRogueFight2
10002	20071	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20081}	2200016	ui.TxtDlcRogueRest
10002	20072	精英战斗	0	1	2	4335	6302	59					{20082}	2200012	ui.TxtDlcRogueFight2
10002	20073	商店	0	3						4			{20083}	2200014	ui.TxtDlcRogueShop
10002	20081	普通战斗	0	1	1	4307	6005	57					{20091,20092}	2200011	ui.TxtDlcRogueFight1
10002	20082	奇遇	0	2					2103				{20091,20092}	2200015	ui.TxtDlcRogueRandom
10002	20083	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20093}	2200016	ui.TxtDlcRogueRest
10002	20091	奇遇	0	2					1310				{20101}	2200015	ui.TxtDlcRogueRandom
10002	20092	普通战斗	0	1	1	4308	6005	57					{20102}	2200011	ui.TxtDlcRogueFight1
10002	20093	普通战斗	0	1	1	4301	6005	57					{20103,20112}	2200011	ui.TxtDlcRogueFight1
10002	20101	精英战斗	0	1	2	4333	6402	60					{20111}	2200012	ui.TxtDlcRogueFight2
10002	20102	奇遇	0	2					2110				{20112}	2200015	ui.TxtDlcRogueRandom
10002	20103	奇遇	0	2					3203				{20113}	2200015	ui.TxtDlcRogueRandom
10002	20111	奇遇	0	2					3304				{20121}	2200015	ui.TxtDlcRogueRandom
10002	20112	商店	0	3						5			{20122,20131}	2200014	ui.TxtDlcRogueShop
10002	20113	精英战斗	0	1	2	4331	6302	60					{20123}	2200012	ui.TxtDlcRogueFight2
10002	20121	商店	0	3						5			{20131}	2200014	ui.TxtDlcRogueShop
10002	20122	精英战斗	0	1	2	4332	6402	61					{20132}	2200012	ui.TxtDlcRogueFight2
10002	20123	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20133}	2200016	ui.TxtDlcRogueRest
10002	20131	普通战斗	0	1	1	4311	6006	58					{30001}	2200011	ui.TxtDlcRogueFight1
10002	20132	奇遇	0	2					2111				{30001}	2200015	ui.TxtDlcRogueRandom
10002	20133	普通战斗	0	1	1	4305	6006	58					{30001}	2200011	ui.TxtDlcRogueFight1
10002	30001	空节点	0	0									{30011}		
10002	30011	精英战斗	0	1	2	4331	6303	61					{30021,30022,30023}	2200012	ui.TxtDlcRogueFight2
10002	30021	奇遇	0	2					2205				{30031,30032}	2200015	ui.TxtDlcRogueRandom
10002	30022	普通战斗	0	1	1	4391	6007	58					{30031,30032}	2200011	ui.TxtDlcRogueFight1
10002	30023	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30033}	2200016	ui.TxtDlcRogueRest
10002	30031	普通战斗	0	1	1	4394	6007	58					{30041}	2200011	ui.TxtDlcRogueFight1
10002	30032	奇遇	0	2					3108				{30042,30053}	2200015	ui.TxtDlcRogueRandom
10002	30033	普通战斗	0	1	1	4395	6007	58					{30043}	2200011	ui.TxtDlcRogueFight1
10002	30041	精英战斗	0	1	2	4334	6403	62					{30051}	2200012	ui.TxtDlcRogueFight2
10002	30042	精英战斗	0	1	2	4334	6303	62					{30052,30061}	2200012	ui.TxtDlcRogueFight2
10002	30043	普通战斗	0	1	1	4303	6008	58					{30053}	2200011	ui.TxtDlcRogueFight1
10002	30051	奇遇	0	2					2310				{30061}	2200015	ui.TxtDlcRogueRandom
10002	30052	精英战斗	0	1	2	4333	6303	62					{30062}	2200012	ui.TxtDlcRogueFight2
10002	30053	奇遇	0	2					2207				{30063}	2200015	ui.TxtDlcRogueRandom
10002	30061	普通战斗	0	1	1	4306	6008	59					{30071}	2200011	ui.TxtDlcRogueFight1
10002	30062	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30072,30073}	2200016	ui.TxtDlcRogueRest
10002	30063	精英战斗	0	1	2	4335	6403	63					{30072,30073}	2200012	ui.TxtDlcRogueFight2
10002	30071	精英战斗	0	1	2	4332	6303	63					{30081}	2200012	ui.TxtDlcRogueFight2
10002	30072	奇遇	0	2					3105				{30082}	2200015	ui.TxtDlcRogueRandom
10002	30073	普通战斗	0	1	1	4307	6009	61					{30083}	2200011	ui.TxtDlcRogueFight1
10002	30081	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30092}	2200016	ui.TxtDlcRogueRest
10002	30082	普通战斗	0	1	1	4312	6009	61					{30092}	2200011	ui.TxtDlcRogueFight1
10002	30083	奇遇	0	2					2211				{30092}	2200015	ui.TxtDlcRogueRandom
10002	30092	商店	0	3						6			{30101}	2200014	ui.TxtDlcRogueShop
10002	30101	boss	0	1	3	4341	6105	65						2200013	ui.TxtDlcRogueFight3
10003	10001	空节点	0	0									{10011}		
10003	10011	商店	0	3						1			{10021,10022,10023}	2200014	ui.TxtDlcRogueShop
10003	10021	奇遇	0	2					1202				{10031}	2200015	ui.TxtDlcRogueRandom
10003	10022	奇遇	0	2					1305				{10032}	2200015	ui.TxtDlcRogueRandom
10003	10023	普通战斗	0	1	1	4302	6001	50					{10033}	2200011	ui.TxtDlcRogueFight1
10003	10031	普通战斗	0	1	1	4301	6001	50					{10041,10042}	2200011	ui.TxtDlcRogueFight1
10003	10032	普通战斗	0	1	1	4305	6001	50					{10041,10042}	2200011	ui.TxtDlcRogueFight1
10003	10033	奇遇	0	2					2103				{10043,10052}	2200015	ui.TxtDlcRogueRandom
10003	10041	精英战斗	0	1	2	4332	6501	53					{10051}	2200012	ui.TxtDlcRogueFight2
10003	10042	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10052}	2200016	ui.TxtDlcRogueRest
10003	10043	普通战斗	0	1	1	4391	6001	51					{10053}	2200011	ui.TxtDlcRogueFight1
10003	10051	奇遇	0	2					1212				{10061}	2200015	ui.TxtDlcRogueRandom
10003	10052	普通战斗	0	1	1	4307	6002	51					{10062,10073}	2200011	ui.TxtDlcRogueFight1
10003	10053	商店	0	3						2			{10063}	2200014	ui.TxtDlcRogueShop
10003	10061	普通战斗	0	1	1	4308	6002	52					{10071}	2200011	ui.TxtDlcRogueFight1
10003	10062	奇遇	0	2					1311				{10072,10081}	2200015	ui.TxtDlcRogueRandom
10003	10063	精英战斗	0	1	2	4334	6601	55					{10073}	2200012	ui.TxtDlcRogueFight2
10003	10071	商店	0	3						2			{10081}	2200014	ui.TxtDlcRogueShop
10003	10072	商店	0	3						2			{10082}	2200014	ui.TxtDlcRogueShop
10003	10073	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10083}	2200016	ui.TxtDlcRogueRest
10003	10081	精英战斗	0	1	2	4335	6501	56					{10091}	2200012	ui.TxtDlcRogueFight2
10003	10082	奇遇	0	2					1306				{10092}	2200015	ui.TxtDlcRogueRandom
10003	10083	精英战斗	0	1	2	4331	6601	56					{10093}	2200012	ui.TxtDlcRogueFight2
10003	10091	奇遇	0	2					1204				{10101,10112}	2200015	ui.TxtDlcRogueRandom
10003	10092	精英战斗	0	1	2	4333	6501	56					{10102,10103}	2200012	ui.TxtDlcRogueFight2
10003	10093	奇遇	0	2					1103				{10102,10103}	2200015	ui.TxtDlcRogueRandom
10003	10101	普通战斗	0	1	1	4304	6003	53					{10111}	2200011	ui.TxtDlcRogueFight1
10003	10102	奇遇	0	2					2306				{10112}	2200015	ui.TxtDlcRogueRandom
10003	10103	普通战斗	0	1	1	4394	6003	53					{10113}	2200011	ui.TxtDlcRogueFight1
10003	10111	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10121}	2200016	ui.TxtDlcRogueRest
10003	10112	普通战斗	0	1	1	4395	6003	53					{10122}	2200011	ui.TxtDlcRogueFight1
10003	10113	奇遇	0	2					2106				{10123}	2200015	ui.TxtDlcRogueRandom
10003	10121	普通战斗	0	1	1	4306	6003	54					{20001}	2200011	ui.TxtDlcRogueFight1
10003	10122	奇遇	0	2					1310				{20001}	2200015	ui.TxtDlcRogueRandom
10003	10123	商店	0	3						3			{20001}	2200014	ui.TxtDlcRogueShop
10003	20001	空节点	0	0									{20011}		
10003	20011	普通战斗	0	1	1	4303	6004	55					{20021,20022,20023}	2200011	ui.TxtDlcRogueFight1
10003	20021	奇遇	0	2					1206				{20031}	2200015	ui.TxtDlcRogueRandom
10003	20022	精英战斗	0	1	2	4332	6602	57					{20032}	2200012	ui.TxtDlcRogueFight2
10003	20023	普通战斗	0	1	1	4302	6004	55					{20033}	2200011	ui.TxtDlcRogueFight1
10003	20031	精英战斗	0	1	2	4334	6502	57					{20041,20042}	2200012	ui.TxtDlcRogueFight2
10003	20032	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20041,20042}	2200016	ui.TxtDlcRogueRest
10003	20033	奇遇	0	2					1104				{20043}	2200015	ui.TxtDlcRogueRandom
10003	20041	商店	0	3						4			{20051}	2200014	ui.TxtDlcRogueShop
10003	20042	普通战斗	0	1	1	4301	6004	56					{20052,20063}	2200011	ui.TxtDlcRogueFight1
10003	20043	精英战斗	0	1	2	4331	6602	58					{20053}	2200012	ui.TxtDlcRogueFight2
10003	20051	奇遇	0	2					2205				{20061}	2200015	ui.TxtDlcRogueRandom
10003	20052	奇遇	0	2					2201				{20062}	2200015	ui.TxtDlcRogueRandom
10003	20053	奇遇	0	2					1107				{20063}	2200015	ui.TxtDlcRogueRandom
10003	20061	精英战斗	0	1	2	4333	6502	58					{20071}	2200012	ui.TxtDlcRogueFight2
10003	20062	奇遇	0	2					2313				{20072}	2200015	ui.TxtDlcRogueRandom
10003	20063	商店	0	3						4			{20073}	2200014	ui.TxtDlcRogueShop
10003	20071	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20081,20082}	2200016	ui.TxtDlcRogueRest
10003	20072	商店	0	3						4			{20081,20082}	2200014	ui.TxtDlcRogueShop
10003	20073	普通战斗	0	1	1	4306	6005	56					{20083,20092}	2200011	ui.TxtDlcRogueFight1
10003	20081	普通战斗	0	1	1	4307	6005	57					{20091}	2200011	ui.TxtDlcRogueFight1
10003	20082	精英战斗	0	1	2	4332	6602	60					{20092}	2200012	ui.TxtDlcRogueFight2
10003	20083	精英战斗	0	1	2	4335	6502	60					{20093}	2200012	ui.TxtDlcRogueFight2
10003	20091	奇遇	0	2					1211				{20101}	2200015	ui.TxtDlcRogueRandom
10003	20092	奇遇	0	2					3304				{20102,20111}	2200015	ui.TxtDlcRogueRandom
10003	20093	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20103}	2200016	ui.TxtDlcRogueRest
10003	20101	商店	0	3						5			{20111}	2200014	ui.TxtDlcRogueShop
10003	20102	普通战斗	0	1	1	4394	6006	57					{20112,20123}	2200011	ui.TxtDlcRogueFight1
10003	20103	普通战斗	0	1	1	4395	6006	57					{20113}	2200011	ui.TxtDlcRogueFight1
10003	20111	普通战斗	0	1	1	4302	6006	57					{20121}	2200011	ui.TxtDlcRogueFight1
10003	20112	精英战斗	0	1	2	4331	6602	60					{20122}	2200012	ui.TxtDlcRogueFight2
10003	20113	奇遇	0	2					2110				{20123}	2200015	ui.TxtDlcRogueRandom
10003	20121	精英战斗	0	1	2	4333	6502	61					{20131}	2200012	ui.TxtDlcRogueFight2
10003	20122	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20132}	2200016	ui.TxtDlcRogueRest
10003	20123	商店	0	3						5			{20133}	2200014	ui.TxtDlcRogueShop
10003	20131	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{30001}	2200016	ui.TxtDlcRogueRest
10003	20132	奇遇	0	2					2310				{30001}	2200015	ui.TxtDlcRogueRandom
10003	20133	精英战斗	0	1	2	4332	6602	61					{30001}	2200012	ui.TxtDlcRogueFight2
10003	30001	空节点	0	0									{30011}		
10003	30011	奇遇	0	2					3105				{30021,30022,30023}	2200015	ui.TxtDlcRogueRandom
10003	30021	奇遇	0	2					2207				{30031}	2200015	ui.TxtDlcRogueRandom
10003	30022	普通战斗	0	1	1	4308	6007	58					{30032}	2200011	ui.TxtDlcRogueFight1
10003	30023	精英战斗	0	1	2	4335	6503	61					{30033}	2200012	ui.TxtDlcRogueFight2
10003	30031	普通战斗	0	1	1	4303	6007	58					{30041,30042}	2200011	ui.TxtDlcRogueFight1
10003	30032	精英战斗	0	1	2	4334	6603	61					{30041,30042}	2200012	ui.TxtDlcRogueFight2
10003	30033	奇遇	0	2					3108				{30043,30052}	2200015	ui.TxtDlcRogueRandom
10003	30041	精英战斗	0	1	2	4331	6503	62					{30051}	2200012	ui.TxtDlcRogueFight2
10003	30042	普通战斗	0	1	1	4395	6007	59					{30052}	2200011	ui.TxtDlcRogueFight1
10003	30043	奇遇	0	2					2111				{30053}	2200015	ui.TxtDlcRogueRandom
