riki表种的ID	语音顺序	Voices_wwise表中的ID	备注	角色音频ID	UI表中的key	备注2	角色形态
5028	2	rikienterlevel2	战斗开始2	110803	ui.RikiskinSound11	甜蜜统治	
5028	5	rikimain001	看板娘展示1	110803	ui.RikiskinSound3	甜蜜统治	
5028	6	rikimain002	看板娘展示2	110803	ui.RikiskinSound4	甜蜜统治	
5028	7	rikimain003	看板娘展示3	110803	ui.RikiskinSound5	甜蜜统治	
5028	8	rikimain101	看板娘展示4	110803	ui.RikiskinSound6	甜蜜统治	
5028	9	rikimain201	看板娘展示5	110803	ui.RikiskinSound7	甜蜜统治	
							
							
5031	1	rikienterlevel1	战斗开始1	110702	ui.RikiskinSound10	见习侍奉	
5031	2	rikienterlevel2	战斗开始2	110702	ui.RikiskinSound11	见习侍奉	
5031	3	rikiwin1	战斗胜利1	110702	ui.RikiskinSound12	见习侍奉	
5031	4	rikiwin2	战斗胜利2	110702	ui.RikiskinSound13	见习侍奉	
5031	5	rikimain001	看板娘展示1	110702	ui.RikiskinSound3	见习侍奉	
5031	6	rikimain002	看板娘展示2	110702	ui.RikiskinSound4	见习侍奉	
5031	7	rikimain003	看板娘展示3	110702	ui.RikiskinSound5	见习侍奉	
5031	8	rikimain101	看板娘展示4	110702	ui.RikiskinSound6	见习侍奉	
5031	9	rikimain201	看板娘展示5	110702	ui.RikiskinSound7	见习侍奉	
							
							
							
							
5032	1	rikienterlevel1	战斗开始1	111102	ui.RikiskinSound10	轻语疗法	
5032	2	rikienterlevel2	战斗开始2	111102	ui.RikiskinSound11	轻语疗法	
5032	3	rikiwin1	战斗胜利1	111102	ui.RikiskinSound12	轻语疗法	
5032	4	rikiwin2	战斗胜利2	111102	ui.RikiskinSound13	轻语疗法	
5032	5	rikimain001	看板娘展示1	111102	ui.RikiskinSound3	轻语疗法	
5032	6	rikimain002	看板娘展示2	111102	ui.RikiskinSound4	轻语疗法	
5032	7	rikimain003	看板娘展示3	111102	ui.RikiskinSound5	轻语疗法	
5032	8	rikimain101	看板娘展示4	111102	ui.RikiskinSound6	轻语疗法	
5032	9	rikimain201	看板娘展示5	111102	ui.RikiskinSound7	轻语疗法	
							
5034	1	rikienterlevel1	战斗开始1	110803	ui.RikiskinSound10	甜蜜统治	
5034	2	rikienterlevel2	战斗开始2	110803	ui.RikiskinSound11	甜蜜统治	
5034	3	rikiwin1	战斗胜利1	110803	ui.RikiskinSound12	甜蜜统治	
5034	4	rikiwin2	战斗胜利2	110803	ui.RikiskinSound13	甜蜜统治	
5034	5	rikimain001	看板娘展示1	110803	ui.RikiskinSound3	甜蜜统治	
5034	6	rikimain002	看板娘展示2	110803	ui.RikiskinSound4	甜蜜统治	
5034	7	rikimain003	看板娘展示3	110803	ui.RikiskinSound5	甜蜜统治	
5034	8	rikimain101	看板娘展示4	110803	ui.RikiskinSound6	甜蜜统治	
5034	9	rikimain201	看板娘展示5	110803	ui.RikiskinSound7	甜蜜统治	
							
							
5035	1	rikienterlevel1	战斗开始1	111302	ui.RikiskinSound10	须臾蹁跹	
5035	2	rikienterlevel2	战斗开始2	111302	ui.RikiskinSound11	须臾蹁跹	
5035	3	rikiwin1	战斗胜利1	111302	ui.RikiskinSound12	须臾蹁跹	
5035	4	rikiwin2	战斗胜利2	111302	ui.RikiskinSound13	须臾蹁跹	
5035	5	rikimain001	看板娘展示1	111302	ui.RikiskinSound3	须臾蹁跹	
							
5035	6	rikimain002	看板娘展示2	111302	ui.RikiskinSound4	须臾蹁跹	
5035	7	rikimain003	看板娘展示3	111302	ui.RikiskinSound5	须臾蹁跹	
5035	8	rikimain101	看板娘展示4	111302	ui.RikiskinSound6	须臾蹁跹	
5035	9	rikimain201	看板娘展示5	111302	ui.RikiskinSound7	须臾蹁跹	
							
							
							
							
							
							
5042	1	rikienterlevel1	战斗开始1	120202	ui.RikiskinSound10	爱意凝晶	
5042	2	rikienterlevel2	战斗开始2	120202	ui.RikiskinSound11	爱意凝晶	
5042	3	rikiwin1	战斗胜利1	120202	ui.RikiskinSound12	爱意凝晶	
5042	4	rikiwin2	战斗胜利2	120202	ui.RikiskinSound13	爱意凝晶	
5042	5	rikimain001	看板娘展示1	120202	ui.RikiskinSound3	爱意凝晶	
5042	6	rikimain002	看板娘展示2	120202	ui.RikiskinSound4	爱意凝晶	
5042	7	rikimain003	看板娘展示3	120202	ui.RikiskinSound5	爱意凝晶	
5042	8	rikimain101	看板娘展示4	120202	ui.RikiskinSound6	爱意凝晶	
5042	9	rikimain201	看板娘展示5	120202	ui.RikiskinSound7	爱意凝晶	
							
							
							
							
5045	1	rikienterlevel1	战斗开始1	120802	ui.RikiskinSound10	绽于恋时	
5045	2	rikienterlevel2	战斗开始2	120802	ui.RikiskinSound11	绽于恋时	
5045	3	rikiwin1	战斗胜利1	120802	ui.RikiskinSound12	绽于恋时	
5045	4	rikiwin2	战斗胜利2	120802	ui.RikiskinSound13	绽于恋时	
5045	5	rikimain001	看板娘展示1	120802	ui.RikiskinSound3	绽于恋时	
5045	6	rikimain002	看板娘展示2	120802	ui.RikiskinSound4	绽于恋时	
5045	7	rikimain003	看板娘展示3	120802	ui.RikiskinSound5	绽于恋时	
5045	8	rikimain101	看板娘展示4	120802	ui.RikiskinSound6	绽于恋时	
5045	9	rikimain201	看板娘展示5	120802	ui.RikiskinSound7	绽于恋时	
							
							
							
							
5043	1	rikienterlevel1	战斗开始1	110503	ui.RikiskinSound10	绯染夜幕	
5043	2	rikienterlevel2	战斗开始2	110503	ui.RikiskinSound11	绯染夜幕	
5043	3	rikiwin1	战斗胜利1	110503	ui.RikiskinSound12	绯染夜幕	
5043	4	rikiwin2	战斗胜利2	110503	ui.RikiskinSound13	绯染夜幕	
5043	5	rikimain001	看板娘展示1	110503	ui.RikiskinSound3	绯染夜幕	
5043	6	rikimain002	看板娘展示2	110503	ui.RikiskinSound4	绯染夜幕	
5043	7	rikimain003	看板娘展示3	110503	ui.RikiskinSound5	绯染夜幕	
5043	8	rikimain101	看板娘展示4	110503	ui.RikiskinSound6	绯染夜幕	
5043	9	rikimain201	看板娘展示5	110503	ui.RikiskinSound7	绯染夜幕	
							
							
							
							
5049	1	rikienterlevel1	战斗开始1	111404	ui.RikiskinSound10	点墨化龙	
5049	2	rikienterlevel2	战斗开始2	111404	ui.RikiskinSound11	点墨化龙	
5049	3	rikiwin1	战斗胜利1	111404	ui.RikiskinSound12	点墨化龙	
5049	4	rikiwin2	战斗胜利2	111404	ui.RikiskinSound13	点墨化龙	
5049	5	rikimain001	看板娘展示1	111404	ui.RikiskinSound3	点墨化龙	
5049	6	rikimain002	看板娘展示2	111404	ui.RikiskinSound4	点墨化龙	
5049	7	rikimain003	看板娘展示3	111404	ui.RikiskinSound5	点墨化龙	
5049	8	rikimain101	看板娘展示4	111404	ui.RikiskinSound6	点墨化龙	
5049	9	rikimain201	看板娘展示5	111404	ui.RikiskinSound7	点墨化龙	
							
							
							
							
5050	1	rikienterlevel1	战斗开始1	101802	ui.RikiskinSound10	翠翎倩姿	
5050	2	rikienterlevel2	战斗开始2	101802	ui.RikiskinSound11	翠翎倩姿	
5050	3	rikiwin1	战斗胜利1	101802	ui.RikiskinSound12	翠翎倩姿	
5050	4	rikiwin2	战斗胜利2	101802	ui.RikiskinSound13	翠翎倩姿	
5050	5	rikimain001	看板娘展示1	101802	ui.RikiskinSound3	翠翎倩姿	
5050	6	rikimain002	看板娘展示2	101802	ui.RikiskinSound4	翠翎倩姿	
5050	7	rikimain003	看板娘展示3	101802	ui.RikiskinSound5	翠翎倩姿	
5050	8	rikimain101	看板娘展示4	101802	ui.RikiskinSound6	翠翎倩姿	
5050	9	rikimain201	看板娘展示5	101802	ui.RikiskinSound7	翠翎倩姿	
							
							
							
							
5052	1	rikienterlevel1	战斗开始1	120502	ui.RikiskinSound10	灿阳一刻	
5052	2	rikienterlevel2	战斗开始2	120502	ui.RikiskinSound11	灿阳一刻	
5052	3	rikiwin1	战斗胜利1	120502	ui.RikiskinSound12	灿阳一刻	
5052	4	rikiwin2	战斗胜利2	120502	ui.RikiskinSound13	灿阳一刻	
5052	5	rikimain001	看板娘展示1	120502	ui.RikiskinSound3	灿阳一刻	
5052	6	rikimain002	看板娘展示2	120502	ui.RikiskinSound4	灿阳一刻	
5052	7	rikimain003	看板娘展示3	120502	ui.RikiskinSound5	灿阳一刻	
5052	8	rikimain101	看板娘展示4	120502	ui.RikiskinSound6	灿阳一刻	
5052	9	rikimain201	看板娘展示5	120502	ui.RikiskinSound7	灿阳一刻	
							
							
							
							
5051	1	rikienterlevel1	战斗开始1	111502	ui.RikiskinSound10	沐浪倦姿	
5051	2	rikienterlevel2	战斗开始2	111502	ui.RikiskinSound11	沐浪倦姿	
5051	3	rikiwin1	战斗胜利1	111502	ui.RikiskinSound12	沐浪倦姿	
5051	4	rikiwin2	战斗胜利2	111502	ui.RikiskinSound13	沐浪倦姿	
5051	5	rikimain001	看板娘展示1	111502	ui.RikiskinSound3	沐浪倦姿	
5051	6	rikimain002	看板娘展示2	111502	ui.RikiskinSound4	沐浪倦姿	
5051	7	rikimain003	看板娘展示3	111502	ui.RikiskinSound5	沐浪倦姿	
5051	8	rikimain101	看板娘展示4	111502	ui.RikiskinSound6	沐浪倦姿	
5051	9	rikimain201	看板娘展示5	111502	ui.RikiskinSound7	沐浪倦姿	
							
							
							
							
5054	1	rikienterlevel1	战斗开始1	111103	ui.RikiskinSound10	浅憩之处	
5054	2	rikienterlevel2	战斗开始2	111103	ui.RikiskinSound11	浅憩之处	
5054	3	rikiwin1	战斗胜利1	111103	ui.RikiskinSound12	浅憩之处	
5054	4	rikiwin2	战斗胜利2	111103	ui.RikiskinSound13	浅憩之处	
5054	5	rikimain001	看板娘展示1	111103	ui.RikiskinSound3	浅憩之处	
5054	6	rikimain002	看板娘展示2	111103	ui.RikiskinSound4	浅憩之处	
5054	7	rikimain003	看板娘展示3	111103	ui.RikiskinSound5	浅憩之处	
5054	8	rikimain101	看板娘展示4	111103	ui.RikiskinSound6	浅憩之处	
5054	9	rikimain201	看板娘展示5	111103	ui.RikiskinSound7	浅憩之处	
							
							
							
							
5055	1	rikienterlevel1	战斗开始1	120402	ui.RikiskinSound10	毛绒派对	
5055	2	rikienterlevel2	战斗开始2	120402	ui.RikiskinSound11	毛绒派对	
5055	3	rikiwin1	战斗胜利1	120402	ui.RikiskinSound12	毛绒派对	
5055	4	rikiwin2	战斗胜利2	120402	ui.RikiskinSound13	毛绒派对	
5055	5	rikimain001	看板娘展示1	120402	ui.RikiskinSound3	毛绒派对	
5055	6	rikimain002	看板娘展示2	120402	ui.RikiskinSound4	毛绒派对	
5055	7	rikimain003	看板娘展示3	120402	ui.RikiskinSound5	毛绒派对	
5055	8	rikimain101	看板娘展示4	120402	ui.RikiskinSound6	毛绒派对	
5055	9	rikimain201	看板娘展示5	120402	ui.RikiskinSound7	毛绒派对	
							
							
5056	1	rikienterlevel1	战斗开始1	111304	ui.RikiskinSound10	斑斓水色	
5056	2	rikienterlevel2	战斗开始2	111304	ui.RikiskinSound11	斑斓水色	
5056	3	rikiwin1	战斗胜利1	111304	ui.RikiskinSound12	斑斓水色	
5056	4	rikiwin2	战斗胜利2	111304	ui.RikiskinSound13	斑斓水色	
5056	5	rikimain001	看板娘展示1	111304	ui.RikiskinSound3	斑斓水色	
5056	6	rikimain002	看板娘展示2	111304	ui.RikiskinSound4	斑斓水色	
5056	7	rikimain003	看板娘展示3	111304	ui.RikiskinSound5	斑斓水色	
5056	8	rikimain101	看板娘展示4	111304	ui.RikiskinSound6	斑斓水色	
5056	9	rikimain201	看板娘展示5	111304	ui.RikiskinSound7	斑斓水色	
							
							
5060	1	rikienterlevel1	战斗开始1	101604	ui.RikiskinSound10	捕猎演习	
5060	2	rikienterlevel2	战斗开始2	101604	ui.RikiskinSound11	捕猎演习	
5060	3	rikiwin1	战斗胜利1	101604	ui.RikiskinSound12	捕猎演习	
5060	4	rikiwin2	战斗胜利2	101604	ui.RikiskinSound13	捕猎演习	
5060	5	rikimain001	看板娘展示1	101604	ui.RikiskinSound3	捕猎演习	
5060	6	rikimain002	看板娘展示2	101604	ui.RikiskinSound4	捕猎演习	
5060	7	rikimain003	看板娘展示3	101604	ui.RikiskinSound5	捕猎演习	
5060	8	rikimain101	看板娘展示4	101604	ui.RikiskinSound6	捕猎演习	
5060	9	rikimain201	看板娘展示5	101604	ui.RikiskinSound7	捕猎演习	
							
							
5061	1	rikienterlevel1	战斗开始1	110705	ui.RikiskinSound10	清荷雅弈	
5061	2	rikienterlevel2	战斗开始2	110705	ui.RikiskinSound11	清荷雅弈	
5061	3	rikiwin1	战斗胜利1	110705	ui.RikiskinSound12	清荷雅弈	
5061	4	rikiwin2	战斗胜利2	110705	ui.RikiskinSound13	清荷雅弈	
5061	5	rikimain001	看板娘展示1	110705	ui.RikiskinSound3	清荷雅弈	
5061	6	rikimain002	看板娘展示2	110705	ui.RikiskinSound4	清荷雅弈	
5061	7	rikimain003	看板娘展示3	110705	ui.RikiskinSound5	清荷雅弈	
5061	8	rikimain101	看板娘展示4	110705	ui.RikiskinSound6	清荷雅弈	
5061	9	rikimain201	看板娘展示5	110705	ui.RikiskinSound7	清荷雅弈	
							
							
5066	1	rikienterlevel1	战斗开始1	121402	ui.RikiskinSound10	辰星-欣描红妆	
5066	2	rikienterlevel2	战斗开始2	121402	ui.RikiskinSound11	辰星-欣描红妆	
5066	3	rikiwin1	战斗胜利1	121402	ui.RikiskinSound12	辰星-欣描红妆	
5066	4	rikiwin2	战斗胜利2	121402	ui.RikiskinSound13	辰星-欣描红妆	
5066	5	rikimain001	看板娘展示1	121402	ui.RikiskinSound3	辰星-欣描红妆	
5066	6	rikimain002	看板娘展示2	121402	ui.RikiskinSound4	辰星-欣描红妆	
5066	7	rikimain003	看板娘展示3	121402	ui.RikiskinSound5	辰星-欣描红妆	
5066	8	rikimain101	看板娘展示4	121402	ui.RikiskinSound6	辰星-欣描红妆	
5066	9	rikimain201	看板娘展示5	121402	ui.RikiskinSound7	辰星-欣描红妆	
							
							
							
							
							
							
5065	1	rikienterlevel1	战斗开始1	121002	ui.RikiskinSound10	肴-暖夜情醺	
5065	2	rikienterlevel2	战斗开始2	121002	ui.RikiskinSound11	肴-暖夜情醺	
5065	3	rikiwin1	战斗胜利1	121002	ui.RikiskinSound12	肴-暖夜情醺	
5065	4	rikiwin2	战斗胜利2	121002	ui.RikiskinSound13	肴-暖夜情醺	
5065	5	rikimain001	看板娘展示1	121002	ui.RikiskinSound3	肴-暖夜情醺	
5065	6	rikimain002	看板娘展示2	121002	ui.RikiskinSound4	肴-暖夜情醺	
5065	7	rikimain003	看板娘展示3	121002	ui.RikiskinSound5	肴-暖夜情醺	
5065	8	rikimain101	看板娘展示4	121002	ui.RikiskinSound6	肴-暖夜情醺	
5065	9	rikimain201	看板娘展示5	121002	ui.RikiskinSound7	肴-暖夜情醺	
							
							
							
							
5067	1	rikienterlevel1	战斗开始1	120803	ui.RikiskinSound10	芬妮-金狮舞瑞	
5067	2	rikienterlevel2	战斗开始2	120803	ui.RikiskinSound11	芬妮-金狮舞瑞	
5067	3	rikiwin1	战斗胜利1	120803	ui.RikiskinSound12	芬妮-金狮舞瑞	
5067	4	rikiwin2	战斗胜利2	120803	ui.RikiskinSound13	芬妮-金狮舞瑞	
5067	5	rikimain001	看板娘展示1	120803	ui.RikiskinSound3	芬妮-金狮舞瑞	
5067	6	rikimain002	看板娘展示2	120803	ui.RikiskinSound4	芬妮-金狮舞瑞	
5067	7	rikimain003	看板娘展示3	120803	ui.RikiskinSound5	芬妮-金狮舞瑞	
5067	8	rikimain101	看板娘展示4	120803	ui.RikiskinSound6	芬妮-金狮舞瑞	
5067	9	rikimain201	看板娘展示5	120803	ui.RikiskinSound7	芬妮-金狮舞瑞	
							
5070	1	rikienterlevel1	战斗开始1	121102	ui.RikiskinSound10	恩雅换装2-修女	
5070	2	rikienterlevel2	战斗开始2	121102	ui.RikiskinSound11	恩雅换装2-修女	
5070	3	rikiwin1	战斗胜利1	121102	ui.RikiskinSound12	恩雅换装2-修女	
5070	4	rikiwin2	战斗胜利2	121102	ui.RikiskinSound13	恩雅换装2-修女	
5070	5	rikimain001	看板娘展示1	121102	ui.RikiskinSound3	恩雅换装2-修女	
5070	6	rikimain002	看板娘展示2	121102	ui.RikiskinSound4	恩雅换装2-修女	
5070	7	rikimain003	看板娘展示3	121102	ui.RikiskinSound5	恩雅换装2-修女	
5070	8	rikimain101	看板娘展示4	121102	ui.RikiskinSound6	恩雅换装2-修女	
5070	9	rikimain201	看板娘展示5	121102	ui.RikiskinSound7	恩雅换装2-修女	
							
5071	1	rikienterlevel1	战斗开始1	101803	ui.RikiskinSound10	龙舌兰-旗袍	
5071	2	rikienterlevel2	战斗开始2	101803	ui.RikiskinSound11	龙舌兰-旗袍	
5071	3	rikiwin1	战斗胜利1	101803	ui.RikiskinSound12	龙舌兰-旗袍	
5071	4	rikiwin2	战斗胜利2	101803	ui.RikiskinSound13	龙舌兰-旗袍	
5071	5	rikimain001	看板娘展示1	101803	ui.RikiskinSound3	龙舌兰-旗袍	
5071	6	rikimain002	看板娘展示2	101803	ui.RikiskinSound4	龙舌兰-旗袍	
5071	7	rikimain003	看板娘展示3	101803	ui.RikiskinSound5	龙舌兰-旗袍	
5071	8	rikimain101	看板娘展示4	101803	ui.RikiskinSound6	龙舌兰-旗袍	
5071	9	rikimain201	看板娘展示5	101803	ui.RikiskinSound7	龙舌兰-旗袍	
							
5072	1	rikienterlevel1	战斗开始1	120503	ui.RikiskinSound10	茉莉安幽潮-风格化时装	
5072	2	rikienterlevel2	战斗开始2	120503	ui.RikiskinSound11	茉莉安幽潮-风格化时装	
5072	3	rikiwin1	战斗胜利1	120503	ui.RikiskinSound12	茉莉安幽潮-风格化时装	
5072	4	rikiwin2	战斗胜利2	120503	ui.RikiskinSound13	茉莉安幽潮-风格化时装	
5072	5	rikimain001	看板娘展示1	120503	ui.RikiskinSound3	茉莉安幽潮-风格化时装	
