类型（1角色卡 2武器 3后勤 4怪物 5时装 6剧情 7探索 8配件 9BGM 10CG 11教程界面)	Id(计算task，不能重复)	//注释	国服解锁时间	海外解锁时间	解锁条件（道具GDPL/怪物模板ID）	图素（resource）	图标	和谐图paintingID 目前支持的有角色和时装	扩展参数1	扩展参数2	扩展参数3	扩展参数4	扩展参数5	扩展参数6	扩展参数7	扩展参数8	和谐标签
1	1122	猫汐尔-溯影			{1,12,2,1}	icon_girl012a_700			riki.testTitle1	riki.testContent29	riki.testTitle2	riki.testContent37	16,4				
1	1123	猫汐尔-莲驱	{202601011000}	{202601011000}	{1,12,3,1}	icon_girl012b_700			riki.testTitle1	riki.testContent29	riki.testTitle2	riki.testContent77	15,10				
1	1131	瑟瑞斯			{1,13,1,1}	icon_girl013_700			riki.testTitle1	riki.testContent31	riki.testTitle2	riki.testContent32	0,8				
1	1132	瑟瑞斯-瞬刻			{1,13,2,1}	icon_girl013a_700			riki.testTitle1	riki.testContent46	riki.testTitle2	riki.testContent47	17,5				
1	1212	瑟瑞丝【悠游】	{202510161000}	{202510161000}	{1,13,3,1}	icon_girl013b_700			riki.testTitle1	riki.testContent46	riki.testTitle2	riki.testContent73	12,6				
1	1141	辰星			{1,14,1,1}	icon_girl014_700			riki.testTitle1	riki.testContent33	riki.testTitle2	riki.testContent34	0,6				
1	1142	辰星-云篆			{1,14,2,1}	icon_girl014a_700			riki.testTitle1	riki.testContent33	riki.testTitle2	riki.testContent35	13,6				
1	1143	辰星-琼弦			{1,14,3,1}	icon_girl014a_700			riki.testTitle1	riki.testContent33	riki.testTitle2	riki.testContent61	15,7				
1	1151	凯茜娅-蓝闪			{1,15,1,1}	icon_girl015_700			riki.testTitle1	riki.testContent40	riki.testTitle2	riki.testContent41	10,6				
1	1152	凯茜娅-朝翼			{1,15,2,1}	icon_girl015a_700			riki.testTitle1	riki.testContent40	riki.testTitle2	riki.testContent55	14,6				
1	1153	凯茜娅-狂诗			{1,15,3,1}	icon_girl015b_700			riki.testTitle1	riki.testContent40	riki.testTitle2	riki.testContent68	15,6				
1	1161	伊切尔-豹豹			{1,16,1,1}	icon_girl016_700			riki.testTitle1	riki.testContent42	riki.testTitle2	riki.testContent43	10,6				
1	1171	苔丝-魔术师			{1,17,1,1}	icon_girl017_700		1211024	riki.testTitle1	riki.testContent38	riki.testTitle2	riki.testContent39	16,4				
1	1172	苔丝-绮幻	{202507241000}	{202507241000}	{1,17,2,1}	icon_girl017a_700			riki.testTitle1	riki.testContent38	riki.testTitle2	riki.testContent69	15,7				
1	1191	卜卜-小天师			{1,20,1,1}	icon_girl020_700			riki.testTitle1	riki.testContent59	riki.testTitle2	riki.testContent60	16,8				
1	1192	卜卜-灵鉴			{1,20,2,1}	icon_girl020a_700			riki.testTitle1	riki.testContent59	riki.testTitle2	riki.testContent78	13,10				
1	1120	奈莉德-冥河代理人			{1,21,1,1}	icon_girl021_700			riki.testTitle1	riki.testContent65	riki.testTitle2	riki.testContent66	14,6				
1	1201	克罗瑞娜【绯月】			{1,22,1,1}	icon_girl022_700			riki.testTitle1	riki.testContent70	riki.testTitle2	riki.testContent71	10,7				
1	1211	米娅-星彩			{1,23,1,1}	icon_girl023_700			riki.testTitle1	riki.testContent75	riki.testTitle2	riki.testContent76	13,7				
1	1241	胧嫣			{1,24,1,1}	icon_girl024_700			riki.testTitle1	riki.testContent83	riki.testTitle2	riki.testContent84	13,10				
2	2001	友好邻里			{2,1,255,1}	13110001											
2	2002	无声雷电			{2,1,1,1}	13110001											
2	2003	铸铁卫士			{2,1,2,1}	13110002											
2	2004	旧日叹息			{2,1,3,1}	13110003											
2	2006	归来			{2,1,5,1}	13110005											
2	2007	偏头痛			{2,1,6,1}	13110006											
2	2008	黑衣拿破仑			{2,1,7,1}	13110013											
2	2009	安全线			{2,1,8,1}	13110017											
2	2010	电离水母			{2,1,9,1}	13110007											
2	2011	正在施工			{2,1,10,1}	13110008											
2	2012	北极狐			{2,1,11,1}	13110009											
2	2013	军舰鸟			{2,1,12,1}	13110010											
2	2014	次氯酸			{2,1,13,1}	13110014											
2	2015	浮浪			{2,1,14,1}	13110015											
2	2018	星尘回忆			{2,1,17,1}	13110011											
2	2019	百战老兵			{2,1,18,1}	13110012											
2	2022	中庭前线			{2,1,21,1}	13110021											
2	2119	合金真理			{2,1,25,1}	13110025											
2	2126	洁白之环			{2,1,26,1}	13110026											
2	2127	白夜别诗			{2,1,27,1}	13110027											
2	2024	初勇者			{2,2,255,1}	13210001											
2	2025	简易扳手			{2,2,1,1}	13210001											
2	2026	冬青木			{2,2,2,1}	13210002											
2	2027	深海呼唤			{2,2,3,1}	13210003											
2	2028	奥林匹斯			{2,2,4,1}	13210004											
2	2029	喧哗现场			{2,2,5,1}	13210005											
2	2030	黄蜂			{2,2,6,1}	13210006											
2	2031	湖中女神			{2,2,7,1}	13210007											
2	2032	甜甜灵魂			{2,2,8,1}	13210008											
2	2034	朗姆风暴			{2,2,10,1}	13210010											
2	2035	钢之白桦林			{2,2,11,1}	13210014											
2	2036	魅惑爪痕			{2,2,12,1}	13210015											
2	2037	湿地公园			{2,2,13,1}	13210018											
2	2039	炙热年代			{2,2,15,1}	13210016											
2	2040	迷乱迪斯科			{2,2,16,1}	13210017											
2	2041	虎鲸号角			{2,2,17,1}	13210011											
2	2042	夹心巧克力			{2,2,18,1}	13210012											
2	2043	太空骑手			{2,2,19,1}	13210013											
2	2045	结晶凿			{2,2,21,1}	13210021											
2	2046	压路机			{2,3,255,1}	13310001											
2	2047	有人在吗			{2,3,1,1}	13310001											
2	2048	无礼之辈			{2,3,2,1}	13310002											
2	2049	瓦尔基里2056			{2,3,3,1}	13310003											
2	2050	小粮食			{2,3,4,1}	13310004											
2	2051	龙涎香			{2,3,5,1}	13310005											
2	2052	群鸟仇人			{2,3,6,1}	13310009											
2	2053	沉默的真相			{2,3,7,1}	13310010											
2	2054	马尔贝克			{2,3,8,1}	13310021											
2	2055	青金石			{2,3,9,1}	13310006											
2	2057	机械警官			{2,3,11,1}	13310011											
2	2058	霓虹灯管			{2,3,12,1}	13310012											
2	2059	不协和音			{2,3,13,1}	13310013											
2	2060	大宝贝儿			{2,3,14,1}	13310014											
2	2061	岩蟒			{2,3,15,1}	13310017											
2	2063	太阳酬金			{2,3,17,1}	13310008											
2	2067	全体警戒			{2,3,21,1}	13310020											
2	2070	倔强老者			{2,4,255,1}	13410001											
2	2071	锤击			{2,4,1,1}	13410001											
2	2072	烂橘子			{2,4,2,1}	13410002											
2	2073	星辰大海			{2,4,3,1}	13410003											
2	2074	小小工具			{2,4,4,1}	13410004											
2	2075	泥雪			{2,4,5,1}	13410009											
2	2076	皮斯科			{2,4,6,1}	13410005											
2	2077	天空墙			{2,4,7,1}	13410010											
2	2078	半根火炬			{2,4,8,1}	13410017											
2	2079	关键点			{2,4,9,1}	13410011											
2	2080	彩虹打火机			{2,4,10,1}	13410012											
2	2081	野蜂尾针			{2,4,11,1}	13410006											
2	2082	幸运时刻			{2,4,12,1}	13410007											
2	2085	是！是！船长！			{2,4,15,1}	13410018											
2	2086	野性装修			{2,4,16,1}	13410019											
2	2088	松林极光			{2,4,18,1}	13410015											
2	2090	普赛克16			{2,4,20,1}	13410020											
2	2091	用心棒			{2,4,21,1}	13410021											
2	2092	玫瑰之荣			{2,4,25,1}	13410025											
2	2093	渊光			{2,4,26,1}	13410026											
2	2096	地基			{2,5,255,1}	13510001											
2	2097	教训			{2,5,1,1}	13510001											
2	2098	怒不可遏			{2,5,2,1}	13510002											
2	2099	审判前夜			{2,5,3,1}	13510003											
2	2100	灰狗			{2,5,4,1}	13510004											
2	2101	冰冷沙丘			{2,5,5,1}	13510005											
2	2102	草莓蛋糕			{2,5,6,1}	13510006											
2	2103	楼道怪猫			{2,5,7,1}	13510007											
2	2104	绝缘体			{2,5,8,1}	13510013											
2	2105	重锤			{2,5,9,1}	13510017											
2	2106	荒野微笑			{2,5,10,1}	13510012											
2	2107	小黄鸭			{2,5,11,1}	13510014											
2	2108	腐肉便利店			{2,5,12,1}	13510015											
2	2111	舒适圈			{2,5,15,1}	13510018											
2	2112	指示剂			{2,5,16,1}	13510019											
2	2115	熔岩骨骼			{2,5,19,1}	13510011											
2	2117	灰垒			{2,5,21,1}	13510021											
2	2118	朱书断邪			{2,5,22,1}	13510022											
2	2120	王牌怪诞			{2,2,22,1}	13210022											
2	2121	龙胆			{2,6,2,1}	13610002											
2	2122	海王星			{2,6,4,1}	13610004											
2	2123	伯班克的天空			{2,6,1,1}	13610001											
2	2124	抵抗能力			{2,6,255,1}	13610001											
2	2125	镭射风虎			{2,3,24,1}	13310024											
2	2200	王权连枷			{2,3,26,1}	13310026											
2	2201	圣甲			{2,3,25,1}	13310025											
2	2202	像素时代	{202407251000}	{202407251000}	{2,5,23,1}	13510023											
2	2203	捕心先锋	{202407251000}	{202407251000}	{2,5,24,1}	13510024											
2	2204	最优解			{2,7,255,1}	13710001											
2	2205	通用公式			{2,7,1,1}	13710002											
2	2206	轮转辉光			{2,7,2,1}	13710003											
2	2207	九夜之冕			{2,7,3,1}	13710004											
2	2208	澄叶			{2,4,27,1}	13710003											
2	2209	抓拍胜机			{2,4,28,1}	13710004											
2	2210	龙卷风			{2,5,25,1}	13510025											
2	2211	晴海星埃			{2,5,26,1}	13510026											
2	2212	晶棱	[202410101000]	[202410101000]	{2,3,27,1}	13510027											
2	2213	深渊幽灵	[202410101000]	[202410101000]	{2,3,28,1}	13510028											
2	2214	梦幻捷径			{2,2,23,1}	13510029											
2	2215	极速烈闪			{2,2,24,1}	13510030											
2	2216	晚梅			{2,4,29,1}	13510030											
2	2217	流焰融金			{2,4,30,1}	13510030											
2	2218	正法	[202502061000]	[202502061000]	{2,1,28,1}	13510030											
2	2219	星熔靛夜	[202502061000]	[202502061000]	{2,1,29,1}	13510030											
2	2220	暗巷英雄			{2,8,2,1}	13510030											
2	2221	茜羽破空			{2,8,3,1}	13510030											
2	2222	梅梢			{2,8,255,1}	13510030											
2	2223	战训			{2,8,1,1}	13510030											
2	2224	沼泽之主			{2,3,29,1}	13510030											
2	2225	紫棘			{2,3,30,1}	13510030											
2	2226	蛛网			{2,5,27,1}	13510030											
2	2227	夕潮			{2,5,28,1}	13510030											
2	2228	悠古节拍	[202505011000]	[202505011000]	{2,3,31,1}	13510030											
2	2229	嵌合			{2,2,25,1}	13510030											
2	2230	真实之空			{2,2,26,1}	13510030											
2	2231	稳固色彩	{202507241000}	{202507241000}	{2,5,29,1}	13510030											
2	2232	坚者之心	{202507241000}	{202507241000}	{2,5,30,1}	13510030											
2	2233	泡泡机			{2,9,255,1}	13510030											
2	2234	视觉威慑			{2,9,1,1}	13510030											
2	2235	无限之日			{2,9,2,1}	13510030											
2	2236	速旋青雨			{2,9,3,1}	13510030											
2	2237	枯萎蔓延			{2,1,30,1}	13510030											
2	2238	瑰翼			{2,1,31,1}	13510030											
2	2239	远古螺旋	{202510161000}	{202510161000}	{2,4,31,1}	13510030											
2	2240	跃洋斑鳍	{202510161000}	{202510161000}	{2,4,32,1}	13510030											
2	2241	完美结构			{2,1,32,1}	13510030											
2	2242	净空炙星			{2,1,33,1}	13510030											
2	2243	爆裂甜蜜			{2,3,32,1}	13510030											
2	2244	织心秘语			{2,3,33,1}	13510030											
2	2245	鸣雷戒律	{202511271000}	{202511271000}	{2,5,31,1}	13510030											
2	2246	净空启迪	{202601011000}	{202601011000}	{2,2,27,1}	13510030											
2	2247	松纸剪影			{2,7,4,1}	13510030											
2	2248	薪烛明痕			{2,7,5,1}	13510030											
2	2249	3.5飞剑N临时			{2,10,255,1}	13510030											
2	2250	3.5飞剑R临时			{2,10,1,1}	13510030											
2	2251	3.5飞剑SR临时			{2,10,2,1}	13510030											
2	2252	星渊月刃			{2,10,3,1}	13510030											
2	2253	3.5冲锋枪SR临时	[202602121000]	[202602121000]	{2,1,34,1}	13510030											
2	2254	3.5冲锋枪SSR临时	[202602121000]	[202602121000]	{2,1,35,1}	13510030											
2	2255	3.6左轮SSR临时	[202605221000]	[202605221000]	{2,4,33,1}	13510030											
2	2256	3.6双持冲锋枪SR临时			{2,7,6,1}	13510030											
2	2257	3.6双持冲锋枪SSR临时			{2,7,7,1}	13510030											
3	3001	阿尔斯特-科尼			{3,1,1,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3002	阿尔斯特-梅芙			{3,2,1,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3003	阿尔斯特-弗拉梅			{3,3,1,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3004	堤丰-613			{3,1,2,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3005	堤丰-多尼尔			{3,2,2,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3006	堤丰-焰心			{3,3,2,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3007	御守-桃子			{3,1,3,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3008	御守-香蒲			{3,2,3,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3009	御守-灼			{3,3,3,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3010	梵灵-露茜娅			{3,1,4,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3011	梵灵-瓦茜			{3,2,4,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3012	梵灵-纳芙			{3,3,4,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3013	“守梦人”-玛蒂娜			{3,1,5,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3014	“守梦人”-塞奎特			{3,2,5,1}				{1.25,1.25}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3015	“守梦人”-海法			{3,3,5,1}				{1.33,1.33}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3016	“信使”-格娜			{3,1,6,1}				{1.3,1.3}	{-420, 130}	{1.3,1.3}	{-10, 10}					
3	3017	“信使”-阿花			{3,2,6,1}				{1.25,1.25}	{-420, 130}	{1.3,1.3}	{-10, 10}					
3	3018	“信使”-瓦力			{3,3,6,1}				{1.3,1.3}	{-420, 80}	{1.3,1.3}	{-10, 10}					
3	3019	梵音-洛迦			{3,1,7,1}				{1.3,1.3}	{-340, 120}	{1.3,1.3}	{-340, 120}					
3	3020	梵音-欧白芷			{3,2,7,1}				{1.34,1.34}	{-340, 100}	{1.4,1.4}	{-340, 100}					
3	3021	梵音-莎罗			{3,3,7,1}				{1.3,1.3}	{-340, 100}	{1.4,1.4}	{-450, 100}					
3	3022	“锻造者”-蕾西亚			{3,1,8,1}				{1.25,1.25}	{-320, 120}	{1.35,1.35}	{-400, 120}					
3	3023	“锻造者”-缇坦尼娅			{3,2,8,1}				{1.2,1.2}	{-280, 120}	{1.3,1.3}	{-340, 120}					
3	3024	“锻造者”-白猎			{3,3,8,1}				{1.3,1.3}	{-340, 120}	{1.4,1.4}	{-340, 120}					
3	3025	阿尔戈-鸽子			{3,1,9,1}				{1.3,1.3}	{-350, 140}	{1.35,1.35}	{-380, 140}					
3	3026	阿尔戈-乐手			{3,2,9,1}				{1.35,1.35}	{-340, 80}	{1.35,1.35}	{-400, 150}					
3	3027	阿尔戈-箭头			{3,3,9,1}				{1.35,1.35}	{-350, 120}	{1.35,1.35}	{-350, 80}					
3	3028	鬼怪-安提娜			{3,1,10,1}				{1.28,1.28}	{-350, 100}	{1.35,1.35}	{-440, 100}					
3	3029	鬼怪-薇兹			{3,2,10,1}				{1.3,1.3}	{-340, 80}	{1.3,1.3}	{-380, 80}					
3	3030	鬼怪-瓦莲			{3,3,10,1}				{1.3,1.3}	{-380, 40}	{1.35,1.35}	{-450, 30}					
3	3031	“诗人”-奥伊辛			{3,1,11,1}				{1.3,1.3}	{-420, 80}	{1.35,1.35}	{-480, 30}					
3	3032	“诗人”-凯特琳			{3,2,11,1}				{1.33,1.33}	{-420, 100}	{1.35,1.35}	{-420, 120}					
3	3033	“诗人”-科洛			{3,3,11,1}				{1.3,1.3}	{-420, 50}	{1.35,1.35}	{-420, 120}					
3	3034	绿灵-格伦茨			{3,1,12,1}				{1.35,1.35}	{-360, 120}	{1.4,1.4}	{-360, 180}					
3	3035	绿灵-艾娃			{3,2,12,1}				{1.3,1.3}	{-360, 80}	{1.35,1.35}	{-400, 80}					
3	3036	绿灵-格蕾丝			{3,3,12,1}				{1.35,1.35}	{-360, 80}	{1.33,1.33}	{-380, 100}					
3	3037	达摩-红线			{3,1,13,1}				{1.3,1.3}	{-400, 120}	{1.3,1.3}	{-400, 120}					
3	3038	达摩-佐香			{3,2,13,1}				{1.3,1.3}	{-320, 80}	{1.3,1.3}	{-380, 80}					
3	3039	达摩-浮沐			{3,3,13,1}				{1.3,1.3}	{-280, 100}	{1.35,1.35}	{-360, 80}					
3	3040	底比斯-暮影			{3,1,14,1}				{1.3,1.3}	{-320, 80}	{1.4,1.4}	{-360, 80}					
3	3041	底比斯-孔苏			{3,2,14,1}				{1.3,1.3}	{-400, 80}	{1.4,1.4}	{-420, 100}					
3	3042	底比斯-穆特			{3,3,14,1}				{1.35,1.35}	{-400, 100}	{1.4,1.4}	{-400, 120}					
3	3046	芬尼亚-夏洛特			{3,1,15,1}				{1.3,1.3}	{-250, 80}	{1.45,1.45}	{-250, 120}					
3	3047	芬尼亚-红心			{3,2,15,1}				{1.5,1.5}	{-360, 120}	{1.3,1.3}	{-300, 80}					
3	3048	芬尼亚-罗茜			{3,3,15,1}				{1.3,1.3}	{-300, 80}	{1.35,1.35}	{-400, 120}					
3	3052	摩伊拉-拉克西丝			{3,1,16,1}				{1.35,1.35}	{-360, 100}	{1.4,1.4}	{-440, 120}					
3	3053	摩伊拉-贝拉			{3,2,16,1}				{1.3,1.3}	{-360, 80}	{1.35,1.35}	{-400, 80}					
3	3054	摩伊拉-克萝伊			{3,3,16,1}				{1.3,1.3}	{-360, 80}	{1.3,1.3}	{-360, 80}					
3	3055	梵星-瓦卡斯帕			{3,1,17,1}				{1.35,1.35}	{-300, 80}	{1.6,1.6}	{-360, -70}					
3	3056	梵星-苏卡拉			{3,2,17,1}				{1.3,1.3}	{-320, 80}	{1.3,1.3}	{-320, 50}					
3	3057	梵星-玛瑞尔			{3,3,17,1}				{1.4,1.4}	{-340, 100}	{1.45,1.45}	{-300, 100}					
3	3058	“鸦眼”-安			{3,1,18,1}				{1.34,1.34}	{-320, 120}	{1.3,1.3}	{-380, 80}					
3	3059	“鸦眼”-穆林			{3,2,18,1}				{1.2,1.2}	{-380, 80}	{1.34,1.34}	{-500, 120}					
3	3060	“鸦眼”-海基			{3,3,18,1}				{1.2,1.2}	{-360, 120}	{1.3,1.3}	{-360, 120}					
3	3061	布里吉-菲儿			{3,1,19,1}				{1.25,1.25}	{-320, 80}	{1.35,1.35}	{-320, 120}					
3	3062	布里吉-金吉拉			{3,2,19,1}				{1.3,1.3}	{-300, 100}	{1.35,1.35}	{-300, 180}					
3	3063	布里吉-瓦莱莉			{3,3,19,1}				{1.35,1.35}	{-300, 80}	{1.25,1.25}	{-400, 80}					
3	3064	精灵-露莎卡			{3,1,20,1}				{1.3,1.3}	{-280, 80}	{1.3,1.3}	{-320, 80}					
3	3065	精灵-斯涅妮卡			{3,2,20,1}				{1.25,1.25}	{-320, 80}	{1.35,1.35}	{-480, 80}					
3	3066	精灵-邦妮			{3,3,20,1}				{1.45,1.45}	{-320, 80}	{1.45,1.45}	{-320, 100}					
3	3067	达努-班西			{3,1,21,1}				{1.3,1.3}	{-360, 80}	{1.3,1.3}	{-380, 80}					
3	3068	达努-温蒂			{3,2,21,1}				{1.3,1.3}	{-380, 80}	{1.35,1.35}	{-420, 50}					
3	3069	达努-银臂			{3,3,21,1}				{1.3,1.3}	{-280, 100}	{1.3,1.3}	{-280, 80}					
3	3070	凯夫曼-雅尔哈康			{3,2,22,1}				{1.3,1.3}	{-350, 50}	{1.4,1.4}	{-400, 80}					
3	3071	凯夫曼-斯卡德肯			{3,3,22,1}				{1.3,1.3}	{-380, 120}	{1.5,1.5}	{-350, 200}					
3	3072	凯夫曼-哈尔芙			{3,1,22,1}				{1.3,1.3}	{-350, 80}	{1.3,1.3}	{-350, 50}					
3	3073	领航者-芳泽			{3,1,23,1}				{1.4,1.4}	{-380, 280}	{1.3,1.3}	{-380, 80}					
3	3074	领航者-雅里洛			{3,2,23,1}				{1.3,1.3}	{-380, 80}	{1.4,1.4}	{-400, 80}					
3	3075	领航者-玛拉			{3,3,23,1}				{1.3,1.3}	{-340, 120}	{1.3,1.3}	{-350, 200}					
3	3076	天岩户-岳间泽			{3,1,24,1}				{1.4,1.4}	{-320, 80}	{1.3,1.3}	{-360, 80}					
3	3077	天岩户-鹤一			{3,2,24,1}				{1.4,1.4}	{-360, 80}	{1.4,1.4}	{-300, 100}					
3	3078	天岩户-赤			{3,3,24,1}				{1.35,1.35}	{-380, 80}	{1.3,1.3}	{-320, 80}					
3	3079	曙光-库米			{3,1,25,1}				{1.3,1.3}	{-380, 280}	{1.3,1.3}	{-380, 80}					
3	3080	曙光-艾尔维娅			{3,2,25,1}				{1.3,1.3}	{-380, 80}	{1.44,1.44}	{-340, -200}					
3	3081	曙光-斯维特拉娜			{3,3,25,1}				{1.35,1.35}	{-340, 80}	{1.35,1.35}	{-340, 80}					
3	3082	水穗-早见悠			{3,1,26,1}				{1.38,1.38}	{-320, 150}	{1.3,1.3}	{-360, 120}					
