riki表种的ID	语音顺序	Voices_wwise表中的ID	备注1	角色ID	UI表中的key	角色形态
1023	2	rikigacha	抽卡	1202	ui.RikiRoleSound2	
1023	3	rikimain002	看板娘展示1	1202	ui.RikiRoleSound3	
1023	4	rikimain003	看板娘展示2	1202	ui.RikiRoleSound4	
1023	5	rikimain101	看板娘展示3	1202	ui.RikiRoleSound9	
1023	6	rikimain201	看板娘展示4	1202	ui.RikiRoleSound10	
1023	7	rikienterlevel1	战斗开始1	1202	ui.RikiRoleSound5_1	
1023	8	rikienterlevel2	战斗开始2	1202	ui.RikiRoleSound5_2	
1023	9	rikiwin1	战斗胜利1	1202	ui.RikiRoleSound6_1	
1023	10	rikiwin2	战斗胜利2	1202	ui.RikiRoleSound6_2	
1023	11	lose	战斗失败	1202	ui.RikiRoleSound7	
1023	12	skill04	连携技/QTE	1202	ui.RikiRoleSound13	
1023	13	skill03	大招	1202	ui.RikiRoleSound14	
1023	14	reload	换弹	1202	ui.RikiRoleSound15	
1023	15	touch	场景交互	1202	ui.RikiRoleSound16	
1023	16	taskfinish	报告阶段目标达成	1202	ui.RikiRoleSound17	
1023	23	rikiexchange1	人物切换登场	1202	ui.RikiRoleSound24	
1023	18	wavelittle	少量敌人出现	1202	ui.RikiRoleSound19	
1023	19	wavemany	大量敌人出现	1202	ui.RikiRoleSound20	
1023	20	killmonster001	消灭普通敌人	1202	ui.RikiRoleSound21	
1023	21	killmonster002	消灭精英敌人	1202	ui.RikiRoleSound22	
1023	22	killmonster003	消灭boss	1202	ui.RikiRoleSound23	
1023	24	rikiexchange2	人物切换登场	1202	ui.RikiRoleSound25	
1031	1	main099	登陆	1003	ui.RikiRoleSound1	
1031	2	gacha	抽卡	1003	ui.RikiRoleSound2	
1031	3	main001	看板娘展示1	1003	ui.RikiRoleSound3	
1031	4	main003	看板娘展示2	1003	ui.RikiRoleSound4	
1031	5	rikienterlevel1	战斗开始1	1003	ui.RikiRoleSound5_1	
1031	6	rikienterlevel2	战斗开始2	1003	ui.RikiRoleSound5_2	
1031	7	rikiwin1	战斗胜利1	1003	ui.RikiRoleSound6_1	
1031	8	rikiwin2	战斗胜利2	1003	ui.RikiRoleSound6_2	
1031	9	lose	战斗失败	1003	ui.RikiRoleSound7	
1031	12	skill04	连携技/QTE	1003	ui.RikiRoleSound13	
1031	13	skill03	大招	1003	ui.RikiRoleSound14	
1031	14	reload	换弹	1003	ui.RikiRoleSound15	
1031	15	touch	场景交互	1003	ui.RikiRoleSound16	
1031	16	taskfinish	报告阶段目标达成	1003	ui.RikiRoleSound17	
1031	23	rikiexchange1	人物切换登场	1003	ui.RikiRoleSound24	
1031	18	wavelittle	少量敌人出现	1003	ui.RikiRoleSound19	
1031	19	wavemany	大量敌人出现	1003	ui.RikiRoleSound20	
1031	20	killmonster001	消灭普通敌人	1003	ui.RikiRoleSound21	
1031	21	killmonster002	消灭精英敌人	1003	ui.RikiRoleSound22	
1031	22	killmonster003	消灭boss	1003	ui.RikiRoleSound23	
1031	24	rikiexchange2	人物切换登场	1003	ui.RikiRoleSound25	
1041	1	main001	登陆	1004	ui.RikiRoleSound1	
1041	2	gacha	抽卡	1004	ui.RikiRoleSound2	
1041	3	main002	看板娘展示1	1004	ui.RikiRoleSound3	
1041	4	main003	看板娘展示2	1004	ui.RikiRoleSound4	
1041	5	rikienterlevel1	战斗开始1	1004	ui.RikiRoleSound5_1	
1041	6	rikienterlevel2	战斗开始2	1004	ui.RikiRoleSound5_2	
1041	7	rikiwin1	战斗胜利1	1004	ui.RikiRoleSound6_1	
1041	8	rikiwin2	战斗胜利2	1004	ui.RikiRoleSound6_2	
1041	9	lose	战斗失败	1004	ui.RikiRoleSound7	
1041	12	skill04	连携技/QTE	1004	ui.RikiRoleSound13	
1041	13	skill03	大招	1004	ui.RikiRoleSound14	
1041	14	reload	换弹	1004	ui.RikiRoleSound15	
1041	15	touch	场景交互	1004	ui.RikiRoleSound16	
1041	16	taskfinish	报告阶段目标达成	1004	ui.RikiRoleSound17	
1041	23	rikiexchange1	人物切换登场	1004	ui.RikiRoleSound24	
1041	18	wavelittle	少量敌人出现	1004	ui.RikiRoleSound19	
1041	19	wavemany	大量敌人出现	1004	ui.RikiRoleSound20	
1041	20	killmonster001	消灭普通敌人	1004	ui.RikiRoleSound21	
1041	21	killmonster002	消灭精英敌人	1004	ui.RikiRoleSound22	
1041	22	killmonster003	消灭boss	1004	ui.RikiRoleSound23	
1041	24	rikiexchange2	人物切换登场	1004	ui.RikiRoleSound25	
1042	1	main001	登陆	1104	ui.RikiRoleSound1	
1042	2	gacha	抽卡	1104	ui.RikiRoleSound2	
1042	3	main003	看板娘展示1	1104	ui.RikiRoleSound3	
1042	4	main002	看板娘展示2	1104	ui.RikiRoleSound4	
1042	5	rikienterlevel1	战斗开始1	1104	ui.RikiRoleSound5_1	
1042	6	rikienterlevel2	战斗开始2	1104	ui.RikiRoleSound5_2	
1042	7	rikiwin1	战斗胜利1	1104	ui.RikiRoleSound6_1	
1042	8	rikiwin2	战斗胜利2	1104	ui.RikiRoleSound6_2	
1042	9	lose	战斗失败	1104	ui.RikiRoleSound7	
1042	12	skill04	连携技/QTE	1104	ui.RikiRoleSound13	
1042	13	skill03	大招	1104	ui.RikiRoleSound14	
1042	14	reload	换弹	1104	ui.RikiRoleSound15	
1042	15	touch	场景交互	1104	ui.RikiRoleSound16	
1042	16	taskfinish	报告阶段目标达成	1104	ui.RikiRoleSound17	
1042	23	rikiexchange1	人物切换登场	1104	ui.RikiRoleSound24	
1042	18	wavelittle	少量敌人出现	1104	ui.RikiRoleSound19	
1042	19	wavemany	大量敌人出现	1104	ui.RikiRoleSound20	
1042	20	killmonster001	消灭普通敌人	1104	ui.RikiRoleSound21	
1042	21	killmonster002	消灭精英敌人	1104	ui.RikiRoleSound22	
1042	22	killmonster003	消灭boss	1104	ui.RikiRoleSound23	
1042	24	rikiexchange2	人物切换登场	1104	ui.RikiRoleSound25	
1043	1	rikimain001	登陆	1204	ui.RikiRoleSound1	
1043	2	rikigacha	抽卡	1204	ui.RikiRoleSound2	
1043	3	main003	看板娘展示1	1204	ui.RikiRoleSound3	
1043	4	main002	看板娘展示2	1204	ui.RikiRoleSound4	
1043	5	rikienterlevel1	战斗开始1	1204	ui.RikiRoleSound5_1	
1043	6	rikienterlevel2	战斗开始2	1204	ui.RikiRoleSound5_2	
1043	7	rikiwin1	战斗胜利1	1204	ui.RikiRoleSound6_1	
1043	8	rikiwin2	战斗胜利2	1204	ui.RikiRoleSound6_2	
1043	9	lose	战斗失败	1204	ui.RikiRoleSound7	
1043	12	skill04	连携技/QTE	1204	ui.RikiRoleSound13	
1043	13	skill03	大招	1204	ui.RikiRoleSound14	
1043	14	reload	换弹	1204	ui.RikiRoleSound15	
1043	15	touch	场景交互	1204	ui.RikiRoleSound16	
1043	16	taskfinish	报告阶段目标达成	1204	ui.RikiRoleSound17	
1043	23	rikiexchange1	人物切换登场	1204	ui.RikiRoleSound24	
1043	18	wavelittle	少量敌人出现	1204	ui.RikiRoleSound19	
1043	19	wavemany	大量敌人出现	1204	ui.RikiRoleSound20	
1043	20	killmonster001	消灭普通敌人	1204	ui.RikiRoleSound21	
1043	21	killmonster002	消灭精英敌人	1204	ui.RikiRoleSound22	
1043	22	killmonster003	消灭boss	1204	ui.RikiRoleSound23	
1043	24	rikiexchange2	人物切换登场	1204	ui.RikiRoleSound25	
1051	1	main003	登陆	1005	ui.RikiRoleSound1	
1051	2	gacha	抽卡	1005	ui.RikiRoleSound2	
1051	3	main001	看板娘展示1	1005	ui.RikiRoleSound3	
1051	4	main002	看板娘展示2	1005	ui.RikiRoleSound4	
1051	5	rikienterlevel1	战斗开始1	1005	ui.RikiRoleSound5_1	
1051	6	rikienterlevel2	战斗开始2	1005	ui.RikiRoleSound5_2	
1051	7	rikiwin1	战斗胜利1	1005	ui.RikiRoleSound6_1	
1051	8	rikiwin2	战斗胜利2	1005	ui.RikiRoleSound6_2	
1051	9	lose	战斗失败	1005	ui.RikiRoleSound7	
1051	12	skill04	连携技/QTE	1005	ui.RikiRoleSound13	
1051	13	skill03	大招	1005	ui.RikiRoleSound14	
1051	14	reload	换弹	1005	ui.RikiRoleSound15	
1051	15	touch	场景交互	1005	ui.RikiRoleSound16	
1051	16	taskfinish	报告阶段目标达成	1005	ui.RikiRoleSound17	
1051	23	rikiexchange1	人物切换登场	1005	ui.RikiRoleSound24	
1051	18	wavelittle	少量敌人出现	1005	ui.RikiRoleSound19	
1051	19	wavemany	大量敌人出现	1005	ui.RikiRoleSound20	
1051	20	killmonster001	消灭普通敌人	1005	ui.RikiRoleSound21	
1051	21	killmonster002	消灭精英敌人	1005	ui.RikiRoleSound22	
1051	22	killmonster003	消灭boss	1005	ui.RikiRoleSound23	
1051	24	rikiexchange2	人物切换登场	1005	ui.RikiRoleSound25	
1052	1	main099	登陆	1105	ui.RikiRoleSound1	
1052	2	gacha	抽卡	1105	ui.RikiRoleSound2	
1052	3	main001	看板娘展示1	1105	ui.RikiRoleSound3	
1052	4	main003	看板娘展示2	1105	ui.RikiRoleSound4	
1052	5	rikienterlevel1	战斗开始1	1105	ui.RikiRoleSound5_1	
1052	6	rikienterlevel2	战斗开始2	1105	ui.RikiRoleSound5_2	
1052	7	rikiwin1	战斗胜利1	1105	ui.RikiRoleSound6_1	
1052	8	rikiwin2	战斗胜利2	1105	ui.RikiRoleSound6_2	
1052	9	lose	战斗失败	1105	ui.RikiRoleSound7	
1052	12	skill04	连携技/QTE	1105	ui.RikiRoleSound13	
1052	13	skill03	大招	1105	ui.RikiRoleSound14	
1052	14	reload	换弹	1105	ui.RikiRoleSound15	
1052	15	touch	场景交互	1105	ui.RikiRoleSound16	
1052	16	taskfinish	报告阶段目标达成	1105	ui.RikiRoleSound17	
1052	23	rikiexchange1	人物切换登场	1105	ui.RikiRoleSound24	
1052	18	wavelittle	少量敌人出现	1105	ui.RikiRoleSound19	
1052	19	wavemany	大量敌人出现	1105	ui.RikiRoleSound20	
1052	20	killmonster001	消灭普通敌人	1105	ui.RikiRoleSound21	
1052	21	killmonster002	消灭精英敌人	1105	ui.RikiRoleSound22	
1052	22	killmonster003	消灭boss	1105	ui.RikiRoleSound23	
1052	24	rikiexchange2	人物切换登场	1105	ui.RikiRoleSound25	
1053	1	rikimain001	登陆	1205	ui.RikiRoleSound1	
1053	2	rikigacha	抽卡	1205	ui.RikiRoleSound2	
1053	3	main002	看板娘展示1	1205	ui.RikiRoleSound3	
1053	4	main003	看板娘展示2	1205	ui.RikiRoleSound4	
1053	5	main101	看板娘展示3	1205	ui.RikiRoleSound9	
1053	6	main201	看板娘展示4	1205	ui.RikiRoleSound10	
1053	7	rikienterlevel1	战斗开始1	1205	ui.RikiRoleSound5_1	
1053	8	rikienterlevel2	战斗开始2	1205	ui.RikiRoleSound5_2	
1053	9	rikiwin1	战斗胜利1	1205	ui.RikiRoleSound6_1	
1053	10	rikiwin2	战斗胜利2	1205	ui.RikiRoleSound6_2	
1053	11	lose	战斗失败	1205	ui.RikiRoleSound7	
1053	12	skill04	连携技/QTE	1205	ui.RikiRoleSound13	
1053	13	skill03	大招	1205	ui.RikiRoleSound14	
1053	14	reload	换弹	1205	ui.RikiRoleSound15	
1053	15	touch	场景交互	1205	ui.RikiRoleSound16	
1053	16	taskfinish	报告阶段目标达成	1205	ui.RikiRoleSound17	
1053	23	rikiexchange1	人物切换登场	1205	ui.RikiRoleSound24	
1053	18	wavelittle	少量敌人出现	1205	ui.RikiRoleSound19	
1053	19	wavemany	大量敌人出现	1205	ui.RikiRoleSound20	
1053	20	killmonster001	消灭普通敌人	1205	ui.RikiRoleSound21	
1053	21	killmonster002	消灭精英敌人	1205	ui.RikiRoleSound22	
1053	22	killmonster003	消灭boss	1205	ui.RikiRoleSound23	
1053	24	rikiexchange2	人物切换登场	1205	ui.RikiRoleSound25	
1061	1	main099	登陆	1006	ui.RikiRoleSound1	
1061	2	gacha	抽卡	1006	ui.RikiRoleSound2	
1061	3	main002	看板娘展示1	1006	ui.RikiRoleSound3	
1061	4	main003	看板娘展示2	1006	ui.RikiRoleSound4	
1061	5	rikienterlevel1	战斗开始1	1006	ui.RikiRoleSound5_1	
1061	6	rikienterlevel2	战斗开始2	1006	ui.RikiRoleSound5_2	
1061	7	rikiwin1	战斗胜利1	1006	ui.RikiRoleSound6_1	
1061	8	rikiwin2	战斗胜利2	1006	ui.RikiRoleSound6_2	
1061	9	lose	战斗失败	1006	ui.RikiRoleSound7	
1061	12	skill04	连携技/QTE	1006	ui.RikiRoleSound13	
1061	13	skill03	大招	1006	ui.RikiRoleSound14	
1061	14	reload	换弹	1006	ui.RikiRoleSound15	
1061	15	touch	场景交互	1006	ui.RikiRoleSound16	
1061	16	taskfinish	报告阶段目标达成	1006	ui.RikiRoleSound17	
1061	23	rikiexchange1	人物切换登场	1006	ui.RikiRoleSound24	
1061	18	wavelittle	少量敌人出现	1006	ui.RikiRoleSound19	
1061	19	wavemany	大量敌人出现	1006	ui.RikiRoleSound20	
1061	20	killmonster001	消灭普通敌人	1006	ui.RikiRoleSound21	
1061	21	killmonster002	消灭精英敌人	1006	ui.RikiRoleSound22	
1061	22	killmonster003	消灭boss	1006	ui.RikiRoleSound23	
1061	24	rikiexchange2	人物切换登场	1006	ui.RikiRoleSound25	
1062	1	main001	登陆	1106	ui.RikiRoleSound1	
1062	2	gacha	抽卡	1106	ui.RikiRoleSound2	
1062	3	main002	看板娘展示1	1106	ui.RikiRoleSound3	
1062	4	main003	看板娘展示2	1106	ui.RikiRoleSound4	
1062	5	main101	看板娘展示3	1106	ui.RikiRoleSound9	
1062	6	main201	看板娘展示4	1106	ui.RikiRoleSound10	
1062	7	rikienterlevel1	战斗开始1	1106	ui.RikiRoleSound5_1	
1062	8	rikienterlevel2	战斗开始2	1106	ui.RikiRoleSound5_2	
1062	9	rikiwin1	战斗胜利1	1106	ui.RikiRoleSound6_1	
1062	10	rikiwin2	战斗胜利2	1106	ui.RikiRoleSound6_2	
1062	11	lose	战斗失败	1106	ui.RikiRoleSound7	
1062	12	skill04	连携技/QTE	1106	ui.RikiRoleSound13	
1062	13	skill03	大招	1106	ui.RikiRoleSound14	
1062	14	reload	换弹	1106	ui.RikiRoleSound15	
1062	15	touch	场景交互	1106	ui.RikiRoleSound16	
1062	16	taskfinish	报告阶段目标达成	1106	ui.RikiRoleSound17	
1062	23	rikiexchange1	人物切换登场	1106	ui.RikiRoleSound24	
1062	18	rikiwavelittle	少量敌人出现	1106	ui.RikiRoleSound19	
1062	19	wavemany	大量敌人出现	1106	ui.RikiRoleSound20	
1062	20	killmonster001	消灭普通敌人	1106	ui.RikiRoleSound21	
1062	21	killmonster002	消灭精英敌人	1106	ui.RikiRoleSound22	
1062	22	killmonster003	消灭boss	1106	ui.RikiRoleSound23	
1062	24	rikiexchange2	人物切换登场	1106	ui.RikiRoleSound25	
1071	1	main099	登陆	1007	ui.RikiRoleSound1	
1071	2	gacha	抽卡	1007	ui.RikiRoleSound2	
1071	3	main002	看板娘展示1	1007	ui.RikiRoleSound3	
1071	4	main003	看板娘展示2	1007	ui.RikiRoleSound4	
1071	5	rikienterlevel1	战斗开始1	1007	ui.RikiRoleSound5_1	
1071	6	rikienterlevel2	战斗开始2	1007	ui.RikiRoleSound5_2	
1071	7	rikiwin1	战斗胜利1	1007	ui.RikiRoleSound6_1	
1071	8	rikiwin2	战斗胜利2	1007	ui.RikiRoleSound6_2	
1071	9	lose	战斗失败	1007	ui.RikiRoleSound7	
1071	12	skill04	连携技/QTE	1007	ui.RikiRoleSound13	
1071	13	skill03	大招	1007	ui.RikiRoleSound14	
1071	14	reload	换弹	1007	ui.RikiRoleSound15	
1071	15	touch	场景交互	1007	ui.RikiRoleSound16	
1071	16	taskfinish	报告阶段目标达成	1007	ui.RikiRoleSound17	
1071	23	rikiexchange1	人物切换登场	1007	ui.RikiRoleSound24	
1071	18	wavelittle	少量敌人出现	1007	ui.RikiRoleSound19	
1071	19	wavemany	大量敌人出现	1007	ui.RikiRoleSound20	
1071	20	killmonster001	消灭普通敌人	1007	ui.RikiRoleSound21	
1071	21	killmonster002	消灭精英敌人	1007	ui.RikiRoleSound22	
1071	22	killmonster003	消灭boss	1007	ui.RikiRoleSound23	
1071	24	rikiexchange2	人物切换登场	1007	ui.RikiRoleSound25	
1072	1	main001	登陆	1107	ui.RikiRoleSound1	
1072	2	rikigacha	抽卡	1107	ui.RikiRoleSound2	
1072	3	main002	看板娘展示1	1107	ui.RikiRoleSound3	
1072	4	main003	看板娘展示2	1107	ui.RikiRoleSound4	
1072	5	main101	看板娘展示3	1107	ui.RikiRoleSound9	
1072	6	main201	看板娘展示4	1107	ui.RikiRoleSound10	
1072	7	rikienterlevel1	战斗开始1	1107	ui.RikiRoleSound5_1	
1072	8	rikienterlevel2	战斗开始2	1107	ui.RikiRoleSound5_2	
1072	9	rikiwin1	战斗胜利1	1107	ui.RikiRoleSound6_1	
1072	10	rikiwin2	战斗胜利2	1107	ui.RikiRoleSound6_2	
1072	11	lose	战斗失败	1107	ui.RikiRoleSound7	
1072	12	skill04	连携技/QTE	1107	ui.RikiRoleSound13	
1072	13	skill03	大招	1107	ui.RikiRoleSound14	
1072	14	reload	换弹	1107	ui.RikiRoleSound15	
1072	15	touch	场景交互	1107	ui.RikiRoleSound16	
1072	16	taskfinish	报告阶段目标达成	1107	ui.RikiRoleSound17	
1072	23	rikiexchange1	人物切换登场	1107	ui.RikiRoleSound24	
1072	18	wavelittle	少量敌人出现	1107	ui.RikiRoleSound19	
1072	19	wavemany	大量敌人出现	1107	ui.RikiRoleSound20	
1072	20	killmonster001	消灭普通敌人	1107	ui.RikiRoleSound21	
1072	21	killmonster002	消灭精英敌人	1107	ui.RikiRoleSound22	
1072	22	killmonster003	消灭boss	1107	ui.RikiRoleSound23	
1072	24	rikiexchange2	人物切换登场	1107	ui.RikiRoleSound25	
1081	1	main003	登陆	1008	ui.RikiRoleSound1	
1081	2	gacha	抽卡	1008	ui.RikiRoleSound2	
1081	3	main001	看板娘展示1	1008	ui.RikiRoleSound3	
1081	4	main002	看板娘展示2	1008	ui.RikiRoleSound4	
1081	5	rikienterlevel1	战斗开始1	1008	ui.RikiRoleSound5_1	
1081	6	rikienterlevel2	战斗开始2	1008	ui.RikiRoleSound5_2	
1081	7	rikiwin1	战斗胜利1	1008	ui.RikiRoleSound6_1	
1081	8	rikiwin2	战斗胜利2	1008	ui.RikiRoleSound6_2	
1081	9	lose	战斗失败	1008	ui.RikiRoleSound7	
1081	12	skill04	连携技/QTE	1008	ui.RikiRoleSound13	
1081	13	skill03	大招	1008	ui.RikiRoleSound14	
1081	14	reload	换弹	1008	ui.RikiRoleSound15	
1081	15	touch	场景交互	1008	ui.RikiRoleSound16	
1081	16	taskfinish	报告阶段目标达成	1008	ui.RikiRoleSound17	
1081	23	rikiexchange1	人物切换登场	1008	ui.RikiRoleSound24	
1081	18	wavelittle	少量敌人出现	1008	ui.RikiRoleSound19	
1081	19	wavemany	大量敌人出现	1008	ui.RikiRoleSound20	
1081	20	killmonster001	消灭普通敌人	1008	ui.RikiRoleSound21	
1081	21	killmonster002	消灭精英敌人	1008	ui.RikiRoleSound22	
1081	22	killmonster003	消灭boss	1008	ui.RikiRoleSound23	
1081	24	rikiexchange2	人物切换登场	1008	ui.RikiRoleSound25	
1082	1	main001	登陆	1108	ui.RikiRoleSound1	
1082	2	gacha	抽卡	1108	ui.RikiRoleSound2	
1082	3	main002	看板娘展示1	1108	ui.RikiRoleSound3	
1082	4	main003	看板娘展示2	1108	ui.RikiRoleSound4	
1082	5	rikienterlevel1	战斗开始1	1108	ui.RikiRoleSound5_1	
1082	6	rikienterlevel2	战斗开始2	1108	ui.RikiRoleSound5_2	
1082	7	rikiwin1	战斗胜利1	1108	ui.RikiRoleSound6_1	
1082	8	rikiwin2	战斗胜利2	1108	ui.RikiRoleSound6_2	
1082	9	lose	战斗失败	1108	ui.RikiRoleSound7	
1082	12	skill04	连携技/QTE	1108	ui.RikiRoleSound13	
1082	13	skill03	大招	1108	ui.RikiRoleSound14	
1082	14	reload	换弹	1108	ui.RikiRoleSound15	
1082	15	touch	场景交互	1108	ui.RikiRoleSound16	
1082	16	taskfinish	报告阶段目标达成	1108	ui.RikiRoleSound17	
1082	23	rikiexchange1	人物切换登场	1108	ui.RikiRoleSound24	
1082	18	wavelittle	少量敌人出现	1108	ui.RikiRoleSound19	
1082	19	wavemany	大量敌人出现	1108	ui.RikiRoleSound20	
1082	20	killmonster001	消灭普通敌人	1108	ui.RikiRoleSound21	
1082	21	killmonster002	消灭精英敌人	1108	ui.RikiRoleSound22	
1082	22	killmonster003	消灭boss	1108	ui.RikiRoleSound23	
1082	24	rikiexchange2	人物切换登场	1108	ui.RikiRoleSound25	
1083	1	main001	登陆	1208	ui.RikiRoleSound1	
1083	2	gacha	抽卡	1208	ui.RikiRoleSound2	
1083	3	main002	看板娘展示1	1208	ui.RikiRoleSound3	
1083	4	main003	看板娘展示2	1208	ui.RikiRoleSound4	
1083	5	rikienterlevel1	战斗开始1	1208	ui.RikiRoleSound5_1	
1083	6	rikienterlevel2	战斗开始2	1208	ui.RikiRoleSound5_2	
1083	7	rikiwin1	战斗胜利1	1208	ui.RikiRoleSound6_1	
1083	8	rikiwin2	战斗胜利2	1208	ui.RikiRoleSound6_2	
1083	9	lose	战斗失败	1208	ui.RikiRoleSound7	
1083	12	skill04	连携技/QTE	1208	ui.RikiRoleSound13	
1083	13	skill03	大招	1208	ui.RikiRoleSound14	
