ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件）	Logo	未突破头像200*200	未突破头像130*130	未突破立绘
11300069	天岩户-赤	11	1200103	120107703	120107702	120107701
11300070	曙光-库米	11	1200102	120108903	120108902	120108901
11300071	曙光-艾尔维娅	11	1200102	120107303	120107302	120107301
11300072	曙光-斯维特拉娜	11	1200102	120107403	120107402	120107401
11300073	水穗-早见悠	11	1200103	120108303	120108302	120108301
11300074	水穗-耳长	11	1200103	120108403	120108402	120108401
11300075	水穗-布都	11	1200103	120108503	120108502	120108501
11300076	新叶-伊玛	11	1200101	120108103	120108102	120108101
11300077	新叶-伊甸	11	1200101	120102803	120102802	120102801
11300078	新叶-葛芬	11	1200101	120108203	120108202	120108201
11300079	明夷-赭毫	11	1200107	120108603	120108602	120108601
11300080	明夷-朱鹤	11	1200107	120108703	120108702	120108701
11300081	明夷-金琅	11	1200107	120108803	120108802	120108801
11300082	秋津-夷越	11	1200103	120109003	120109002	120109001
11300083	秋津-伏雷	11	1200103	120109103	120109102	120109101
11300084	秋津-末末	11	1200103	120109203	120109202	120109201
						
11300085	阿玛纳-阿赫莫特	11	1200100	120109303	120109302	120109301
11300086	阿玛纳-卜内菲尔	11	1200100	120109403	120109402	120109401
11300087	阿玛纳-梅克塔腾	11	1200100	120109503	120109502	120109501
						
11300088	心园-伊蓓	11	1200101	120109903	120109902	120109901
11300089	心园-苏诺	11	1200101	120110003	120110002	120110001
11300090	心园-吉菲尔	11	1200101	120110103	120110102	120110101
						
11300091	伊莱-安提	11	1200105	120109603	120109602	120109601
11300092	伊莱-斯特拉	11	1200105	120109703	120109702	120109701
11300093	伊莱-伊达米娅	11	1200105	120109803	120109802	120109801
						
11300094	极光-维塔利娜	11	1200104	120110203	120110202	120110201
11300095	极光-伊芙尼卡	11	1200104	120110303	120110302	120110301
11300096	极光-格洛莉娅	11	1200104	120110403	120110402	120110401
						
11300097	祖灵-穆希娜	11	1200104	120107803	120107802	120107801
11300098	祖灵-斯卡特	11	1200104	120107903	120107902	120107901
11300099	祖灵-艾丽娅	11	1200104	120108003	120108002	120108001
						
11300100	沙叶-阿什叶	11	1200106	120110503	120110502	120110501
11300101	沙叶-娜姆	11	1200106	120110603	120110602	120110601
11300102	沙叶-帕斯特	11	1200106	120110703	120110702	120110701
						
11300103	金甲-菈普克	11	1200100	120111003	120111002	120111001
11300104	金甲-莫尔德莉	11	1200100	120110903	120110902	120110901
11300105	金甲-艾巴赫	11	1200100	120111103	120111102	120111101
						
11300106	星朗-朵薇尔	11	1200101	120111503	120111502	120111501
11300107	星朗-爱莉薇娅	11	1200101	120111603	120111602	120111601
11300108	星朗-妲柯丝	11	1200101	120111703	120111702	120111701
						
11300109	清乐-桫椤	11	1200106	120111203	120111202	120111201
11300110	清乐-白桦	11	1200106	120111303	120111302	120111301
11300111	清乐-棕榈	11	1200106	120111403	120111402	120111401
						
11300112	掠影-弗栗多	11	1200106	120111803	120111802	120111801
11300113	掠影-伐楼妮	11	1200106	120111903	120111902	120111901
11300114	掠影-因陀罗	11	1200106	120112003	120112002	120112001
11300115	钢羽-布莱莉卡	11	1200100	120102603	120102602	120102601
11300116	钢羽-蕾拉	11	1200100	120112403	120112402	120112401
11300117	钢羽-普尔法	11	1200100	120112503	120112502	120112501
11300118	射影-玛莉妮	11	1200105	120112303	120112302	120112301
11300119	射影-贝莎	11	1200105	120112203	120112202	120112201
11300120	射影-埃拉托	11	1200105	120112103	120112102	120112101
11300121	超视-狄瓦丝	11	1200104	120112803	120112802	120112801
11300122	超视-奥莎娜	11	1200104	120112703	120112702	120112701
11300123	超视-天厨一	11	1200104	120112603	120112602	120112601
						
11300124	泽虹-西格丽达	11	1200101	120112903	120112902	120112901
11300125	泽虹-莉尼	11	1200101	120113003	120113002	120113001
11300126	泽虹-缔罗尔	11	1200101	120113103	120113102	120113101
						
11300127	新桃-温然	11	1200107	120113503	120113502	120113501
11300128	新桃-铃焰	11	1200107	120113603	120113602	120113601
11300129	新桃-玉茗	11	1200107	120113703	120113702	120113701
11300130	闻风-乌贝尔	11	1200100	120113203	120113202	120113201
11300131	闻风-伊瑟瑞斯	11	1200100	120113303	120113302	120113301
11300132	闻风-谢菲尔	11	1200100	120113403	120113402	120113401
						
11300133	微光-猫柳	11	1200100	120113803	120113802	120113801
11300134	微光-秋晴	11	1200100	120113903	120113902	120113901
11300135	微光-长天	11	1200100	120114003	120114002	120114001
						
11300136	希德-瑞特兰	11	1200102	120118003	120118002	120118001
11300137	希德-乌布	11	1200102	120117003	120117002	120117001
11300138	希德-伊斯莫	11	1200102	120116003	120116002	120116001
11300139	花楸-白三叶	11	1200102	120115003	120115002	120115001
11300140	花楸-卡尔哈雅	11	1200102	120120003	120120002	120120001
11300141	花楸-柯尔希	11	1200102	120119003	120119002	120119001
						
11300142	星夜-南希	11	1200100	120150003	120150002	120150001
11300143	星夜-梅尔塞蒂	11	1200100	120130003	120130002	120130001
11300144	星夜-彗音	11	1200100	120140003	120140002	120140001
						
11300145	映现-梅莉桑德	11	1200105	120114103	120114102	120114101
11300146	映现-尤拉莉雅	11	1200105	120114203	120114202	120114201
11300147	映现-奥德涅	11	1200105	120114303	120114302	120114301
11300148	秘源-席拉	11	1200105	120114403	120114402	120114401
11300149	秘源-艾欧妮	11	1200105	120114503	120114502	120114501
11300150	秘源-卡诺莎	11	1200105	120114603	120114602	120114601
						
11300151	祈歌-奥萝拉	11	1200105	120114703	120114702	120114701
11300152	祈歌-雪青	11	1200105	120114803	120114802	120114801
11300153	祈歌-莱妮娅	11	1200105	120114903	120114902	120114901
						
11300154	新芽-梅莉桑德	11	1200105	120115103	120115102	120115101
11300155	新芽-尤拉莉雅	11	1200105	120115203	120115202	120115201
11300156	新芽-奥德涅	11	1200105	120115303	120115302	120115301
11300157	天秤-席拉	11	1200100	120115403	120115402	120115401
11300158	天秤-艾欧妮	11	1200100	120115503	120115502	120115501
11300159	天秤-卡诺莎	11	1200100	120115603	120115602	120115601
						
11300160	飞云-拉玛娜	11	1200106	120116103	120116102	120116101
11300161	飞云-希妮	11	1200106	120116203	120116202	120116201
11300162	飞云-库里姆	11	1200106	120116303	120116302	120116301
11300163	碧空-薇奈	11	1200103	120115703	120115702	120115701
11300164	碧空-西泽	11	1200103	120115803	120115802	120115801
11300165	碧空-美榴	11	1200103	120115903	120115902	120115901
						
11300166	重叶-梅贝尔	11	1200102	120116403	120116402	120116401
11300167	重叶-伊莉斯	11	1200102	120116903	120116902	120116901
11300168	重叶-歌莉娅	11	1200102	120116503	120116502	120116501
11300169	图征-库兰娅丝	11	1200100	120116603	120116602	120116601
11300170	图征-斯瓦莉	11	1200100	120116703	120116702	120116701
11300171	图征-索莉妮	11	1200100	120116803	120116802	120116801
						
11300172	圣树-露米	11	1200102	120117203	120117202	120117201
11300173	圣树-玛格丽特	11	1200102	120117303	120117302	120117301
11300174	圣树-阿尔维娜	11	1200102	120117103	120117102	120117101
11300175	松露-蕈影	11	1200102	120117403	120117402	120117401
11300176	松露-榆	11	1200102	120117503	120117502	120117501
11300177	松露-虹彩	11	1200102	120117603	120117602	120117601
						
11300178	向月-凝釉	11	1200107	120117703	120117702	120117701		
11300179	向月-烛照	11	1200107	120117803	120117802	120117801		
11300180	向月-清荷	11	1200107	120117903	120117902	120117901		
11300181	奇点-欧律拉克	11	1200105	120118103	120118102	120118101		
11300182	奇点-贝勒姬	11	1200105	120118203	120118202	120118201		
11300183	奇点-纳尔贝拉	11	1200105	120118303	120118302	120118301		
						
11300184	时序-希卡莉	11	1200105	120118503	120118502	120118501
11300185	时序-卡珊德拉	11	1200105	120118603	120118602	120118601
11300186	时序-洁菈特	11	1200105	120118403	120118402	120118401
11300187	白幕-奥若拉	11	1200104	120118703	120118702	120118701
11300188	白幕-图洛斯	11	1200104	120118803	120118802	120118801
11300189	白幕-茜尔	11	1200104	120118903	120118902	120118901
						
11500011	达摩-红线	11	1200103	120106906	120106905	120106904
11500012	达摩-佐香	11	1200103	120107006	120107005	120107004
11500013	达摩-浮沐	11	1200103	120107106	120107105	120107104
11500021	底比斯-暮影	11	1200100	120105406	120105405	120105404
11500022	底比斯-孔苏	11	1200100	120105506	120105505	120105504
11500023	底比斯-穆特	11	1200100	120105606	120105605	120105604
11500031	芬尼亚-夏洛特	11	1200102	120106106	120106105	120106104
11500032	芬尼亚-红心	11	1200102	120106006	120106005	120106004
11500033	芬尼亚-罗茜	11	1200102	120106206	120106205	120106204
11500041	摩伊拉-拉克西丝	11	1200105	120105706	120105705	120105704
11500042	摩伊拉-贝拉	11	1200105	120105806	120105805	120105804
11500043	摩伊拉-克萝伊	11	1200105	120105906	120105905	120105904
11500051	梵星-瓦卡斯帕	11	1200106	120106406	120106405	120106404
11500052	梵星-苏卡拉	11	1200106	120106506	120106505	120106504
11500053	梵星-玛瑞尔	11	1200106	120106306	120106305	120106304
11500061	凯夫曼-雅尔哈康	11	1200101	120105206	120105205	120105204
11500062	凯夫曼-斯卡德肯	11	1200101	120105106	120105105	120105104
11500063	凯夫曼-哈尔芙	11	1200101	120105306	120105305	120105304
11500064	领航者-芳泽	11	1200104	120106606	120106605	120106604
11500065	领航者-雅里洛	11	1200104	120106706	120106705	120106704
11500066	领航者-玛拉	11	1200104	120106806	120106805	120106804
11500067	天岩户-岳间泽	11	1200103	120107506	120107505	120107504
11500068	天岩户-鹤一	11	1200103	120107606	120107605	120107604
11500069	天岩户-赤	11	1200103	120107706	120107705	120107704
11500070	曙光-库米	11	1200102	120108906	120108905	120108904
11500071	曙光-艾尔维娅	11	1200102	120107306	120107305	120107304
11500072	曙光-斯维特拉娜	11	1200102	120107406	120107405	120107404
11500073	水穗-早见悠	11	1200103	120108306	120108305	120108304
11500074	水穗-耳长	11	1200103	120108406	120108405	120108404
11500075	水穗-布都	11	1200103	120108506	120108505	120108504
11500076	新叶-伊玛	11	1200101	120108106	120108105	120108104
11500077	新叶-伊甸	11	1200101	120102806	120102805	120102804
11500078	新叶-葛芬	11	1200101	120108206	120108205	120108204
11500079	明夷-赭毫	11	1200107	120108606	120108605	120108604
11500080	明夷-朱鹤	11	1200107	120108706	120108705	120108704
11500081	明夷-金琅	11	1200107	120108806	120108805	120108804
11500082	秋津-夷越	11	1200103	120109006	120109005	120109004
11500083	秋津-伏雷	11	1200103	120109106	120109105	120109104
11500084	秋津-末末	11	1200103	120109206	120109205	120109204
						
11500085	阿玛纳-阿赫莫特	11	1200100	120109306	120109305	120109304
11500086	阿玛纳-卜内菲尔	11	1200100	120109406	120109405	120109404
11500087	阿玛纳-梅克塔腾	11	1200100	120109506	120109505	120109504
						
11500088	心园-伊蓓	11	1200101	120109906	120109905	120109904
11500089	心园-苏诺	11	1200101	120110006	120110005	120110004
11500090	心园-吉菲尔	11	1200101	120110106	120110105	120110104
						
11500091	伊莱-安提	11	1200105	120109606	120109605	120109604
11500092	伊莱-斯特拉	11	1200105	120109706	120109705	120109704
11500093	伊莱-伊达米娅	11	1200105	120109806	120109805	120109804
						
11500094	极光-维塔利娜	11	1200104	120110206	120110205	120110204
11500095	极光-伊芙尼卡	11	1200104	120110306	120110305	120110304
11500096	极光-格洛莉娅	11	1200104	120110406	120110405	120110404
						
11500097	祖灵-穆希娜	11	1200104	120107806	120107805	120107804
11500098	祖灵-斯卡特	11	1200104	120107906	120107905	120107904
11500099	祖灵-艾丽娅	11	1200104	120108006	120108005	120108004
						
11500100	沙叶-阿什叶	11	1200106	120110506	120110505	120110504
11500101	沙叶-娜姆	11	1200106	120110606	120110605	120110604
11500102	沙叶-帕斯特	11	1200106	120110706	120110705	120110704
						
11500103	金甲-菈普克	11	1200100	120111006	120111005	120111004
11500104	金甲-莫尔德莉	11	1200100	120110906	120110905	120110904
11500105	金甲-艾巴赫	11	1200100	120111106	120111105	120111104
						
11500106	星朗-朵薇尔	11	1200101	120111506	120111505	120111504
11500107	星朗-爱莉薇娅	11	1200101	120111606	120111605	120111604
11500108	星朗-妲柯丝	11	1200101	120111706	120111705	120111704
						
11500109	清乐-桫椤	11	1200106	120111206	120111205	120111204
11500110	清乐-白桦	11	1200106	120111306	120111305	120111304
11500111	清乐-棕榈	11	1200106	120111406	120111405	120111404
						
11500112	掠影-弗栗多	11	1200106	120111806	120111805	120111804
11500113	掠影-伐楼妮	11	1200106	120111906	120111905	120111904
11500114	掠影-因陀罗	11	1200106	120112006	120112005	120112004
11500115	钢羽-布莱莉卡	11	1200100	120102606	120102605	120102604
11500116	钢羽-蕾拉	11	1200100	120112406	120112405	120112404
11500117	钢羽-普尔法	11	1200100	120112506	120112505	120112504
11500118	射影-玛莉妮	11	1200105	120112306	120112305	120112304
11500119	射影-贝莎	11	1200105	120112206	120112205	120112204
11500120	射影-埃拉托	11	1200105	120112106	120112105	120112104
11500121	超视-狄瓦丝	11	1200104	120112806	120112805	120112804
11500122	超视-奥莎娜	11	1200104	120112706	120112705	120112704
11500123	超视-天厨一	11	1200104	120112606	120112605	120112604
						
11500124	泽虹-西格丽达	11	1200101	120112906	120112905	120112904
11500125	泽虹-莉尼	11	1200101	120113006	120113005	120113004
11500126	泽虹-缔罗尔	11	1200101	120113106	120113105	120113104
						
11500127	新桃-温然	11	1200107	120113506	120113505	120113504
11500128	新桃-铃焰	11	1200107	120113606	120113605	120113604
11500129	新桃-玉茗	11	1200107	120113706	120113705	120113704
11500130	闻风-乌贝尔	11	1200100	120113206	120113205	120113204
11500131	闻风-伊瑟瑞斯	11	1200100	120113306	120113305	120113304
11500132	闻风-谢菲尔	11	1200100	120113406	120113405	120113404
						
11500133	微光-猫柳	11	1200100	120113806	120113805	120113804
11500134	微光-秋晴	11	1200100	120113906	120113905	120113904
11500135	微光-长天	11	1200100	120114006	120114005	120114004
						
11500136	希德-瑞特兰	11	1200102	120118006	120118005	120118004
11500137	希德-乌布	11	1200102	120117006	120117005	120117004
11500138	希德-伊斯莫	11	1200102	120116006	120116005	120116004
11500139	花楸-白三叶	11	1200102	120115006	120115005	120115004
11500140	花楸-卡尔哈雅	11	1200102	120120006	120120005	120120004
11500141	花楸-柯尔希	11	1200102	120119006	120119005	120119004
						
11500142	星夜-南希	11	1200100	120150006	120150005	120150004
11500143	星夜-梅尔塞蒂	11	1200100	120130006	120130005	120130004
11500144	星夜-彗音	11	1200100	120140006	120140005	120140004
						
						
11500145	映现-梅莉桑德	11	1200105	120114106	120114105	120114104
11500146	映现-尤拉莉雅	11	1200105	120114206	120114205	120114204
11500147	映现-奥德涅	11	1200105	120114306	120114305	120114304
11500148	秘源-席拉	11	1200105	120114406	120114405	120114404
11500149	秘源-艾欧妮	11	1200105	120114506	120114505	120114504
11500150	秘源-卡诺莎	11	1200105	120114606	120114605	120114604
						
11500151	祈歌-奥萝拉	11	1200105	120114706	120114705	120114704
11500152	祈歌-雪青	11	1200105	120114806	120114805	120114804
11500153	祈歌-莱妮娅	11	1200105	120114906	120114905	120114904
						
11500154	新芽-梅莉桑德	11	1200105	120115106	120115105	120115104
11500155	新芽-尤拉莉雅	11	1200105	120115206	120115205	120115204
11500156	新芽-奥德涅	11	1200105	120115306	120115305	120115304
11500157	天秤-席拉	11	1200100	120115406	120115405	120115404
11500158	天秤-艾欧妮	11	1200100	120115506	120115505	120115504
11500159	天秤-卡诺莎	11	1200100	120115606	120115605	120115604
						
						
11500160	飞云-拉玛娜	11	1200106	120116106	120116105	120116104
11500161	飞云-希妮	11	1200106	120116206	120116205	120116204
11500162	飞云-库里姆	11	1200106	120116306	120116305	120116304
11500163	碧空-薇奈	11	1200103	120115706	120115705	120115704
11500164	碧空-西泽	11	1200103	120115806	120115805	120115804
11500165	碧空-美榴	11	1200103	120115906	120115905	120115904
						
11500166	重叶-梅贝尔	11	1200102	120116406	120116405	120116404
11500167	重叶-伊莉斯	11	1200102	120116906	120116905	120116904
11500168	重叶-歌莉娅	11	1200102	120116506	120116505	120116504
11500169	图征-库兰娅丝	11	1200100	120116606	120116605	120116604
11500170	图征-斯瓦莉	11	1200100	120116706	120116705	120116704
11500171	图征-索莉妮	11	1200100	120116806	120116805	120116804
						
11500172	圣树-露米	11	1200102	120117206	120117205	120117204
11500173	圣树-玛格丽特	11	1200102	120117306	120117305	120117304
11500174	圣树-阿尔维娜	11	1200102	120117106	120117105	120117104
11500175	松露-蕈影	11	1200102	120117406	120117405	120117404
11500176	松露-榆	11	1200102	120117506	120117505	120117504
11500177	松露-虹彩	11	1200102	120117606	120117605	120117604
								
11500178	向月-凝釉	11	1200107	120117706	120117705	120117704		
11500179	向月-烛照	11	1200107	120117806	120117805	120117804		
11500180	向月-清荷	11	1200107	120117906	120117905	120117904		
11500181	奇点-欧律拉克	11	1200105	120118106	120118105	120118104		
11500182	奇点-贝勒姬	11	1200105	120118206	120118205	120118204		
11500183	奇点-纳尔贝拉	11	1200105	120118306	120118305	120118304		
						
11500184	时序-希卡莉	11	1200105	120118506	120118505	120118504
11500185	时序-卡珊德拉	11	1200105	120118606	120118605	120118604
11500186	时序-洁菈特	11	1200105	120118406	120118405	120118404
11500187	白幕-奥若拉	11	1200104	120118706	120118705	120118704
11500188	白幕-图洛斯	11	1200104	120118806	120118805	120118804
11500189	白幕-茜尔	11	1200104	120118906	120118905	120118904
