	注释	血量	攻击	防御	耐力上限		暴击率（突破）	暴击加成（突破）	技能强度增幅	能量获取效率（突破）	指挥值(%)（突破）	血量百分比（突破）	技巧百分比	防御百分比（突破）			破盾加成（突破）
10020	梵灵-里西亚		{{1,6},{2,11},{3,16},{4,21},{5,27},{6,32},{7,38},{8,43},{9,49},{10,54},{11,60},{12,66},{13,72},{14,77},{15,84},{16,84}}	{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}								{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}					
10021	梵灵-瓦茜	{{1,92},{2,173},{3,254},{4,336},{5,419},{6,502},{7,587},{8,672},{9,759},{10,846},{11,934},{12,1023},{13,1113},{14,1203},{15,1295},{16,1387}}		{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}									{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}				
10022	梵灵-维斯瓦米	{{1,92},{2,173},{3,254},{4,336},{5,419},{6,502},{7,587},{8,672},{9,759},{10,846},{11,934},{12,1023},{13,1113},{14,1203},{15,1295},{16,1387}}	{{1,6},{2,11},{3,16},{4,21},{5,27},{6,32},{7,38},{8,43},{9,49},{10,54},{11,60},{12,66},{13,72},{14,77},{15,84},{16,84}}											{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}			
10023	“守梦人”-玛蒂娜		{{1,6},{2,11},{3,17},{4,23},{5,28},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,89},{16,89}}	{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}								{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}					
10024	“守梦人”-塞奎特	{{1,95},{2,178},{3,261},{4,345},{5,431},{6,517},{7,604},{8,691},{9,780},{10,870},{11,960},{12,1052},{13,1144},{14,1237},{15,1331},{16,1426}}		{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}									{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}				
10025	“守梦人”-海法	{{1,95},{2,178},{3,261},{4,345},{5,431},{6,517},{7,604},{8,691},{9,780},{10,870},{11,960},{12,1052},{13,1144},{14,1237},{15,1331},{16,1426}}	{{1,6},{2,11},{3,17},{4,23},{5,28},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,89},{16,89}}											{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}			
10026	“信使”-格娜		{{1,6},{2,12},{3,17},{4,23},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,65},{12,71},{13,77},{14,84},{15,91},{16,91}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,39},{14,42},{15,45},{16,48}}								{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}					
10027	“信使”-阿花	{{1,95},{2,178},{3,261},{4,346},{5,431},{6,517},{7,605},{8,693},{9,781},{10,871},{11,962},{12,1053},{13,1146},{14,1239},{15,1333},{16,1428}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,39},{14,42},{15,45},{16,48}}									{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}				
10028	“信使”-瓦力	{{1,95},{2,178},{3,261},{4,346},{5,431},{6,517},{7,605},{8,693},{9,781},{10,871},{11,962},{12,1053},{13,1146},{14,1239},{15,1333},{16,1428}}	{{1,6},{2,12},{3,17},{4,23},{5,29},{6,35},{7,41},{8,47},{9,53},{10,59},{11,65},{12,71},{13,77},{14,84},{15,91},{16,91}}											{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}			
																	
10029	梵音-洛迦		{{1,6},{2,11},{3,16},{4,22},{5,27},{6,33},{7,38},{8,44},{9,49},{10,55},{11,60},{12,66},{13,72},{14,78},{15,84},{16,90}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10030	梵音-寻香	{{1,98},{2,182},{3,268},{4,354},{5,442},{6,530},{7,619},{8,709},{9,800},{10,892},{11,985},{12,1079},{13,1174},{14,1269},{15,1366},{16,1463}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10031	梵音-莎罗	{{1,98},{2,182},{3,268},{4,354},{5,442},{6,530},{7,619},{8,709},{9,800},{10,892},{11,985},{12,1079},{13,1174},{14,1269},{15,1366},{16,1463}}	{{1,6},{2,11},{3,16},{4,22},{5,27},{6,33},{7,38},{8,44},{9,49},{10,55},{11,60},{12,66},{13,72},{14,78},{15,84},{16,90}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10032	“锻造者”-蕾西亚		{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10033	“锻造者”-缇坦尼娅	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10034	“锻造者”-白猎	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}	{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10035	阿尔戈-鸽子		{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10036	阿尔戈-乐手	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10037	阿尔戈-箭头	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}	{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10038	鬼怪-炉子		{{1,6},{2,12},{3,17},{4,23},{5,28},{6,34},{7,40},{8,45},{9,51},{10,57},{11,63},{12,69},{13,75},{14,81},{15,87},{16,94}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10039	鬼怪-菲林斯	{{1,99},{2,185},{3,272},{4,360},{5,448},{6,538},{7,628},{8,720},{9,812},{10,906},{11,1000},{12,1095},{13,1191},{14,1288},{15,1386},{16,1485}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10040	鬼怪-“不死”伊万	{{1,99},{2,185},{3,272},{4,360},{5,448},{6,538},{7,628},{8,720},{9,812},{10,906},{11,1000},{12,1095},{13,1191},{14,1288},{15,1386},{16,1485}}	{{1,6},{2,12},{3,17},{4,23},{5,28},{6,34},{7,40},{8,45},{9,51},{10,57},{11,63},{12,69},{13,75},{14,81},{15,87},{16,94}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10041	“诗人”-奥伊辛		{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10042	“诗人”-卡尔特	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10043	“诗人”-科洛	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}	{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10044	绿灵-斯塔格		{{1,6},{2,12},{3,17},{4,23},{5,29},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,88},{16,95}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10045	绿灵-艾娃	{{1,99},{2,186},{3,273},{4,361},{5,450},{6,540},{7,631},{8,723},{9,816},{10,909},{11,1004},{12,1099},{13,1196},{14,1293},{15,1392},{16,1491}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,31},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10046	绿灵-格蕾丝	{{1,99},{2,186},{3,273},{4,361},{5,450},{6,540},{7,631},{8,723},{9,816},{10,909},{11,1004},{12,1099},{13,1196},{14,1293},{15,1392},{16,1491}}	{{1,6},{2,12},{3,17},{4,23},{5,29},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,88},{16,95}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10047	“鸦眼”-安		{{1,6},{2,12},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,51},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10048	“鸦眼”-穆林	{{1,105},{2,197},{3,289},{4,383},{5,477},{6,573},{7,669},{8,767},{9,865},{10,964},{11,1065},{12,1166},{13,1269},{14,1372},{15,1476},{16,1581}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10049	“鸦眼”-海基	{{1,105},{2,197},{3,289},{4,383},{5,477},{6,573},{7,669},{8,767},{9,865},{10,964},{11,1065},{12,1166},{13,1269},{14,1372},{15,1476},{16,1581}}	{{1,6},{2,12},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,51},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10050	布里吉-菲儿		{{1,6},{2,12},{3,17},{4,23},{5,29},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,83},{15,89},{16,95}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10051	布里吉-金吉拉	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,919},{11,1015},{12,1112},{13,1209},{14,1308},{15,1407},{16,1507}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10052	布里吉-瓦莱莉	{{1,100},{2,188},{3,276},{4,365},{5,455},{6,546},{7,638},{8,731},{9,825},{10,919},{11,1015},{12,1112},{13,1209},{14,1308},{15,1407},{16,1507}}	{{1,6},{2,12},{3,17},{4,23},{5,29},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,83},{15,89},{16,95}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10053	精灵-露莎卡		{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10054	精灵-斯涅妮卡	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10055	精灵-邦妮	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}	{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
10056	达努-班西		{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}								{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}					
10057	达努-凯赫特	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,33},{12,37},{13,40},{14,43},{15,46},{16,50}}									{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}				
10058	达努-努阿达	{{1,99},{2,185},{3,271},{4,359},{5,448},{6,537},{7,628},{8,719},{9,811},{10,904},{11,998},{12,1093},{13,1189},{14,1286},{15,1384},{16,1483}}	{{1,6},{2,11},{3,17},{4,22},{5,28},{6,33},{7,39},{8,45},{9,50},{10,56},{11,62},{12,68},{13,74},{14,80},{15,86},{16,92}}											{{1,3.9},{2,3.9},{3,3.9},{4,7.8},{5,7.8},{6,7.8},{7,11.8},{8,11.8},{9,11.8},{10,15.7},{11,15.7},{12,15.7},{13,19.6}}			
																	
10059	达摩-红线		{{1,7},{2,12},{3,18},{4,24},{5,30},{6,36},{7,42},{8,48},{9,54},{10,60},{11,66},{12,72},{13,79},{14,85},{15,92},{16,98}}	{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}								{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}					
10060	达摩-佐香	{{1,100},{2,186},{3,274},{4,362},{5,451},{6,542},{7,633},{8,725},{9,818},{10,912},{11,1007},{12,1102},{13,1199},{14,1297},{15,1395},{16,1495}}		{{1,3},{2,6},{3,9},{4,12},{5,15},{6,18},{7,21},{8,24},{9,27},{10,30},{11,34},{12,37},{13,40},{14,43},{15,47},{16,50}}									{{1,4},{2,4},{3,4},{4,8},{5,8},{6,8},{7,12},{8,12},{9,12},{10,16},{11,16},{12,16},{13,20},{14,20},{15,20},{16,20}}				
