ID	注释	试用角色ID	试用角色等级	试用角色突破次数	试用角色职级	试用角色脊椎等级	试用武器	试用后勤	皮肤ID	武器皮肤ID
100020	瑟瑞斯	{1,13,1,1}	80	45	3	{9,9,9,9,9,9}	200004	{300121,300122,300123}	{7,13,1,1}	
100021	云篆	{1,14,2,1}	80	45	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,1}	
100022	个人本-藏锋	{1,6,2,1}	80	45	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,1}	
100023	个人本-溯影	{1,12,2,1}	80	45	3	{9,9,9,9,9,9}	200076	{300181,300182,300183}	{7,12,2,1}	
100024	苔丝	{1,17,1,1}	80	45	3	{9,9,9,9,9,9}	200077	{300184,300185,300186}	{7,17,1,1}	
100025	凯西娅	{1,15,1,1}	80	45	3	{9,9,9,9,9,9}	200087	{300214,300215,300216}	{7,15,1,1}	
100026	伊切尔	{1,16,1,1}	80	45	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,1}	
100027	悖谬	{1,7,2,1}	80	45	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,1}	
100028	羽蜕	{1,11,2,1}	80	45	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,1}	
100029	瞬刻	{1,13,2,1}	80	45	3	{9,9,9,9,9,9}	200142	{300334,300335,300336}	{7,13,2,1}	
100030	无限之视	{1,2,3,1}	80	45	3	{9,9,9,9,9,9}	200149	{300355,300356,300357}	{7,2,3,1}	
100031	辉耀	{1,8,3,1}	80	45	3	{9,9,9,9,9,9}	200150	{300358,300359,300360}	{7,8,3,1}	
100032	薇蒂雅	{1,18,1,1}	80	45	3	{9,9,9,9,9,9}	200151	{300361,300362,300363}	{7,18,1,1}	
100033	朝翼	{1,15,2,1}	80	45	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,1}	
100034	幽潮	{1,5,3,1}	80	45	3	{9,9,9,9,9,9}	200153	{300364,300365,300366}	{7,5,3,1}	
100035	驰掣	{1,4,3,1}	80	45	3	{9,9,9,9,9,9}	200154	{300370,300371,300372}	{7,4,3,1}	
100036	卜卜	{1,20,1,1}	80	45	3	{9,9,9,9,9,9}	200155	{300373,300374,300375}	{7,20,1,1}	
100037	琼弦	{1,14,3,1}	80	45	3	{9,9,9,9,9,9}	200156	{300376,300377,300378}	{7,14,3,1}	
100038	夜天光	{1,10,3,1}	80	45	3	{9,9,9,9,9,9}	200157	{300379,300380,300381}	{7,10,3,1}	
100039	澜风	{1,11,3,1}	80	45	3	{9,9,9,9,9,9}	200164	{300382,300383,300384}	{7,11,3,1}	
100040	奈莉德	{1,21,1,1}	80	45	3	{9,9,9,9,9,9}	200170	{300385,300386,300387}	{7,21,1,1}	
100041	天鹅座	{1,18,2,1}	80	45	3	{9,9,9,9,9,9}	200173	{300391,300392,300393}	{7,18,2,1}	
100042	狂诗	{1,15,3,1}	80	45	3	{9,9,9,9,9,9}	200181	{300394,300395,300396}	{7,15,3,1}	
100043	绮幻	{1,17,2,1}	80	45	3	{9,9,9,9,9,9}	200182	{300397,300398,300399}	{7,17,2,1}	
100044	克罗瑞娜	{1,22,1,1}	80	45	3	{9,9,9,9,9,9}	200183	{300400,300401,300402}	{7,22,1,1}	
100045	澄意	{1,8,4,1}	80	45	3	{9,9,9,9,9,9}	200184	{300403,300404,300405}	{7,8,4,1}	
100046	悠游	{1,13,3,1}	80	45	3	{9,9,9,9,9,9}	200185	{300406,300407,300408}	{7,13,3,1}	
100047	米娅	{1,23,1,1}	80	45	3	{9,9,9,9,9,9}	200227	{300481,300482,300483}	{7,23,1,1}	
100048	灵鉴	{1,20,2,1}	80	45	3	{9,9,9,9,9,9}	200233	{300493,300494,300495}	{7,20,2,1}	
100049	时之重奏	{1,1,3,1}	80	45	3	{9,9,9,9,9,9}	200235	{300499,300500,300501}	{7,1,3,1}	
100050	霄鹰	{1,5,4,1}	80	45	3	{9,9,9,9,9,9}	200236	{300502,300503,300504}	{7,5,4,1}	
100051	胧嫣	{1,24,1,1}	80	45	3	{9,9,9,9,9,9}	200244	{300505,300506,300507}	{7,24,1,1}	
100052	永恒	{1,2,4,1}	80	45	3	{9,9,9,9,9,9}	200250	{300511,300512,300513}	{7,2,4,1}	
101002	1-2的芬妮	{1,8,1,1}	1	0	0	{0,0,0,0,0,0}	200050		{7,8,1,1}	
101004	1-6的芙提雅	{1,4,1,1}	7	3	0	{9,0,0,0,9,9}	200015		{7,4,1,1}	
101005	1-7的茉莉安	{1,5,1,1}	8	3	0	{0,0,9,0,0,0}	200052		{7,5,1,1}	
101006	3-6的妮塔	{1,3,1,1}	20	45	1	{0,9,0,0,0,0}	200020		{7,3,1,1}	
101007	H-1-7的茉莉安	{1,5,1,1}	21	9	1	{0,0,9,0,0,0}	200051		{7,5,1,1}	
101008	5-7的恩雅	{1,11,1,1}	30	27	1	{9,0,0,0,9,0}	200062	{300145,300146,300147}	{7,11,1,1}	
101009	DLC1-姬辰星	{1,14,1,1}	55	27	2	{9,9,0,0,9,9}	200063	{300085,300086,300087}	{7,14,1,1}	
101010	DLC1-妮塔	{1,3,1,1}	55	27	2	{9,9,0,0,9,9}	200064	{300088,300089,300090}	{7,3,1,1}	
101011	DLC1-肴	{1,10,1,1}	55	27	2	{0,0,9,9,9,9}	200065	{300091,300092,300093}	{7,10,1,1}	
101013	10-7的姬辰星	{1,14,1,1}	80	27	3	{9,9,9,9,9,9}	200013	{300049,300050,300051}	{7,14,1,1}	
101014	DLC1-姬辰星-云篆	{1,14,2,1}	55	27	2	{9,9,0,0,9,9}	200038	{300085,300086,300087}	{7,14,2,1}	
101015	6-1的安卡希雅	{1,1,1,1}	33	27	1	{9,9,0,0,0,0}	200049	{300100,300101,300102}	{7,1,1,1}	
101016	主线试玩-藏锋	{1,6,2,1}	80	27	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,1}	
101017	主线试玩-辉夜	{1,1,2,1}	80	27	3	{9,9,9,9,9,9}	200033	{300124,300125,300126}	{7,1,2,1}	
101018	主线试玩-缄默	{1,4,2,1}	80	27	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,1}	
101019	茉莉安	{1,5,1,1}	30	27	1	{9,9,0,0,0,0}	200088	{300217,300218,300219}	{7,5,1,1}	
101020	琴诺	{1,7,1,1}	30	27	1	{0,0,0,0,9,9}	200089	{300220,300221,300222}	{7,7,1,1}	
101021	雨燕	{1,5,2,1}	30	27	1	{9,9,0,0,0,0}	200090	{300223,300224,300225}	{7,5,2,1}	
101022	安卡希雅	{1,1,1,1}	35	27	1	{9,9,0,0,0,0}	200091	{300226,300227,300228}	{7,1,1,1}	
101023	安卡希雅	{1,1,1,1}	40	27	1	{9,9,0,0,0,0}	200092	{300226,300227,300228}	{7,1,1,1}	
101024	肴	{1,10,1,1}	40	27	1	{0,0,9,9,0,0}	200093	{300229,300230,300231}	{7,10,1,1}	
101025	冬至	{1,10,2,1}	45	27	1	{0,9,0,0,9,9}	200094	{300232,300233,300234}	{7,10,2,1}	
101026	安卡希雅	{1,1,1,1}	45	27	1	{9,9,0,0,9,0}	200095	{300226,300227,300228}	{7,1,1,1}	
101027	狂猎	{1,2,2,1}	45	27	1	{9,9,0,0,9,0}	200096	{300226,300227,300228}	{7,2,2,1}	
101028	妮塔	{1,3,1,1}	45	27	1	{9,9,0,9,0,0}	200097	{300238,300239,300240}	{7,3,1,1}	
101029	咎冠	{1,8,2,1}	45	27	1	{9,9,0,0,9,0}	200098	{300232,300233,300234}	{7,8,2,1}	
101030	芙提雅	{1,4,1,1}	45	27	1	{0,0,9,9,9,0}	200099	{300241,300242,300243}	{7,4,1,1}	
101031	恩雅	{1,11,1,1}	50	27	2	{9,9,0,0,9,9}	200100	{300244,300245,300246}	{7,11,1,1}	
101032	安卡希雅	{1,1,1,1}	50	27	2	{9,9,0,0,9,9}	200101	{300244,300245,300246}	{7,1,1,1}	
101033	晴	{1,6,1,1}	50	27	2	{0,0,9,9,9,9}	200102	{300247,300248,300249}	{7,6,1,1}	
101034	芙提雅	{1,4,1,1}	50	27	2	{9,9,0,0,9,9}	200103	{300244,300245,300246}	{7,4,1,1}	
101035	咎冠	{1,8,2,1}	55	27	2	{9,9,0,0,9,9}	200104	{300250,300251,300252}	{7,8,2,1}	
101036	狂猎	{1,2,2,1}	55	27	2	{9,9,0,0,9,9}	200105	{300244,300245,300246}	{7,2,2,1}	
101037	猫汐尔	{1,12,1,1}	55	27	2	{0,0,9,9,9,9}	200106	{300253,300254,300255}	{7,12,1,1}	
101038	冬至	{1,10,2,1}	60	27	2	{9,9,9,0,9,9}	200107	{300250,300251,300252}	{7,10,2,1}	
101039	晴	{1,6,1,1}	60	27	2	{9,0,9,9,9,9}	200108	{300247,300248,300249}	{7,6,1,1}	
101040	雨燕	{1,5,2,1}	60	27	2	{9,9,9,0,9,9}	200109	{300259,300260,300261}	{7,5,2,1}	
101041	猫汐尔	{1,12,1,1}	60	27	2	{0,9,9,9,9,9}	200110	{300253,300254,300255}	{7,12,1,1}	
101042	缄默	{1,4,2,1}	63	27	2	{9,0,9,9,9,9}	200111	{300253,300254,300255}	{7,4,2,1}	
101043	安卡希雅	{1,1,1,1}	63	27	2	{9,9,9,0,9,9}	200112	{300244,300245,300246}	{7,1,1,1}	
101044	冬至	{1,10,2,1}	65	27	2	{9,9,9,0,9,9}	200113	{300265,300266,300267}	{7,10,2,1}	
101045	晴	{1,6,1,1}	65	27	2	{9,0,9,9,9,9}	200114	{300268,300269,300270}	{7,6,1,1}	
101046	狂猎	{1,2,2,1}	65	27	2	{9,9,9,0,9,9}	200115	{300271,300272,300273}	{7,2,2,1}	
101047	咎冠	{1,8,2,1}	65	27	2	{9,9,9,0,9,9}	200116	{300265,300266,300267}	{7,8,2,1}	
101048	辉夜	{1,1,2,1}	65	27	2	{9,0,9,9,9,9}	200117	{300268,300269,300270}	{7,1,2,1}	
101049	妮塔	{1,3,1,1}	70	27	3	{9,9,9,9,9,9}	200118	{300274,300275,300276}	{7,3,1,1}	
101050	雨燕	{1,5,2,1}	70	27	3	{9,9,9,9,9,9}	200119	{300277,300278,300279}	{7,5,2,1}	
101051	咎冠	{1,8,2,1}	70	27	3	{9,9,9,9,9,9}	200120	{300265,300266,300267}	{7,8,2,1}	
101052	缄默	{1,4,2,1}	70	27	3	{9,9,9,9,9,9}	200121	{300280,300281,300282}	{7,4,2,1}	
101053	晴	{1,6,1,1}	70	27	3	{9,9,9,9,9,9}	200122	{300268,300269,300270}	{7,6,1,1}	
101054	冬至	{1,10,2,1}	75	27	3	{9,9,9,9,9,9}	200123	{300283,300284,300285}	{7,10,2,1}	
101055	辰星	{1,14,1,1}	75	27	3	{9,9,9,9,9,9}	200124	{300286,300287,300288}	{7,14,1,1}	
101056	芬妮	{1,8,1,1}	75	27	3	{9,9,9,9,9,9}	200125	{300289,300290,300291}	{7,8,1,1}	
101057	狂猎	{1,2,2,1}	75	27	3	{9,9,9,9,9,9}	200126	{300292,300293,300294}	{7,2,2,1}	
101058	辉夜	{1,1,2,1}	75	27	3	{9,9,9,9,9,9}	200127	{300301,300302,300303}	{7,1,2,1}	
101059	咎冠	{1,8,2,1}	75	27	3	{9,9,9,9,9,9}	200128	{300298,300299,300300}	{7,8,2,1}	
101060	狂猎	{1,2,2,1}	80	27	3	{9,9,9,9,9,9}	200129	{300292,300293,300294}	{7,2,2,1}	
101061	辰星	{1,14,1,1}	80	27	3	{9,9,9,9,9,9}	200130	{300286,300287,300288}	{7,14,1,1}	
101062	辉夜	{1,1,2,1}	80	27	3	{9,9,9,9,9,9}	200131	{300301,300302,300303}	{7,1,2,1}	
101063	主线满级伊切尔	{1,16,1,1}	80	27	3	{9,9,9,9,9,9}	200132	{300304,300305,300306}	{7,16,1,1}	
101064	主线满级咎冠	{1,8,2,1}	80	27	3	{9,9,9,9,9,9}	200010	{300298,300299,300300}	{7,8,2,1}	
101065	主线满级琴诺	{1,7,1,1}	80	27	3	{9,9,9,9,9,9}	200027	{300049,300050,300051}	{7,7,1,1}	
101066	主线满级恩雅	{1,11,1,1}	80	27	3	{9,9,9,9,9,9}	200141	{300331,300332,300333}	{7,11,1,1}	
101067	主线满级悖谬	{1,7,2,1}	80	27	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,1}	
101068	主线满级瞬刻	{1,13,2,1}	80	27	3	{9,9,9,9,9,9}	200142	{300334,300335,300336}	{7,13,2,1}	
101069	主线满级雨燕	{1,5,2,1}	80	27	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,1}	
101070	主线满级无限之视	{1,2,3,1}	80	27	3	{9,9,9,9,9,9}	200149	{300355,300356,300357}	{7,2,3,1}	
101071	主线满级辉耀	{1,8,3,1}	80	27	3	{9,9,9,9,9,9}	200150	{300358,300359,300360}	{7,8,3,1}	
101072	主线薇蒂雅	{1,18,1,1}	80	27	3	{9,9,9,9,9,9}	200151	{300361,300362,300363}	{7,18,1,1}	
101073	主线云篆	{1,14,2,1}	80	27	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,1}	
101074	主线缄默	{1,4,2,1}	80	27	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,1}	
101075	主线泳装悖谬	{1,7,2,1}	80	27	3	{9,9,9,9,9,9}	200139	{300325,300326,300327}	{7,7,2,4}	
101076	主线雨燕	{1,5,2,1}	80	27	3	{9,9,9,9,9,9}	200007	{300037,300038,300039}	{7,5,2,1}	
101077	主线泳装溯影	{1,12,2,1}	80	27	3	{9,9,9,9,9,9}	200076	{300181,300182,300183}	{7,12,2,2}	
101078	主线泳装羽蜕	{1,11,2,1}	80	27	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,3}	
101079	主线泳装云篆	{1,14,2,1}	80	27	3	{9,9,9,9,9,9}	200046	{300097,300098,300099}	{7,14,2,3}	
101080	主线泳装朝翼	{1,15,2,1}	80	27	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,2}	
101081	主线泳装幽潮	{1,5,3,1}	80	27	3	{9,9,9,9,9,9}	200153	{300364,300365,300366}	{7,5,3,2}	
101082	主线驰掣	{1,4,3,1}	80	27	3	{9,9,9,9,9,9}	200154	{300370,300371,300372}	{7,4,3,1}	
101083	主线卜卜	{1,20,1,1}	80	27	3	{9,9,9,9,9,9}	200155	{300373,300374,300375}	{7,20,1,1}	
101084	主线琼弦	{1,14,3,1}	80	27	3	{9,9,9,9,9,9}	200156	{300376,300377,300378}	{7,14,3,1}	
101085	主线幽潮	{1,5,3,1}	80	27	3	{9,9,9,9,9,9}	200153	{300364,300365,300366}	{7,5,3,1}	
101086	主线澜风	{1,11,3,1}	80	27	3	{9,9,9,9,9,9}	200164	{300382,300383,300384}	{7,11,3,1}	
101087	主线妮塔	{1,3,1,1}	80	27	3	{9,9,9,9,9,9}	200004	{300064,300065,300066}	{7,3,1,1}	
101088	主线奈莉德	{1,21,1,1}	80	27	3	{9,9,9,9,9,9}	200170	{300385,300386,300387}	{7,21,1,1}	
101089	主线？	{1,3,2,1}	80	4	3	{9,9,9,9,9,9}	200171	{300388,300389,300390}	{7,3,2,1}	
101090	主线朝翼	{1,15,2,1}	80	27	3	{9,9,9,9,9,9}	200152	{300367,300368,300369}	{7,15,2,1}	
101091	主线天鹅座	{1,18,2,1}	80	27	3	{9,9,9,9,9,9}	200173	{300391,300392,300393}	{7,18,2,1}	
101092	复刻羽蜕	{1,11,2,1}	80	27	3	{9,9,9,9,9,9}	200140	{300328,300329,300330}	{7,11,2,1}	
101093	苔丝	{1,17,1,1}	80	27	3	{9,9,9,9,9,9}	200077	{300184,300185,300186}	{7,17,1,1}	
101094	狂诗	{1,15,3,1}	80	27	3	{9,9,9,9,9,9}	200181	{300394,300395,300396}	{7,15,3,1}	
101095	绮幻	{1,17,2,1}	80	27	3	{9,9,9,9,9,9}	200182	{300397,300398,300399}	{7,17,2,1}	
101096	克罗瑞娜	{1,22,1,1}	80	27	3	{9,9,9,9,9,9}	200183	{300400,300401,300402}	{7,22,1,1}	
101097	冬至	{1,10,2,1}	80	27	3	{9,9,9,9,9,9}	200031	{300070,300071,300072}	{7,10,2,1}	
101098	澄意	{1,8,4,1}	75	0	3	{9,9,9,9,9,9}	200211	{300403,300404,300405}	{7,8,4,1}	
101099	奈莉德泳装	{1,21,1,1}	75	0	3	{9,9,9,9,9,9}	200212	{300385,300386,300387}	{7,21,1,3}	{17,5,7,1}
101100	悠游	{1,13,3,1}	75	0	3	{9,9,9,9,9,9}	200213	{300406,300407,300408}	{7,13,3,1}	
101101	新章节2.5琼弦	{1,14,3,1}	7	0	0	{0,9,0,0,0,0}	200192		{7,14,3,1}	
101102	新章节2.7妮塔	{1,3,1,1}	15	0	1	{9,0,0,0,0,0}	200193	{300409,300410,300411}	{7,3,1,1}	
101103	新章节2.7奈莉德	{1,21,1,1}	15	0	1	{0,9,0,0,0,0}	200194	{300412,300413,300414}	{7,21,1,1}	
101104	新章节2.7悸响	{1,3,2,1}	15	0	1	{9,0,0,0,0,0}	200195	{300415,300416,300417}	{7,3,2,1}	
101105	新章节2.7朝翼	{1,15,2,1}	15	0	1	{9,0,0,0,0,0}	200196	{300418,300419,300420}	{7,15,2,1}	
101106	新章节2.8天鹅座	{1,18,2,1}	20	0	1	{0,0,9,0,0,0}	200197	{300421,300422,300423}	{7,18,2,1}	
101107	新章节2.8驰掣	{1,4,3,1}	20	0	1	{9,0,0,0,0,0}	200198	{300424,300425,300426}	{7,4,3,1}	
101108	新章节2.8伊切尔	{1,16,1,1}	20	0	1	{0,0,0,9,0,0}	200199	{300427,300428,300429}	{7,16,1,1}	
101109	新章节3.0天鹅座	{1,18,2,1}	25	0	1	{0,0,9,0,0,0}	200200	{300430,300431,300432}	{7,18,2,1}	
101110	新章节3.0绮幻	{1,17,2,1}	25	0	1	{0,0,0,0,9,0}	200201	{300433,300434,300435}	{7,17,2,1}	
101111	新章节3.0狂诗	{1,15,3,1}	25	0	1	{9,0,0,0,0,0}	200202	{300436,300437,300438}	{7,15,3,1}	
101112	新章节3.1悸响	{1,3,2,1}	35	0	1	{9,0,0,0,9,0}	200203	{300439,300440,300441}	{7,3,2,1}	
101113	新章节3.1克罗瑞娜	{1,22,1,1}	35	0	1	{9,9,0,0,0,0}	200204	{300442,300443,300444}	{7,22,1,1}	
101114	新章节3.1冬至	{1,10,2,1}	35	0	1	{9,9,0,0,0,0}	200205	{300445,300446,300447}	{7,10,2,1}	
101115	新章节2.7奈莉德	{1,21,1,1}	20	0	1	{0,9,0,0,0,0}	200206	{300448,300449,300450}	{7,21,1,1}	
101116	新章节3.1无限之视	{1,2,3,1}	35	0	1	{9,9,0,0,0,0}	200207	{300451,300452,300453}	{7,2,3,1}	
101117	辉耀	{1,8,3,1}	75	0	3	{9,9,9,9,9,9}	200214	{300358,300359,300360}	{7,8,3,1}	
101118	霆光	{1,6,3,1}	75	4	3	{9,9,9,9,9,9}	200228	{300490,300491,300492}	{7,6,3,1}	
101119	米娅	{1,23,1,1}	75	0	3	{9,9,9,9,9,9}	200230	{300481,300482,300483}	{7,23,1,1}	
101120	莲驱	{1,12,3,1}	75	4	3	{9,9,9,9,9,9}	200242	{300496,300497,300498}	{7,12,3,1}	
101121	灵鉴	{1,20,2,1}	75	0	3	{9,9,9,9,9,9}	200232	{300493,300494,300495}	{7,20,2,1}	
101122	主线幽潮	{1,5,3,1}	75	0	3	{9,9,9,9,9,9}	200237	{300364,300365,300366}	{7,5,3,1}	
101123	主线时之重奏	{1,1,3,1}	75	0	3	{9,9,9,9,9,9}	200238	{300499,300500,300501}	{7,1,3,1}	
101124	主线辉夜	{1,1,2,1}	75	0	3	{9,9,9,9,9,9}	200239	{300301,300302,300303}	{7,1,2,1}	
101125	主线不予显示	{1,1,1,1}	75	0	3	{9,9,9,9,9,9}	200240	{300127,300128,300129}	{7,1,1,1}	
101126	主线XY	{1,5,4,1}	75	0	3	{9,9,9,9,9,9}	200243	{300502,300503,300504}	{7,5,4,1}	
101127	主线胧嫣	{1,24,1,1}	75	0	3	{9,9,9,9,9,9}	200245	{300505,300506,300507}	{7,24,1,1}	
101128	主线驰掣	{1,4,3,1}	75	0	3	{9,9,9,9,9,9}	200248	{300370,300371,300372}	{7,4,3,1}	
101129	主线炬芯（后续替换）	{1,4,4,1}	75	0	3	{9,9,9,9,9,9}	200247	{300508,300509,300510}	{7,4,4,1}	
101130	主线永恒	{1,2,4,1}	75	0	3	{9,9,9,9,9,9}	200252	{300511,300512,300513}	{7,2,4,1}	
101131	主线金乌	{1,10,4,1}	75	0	3	{9,9,9,9,9,9}	200253	{300514,300515,300516}	{7,10,4,1}	
										
										
										
102001	跳弹-星期三	{1,2,1,1}	1	1	0	{0,0,0,0,0,0}	200041		{7,2,1,1}	
102002	跳弹-芬妮	{1,8,1,1}	1	1	0	{0,0,0,0,0,0}	200042		{7,8,1,1}	
102003	剧变-高温-芙提雅	{1,4,1,1}	1	1	0	{0,0,0,0,0,0}	200043		{7,4,1,1}	
102004	剧变-动能-芬妮	{1,8,1,1}	60	45	2	{9,9,9,9,9,9}	200044		{7,8,1,1}	
102005	剧变-低温-狂猎	{1,2,2,1}	60	45	2	{9,9,9,9,9,9}	200045		{7,2,2,1}	
102006	特化-芬妮	{1,8,1,1}	1	1	0	{0,0,0,0,0,0}	200042		{7,8,1,1}	
102007	特化-恩雅	{1,11,1,1}	1	1	0	{0,0,0,0,0,0}	200044		{7,11,1,1}	
102008	跳弹-琴诺	{1,7,1,1}	1	1	0	{0,0,0,0,0,0}	200041		{7,7,1,1}	
103001	DLC1肉鸽试用云篆	{1,14,2,1}	55	27	2	{9,9,0,0,9,9}	200053	{300103,300104,300105}	{7,14,2,1}	
103002	DLC1肉鸽试用狂猎	{1,2,2,1}	55	27	2	{9,9,0,0,9,9}	200054	{300106,300107,300108}	{7,2,2,1}	
103003	DLC1肉鸽试用瑟瑞斯	{1,13,1,1}	55	27	2	{9,9,0,0,9,9}	200055	{300109,300110,300111}	{7,13,1,1}	
103004	DLC1肉鸽试用姬辰星	{1,14,1,1}	55	27	2	{9,9,9,9,0,0}	200056	{300112,300113,300114}	{7,14,1,1}	
103005	DLC1肉鸽试用肴	{1,10,1,1}	55	27	2	{0,0,9,9,9,9}	200057	{300115,300116,300117}	{7,10,1,1}	
103006	DLC1棋盘格狂猎	{1,2,2,1}	55	27	2	{9,9,0,0,9,9}	200054	{300106,300107,300108}	{7,2,2,1}	
103007	DLC1棋盘格瑟瑞斯	{1,13,1,1}	55	27	2	{0,0,9,9,9,9}	200055	{300109,300110,300111}	{7,13,1,1}	
103008	缄默试玩-缄默	{1,4,2,1}	80	45	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,1}	
103009	缄默试玩-辰星	{1,14,1,1}	80	45	3	{9,9,9,9,9,9}	200013	{300142,300143,300144}	{7,14,1,1}	
103010	缄默试玩-芙提雅	{1,4,1,1}	80	45	3	{9,9,9,9,9,9}	200047	{300094,300095,300096}	{7,4,1,1}	
103011	藏锋试玩-藏锋	{1,6,2,1}	80	45	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,1}	
103012	藏锋试玩-辰星	{1,14,1,1}	80	45	3	{9,9,9,9,9,9}	200013	{300142,300143,300144}	{7,14,1,1}	
103013	藏锋试玩-安卡希雅	{1,1,1,1}	80	45	3	{9,9,9,9,9,9}	200029	{300148,300149,300150}	{7,1,1,1}	
103014	藏锋皮肤试玩	{1,6,2,1}	80	45	3	{9,9,9,9,9,9}	200066	{300151,300152,300153}	{7,6,2,2}	
103015	缄默皮肤试玩	{1,4,2,1}	80	45	3	{9,9,9,9,9,9}	200024	{300043,300044,300045}	{7,4,2,2}	
103016	咎冠皮肤试玩	{1,8,2,1}	80	45	3	{9,9,9,9,9,9}	200010	{300139,300140,300141}	{7,8,2,2}	
103017	皮肤试玩专用队友-肴	{1,10,1,1}	80	45	3	{9,9,9,9,9,9}	200011	{300046,300047,300048}	{7,10,1,2}	
103018	巴别塔-45级藏锋	{1,6,2,1}	45	9	1	{9,9,0,0,0,0}	200067	{300154,300155,300156}	{7,6,2,1}	
103019	巴别塔-60级藏锋	{1,6,2,1}	60	9	1	{9,9,0,0,0,9}	200068	{300157,300158,300159}	{7,6,2,1}	
103020	巴别塔-75级藏锋	{1,6,2,1}	75	9	2	{9,9,0,0,9,9}	200069	{300160,300161,300162}	{7,6,2,1}	
103021	巴别塔-45级缄默	{1,4,2,1}	45	9	1	{0,0,0,0,9,9}	200070	{300163,300164,300165}	{7,4,2,1}	
103022	巴别塔-60级缄默	{1,4,2,1}	60	9	1	{0,9,0,0,9,9}	200071	{300166,300167,300168}	{7,4,2,1}	
103023	巴别塔-75级缄默	{1,4,2,1}	75	9	2	{9,9,0,0,9,9}	200072	{300169,300170,300171}	{7,4,2,1}	
103024	巴别塔-45级小金鱼	{1,13,1,1}	45	9	1	{0,0,9,9,0,0}	200073	{300172,300173,300174}	{7,13,1,1}	
