id	注释	试用角色位置1	试用角色位置2	试用角色位置3	阵容位置开关	自身角色池开关（如果要让玩家使用试用角色的所对应自己购买的皮肤，在试用角色ID后增加对应角色的GDPL）	自动上阵	试用上限	可用武器类型	不可用武器类型	禁用角色		
10502	主线5-2	{101019}	{101020}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10503	主线5-3	{101019}	{101020}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10504	主线5-4	{101020}	{101021}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10505	主线5-5	{101020}	{101021}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10506	主线5-6	{101020}	{101021}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10507	主线5-7		{101008,{1,11,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
10508	主线5-8	{101020}	{101008}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10509	主线5-9	{101021}	{101008}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10510	主线5-10	{101021}	{101008}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10511	主线5-11	{101021}	{101008}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10512	主线5-12	{101021}	{101008}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10601	主线6-1		{101015,{1,1,1,1}}		{0,1,0}	{0,0,0}	{1,1,1}	1					
10602	主线6-2		{101015}		{1,1,1}	{1,1,1}	{1,1,1}	1					
10603	主线6-3		{101015}		{1,1,1}	{1,1,1}	{1,1,1}	1					
10604	主线6-4		{101022}		{1,1,1}	{1,1,1}	{1,1,1}	1					
10605	主线6-5		{101022}		{1,1,1}	{1,1,1}	{1,1,1}	1					
10606	主线6-6		{101022}		{1,1,1}	{1,1,1}	{1,1,1}	1					
10607	主线6-7		{101022}		{1,1,1}	{1,1,1}	{1,1,1}	1					
10608	主线6-8	{101024}	{101023}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10609	主线6-9	{101024}	{101023}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10610	主线6-10	{101024}	{101023}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10611	主线6-11	{101025}	{101026}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10612	主线6-12	{101025}	{101026}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10701	主线7-1	{101027}	{101028}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10702	主线7-2	{101027}	{101028}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10703	主线7-3	{101029}	{101030}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10704	主线7-4	{101029}	{101030}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10705	主线7-5	{101029}	{101030}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10706	主线7-6	{101029}	{101030}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10707	主线7-7	{101031}	{101032}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10708	主线7-8	{101031}	{101032}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10709	主线7-9	{101031}	{101032}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10710	主线7-10	{101033}	{101034}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10711	主线7-11	{101033}	{101034}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10712	主线7-12	{101035}	{101036}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10801	主线8-1	{101036}	{101037}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10802	主线8-2	{101036}	{101037}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10803	主线8-3	{101036}	{101037}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10804	主线8-4	{101038}	{101039}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10805	主线8-5	{101038}	{101039}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10806	主线8-6	{101038}	{101039}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10807	主线8-7	{101040}	{101041}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10808	主线8-8	{101040}	{101041}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10809	主线8-9	{101040}	{101041}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10810	主线8-10	{101042}	{101043}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10811	主线8-11	{101042}	{101043}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10812	主线8-12	{101042}	{101043}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10901	主线9-1	{101044}	{101045}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10902	主线9-2	{101046}	{101047}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10903	主线9-3	{101044}	{101048}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10904	主线9-4	{101044}	{101048}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10905	主线9-5	{101045}	{101047}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10906	主线9-6	{101045}	{101047}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10907	主线9-7	{101049}	{101050}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10908	主线9-8	{101049}	{101050}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10909	主线9-9	{101051}	{101052}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10910	主线9-10	{101053}	{101049}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10911	主线9-11	{101053}	{101049}		{1,1,1}	{1,1,1}	{1,1,1}	2					
10912	主线9-12	{101054}	{101055}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11001	主线10-1	{101059}	{101057}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11002	主线10-2	{101059}	{101057}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11003	主线10-3	{101059}	{101057}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11004	主线10-4	{101058}	{101059}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11005	主线10-5	{101058}	{101059}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11006	主线10-6	{101060}	{101061}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11007	主线10-7	{101060}	{101061}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11008	主线10-8	{101060}	{101061}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11009	主线10-9	{101060}	{101061}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11010	主线10-10	{101060}	{101061}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11011	主线10-11	{101062}	{101060}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11012	主线10-12	{101062}	{101060}		{1,1,1}	{1,1,1}	{1,1,1}	2					
11100	11章主线	{101017}	{101016,{1,6,2,1}}	{101018}	{1,1,1}	{1,0,1}	{1,1,1}	2					
11201	特别篇主线1苔丝辰星固定	{103055,{1,17,1,1}}	{103056,{1,14,2,1}}		{1,1,1}	{0,0,1}	{1,1,1}	3					
11202	特别篇主线2晴固定		{103057,{1,6,2,1}}		{1,1,1}	{1,0,1}	{1,1,1}	3					
11203	特别篇主线3辰星固定		{103056,{1,14,2,1}}		{1,1,1}	{1,0,1}	{1,1,1}	3					
11204	特别篇主线4辰星晴固定	{103057,{1,6,2,1}}	{103056,{1,14,2,1}}		{1,1,1}	{0,0,1}	{1,1,1}	3					
11205	特别篇主线5辰星晴不固定	{103057,{1,6,2,1}}	{103056,{1,14,2,1}}		{1,1,1}	{1,1,1}	{1,1,1}	3					
11221	12章上半篇主线 固定藏锋+苔丝，不固定凯西娅	{103055,{1,17,1,1}}	{101016,{1,6,2,1}}	{103078,{1,15,1,1}}	{1,1,1}	{0,0,1}	{1,1,0}	3					
11222	12章上半篇主线 固定藏锋，不固定凯西娅		{101016,{1,6,2,1}}	{103078,{1,15,1,1}}	{1,1,1}	{1,0,1}	{0,1,0}	2					
11223	12章上半篇主线 固定凯西娅		{103078,{1,15,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11224	12章上半篇主线 固定藏锋，不固定凯西娅，ban苔丝		{101016,{1,6,2,1}}	{103078,{1,15,1,1}}	{1,1,1}	{1,0,1}	{0,1,0}	2			{{1,17,1,1}}		
11225	12章上半篇主线 固定藏锋+苔丝，ban凯西娅	{103055,{1,17,1,1}}	{101016,{1,6,2,1}}		{1,1,1}	{0,0,1}	{1,1,0}	2			{{1,15,1,1}}		
11231	12章下半篇主线 固定凯西娅，ban伊切尔		{103078,{1,15,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1			{{1,16,1,1}}		
11232	12章下半篇主线 固定凯西娅+苔丝，ban伊切尔	{103055,{1,17,1,1}}	{103078,{1,15,1,1}}		{1,1,1}	{0,0,1}	{1,1,0}	2			{{1,16,1,1}}		
11233	12章下半篇主线 固定凯西娅+伊切尔	{101063,{1,16,1,1}}	{103078,{1,15,1,1}}		{1,1,1}	{0,0,1}	{1,1,0}	2					
11234	12章下半篇主线 固定芬妮+狂猎+辉夜	{101060,{1,2,2,1}}	{101064,{1,8,2,1}}	{101062,{1,1,2,1}}	{1,1,1}	{0,0,0}	{1,1,1}	3					
11235	12章下半篇主线 固定苔丝+伊切尔+凯西娅	{103055,{1,17,1,1}}	{103078,{1,15,1,1}}	{101063,{1,16,1,1}}	{1,1,1}	{0,0,0}	{1,1,1}	3					
11301	主线13-1特别篇dlc8		{101068}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11302	主线13-2特别篇dlc8		{101068}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11303	主线13-3特别篇dlc8		{101068}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11304	主线13-4特别篇dlc8		{101068}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11305	主线13-5特别篇dlc8	{103078}	{101068}		{1,1,1}	{1,0,1}	{1,1,1}	2					
11306	主线13-6特别篇dlc8	{103078}	{101068}		{1,1,1}	{1,0,1}	{1,1,1}	2					
11307	主线13-7特别篇dlc8	{103078}	{101068}		{1,1,1}	{1,0,1}	{1,1,1}	2					
11308	主线13-8特别篇dlc8	{103078}	{101068}		{1,1,1}	{1,0,1}	{1,1,1}	2					
11309	dlc9主线阵容1固定雨燕	{103078,{1,15,1,1}}	{101069,{1,5,2,1}}	{101016,{1,6,2,1}}	{1,1,1}	{1,0,1}	{0,1,0}	3					
11310	dlc9主线阵容2固定凯西娅	{103055,{1,17,1,1}}	{103078,{1,15,1,1}}	{101016,{1,6,2,1}}	{1,1,1}	{1,0,1}	{0,1,0}	3					
11311	dlc9主线阵容3默认上阵辉耀和无限之视	{101071,{1,8,3,1}}	{101070,{1,2,3,1}}		{1,1,1}	{1,1,1}	{1,1,1}	3					
11312	dlc9主线阵容4默认上阵辉耀	{101070,{1,2,3,1}}	{101071,{1,8,3,1}}		{1,1,1}	{1,1,1}	{0,1,0}	3					
11331	主线13-1特别篇2dlc10		{101072}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11332	主线13-2特别篇2dlc10		{101072}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11333	主线13-3特别篇2dlc10		{101073}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11334	主线13-4特别篇2dlc10		{101072}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11335	主线13-5特别篇2dlc10		{101072}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11336	主线13-6特别篇2dlc10		{101072}		{1,1,1}	{1,0,1}	{1,1,1}	1					
11337	主线13-7特别篇2dlc10	{101073}	{101072}	{101074}	{1,1,1}	{1,0,1}	{1,1,1}	3					
11338	主线13-8特别篇2dlc10	{101073}	{101072}	{101074}	{1,1,1}	{1,0,1}	{1,1,1}	3					
11401	dlc23主线14-1特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11402	dlc23主线14-2特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11403	dlc23主线14-3特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11404	dlc23主线14-4特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11405	dlc23主线14-5特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11406	dlc23主线14-6特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11407	dlc23主线14-7特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11408	dlc23主线14-8特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11409	dlc23主线14-9特别篇		{101082}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11410	dlc24主线14-1上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11411	dlc24主线14-2上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11412	dlc24主线14-3上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11413	dlc24主线14-4上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11414	dlc24主线14-5上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11415	dlc24主线14-6上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11416	dlc24主线14-7上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11417	dlc24主线14-8上		{101083,{1,20,1,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
													
11421	dlc25主线14-1上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11422	dlc25主线14-2上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11423	dlc25主线14-3上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11424	dlc25主线14-4上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11425	dlc25主线14-5上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11426	dlc25主线14-6上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11427	dlc25主线14-7上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11428	dlc25主线14-8上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11429	dlc25主线14-9上		{101084}		{1,1,1}	{1,0,1}	{0,1,0}	1					
													
11501	dlc27主线15-1	{101090}	{101087}		{1,1,1}	{1,1,1}	{1,1,0}	2					
11502	dlc27主线15-2	{101087}	{101088}		{1,1,1}	{0,0,1}	{1,1,0}	2					
11503	dlc27主线15-3	{101087}	{101088}		{1,1,1}	{1,1,1}	{1,1,0}	2					
11504	dlc27主线15-4	{101088}	{101087}		{1,1,1}	{1,1,1}	{1,1,0}	2					
11505	dlc27主线15-5	{101087}	{101088}		{1,1,1}	{1,1,1}	{1,1,0}	2					
11506	dlc27主线15-6	{101087}	{101088}		{1,1,1}	{1,1,1}	{1,1,0}	2					
11507	dlc27主线15-7	{101087}	{101088}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11577	dlc27主线15-7下半期	{101089}	{101088}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11508	dlc27主线15-8	{101087}	{101088}		{1,1,1}	{1,1,1}	{1,1,0}	2					
11588	dlc27主线15-8下半期	{101089}	{101088}		{1,1,1}	{1,1,1}	{1,1,0}	2					
													
11511	dlc28主线15-1	{101082}	{101091}	{101063}	{1,1,1}	{1,0,1}	{1,1,1}	2					
11512	dlc28主线15-2	{101082}	{101091}	{101063}	{1,1,1}	{1,0,1}	{1,1,1}	2					
11513	dlc28主线15-3	{101082}	{101091}	{101063}	{1,1,1}	{1,0,1}	{1,1,1}	2					
11514	dlc28主线15-4	{101082}	{101091}	{101063}	{1,1,1}	{1,0,1}	{1,1,1}	2					
11515	dlc28主线15-5	{101082}	{101091}	{101063}	{1,1,1}	{1,0,1}	{1,1,1}	2					
11516	dlc28主线15-6	{101082}	{101091}	{101063}	{1,1,1}	{1,0,1}	{1,1,1}	2					
11517	dlc28主线15-7		{101091}		{1,1,1}	{1,0,1}	{0,1,0}	2					
11518	dlc28主线15-8		{101091}		{1,1,1}	{1,0,1}	{0,1,0}	2					
													
11531	DLC30主线01	{101095}	{101094}	{101091}	{1,1,1}	{1,0,1}	{1,1,1}	3					
11532	DLC30主线02	{101095}	{101094}	{101091}	{1,1,1}	{1,0,1}	{1,1,1}	3					
11533	DLC30主线03	{101095}	{101091}	{101094}	{1,1,1}	{1,0,1}	{1,1,1}	3					
11534	DLC30主线04	{101095}	{101094}	{101091}	{1,1,1}	{1,0,1}	{1,1,1}	3					
11535	DLC30主线05		{101094}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11536	DLC30主线06		{101094}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11537	DLC30主线07	{101094}	{101095}		{1,1,1}	{1,0,1}	{1,1,0}	2					
11538	DLC30主线08		{101094}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11539	DLC30主线09	{101095}	{101094}		{1,1,1}	{1,0,1}	{1,1,0}	2					
													
11541	DLC31主线01		{101096}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11542	DLC31主线02		{101096}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11543	DLC31主线03		{101096}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11544	DLC31主线04		{101096}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11545	DLC31主线05		{101097,{1,10,2,1}}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11546	DLC31主线06		{101089}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11547	DLC31主线07		{101089}		{1,1,1}	{1,0,1}	{0,1,0}	1					
11548	DLC31主线08	{101089}	{101096}	{101097}	{1,1,1}	{1,0,1}	{1,1,1}	3					
													
4001	DLC-1姬辰星		{101009}		{0,1,0}	{0,0,0}	{1,1,1}	1					
4002	DLC-1姬辰星	{101010}	{101009}	{101011}	{1,1,1}	{0,0,0}	{1,1,1}	3					
4003	DLC-1姬辰星	{101011}	{101009}		{1,1,0}	{0,0,0}	{1,1,1}	2					
4004	DLC-1SSR-姬辰星		{101014}		{0,1,0}	{0,0,0}	{1,1,1}	1					
4005	DLC-棋盘格-晴		{100007}		{0,1,0}	{0,0,0}	{1,1,1}	1					
4006	DLC-棋盘格-安卡希雅		{100001}		{0,1,0}	{0,0,0}	{1,1,1}	1					
4010	空单角色自选				{0,1,0}	{0,1,0}	{1,1,1}	1					
4011	芙提雅		{100035}		{0,1,0}	{0,1,0}	{1,1,1}	1					
20001	跳弹教学关		{102008}	{102002}	{0,1,1}	{0,0,0}	{1,1,1}	3					
20002	剧变教学关	{100004}	{100011}		{1,1,0}	{0,0,0}	{1,1,1}	3					
20003	特化教学关		{102003}		{0,1,0}	{0,0,0}	{1,1,1}	3					
20004	支援技教学关	{102002}	{102001}		{1,1,0}	{0,0,0}	{1,1,1}	2					
20005	弱点教学关		{102001}		{0,1,0}	{0,0,0}	{1,1,1}	1					
20006	部位破坏教学关		{102001}		{0,1,0}	{0,0,0}	{1,1,1}	1					
20007	基座破墙值教学关		{102001}	{102002}	{0,1,1}	{0,0,0}	{1,1,1}	2					
30000	DLC1试玩辉夜		{100015}	{100004}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30001	DLC1试玩瑟瑞斯		{100020}	{100019}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30002	DLC1试玩狂猎	{100019}	{100011}	{100015}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30003	缄默皮肤试用试用		{103015}	{103017}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30004	藏锋皮肤试用		{103014}	{103017}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30005	咎冠皮肤试用		{103016}	{103017}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30006	缄默试玩	{103009}	{103008}	{103010}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30007	藏锋试玩	{103012}	{103011}	{103013}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30008	溯影试玩	{103028}	{103027}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30009	雨燕皮肤试玩		{103033}	{103017}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30010	冬至皮肤试玩		{103034}	{103012}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30011	恩雅皮肤试玩		{103035}	{103038}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30012	溯影皮肤试玩		{103036}	{103038}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30013	云篆皮肤试玩		{103037}	{103038}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30014	肴皮肤试玩	{103039}	{103038}	{103040}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30015	狂猎皮2		{103050}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30016	咎冠皮2		{103051}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30017	苔丝皮		{103052}	{103039}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30018	冬至皮		{103053}	{103012}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30019	苔丝试玩	{103028}	{103054}	{103012}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30020	凯茜娅5星皮		{103071}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30021	缄默芭蕾舞皮		{103072}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30022	BP藏锋皮		{103073}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30023	芬妮战损皮		{103074}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30024	凯茜娅试玩	{103076}	{103075}	{103077}	{1,1,1}	{0,0,0}	{1,1,1}	1					
30025	狂猎春节5星皮		{103079}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30026	辉夜国风皮		{103080}	{103012}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30027	商城咎冠5星   girl008a_04		{103082}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30028	商城伊切尔4星   girl016_02 		{103083}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
30029	BP狂猎3星   girl002a_04		{103084}	{103077}	{0,1,1}	{0,0,0}	{1,1,1}	1					
