ID	注释	试用角色ID	试用角色等级	后勤1试用词缀
300043	芬尼亚-菲欧娜（高热	{3,1,15,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300044	芬尼亚-格兰特（高热	{3,2,15,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300045	芬尼亚-辉钻（高热	{3,3,15,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300046	摩伊拉-拉克西丝（附属物	{3,1,16,1}	16	{{1,21,3},{2,23,3},{3,46,3}}
300047	摩伊拉-贝拉（附属物	{3,2,16,1}	16	{{1,21,3},{2,23,3},{3,46,3}}
300048	摩伊拉-克萝伊（附属物	{3,3,16,1}	16	{{1,21,3},{2,23,3},{3,46,3}}
300049	梵星-瓦卡斯帕（附属物	{3,1,17,1}	16	{{1,21,3},{2,23,3},{3,46,3}}
300050	梵星-苏卡拉（附属物	{3,2,17,1}	16	{{1,21,3},{2,23,3},{3,46,3}}
300051	梵星-摩萨（附属物	{3,3,17,1}	16	{{1,21,3},{2,23,3},{3,46,3}}
300052	“鸦眼”-安	{3,1,18,1}	13	{{1,14,3},{2,12,3}}
300053	“鸦眼”-穆林	{3,2,18,1}	13	{{1,14,3},{2,12,3}}
300054	“鸦眼”-海基	{3,3,18,1}	13	{{1,14,3},{2,12,3}}
300055	布里吉-菲儿	{3,1,19,1}	13	{{1,14,3},{2,12,3}}
300056	布里吉-金吉拉	{3,2,19,1}	13	{{1,14,3},{2,12,3}}
300057	布里吉-瓦莱莉	{3,3,19,1}	13	{{1,14,3},{2,12,3}}
300058	精灵-露莎卡	{3,1,20,1}	13	{{1,14,3},{2,12,3}}
300059	精灵-斯涅妮卡	{3,2,20,1}	13	{{1,14,3},{2,12,3}}
300060	精灵-邦妮	{3,3,20,1}	13	{{1,14,3},{2,12,3}}
300061	达努-班西	{3,1,21,1}	13	{{1,14,3},{2,12,3}}
300062	达努-凯赫特	{3,2,21,1}	13	{{1,14,3},{2,12,3}}
300063	达努-努阿达	{3,3,21,1}	13	{{1,14,3},{2,12,3}}
300064	凯夫曼-雅尔哈康（动能	{3,2,22,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300065	凯夫曼-斯卡德肯（动能	{3,3,22,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300066	凯夫曼-哈尔芙（动能	{3,1,22,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300067	领航者-季特（高热	{3,1,23,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300068	领航者-雅里洛（高热	{3,2,23,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300069	领航者-玛拉（高热	{3,3,23,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300070	天岩户-岳间泽（高热	{3,1,24,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300071	天岩户-鹤一（高热	{3,2,24,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300072	天岩户-赤（高热	{3,3,24,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
				
300073	芬尼亚-菲欧娜	{3,1,15,1}	6	{{1,21,3},{2,23,3}}
300074	芬尼亚-格兰特	{3,2,15,1}	6	{{1,21,3},{2,23,3}}
300075	芬尼亚-辉钻	{3,3,15,1}	6	{{1,21,3},{2,23,3}}
300076	底比斯-曜影	{3,1,14,1}	9	{{1,21,3},{2,23,3}}
300077	底比斯-孔苏	{3,2,14,1}	9	{{1,21,3},{2,23,3}}
300078	底比斯-穆特	{3,3,14,1}	9	{{1,21,3},{2,23,3}}
300079	鬼怪-炉子	{3,1,10,1}	15	{{1,14,3},{2,12,3}}
300080	鬼怪-菲林斯	{3,2,10,1}	15	{{1,14,3},{2,12,3}}
300081	鬼怪-“不死”伊万	{3,3,10,1}	15	{{1,14,3},{2,12,3}}
300082	DLC1辰星梵星-瓦卡斯帕	{3,1,17,1}	10	{{1,21,3},{2,23,3}}
300083	DLC1辰星梵星-苏卡拉	{3,2,17,1}	10	{{1,21,3},{2,23,3}}
300084	DLC1辰星梵星-摩萨	{3,3,17,1}	10	{{1,21,3},{2,23,3}}
300085	DLC1-姬辰星-云篆明夷-赭毫	{3,1,28,1}	10	{{1,14,3},{2,12,3}}
300086	DLC1-姬辰星-云篆明夷-玄铠	{3,2,28,1}	10	{{1,14,3},{2,12,3}}
300087	DLC1-姬辰星-云篆明夷-金琅	{3,3,28,1}	10	{{1,14,3},{2,12,3}}
300088	DLC1-妮塔凯夫曼-雅尔哈康	{3,2,22,1}	10	{{1,21,3},{2,23,3}}
300089	DLC1-妮塔凯夫曼-斯卡德肯	{3,3,22,1}	10	{{1,21,3},{2,23,3}}
300090	DLC1-妮塔凯夫曼-哈尔芙	{3,1,22,1}	10	{{1,21,3},{2,23,3}}
300091	DLC1-肴摩伊拉-拉克西丝	{3,1,16,1}	10	{{1,21,3},{2,23,3}}
300092	DLC1-肴摩伊拉-贝拉	{3,2,16,1}	10	{{1,21,3},{2,23,3}}
300093	DLC1-肴摩伊拉-克萝伊	{3,3,16,1}	10	{{1,21,3},{2,23,3}}
300094	曙光-库米（高热	{3,1,25,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300095	曙光-奥列格（高热	{3,2,25,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300096	曙光-斯维特拉娜（高热	{3,3,25,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300097	明夷-赭毫（电击	{3,1,28,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300098	明夷-玄铠（电击	{3,2,28,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300099	明夷-金琅（电击	{3,3,28,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300100	精灵-露莎卡	{3,1,20,1}	7	{{1,14,3},{2,12,3}}
300101	精灵-斯涅妮卡	{3,2,20,1}	7	{{1,14,3},{2,12,3}}
300102	精灵-邦妮	{3,3,20,1}	7	{{1,14,3},{2,12,3}}
300103	肉鸽明夷-赭毫	{3,1,28,1}	10	{{1,21,3},{2,23,3}}
300104	肉鸽明夷-玄铠	{3,2,28,1}	10	{{1,21,3},{2,23,3}}
300105	肉鸽明夷-金琅	{3,3,28,1}	10	{{1,21,3},{2,23,3}}
300106	肉鸽底比斯-曜影	{3,1,14,1}	10	{{1,21,3},{2,23,3}}
300107	肉鸽底比斯-孔苏	{3,2,14,1}	10	{{1,21,3},{2,23,3}}
300108	肉鸽底比斯-穆特	{3,3,14,1}	10	{{1,21,3},{2,23,3}}
300109	肉鸽新叶-伊玛(动能	{3,1,27,1}	10	{{1,21,3},{2,23,3}}
300110	肉鸽新叶-伊甸(动能	{3,2,27,1}	10	{{1,21,3},{2,23,3}}
300111	肉鸽新叶-葛芬(动能	{3,3,27,1}	10	{{1,21,3},{2,23,3}}
300112	肉鸽梵星-瓦卡斯帕	{3,1,17,1}	10	{{1,14,3},{2,12,3}}
300113	肉鸽梵星-苏卡拉	{3,2,17,1}	10	{{1,14,3},{2,12,3}}
300114	肉鸽梵星-摩萨	{3,3,17,1}	10	{{1,14,3},{2,12,3}}
300115	肉鸽摩伊拉-拉克西丝	{3,1,16,1}	10	{{1,21,3},{2,23,3}}
300116	肉鸽摩伊拉-贝拉	{3,2,16,1}	10	{{1,21,3},{2,23,3}}
300117	肉鸽摩伊拉-克萝伊	{3,3,16,1}	10	{{1,21,3},{2,23,3}}
300118	55级底比斯-曜影	{3,1,14,1}	10	{{1,21,3},{2,23,3}}
300119	55级底比斯-孔苏	{3,2,14,1}	10	{{1,21,3},{2,23,3}}
300120	55级底比斯-穆特	{3,3,14,1}	10	{{1,21,3},{2,23,3}}
300121	新叶-伊玛(动能	{3,1,27,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300122	新叶-伊甸(动能	{3,2,27,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300123	新叶-葛芬(动能	{3,3,27,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300124	新叶-伊玛(低温	{3,1,27,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300125	新叶-伊甸(低温	{3,2,27,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300126	新叶-葛芬(低温	{3,3,27,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300127	底比斯-曜影（特异	{3,1,14,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300128	底比斯-孔苏（特异	{3,2,14,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300129	底比斯-穆特（特异	{3,3,14,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300130	天岩户-岳间泽（特异	{3,1,24,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300131	天岩户-鹤一（特异	{3,2,24,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300132	天岩户-赤（特异	{3,3,24,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300133	芬尼亚-菲欧娜(动能	{3,1,15,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300134	芬尼亚-格兰特(动能	{3,2,15,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300135	芬尼亚-辉钻(动能	{3,3,15,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300136	达摩-红线（低温	{3,1,13,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300137	达摩-佐香（低温	{3,2,13,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300138	达摩-浮木（低温	{3,3,13,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300139	天岩户-岳间泽（电击	{3,1,24,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300140	天岩户-鹤一（电击	{3,2,24,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300141	天岩户-赤（电击	{3,3,24,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300142	新叶-伊玛(电击	{3,1,27,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300143	新叶-伊甸(电击	{3,2,27,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300144	新叶-葛芬(电击	{3,3,27,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300145	阿尔戈-鸽子	{3,1,9,1}	4	{{1,14,3},{2,12,3}}
300146	阿尔戈-乐手	{3,2,9,1}	4	{{1,14,3},{2,12,3}}
300147	阿尔戈-箭头	{3,3,9,1}	4	{{1,14,3},{2,12,3}}
300148	领航者-季特（特异	{3,1,23,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300149	领航者-雅里洛（特异	{3,2,23,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300150	领航者-玛拉（特异	{3,3,23,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300151	秋津-伏雷(动能	{3,1,29,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300152	秋津-夷回(动能	{3,2,29,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300153	秋津-末末(动能	{3,3,29,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300154	秋津-伏雷+3	{3,1,29,1}	4	{{1,21,3},{2,23,3}}
300155	秋津-夷回+3	{3,2,29,1}	4	{{1,21,3},{2,23,3}}
300156	秋津-末末+3	{3,3,29,1}	4	{{1,21,3},{2,23,3}}
300157	秋津-伏雷+9	{3,1,29,1}	10	{{1,21,3},{2,23,3}}
300158	秋津-夷回+9	{3,2,29,1}	10	{{1,21,3},{2,23,3}}
300159	秋津-末末+9	{3,3,29,1}	10	{{1,21,3},{2,23,3}}
300160	秋津-伏雷+12	{3,1,29,1}	13	{{1,21,3},{2,23,3}}
300161	秋津-夷回+12	{3,2,29,1}	13	{{1,21,3},{2,23,3}}
300162	秋津-末末+12	{3,3,29,1}	13	{{1,21,3},{2,23,3}}
300163	芬尼亚-菲欧娜+3	{3,1,15,1}	4	{{1,21,3},{2,23,3}}
300164	芬尼亚-格兰特+3	{3,2,15,1}	4	{{1,21,3},{2,23,3}}
300165	芬尼亚-辉钻+3	{3,3,15,1}	4	{{1,21,3},{2,23,3}}
300166	芬尼亚-菲欧娜+9	{3,1,15,1}	10	{{1,21,3},{2,23,3}}
300167	芬尼亚-格兰特+9	{3,2,15,1}	10	{{1,21,3},{2,23,3}}
300168	芬尼亚-辉钻+9	{3,3,15,1}	10	{{1,21,3},{2,23,3}}
300169	芬尼亚-菲欧娜+12	{3,1,15,1}	13	{{1,21,3},{2,23,3}}
300170	芬尼亚-格兰特+12	{3,2,15,1}	13	{{1,21,3},{2,23,3}}
300171	芬尼亚-辉钻+12	{3,3,15,1}	13	{{1,21,3},{2,23,3}}
300172	新叶-伊玛+3	{3,1,27,1}	4	{{1,21,3},{2,23,3}}
300173	新叶-伊甸+3	{3,2,27,1}	4	{{1,21,3},{2,23,3}}
300174	新叶-葛芬+3	{3,3,27,1}	4	{{1,21,3},{2,23,3}}
300175	新叶-伊玛+9	{3,1,27,1}	10	{{1,21,3},{2,23,3}}
300176	新叶-伊甸+9	{3,2,27,1}	10	{{1,21,3},{2,23,3}}
300177	新叶-葛芬+9	{3,3,27,1}	10	{{1,21,3},{2,23,3}}
300178	新叶-伊玛+12	{3,1,27,1}	13	{{1,21,3},{2,23,3}}
300179	新叶-伊甸+12	{3,2,27,1}	13	{{1,21,3},{2,23,3}}
300180	新叶-葛芬+12	{3,3,27,1}	13	{{1,21,3},{2,23,3}}
300181	溯影专属后勤-1	{3,1,30,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300182	溯影专属后勤-2	{3,2,30,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300183	溯影专属后勤-3	{3,3,30,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300184	心园小队-伊蓓	{3,1,31,1}	16	{{1,21,3},{2,19,3},{3,48,3}}
300185	心园小队-苏诺	{3,2,31,1}	16	{{1,21,3},{2,19,3},{3,48,3}}
300186	心园小队-吉菲尔	{3,3,31,1}	16	{{1,21,3},{2,19,3},{3,48,3}}
300187	心园小队-伊蓓+3	{3,1,31,1}	4	{{1,21,3},{2,19,3}}
300188	心园小队-苏诺+3	{3,2,31,1}	4	{{1,21,3},{2,19,3}}
300189	心园小队-吉菲尔+3	{3,3,31,1}	4	{{1,21,3},{2,19,3}}
300190	心园小队-伊蓓+9	{3,1,31,1}	10	{{1,21,3},{2,19,3}}
300191	心园小队-苏诺+9	{3,2,31,1}	10	{{1,21,3},{2,19,3}}
300192	心园小队-吉菲尔+9	{3,3,31,1}	10	{{1,21,3},{2,19,3}}
300193	心园小队-伊蓓+12	{3,1,31,1}	13	{{1,21,3},{2,19,3}}
300194	心园小队-苏诺+12	{3,2,31,1}	13	{{1,21,3},{2,19,3}}
300195	心园小队-吉菲尔+12	{3,3,31,1}	13	{{1,21,3},{2,19,3}}
300196	明夷小队-赭毫+3	{3,1,28,1}	4	{{1,21,3},{2,23,3}}
300197	明夷小队-玄铠+3	{3,2,28,1}	4	{{1,21,3},{2,23,3}}
300198	明夷小队-金琅+3	{3,3,28,1}	4	{{1,21,3},{2,23,3}}
300199	明夷小队-赭毫+9	{3,1,28,1}	10	{{1,21,3},{2,23,3}}
300200	明夷小队-玄铠+9	{3,2,28,1}	10	{{1,21,3},{2,23,3}}
300201	明夷小队-金琅+9	{3,3,28,1}	10	{{1,21,3},{2,23,3}}
300202	明夷小队-赭毫+12	{3,1,28,1}	13	{{1,21,3},{2,23,3}}
300203	明夷小队-玄铠+12	{3,2,28,1}	13	{{1,21,3},{2,23,3}}
300204	明夷小队-金琅+12	{3,3,28,1}	13	{{1,21,3},{2,23,3}}
300205	曙光小队-库米+3	{3,1,25,1}	4	{{1,21,3},{2,23,3}}
300206	曙光小队-奥列格+3	{3,2,25,1}	4	{{1,21,3},{2,23,3}}
300207	曙光小队-斯维特拉娜+3	{3,3,25,1}	4	{{1,21,3},{2,23,3}}
300208	曙光小队-库米+9	{3,1,25,1}	10	{{1,21,3},{2,23,3}}
300209	曙光小队-奥列格+9	{3,2,25,1}	10	{{1,21,3},{2,23,3}}
300210	曙光小队-斯维特拉娜+9	{3,3,25,1}	10	{{1,21,3},{2,23,3}}
300211	曙光小队-库米+12	{3,1,25,1}	13	{{1,21,3},{2,23,3}}
300212	曙光小队-奥列格+12	{3,2,25,1}	13	{{1,21,3},{2,23,3}}
300213	曙光小队-斯维特拉娜+12	{3,3,25,1}	13	{{1,21,3},{2,23,3}}
300214	伊莱小队-安提（低温	{3,1,32,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300215	伊莱小队-斯特拉（低温	{3,2,32,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300216	伊莱小队-伊达米娅（低温	{3,3,32,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300217	天岩户小队	{3,1,24,1}	4	{{1,21,3},{2,23,3}}
300218	天岩户小队	{3,2,24,1}	4	{{1,21,3},{2,23,3}}
300219	天岩户小队	{3,3,24,1}	4	{{1,21,3},{2,23,3}}
300220	梵星小队	{3,1,17,1}	4	{{1,21,3},{2,23,3}}
300221	梵星小队	{3,2,17,1}	4	{{1,21,3},{2,23,3}}
300222	梵星小队	{3,3,17,1}	4	{{1,21,3},{2,23,3}}
300223	达摩小队	{3,1,13,1}	4	{{1,21,3},{2,23,3}}
300224	达摩小队	{3,2,13,1}	4	{{1,21,3},{2,23,3}}
300225	达摩小队	{3,3,13,1}	4	{{1,21,3},{2,23,3}}
300226	底比斯小队	{3,1,14,1}	7	{{1,21,3},{2,23,3}}
300227	底比斯小队	{3,2,14,1}	7	{{1,21,3},{2,23,3}}
300228	底比斯小队	{3,3,14,1}	7	{{1,21,3},{2,23,3}}
300229	摩伊拉小队	{3,1,16,1}	7	{{1,21,3},{2,23,3}}
300230	摩伊拉小队	{3,2,16,1}	7	{{1,21,3},{2,23,3}}
300231	摩伊拉小队	{3,3,16,1}	7	{{1,21,3},{2,23,3}}
300232	天岩户小队	{3,1,24,1}	7	{{1,21,3},{2,23,3}}
300233	天岩户小队	{3,2,24,1}	7	{{1,21,3},{2,23,3}}
300234	天岩户小队	{3,3,24,1}	7	{{1,21,3},{2,23,3}}
300235	新叶小队	{3,1,27,1}	7	{{1,21,3},{2,23,3}}
300236	新叶小队	{3,2,27,1}	7	{{1,21,3},{2,23,3}}
300237	新叶小队	{3,3,27,1}	7	{{1,21,3},{2,23,3}}
300238	凯夫曼小队	{3,1,22,1}	7	{{1,21,3},{2,23,3}}
300239	凯夫曼小队	{3,2,22,1}	7	{{1,21,3},{2,23,3}}
300240	凯夫曼小队	{3,3,22,1}	7	{{1,21,3},{2,23,3}}
300241	阿玛纳小队	{3,1,30,1}	7	{{1,21,3},{2,23,3}}
300242	阿玛纳小队	{3,2,30,1}	7	{{1,21,3},{2,23,3}}
300243	阿玛纳小队	{3,3,30,1}	7	{{1,21,3},{2,23,3}}
300244	底比斯小队	{3,1,14,1}	10	{{1,21,3},{2,23,3}}
300245	底比斯小队	{3,2,14,1}	10	{{1,21,3},{2,23,3}}
300246	底比斯小队	{3,3,14,1}	10	{{1,21,3},{2,23,3}}
300247	新叶小队	{3,1,27,1}	10	{{1,21,3},{2,23,3}}
300248	新叶小队	{3,2,27,1}	10	{{1,21,3},{2,23,3}}
300249	新叶小队	{3,3,27,1}	10	{{1,21,3},{2,23,3}}
300250	天岩户小队	{3,1,24,1}	10	{{1,21,3},{2,23,3}}
300251	天岩户小队	{3,2,24,1}	10	{{1,21,3},{2,23,3}}
300252	天岩户小队	{3,3,24,1}	10	{{1,21,3},{2,23,3}}
300253	芬尼亚小队	{3,1,15,1}	10	{{1,21,3},{2,23,3}}
300254	芬尼亚小队	{3,2,15,1}	10	{{1,21,3},{2,23,3}}
300255	芬尼亚小队	{3,3,15,1}	10	{{1,21,3},{2,23,3}}
300256	新叶小队	{3,1,27,1}	10	{{1,21,3},{2,23,3}}
300257	新叶小队	{3,2,27,1}	10	{{1,21,3},{2,23,3}}
300258	新叶小队	{3,3,27,1}	10	{{1,21,3},{2,23,3}}
300259	达摩小队	{3,1,13,1}	10	{{1,21,3},{2,23,3}}
300260	达摩小队	{3,2,13,1}	10	{{1,21,3},{2,23,3}}
300261	达摩小队	{3,3,13,1}	10	{{1,21,3},{2,23,3}}
300262	阿玛纳小队	{3,1,30,1}	10	{{1,21,3},{2,23,3}}
300263	阿玛纳小队	{3,2,30,1}	10	{{1,21,3},{2,23,3}}
300264	阿玛纳小队	{3,3,30,1}	10	{{1,21,3},{2,23,3}}
300265	天岩户小队	{3,1,24,1}	13	{{1,21,3},{2,23,3}}
300266	天岩户小队	{3,2,24,1}	13	{{1,21,3},{2,23,3}}
300267	天岩户小队	{3,3,24,1}	13	{{1,21,3},{2,23,3}}
300268	新叶小队	{3,1,27,1}	13	{{1,21,3},{2,23,3}}
300269	新叶小队	{3,2,27,1}	13	{{1,21,3},{2,23,3}}
300270	新叶小队	{3,3,27,1}	13	{{1,21,3},{2,23,3}}
300271	底比斯小队	{3,1,14,1}	13	{{1,21,3},{2,23,3}}
300272	底比斯小队	{3,2,14,1}	13	{{1,21,3},{2,23,3}}
300273	底比斯小队	{3,3,14,1}	13	{{1,21,3},{2,23,3}}
300274	凯夫曼小队	{3,1,22,1}	13	{{1,21,3},{2,23,3}}
300275	凯夫曼小队	{3,2,22,1}	13	{{1,21,3},{2,23,3}}
300276	凯夫曼小队	{3,3,22,1}	13	{{1,21,3},{2,23,3}}
300277	达摩小队	{3,1,13,1}	13	{{1,21,3},{2,23,3}}
300278	达摩小队	{3,2,13,1}	13	{{1,21,3},{2,23,3}}
300279	达摩小队	{3,3,13,1}	13	{{1,21,3},{2,23,3}}
300280	芬尼亚小队	{3,1,15,1}	13	{{1,21,3},{2,23,3}}
300281	芬尼亚小队	{3,2,15,1}	13	{{1,21,3},{2,23,3}}
300282	芬尼亚小队	{3,3,15,1}	13	{{1,21,3},{2,23,3}}
300283	天岩户小队（高热	{3,1,24,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300284	天岩户小队（高热	{3,2,24,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300285	天岩户小队（高热	{3,3,24,1}	16	{{1,21,3},{2,23,3},{3,47,3}}
300286	新叶小队（治疗	{3,1,27,1}	16	{{1,21,3},{2,23,3},{3,44,3}}
300287	新叶小队（治疗	{3,2,27,1}	16	{{1,21,3},{2,23,3},{3,44,3}}
300288	新叶小队（治疗	{3,3,27,1}	16	{{1,21,3},{2,23,3},{3,44,3}}
300289	达摩小队（动能	{3,1,13,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300290	达摩小队（动能	{3,2,13,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300291	达摩小队（动能	{3,3,13,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300292	底比斯小队（低温	{3,1,14,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300293	底比斯小队（低温	{3,2,14,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300294	底比斯小队（低温	{3,3,14,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300295	底比斯小队（特异	{3,1,14,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300296	底比斯小队（特异	{3,2,14,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300297	底比斯小队（特异	{3,3,14,1}	16	{{1,21,3},{2,23,3},{3,50,3}}
300298	天岩户小队（电击	{3,1,24,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300299	天岩户小队（电击	{3,2,24,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300300	天岩户小队（电击	{3,3,24,1}	16	{{1,21,3},{2,23,3},{3,48,3}}
300301	新叶小队（低温	{3,1,27,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300302	新叶小队（低温	{3,2,27,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300303	新叶小队（低温	{3,3,27,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300304	极光-维塔利娜	{3,1,33,1}	16	{{1,19,3},{2,21,3},{3,44,3}}
300305	极光-格洛莉娅	{3,2,33,1}	16	{{1,19,3},{2,21,3},{3,44,3}}
