template表中Param1字段	道具获取方式（Fix 固定;Random n随1、n随m;Prob 分别看概率获取 ;Select n选1、n选m）	道具GDPLN	随机时的权重，注定不随机的箱子可以为空	分组(随机时同index、同group一起随）	推荐兑换角标（1=推荐，0或不配不显示，只有道具获取方式为Select的BOX需要配置）	//备注
301	Select	{3,3,18,1,1}		1		A级后勤自选
301	Select	{3,1,19,1,1}		1		A级后勤自选
301	Select	{3,2,19,1,1}		1		A级后勤自选
301	Select	{3,3,19,1,1}		1		A级后勤自选
301	Select	{3,1,20,1,1}		1		A级后勤自选
301	Select	{3,2,20,1,1}		1		A级后勤自选
301	Select	{3,3,20,1,1}		1		A级后勤自选
301	Select	{3,1,21,1,1}		1		A级后勤自选
301	Select	{3,2,21,1,1}		1		A级后勤自选
301	Select	{3,3,21,1,1}		1		A级后勤自选
						
302	Select	{3,1,13,1,1}		1		S级后勤自选
302	Select	{3,2,13,1,1}		1		S级后勤自选
302	Select	{3,3,13,1,1}		1		S级后勤自选
302	Select	{3,1,14,1,1}		1		S级后勤自选
302	Select	{3,2,14,1,1}		1		S级后勤自选
302	Select	{3,3,14,1,1}		1		S级后勤自选
302	Select	{3,1,15,1,1}		1		S级后勤自选
302	Select	{3,2,15,1,1}		1		S级后勤自选
302	Select	{3,3,15,1,1}		1		S级后勤自选
302	Select	{3,1,16,1,1}		1		S级后勤自选
302	Select	{3,2,16,1,1}		1		S级后勤自选
302	Select	{3,3,16,1,1}		1		S级后勤自选
302	Select	{3,1,17,1,1}		1		S级后勤自选
302	Select	{3,2,17,1,1}		1		S级后勤自选
302	Select	{3,3,17,1,1}		1		S级后勤自选
302	Select	{3,2,22,1,1}		1		S级后勤自选
302	Select	{3,3,22,1,1}		1		S级后勤自选
302	Select	{3,1,22,1,1}		1		S级后勤自选
302	Select	{3,1,23,1,1}		1		S级后勤自选
302	Select	{3,2,23,1,1}		1		S级后勤自选
302	Select	{3,3,23,1,1}		1		S级后勤自选
302	Select	{3,1,24,1,1}		1		S级后勤自选
302	Select	{3,2,24,1,1}		1		S级后勤自选
302	Select	{3,3,24,1,1}		1		S级后勤自选
						
303	Select	{1,1,1,1,1}		1		A级角色自选
303	Select	{1,2,1,1,1}		1		A级角色自选
303	Select	{1,3,1,1,1}		1		A级角色自选
303	Select	{1,4,1,1,1}		1		A级角色自选
303	Select	{1,5,1,1,1}		1		A级角色自选
303	Select	{1,6,1,1,1}		1		A级角色自选
303	Select	{1,7,1,1,1}		1		A级角色自选
303	Select	{1,8,1,1,1}		1		A级角色自选
303	Select	{1,10,1,1,1}		1		A级角色自选
303	Select	{1,11,1,1,1}		1		A级角色自选
303	Select	{1,12,1,1,1}		1		A级角色自选
						
3031	Select	{1,3,1,1,1}		1		紫妮塔
3031	Select	{1,4,1,1,1}		1		紫芙缇雅
3031	Select	{1,5,1,1,1}		1		紫茉莉安
3031	Select	{1,6,1,1,1}		1		紫晴
3031	Select	{1,7,1,1,1}		1		紫琴诺
3031	Select	{1,10,1,1,1}		1		紫肴
3031	Select	{1,11,1,1,1}		1		紫恩雅
3031	Select	{1,12,1,1,1}		1		紫猫汐尔
3031	Select	{1,13,1,1,1}		1		紫瑟瑞斯
3031	Select	{1,14,1,1,1}		1		紫晨星
						
304	Select	{1,2,2,1,1}		1		S级角色自选
304	Select	{1,5,2,1,1}		1		S级角色自选
304	Select	{1,8,2,1,1}		1		S级角色自选
304	Select	{1,10,2,1,1}		1		S级角色自选
						
3041	Select	{1,2,2,1,1}		1		狂猎
3041	Select	{1,4,2,1,1}		1		缄默
3041	Select	{1,5,2,1,1}		1		雨燕
3041	Select	{1,8,2,1,1}		1		咎冠
3041	Select	{1,10,2,1,1}		1		冬至
						
3042	Select	{5,4,1,2,60}		1		安卡希雅-辉夜
3042	Select	{5,4,14,2,60}		1		姬辰星-云篆
3042	Select	{5,4,6,2,60}		1		晴-藏锋
3042	Select	{5,4,12,2,60}		1		猫汐尔-溯影
3042	Select	{5,4,17,1,60}		1		苔丝
3042	Select	{5,4,15,1,60}		1		凯茜娅
3042	Select	{5,4,2,2,60}		1		里芙-狂猎
3042	Select	{5,4,5,2,60}		1		茉莉安-雨燕
3042	Select	{5,4,8,2,60}		1		芬妮-咎冠
3042	Select	{5,4,10,2,60}		1		肴-冬至
3042	Select	{5,4,4,2,60}		1		芙提雅-缄默
						
3043	Select	{5,4,1,2,60}		1		安卡希雅-辉夜
3043	Select	{5,4,14,2,60}		1		姬辰星-云篆
3043	Select	{5,4,6,2,60}		1		晴-藏锋
3043	Select	{5,4,12,2,60}		1		猫汐尔-溯影
3043	Select	{5,4,17,1,60}		1		苔丝
3043	Select	{5,4,15,1,60}		1		凯茜娅
3043	Select	{5,4,16,1,60}		1		伊切尔
3043	Select	{5,4,7,2,60}		1		琴诺-悖谬
3043	Select	{5,4,11,2,60}		1		恩雅-羽蜕
						
3044	Select	{5,4,1,2,60}		1		安卡希雅-辉夜
3044	Select	{5,4,14,2,60}		1		姬辰星-云篆
3044	Select	{5,4,6,2,60}		1		晴-藏锋
3044	Select	{5,4,12,2,60}		1		猫汐尔-溯影
3044	Select	{5,4,17,1,60}		1		苔丝
3044	Select	{5,4,15,1,60}		1		凯茜娅
3044	Select	{5,4,16,1,60}		1		伊切尔
3044	Select	{5,4,7,2,60}		1		琴诺-悖谬
3044	Select	{5,4,11,2,60}		1		恩雅-羽蜕
3044	Select	{5,4,13,2,60}		1		瑟瑞斯-瞬刻
3044	Select	{5,4,2,2,60}		1		里芙-狂猎
3044	Select	{5,4,5,2,60}		1		茉莉安-雨燕
3044	Select	{5,4,8,2,60}		1		芬妮-咎冠
3044	Select	{5,4,10,2,60}		1		肴-冬至
3044	Select	{5,4,4,2,60}		1		芙提雅-缄默
						
3045	Select	{5,4,1,2,60}				安卡希雅-辉夜
3045	Select	{5,4,14,2,60}				辰星-云篆
3045	Select	{5,4,6,2,60}				晴-藏锋
3045	Select	{5,4,12,2,60}				猫汐尔-溯影
3045	Select	{5,4,17,1,60}				苔丝-魔术师
3045	Select	{5,4,15,1,60}				凯茜娅-蓝闪
3045	Select	{5,4,16,1,60}				伊切尔-豹豹
3045	Select	{5,4,7,2,60}				琴诺-悖谬
3045	Select	{5,4,11,2,60}				恩雅-羽蜕
3045	Select	{5,4,13,2,60}				瑟瑞斯-瞬刻
3045	Select	{5,4,2,3,60}				里芙-无限之视
3045	Select	{5,4,8,3,60}				芬妮-辉耀
3045	Select	{5,4,18,1,60}				薇蒂雅-龙舌兰
3045	Select	{5,4,15,2,60}				凯茜娅-朝翼
3045	Select	{5,4,5,3,60}				茉莉安-幽潮
3045	Select	{5,4,2,2,60}				里芙-狂猎
3045	Select	{5,4,8,2,60}				芬妮-咎冠
3045	Select	{5,4,10,2,60}				肴-冬至
3045	Select	{5,4,5,2,60}				茉莉安-雨燕
3045	Select	{5,4,4,2,60}				芙提雅-缄默
						
3046	Select	{5,4,1,2,60}				安卡希雅-辉夜
3046	Select	{5,4,14,2,60}				辰星-云篆
3046	Select	{5,4,6,2,60}				晴-藏锋
3046	Select	{5,4,12,2,60}				猫汐尔-溯影
3046	Select	{5,4,17,1,60}				苔丝-魔术师
3046	Select	{5,4,15,1,60}				凯茜娅-蓝闪
3046	Select	{5,4,16,1,60}				伊切尔-豹豹
3046	Select	{5,4,7,2,60}				琴诺-悖谬
3046	Select	{5,4,11,2,60}				恩雅-羽蜕
3046	Select	{5,4,13,2,60}				瑟瑞斯-瞬刻
3046	Select	{5,4,2,3,60}				里芙-无限之视
3046	Select	{5,4,8,3,60}				芬妮-辉耀
3046	Select	{5,4,18,1,60}				薇蒂雅-龙舌兰
3046	Select	{5,4,15,2,60}				凯茜娅-朝翼
3046	Select	{5,4,5,3,60}				茉莉安-幽潮
3046	Select	{5,4,4,3,60}				芙提雅-驰掣
3046	Select	{5,4,20,1,60}				卜卜-小天师
3046	Select	{5,4,14,3,60}				辰星-琼弦
3046	Select	{5,4,10,3,60}				肴-夜天光
3046	Select	{5,4,2,2,60}				里芙-狂猎
3046	Select	{5,4,8,2,60}				芬妮-咎冠
3046	Select	{5,4,10,2,60}				肴-冬至
3046	Select	{5,4,5,2,60}				茉莉安-雨燕
3046	Select	{5,4,4,2,60}				芙提雅-缄默
						
3047	Select	{5,4,18,2,60}				提取物·薇蒂雅-天鹅座*60
3047	Select	{5,4,21,1,60}				提取物·奈莉德-冥河代理人*60
3047	Select	{5,4,11,3,60}				提取物·恩雅-澜风*60
3047	Select	{5,4,10,3,60}				提取物·肴-夜天光*60
3047	Select	{5,4,14,3,60}				提取物·辰星-琼弦*60
3047	Select	{5,4,20,1,60}				提取物·卜卜-小天师*60
3047	Select	{5,4,4,3,60}				提取物·芙提雅-驰掣*60
3047	Select	{5,4,5,3,60}				提取物·茉莉安-幽潮*60
3047	Select	{5,4,15,2,60}				提取物·凯茜娅-朝翼*60
3047	Select	{5,4,18,1,60}				提取物·薇蒂雅-龙舌兰*60
3047	Select	{5,4,8,3,60}				提取物·芬妮-辉耀*60
3047	Select	{5,4,2,3,60}				提取物·里芙-无限之视*60
3047	Select	{5,4,13,2,60}				提取物·瑟瑞斯-瞬刻*60
3047	Select	{5,4,11,2,60}				提取物·恩雅-羽蜕*60
3047	Select	{5,4,7,2,60}				提取物·琴诺-悖谬*60
3047	Select	{5,4,16,1,60}				提取物·伊切尔-豹豹*60
3047	Select	{5,4,15,1,60}				提取物·凯茜娅-蓝闪*60
3047	Select	{5,4,17,1,60}				提取物·苔丝-魔术师*60
3047	Select	{5,4,12,2,60}				提取物·猫汐尔-溯影*60
3047	Select	{5,4,6,2,60}				提取物·晴-藏锋*60
3047	Select	{5,4,14,2,60}				提取物·辰星-云篆*60
3047	Select	{5,4,1,2,60}				提取物·安卡希雅-辉夜*60
3047	Select	{5,4,2,2,60}				提取物·里芙-狂猎*60
3047	Select	{5,4,10,2,60}				提取物·肴-冬至*60
3047	Select	{5,4,8,2,60}				提取物·芬妮-咎冠*60
3047	Select	{5,4,5,2,60}				提取物·茉莉安-雨燕*60
3047	Select	{5,4,4,2,60}				提取物·芙提雅-缄默*60
						
305	Select	{2,1,5,1,1}		1		归来
305	Select	{2,3,13,1,1}		1		不和谐音
305	Select	{2,4,12,1,1}		1		幸运时刻
305	Select	{2,5,16,1,1}		1		指示剂
305	Select	{2,2,13,1,1}		1		湿地公园
						
3051	Select	{2,1,12,1,1}		1		军舰鸟
3051	Select	{2,2,3,1,1}		1		深海呼唤
3051	Select	{2,3,9,1,1}		1		青金石
3051	Select	{2,4,10,1,1}		1		彩虹打火机
3051	Select	{2,5,6,1,1}		1		草莓蛋糕
						
306	Select	{2,1,17,1,1}		1		星尘回忆
306	Select	{2,1,18,1,1}		1		百战老兵
306	Select	{2,2,4,1,1}		1		奥林匹斯
306	Select	{2,2,17,1,1}		1		虎鲸号角
306	Select	{2,2,19,1,1}		1		太空骑手
306	Select	{2,3,17,1,1}		1		太阳酬金
306	Select	{2,3,18,1,1}		1		红夜行
306	Select	{2,4,3,1,1}		1		星辰大海
306	Select	{2,4,18,1,1}		1		松林极光
306	Select	{2,5,3,1,1}		1		审判前夜
306	Select	{2,5,19,1,1}		1		熔岩骨骼
						
						
307	Select	{5,4,8,2,1}		1		咎冠碎片
307	Select	{5,4,2,1,1}		1		星期三碎片
307	Select	{5,4,2,2,1}		1		狂猎碎片
307	Select	{5,4,3,1,1}		1		丽达碎片
307	Select	{5,4,4,1,1}		1		普罗米碎片
307	Select	{5,4,5,1,1}		1		茉莉安碎片
307	Select	{5,4,5,2,1}		1		雨燕碎片
307	Select	{5,4,6,1,1}		1		提尔碎片
307	Select	{5,4,7,1,1}		1		琴诺碎片
307	Select	{5,4,8,1,1}		1		芬妮碎片
307	Select	{5,4,10,1,1}		1		肴碎片
307	Select	{5,4,10,2,1}		1		肴冬至碎片
307	Select	{5,4,11,1,1}		1		恩雅碎片
307	Select	{5,4,12,1,1}		1		猫汐尔碎片
307	Select	{5,4,1,1,1}		1		安卡西亚碎片
307	Select	{5,4,4,2,1}		1		缄默碎片
307	Select	{5,4,1,2,1}		1		辉夜碎片
						
308	Fix	{4,1,4,5,1}				高级通行证
308	Fix	{4,1,4,3,10000}				经验
308	Fix	{4,11,24,1,1}		1		BP-DLC3.6时装资金自选箱
308	Fix	{4,3,2,1,120}				数据金120
308	Fix	{4,2,1,8,3}				限时14日体力药(中)x3
308	Fix	{4,3,1,1,40000}				通用银4w
						
309	Select	{5,8,1,4,1}		1		神格肽
309	Select	{5,9,1,3,1}		1		量子胞体
309	Select	{5,5,1,4,1}		1		碳原子板
309	Select	{4,3,1,1,20000}		1		通用银x20000
						
310	Fix	{4,5,12,18,1}		1		BP-DLC3.6武器箱
310	Fix	{4,1,4,4,1}		1		初级通行证
						
311	Select	{2,1,21,1,1}		1		中庭前线
311	Select	{2,2,21,1,1}		1		结晶凿
311	Select	{2,3,21,1,1}		1		全体警戒
311	Select	{2,4,21,1,1}		1		用心棒
311	Select	{2,5,21,1,1}		1		灰垒
						
312	Fix	{4,1,4,5,1}		1		高级通行证
312	Fix	{4,1,4,3,10000}		1		经验
312	Fix	{4,11,24,1,1}		1		BP-DLC3.6时装资金自选箱
312	Fix	{4,5,12,18,1}		1		BP-DLC3.6武器箱
312	Fix	{4,3,2,1,120}		1		数据金120
312	Fix	{4,2,1,8,3}		1		限时14日体力药(中)x3
312	Fix	{4,3,1,1,40000}		1		通用银4w
						
313	Select	{5,4,2,2,1}		1		狂猎碎片
313	Select	{5,4,8,2,1}		1		咎冠碎片
313	Select	{5,4,5,2,1}		1		雨燕碎片
313	Select	{5,4,10,2,1}		1		肴冬至碎片
313	Select	{5,4,4,2,1}		1		缄默碎片
						
314	Select	{2,1,21,1,1}		1		中庭前线
314	Select	{2,2,21,1,1}		1		结晶凿
314	Select	{2,3,21,1,1}		1		全体警戒
314	Select	{2,4,21,1,1}		1		用心棒
314	Select	{2,5,21,1,1}		1		灰垒
						
315	Select	{2,1,21,1,1}		1		中庭前线
315	Select	{2,2,21,1,1}		1		结晶凿
315	Select	{2,3,21,1,1}		1		全体警戒
315	Select	{2,4,21,1,1}		1		用心棒
315	Select	{2,5,21,1,1}		1		灰垒
						
316	Select	{2,1,21,1,1}		1		中庭前线
316	Select	{2,2,21,1,1}		1		结晶凿
316	Select	{2,3,21,1,1}		1		全体警戒
316	Select	{2,4,21,1,1}		1		用心棒
316	Select	{2,5,21,1,1}		1		灰垒
						
317	Select	{2,1,21,1,1}		1		中庭前线
317	Select	{2,2,21,1,1}		1		结晶凿
317	Select	{2,3,21,1,1}		1		全体警戒
317	Select	{2,4,21,1,1}		1		用心棒
317	Select	{2,5,21,1,1}		1		灰垒
						
318	Select	{2,4,18,1,1}		1		松林极光
318	Select	{2,5,22,1,1}		1		朱书断邪
318	Select	{2,4,20,1,1}		1		普赛克16
318	Select	{2,1,25,1,1}		1		合金真理
318	Select	{2,2,22,1,1}		1		王牌怪诞
318	Select	{2,6,4,1,1}		1		海王星
318	Select	{2,3,24,1,1}		1		镭射风虎
318	Select	{5,13,2,1,30}		1		武器组件x30
						
319	Select	{2,4,18,1,1}		1		松林极光
319	Select	{2,5,22,1,1}		1		朱书断邪
319	Select	{2,4,20,1,1}		1		普赛克16
319	Select	{2,1,25,1,1}		1		合金真理
319	Select	{2,2,22,1,1}		1		王牌怪诞
319	Select	{2,6,4,1,1}		1		海王星
319	Select	{2,3,24,1,1}		1		镭射风虎
319	Select	{2,1,27,1,1}		1		白夜别诗
319	Select	{2,4,26,1,1}		1		渊光
319	Select	{5,13,2,1,30}		1		武器组件x30
						
320	Select	{4,5,7,7,1}		1		DLC23高级武器适配舱
320	Select	{4,5,9,6,1}		1		DLC23高级天启者邀请函
						
321	Select	{2,4,18,1,1}		1		松林极光
321	Select	{2,5,22,1,1}		1		朱书断邪
321	Select	{2,4,20,1,1}		1		普赛克16
321	Select	{2,1,25,1,1}		1		合金真理
321	Select	{2,2,22,1,1}		1		王牌怪诞
321	Select	{2,6,4,1,1}		1		海王星
321	Select	{2,3,24,1,1}		1		镭射风虎
321	Select	{2,1,27,1,1}		1		白夜别诗
321	Select	{2,4,26,1,1}		1		渊光
321	Select	{2,3,26,1,1}		1		王权连枷
321	Select	{2,7,3,1,1}		1		九夜之冕
321	Select	{2,5,24,1,1}		1		捕心先锋
321	Select	{2,4,28,1,1}		1		抓拍胜机
321	Select	{2,5,26,1,1}		1		晴海星埃
321	Select	{2,3,28,1,1}		1		深渊幽灵
321	Select	{2,1,17,1,1}		1		星尘回忆
321	Select	{2,1,18,1,1}		1		百战老兵
321	Select	{2,2,17,1,1}		1		虎鲸号角
321	Select	{2,2,4,1,1}		1		奥林匹斯
321	Select	{2,2,19,1,1}		1		太空骑手
321	Select	{2,3,17,1,1}		1		太阳酬金
321	Select	{2,3,4,1,1}		1		小粮食
321	Select	{2,4,3,1,1}		1		星辰大海
321	Select	{2,5,3,1,1}		1		审判前夜
321	Select	{2,5,19,1,1}		1		熔岩骨骼
321	Select	{5,13,2,1,30}		1		武器组件x30
						
322	Select	{2,2,26,1,1}				真实之空
322	Select	{2,5,28,1,1}				夕潮
322	Select	{2,3,30,1,1}				紫棘
322	Select	{2,1,29,1,1}				星熔靛夜
322	Select	{2,8,3,1,1}				茜羽破空
322	Select	{2,4,30,1,1}				流焰融金
322	Select	{2,2,24,1,1}				极速烈闪
322	Select	{2,3,28,1,1}				深渊幽灵
322	Select	{2,5,26,1,1}				晴海星埃
322	Select	{2,4,28,1,1}				抓拍胜机
322	Select	{2,5,24,1,1}				捕心先锋
322	Select	{2,7,3,1,1}				九夜之冕
322	Select	{2,3,26,1,1}				王权连枷
322	Select	{2,4,26,1,1}				渊光
322	Select	{2,1,27,1,1}				白夜别诗
322	Select	{2,3,24,1,1}				镭射风虎
322	Select	{2,6,4,1,1}				海王星
322	Select	{2,2,22,1,1}				王牌怪诞
322	Select	{2,1,25,1,1}				合金真理
322	Select	{2,4,20,1,1}				普赛克16
322	Select	{2,5,22,1,1}				朱书断邪
322	Select	{2,4,18,1,1}				松林极光
322	Select	{2,4,3,1,1}				星辰大海
322	Select	{2,1,18,1,1}				百战老兵
322	Select	{2,2,4,1,1}				奥林匹斯
322	Select	{2,3,4,1,1}				小粮食
322	Select	{2,5,3,1,1}				审判前夜
322	Select	{2,2,17,1,1}				虎鲸号角
322	Select	{2,1,17,1,1}				星尘回忆
322	Select	{2,2,19,1,1}				太空骑手
322	Select	{2,3,17,1,1}				太阳酬金
322	Select	{2,5,19,1,1}				熔岩骨骼
322	Select	{5,13,2,1,30}				武器组件*30
						
401	Fix	{17,4,1,1,1}		1		手枪武器皮
401	Fix	{4,3,2,1,280}		1		数据金x280
						
601	Fix	{5,21,1,5,10}		1		共鸣誓约x10
601	Fix	{4,3,2,1,660}		1		数据金x660
601	Fix	{4,2,1,3,1}		1		体力药(中)
601	Fix	{4,3,1,1,50000}		1		通用银5w
						
602	Fix	{5,21,2,5,10}		1		定制合约x10
602	Fix	{4,3,2,1,660}		1		数据金x660
602	Fix	{4,2,1,3,1}		1		体力药(中)
602	Fix	{4,3,1,1,50000}		1		通用银5w
						
						
603	Select	{2,1,24,1,1}		1		阳光水纹
603	Select	{2,3,23,1,1}		1		海洋童子军
603	Select	{2,4,23,1,1}		1		街头丛林
603	Select	{2,1,22,1,1}		1		卫兵
						
604	Fix	{4,3,2,1,1000}		1		数据金1000
604	Fix	{5,9,1,2,10}		1		光纤轴突10
604	Fix	{4,2,1,3,2}		1		巴德尔试剂(中)2
604	Fix	{4,3,1,1,100000}		1		通用银100000
						
605	Fix	{4,3,2,1,1300}		1		数据金1300
605	Fix	{5,21,1,5,10}		1		共鸣誓约x10
605	Fix	{5,21,2,5,10}		1		定制合约x10
605	Fix	{5,1,1,4,5}		1		精英战斗记录5
605	Fix	{5,2,1,4,5}		1		珍惜强化套件5
605	Fix	{5,9,1,3,2}		1		量子胞体2
605	Fix	{5,5,1,4,2}		1		碳原子板2
						
606	Fix	{5,9,1,2,24}				光纤轴突x24
606	Fix	{5,5,1,2,30}				芳烃塑料x30
606	Fix	{5,5,1,1,42}				合成颗粒x42
606	Fix	{4,3,1,1,300000}				通用银x300000
						
607	Fix	{4,3,2,1,120}				数据金*120
607	Fix	{5,21,1,5,1}				天启者共鸣誓约*1
607	Fix	{4,3,1,1,20000}				通用银*20000
						
608	Fix	{4,3,2,1,660}				数据金*660
608	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
608	Fix	{4,2,1,3,1}				体力药(中)
608	Fix	{4,3,1,1,50000}				通用银*50000
						
609	Fix	{5,21,1,5,2}				天启者共鸣誓约*2
609	Fix	{4,2,1,4,1}				体力药(大)
						
610	Fix	{4,3,2,1,1000}				数据金1000
610	Fix	{5,3,1,4,2}				特级职级认证*2
610	Fix	{4,3,1,1,200000}				通用银x200000
						
611	Fix	{4,3,2,1,660}				数据金*660
611	Fix	{5,21,2,5,10}				武器定制合约*10
611	Fix	{4,2,1,3,1}				体力药(中)
611	Fix	{4,3,1,1,50000}				通用银*50000
						
612	Fix	{4,3,2,1,660}				数据金*660
612	Fix	{5,21,1,5,10}				天启者共鸣誓约*10
612	Fix	{4,2,1,3,1}				体力药(中)
612	Fix	{4,3,1,1,50000}				通用银*50000
						
613	Fix	{4,3,2,1,660}				数据金*660
613	Fix	{5,21,2,5,10}				武器定制合约*10
613	Fix	{4,2,1,3,1}				体力药(中)
613	Fix	{4,3,1,1,50000}				通用银*50000
						
614	Fix	{4,3,2,1,1000}				数据金1000
614	Fix	{5,9,1,2,10}				光纤轴突10
614	Fix	{4,2,1,3,2}				巴德尔试剂(中)2
614	Fix	{4,3,1,1,100000}				通用银100000
						
615	Fix	{4,3,2,1,1300}				数据金1300
615	Fix	{5,21,1,5,10}				共鸣誓约x10
615	Fix	{5,21,2,5,10}				定制合约x10
615	Fix	{5,1,1,4,5}				精英战斗记录5
615	Fix	{5,2,1,4,5}				珍惜强化套件5
615	Fix	{5,9,1,3,2}				量子胞体2
