期数id	等级	普通奖励{g,d,p,l,n}	地区限制目前可填：0国内外,1国内,2海外	重点奖励标记
10	19	{4,3,1,1,16000}		
10	20	{5,29,9,1,20}		
11	1	{5,29,10,1,15}		
11	2	{4,3,1,1,15000}		
11	3	{5,29,10,1,15}		
11	4	{4,3,1,1,15000}		
11	5	{5,29,10,1,15}		
11	6	{4,3,1,1,15000}		
11	7	{5,29,10,1,15}		
11	8	{4,3,1,1,15000}		
11	9	{5,29,10,1,15}		
11	10	{4,3,1,1,15000}		
11	11	{5,29,10,1,15}		
11	12	{4,3,1,1,15000}		
11	13	{5,29,10,1,15}		
11	14	{4,3,1,1,15000}		
11	15	{5,29,10,1,15}		
11	16	{4,3,1,1,15000}		
11	17	{11,1,31,1,1}		
11	18	{4,3,1,1,15000}		
11	19	{5,29,10,1,15}		
11	20	{4,3,1,1,15000}		
12	1	{4,3,1,1,7500}		
12	2	{4,1,6,5,15}		
12	3	{5,29,10,1,10}		
12	4	{4,3,1,1,7500}		
12	5	{4,1,6,5,15}		
12	6	{5,29,10,1,10}		
12	7	{4,3,1,1,7500}		
12	8	{4,1,6,5,15}		
12	9	{5,29,10,1,10}		
12	10	{4,3,1,1,10000}		
12	11	{4,1,6,5,20}		
12	12	{5,29,10,1,15}		
12	13	{4,3,1,1,10000}		
12	14	{4,1,6,5,20}		
12	15	{5,29,10,1,15}		
12	16	{4,3,1,1,10000}		
12	17	{4,1,6,5,20}		
12	18	{5,29,10,1,15}		
12	19	{4,3,1,1,10000}		
12	20	{9,2,63,1,1}		
12	21	{4,1,6,5,20}		
12	22	{5,29,10,1,15}		
12	23	{4,3,1,1,15000}		
12	24	{4,1,6,5,25}		
12	25	{5,29,10,1,20}		
12	26	{4,3,1,1,15000}		
12	27	{4,1,6,5,25}		
12	28	{5,29,10,1,20}		
12	29	{4,3,1,1,15000}		
12	30	{4,1,6,5,25}		
13	1	{4,3,1,1,16000}		
13	2	{5,29,11,1,20}		
13	3	{4,3,1,1,16000}		
13	4	{5,29,11,1,20}		
13	5	{4,3,1,1,16000}		
13	6	{5,29,11,1,20}		
13	7	{4,3,1,1,16000}		
13	8	{5,29,11,1,20}		
13	9	{4,3,1,1,16000}		
13	10	{5,29,11,1,20}		
13	11	{4,3,1,1,16000}		
13	12	{5,29,11,1,20}		
13	13	{4,3,1,1,16000}		
13	14	{5,29,11,1,20}		
13	15	{13,1,22,1,1}		
13	16	{5,29,11,1,20}		
13	17	{4,3,1,1,16000}		
13	18	{5,29,11,1,20}		
13	19	{4,3,1,1,16000}		
13	20	{5,29,11,1,20}		
14	1	{5,29,12,1,15}		
14	2	{4,3,1,1,15000}		
14	3	{5,29,12,1,15}		
14	4	{4,3,1,1,15000}		
14	5	{5,29,12,1,15}		
14	6	{4,3,1,1,15000}		
14	7	{5,29,12,1,15}		
14	8	{4,3,1,1,15000}		
14	9	{5,29,12,1,15}		
14	10	{4,3,1,1,15000}		
14	11	{5,29,12,1,15}		
14	12	{4,3,1,1,15000}		
14	13	{5,29,12,1,15}		
14	14	{4,3,1,1,15000}		
14	15	{5,29,12,1,15}		
14	16	{4,3,1,1,15000}		
14	17	{11,1,40,1,1}		
14	18	{4,3,1,1,15000}		
14	19	{5,29,12,1,15}		
14	20	{4,3,1,1,15000}		
15	1	{4,3,1,1,7500}		
15	2	{4,1,6,5,15}		
15	3	{5,29,12,1,10}		
15	4	{4,3,1,1,7500}		
15	5	{4,1,6,5,15}		
15	6	{5,29,12,1,10}		
15	7	{4,3,1,1,7500}		
15	8	{4,1,6,5,15}		
15	9	{5,29,12,1,10}		
15	10	{4,3,1,1,10000}		
15	11	{4,1,6,5,20}		
15	12	{5,29,12,1,15}		
15	13	{4,3,1,1,10000}		
15	14	{4,1,6,5,20}		
15	15	{5,29,12,1,15}		
15	16	{4,3,1,1,10000}		
15	17	{4,1,6,5,20}		
15	18	{5,29,12,1,15}		
15	19	{4,3,1,1,10000}		
15	20	{9,2,77,1,1}		
15	21	{4,1,6,5,20}		
15	22	{5,29,12,1,15}		
15	23	{4,3,1,1,15000}		
15	24	{4,1,6,5,25}		
15	25	{5,29,12,1,20}		
15	26	{4,3,1,1,15000}		
15	27	{4,1,6,5,25}		
15	28	{5,29,12,1,20}		
15	29	{4,3,1,1,15000}		
15	30	{4,1,6,5,25}		
17	1	{4,3,1,1,16000}		
17	2	{5,29,14,1,20}		
17	3	{4,3,1,1,16000}		
17	4	{5,29,14,1,20}		
17	5	{4,3,1,1,16000}		
17	6	{5,29,14,1,20}		
17	7	{4,3,1,1,16000}		
17	8	{5,29,14,1,20}		
17	9	{4,3,1,1,16000}		
17	10	{5,29,14,1,20}		
17	11	{4,3,1,1,16000}		
17	12	{5,29,14,1,20}		
17	13	{4,3,1,1,16000}		
17	14	{5,29,14,1,20}		
17	15	{13,1,30,1,1}		
17	16	{5,29,14,1,20}		
17	17	{4,3,1,1,16000}		
17	18	{5,29,14,1,20}		
17	19	{4,3,1,1,16000}		
17	20	{5,29,14,1,20}		
18	1	{5,29,15,1,15}		
18	2	{4,3,1,1,15000}		
18	3	{5,29,15,1,15}		
18	4	{4,3,1,1,15000}		
18	5	{5,29,15,1,15}		
18	6	{4,3,1,1,15000}		
18	7	{5,29,15,1,15}		
18	8	{4,3,1,1,15000}		
18	9	{5,29,15,1,15}		
18	10	{4,3,1,1,15000}		
18	11	{5,29,15,1,15}		
18	12	{4,3,1,1,15000}		
18	13	{5,29,15,1,15}		
18	14	{4,3,1,1,15000}		
18	15	{5,29,15,1,15}		
18	16	{4,3,1,1,15000}		
18	17	{11,1,52,1,1}		
18	18	{4,3,1,1,15000}		
18	19	{5,29,15,1,15}		
18	20	{4,3,1,1,15000}		
19	1	{4,3,1,1,8000}		
19	2	{5,29,16,1,10}		
19	3	{4,3,1,1,8000}		
19	4	{5,29,16,1,10}		
19	5	{4,3,1,1,8000}		
19	6	{5,29,16,1,10}		
19	7	{4,3,1,1,8000}		
19	8	{5,29,16,1,20}		
19	9	{4,3,1,1,8000}		
19	10	{5,29,16,1,20}		
19	11	{4,3,1,1,8000}		
19	12	{5,29,16,1,20}		
19	13	{4,3,1,1,8000}		
19	14	{5,29,16,1,20}		
19	15	{4,3,1,1,8000}		
19	16	{5,29,16,1,20}		
19	17	{4,3,1,1,8000}		
19	18	{5,29,16,1,20}		
19	19	{4,3,1,1,8000}		
19	20	{13,1,33,1,1}		onlinesea.ImportantAward
19	21	{4,3,1,1,8000}		
19	22	{4,3,1,1,8000}		
19	23	{4,3,1,1,8000}		
19	24	{4,3,1,1,8000}		
19	25	{4,3,1,1,8000}		
19	26	{4,3,1,1,8000}		
19	27	{4,3,1,1,8000}		
19	28	{4,3,1,1,8000}		
19	29	{4,3,1,1,8000}		
19	30	{4,3,1,1,8000}		
20	1	{4,3,1,1,7500}		
20	2	{4,1,6,5,15}		
20	3	{5,29,16,1,10}		
20	4	{4,3,1,1,7500}		
20	5	{4,1,6,5,15}		
20	6	{5,29,16,1,10}		
20	7	{4,3,1,1,7500}		
20	8	{4,1,6,5,15}		
20	9	{5,29,16,1,10}		
20	10	{4,3,1,1,10000}		
20	11	{4,1,6,5,20}		
20	12	{5,29,16,1,15}		
20	13	{4,3,1,1,10000}		
20	14	{4,1,6,5,20}		
20	15	{5,29,16,1,15}		
20	16	{4,3,1,1,10000}		
20	17	{4,1,6,5,20}		
20	18	{5,29,16,1,15}		
20	19	{4,3,1,1,10000}		
20	20	{9,2,96,1,1}		
20	21	{4,1,6,5,20}		
20	22	{5,29,16,1,15}		
20	23	{4,3,1,1,15000}		
20	24	{4,1,6,5,25}		
20	25	{5,29,16,1,20}		
20	26	{4,3,1,1,15000}		
20	27	{4,1,6,5,25}		
20	28	{5,29,16,1,20}		
20	29	{4,3,1,1,15000}		
20	30	{4,1,6,5,25}		
20	31	{4,3,1,1,5000}		
20	32	{4,3,1,1,5000}		
20	33	{4,1,6,5,10}		
20	34	{4,3,1,1,5000}		
20	35	{4,1,6,5,10}		
20	36	{4,3,1,1,5000}		
20	37	{4,1,6,5,10}		
20	38	{4,3,1,1,5000}		
20	39	{4,1,6,5,10}		
20	40	{4,3,1,1,5000}		
21	1	{4,3,1,1,7000}		
21	2	{5,29,17,1,20}		
21	3	{4,3,1,1,7000}		
21	4	{5,29,17,1,20}		
21	5	{4,3,1,1,10000}		
21	6	{5,29,17,1,25}		
21	7	{4,3,1,1,10000}		
21	8	{5,29,17,1,25}		
21	9	{4,3,1,1,15000}		
21	10	{13,1,36,1,1}		TowerRush.ImportantAward
21	11	{4,3,1,1,18000}		
21	12	{5,29,17,1,30}		
21	13	{4,3,1,1,18000}		
21	14	{5,29,17,1,30}		
21	15	{4,3,1,1,30000}		
21	16	{4,3,1,1,9000}		
21	17	{4,3,1,1,9000}		
21	18	{4,3,1,1,9000}		
21	19	{4,3,1,1,9000}		
21	20	{4,3,1,1,9000}		
22	1	{5,29,18,1,15}		
22	2	{4,3,1,1,15000}		
22	3	{5,29,18,1,15}		
22	4	{4,3,1,1,15000}		
22	5	{5,29,18,1,15}		
22	6	{4,3,1,1,15000}		
22	7	{5,29,18,1,15}		
22	8	{4,3,1,1,15000}		
22	9	{5,29,18,1,15}		
22	10	{4,3,1,1,15000}		
22	11	{5,29,18,1,15}		
22	12	{4,3,1,1,15000}		
22	13	{5,29,18,1,15}		
22	14	{4,3,1,1,15000}		
22	15	{5,29,18,1,15}		
22	16	{4,3,1,1,15000}		
22	17	{11,1,63,1,1}		
22	18	{4,3,1,1,15000}		
22	19	{5,29,18,1,15}		
22	20	{4,3,1,1,15000}		
23	1	{4,3,1,1,7500}		
23	2	{4,1,6,5,15}		
23	3	{5,29,18,1,10}		
23	4	{4,3,1,1,7500}		
23	5	{4,1,6,5,15}		
23	6	{5,29,18,1,10}		
23	7	{4,3,1,1,7500}		
23	8	{4,1,6,5,15}		
23	9	{5,29,18,1,10}		
23	10	{4,3,1,1,10000}		
23	11	{4,1,6,5,20}		
23	12	{5,29,18,1,15}		
23	13	{4,3,1,1,10000}		
23	14	{4,1,6,5,20}		
23	15	{5,29,18,1,15}		
23	16	{4,3,1,1,10000}		
23	17	{4,1,6,5,20}		
23	18	{5,29,18,1,15}		
23	19	{4,3,1,1,10000}		
23	20	{5,29,18,1,15}		
23	21	{4,1,6,5,20}		
23	22	{5,29,18,1,15}		
23	23	{4,3,1,1,15000}		
23	24	{4,1,6,5,25}		
23	25	{5,29,18,1,20}		
23	26	{4,3,1,1,15000}		
23	27	{4,1,6,5,25}		
23	28	{5,29,18,1,20}		
23	29	{4,3,1,1,15000}		
23	30	{4,1,6,5,25}		
23	31	{4,3,1,1,5000}		
23	32	{4,3,1,1,5000}		
23	33	{4,1,6,5,10}		
23	34	{4,3,1,1,5000}		
23	35	{4,1,6,5,10}		
23	36	{4,3,1,1,5000}		
23	37	{4,1,6,5,10}		
23	38	{4,3,1,1,5000}		
23	39	{4,1,6,5,10}		
23	40	{4,3,1,1,5000}		
24	1	{4,3,1,1,7500}		
24	2	{4,1,6,5,15}		
24	3	{5,29,19,1,10}		
24	4	{4,3,1,1,7500}		
24	5	{4,1,6,5,15}		
24	6	{5,29,19,1,10}		
24	7	{4,3,1,1,7500}		
24	8	{4,1,6,5,15}		
24	9	{5,29,19,1,10}		
24	10	{4,3,1,1,10000}		
24	11	{4,1,6,5,20}		
24	12	{5,29,19,1,15}		
24	13	{4,3,1,1,10000}		
24	14	{4,1,6,5,20}		
24	15	{5,29,19,1,15}		
24	16	{4,3,1,1,10000}		
24	17	{4,1,6,5,20}		
24	18	{5,29,19,1,15}		
24	19	{4,3,1,1,10000}		
24	20	{9,2,108,1,1}		
24	21	{4,1,6,5,20}		
24	22	{5,29,19,1,15}		
24	23	{4,3,1,1,15000}		
24	24	{4,1,6,5,25}		
24	25	{5,29,19,1,20}		
24	26	{4,3,1,1,15000}		
24	27	{4,1,6,5,25}		
24	28	{5,29,19,1,20}		
24	29	{4,3,1,1,15000}		
24	30	{4,1,6,5,25}		
24	31	{4,3,1,1,5000}		
24	32	{4,3,1,1,5000}		
24	33	{4,1,6,5,10}		
24	34	{4,3,1,1,5000}		
24	35	{4,1,6,5,10}		
24	36	{4,3,1,1,5000}		
24	37	{4,1,6,5,10}		
24	38	{4,3,1,1,5000}		
24	39	{4,1,6,5,10}		
24	40	{4,3,1,1,5000}		
25	1	{4,3,1,1,8000}		
25	2	{5,29,20,1,10}		
25	3	{4,3,1,1,8000}		
25	4	{5,29,20,1,10}		
25	5	{4,3,1,1,8000}		
25	6	{5,29,20,1,10}		
25	7	{4,3,1,1,8000}		
25	8	{5,29,20,1,20}		
25	9	{4,3,1,1,8000}		
25	10	{5,29,20,1,20}		
25	11	{4,3,1,1,8000}		
25	12	{5,29,20,1,20}		
25	13	{4,3,1,1,8000}		
25	14	{5,29,20,1,20}		
25	15	{4,3,1,1,8000}		
25	16	{5,29,20,1,20}		
25	17	{4,3,1,1,8000}		
25	18	{5,29,20,1,20}		
25	19	{4,3,1,1,8000}		
25	20	{13,1,45,1,1}		onlinesea.ImportantAward
25	21	{4,3,1,1,8000}		
25	22	{4,3,1,1,8000}		
25	23	{4,3,1,1,8000}		
25	24	{4,3,1,1,8000}		
25	25	{4,3,1,1,8000}		
25	26	{4,3,1,1,8000}		
25	27	{4,3,1,1,8000}		
25	28	{4,3,1,1,8000}		
25	29	{4,3,1,1,8000}		
25	30	{4,3,1,1,8000}		
26	1	{4,3,1,1,7500}		
26	2	{4,1,6,5,15}		
26	3	{5,29,20,1,10}		
26	4	{4,3,1,1,7500}		
26	5	{4,1,6,5,15}		
26	6	{5,29,20,1,10}		
26	7	{4,3,1,1,7500}		
26	8	{4,1,6,5,15}		
26	9	{5,29,20,1,10}		
26	10	{4,3,1,1,10000}		
26	11	{4,1,6,5,20}		
26	12	{5,29,20,1,15}		
26	13	{4,3,1,1,10000}		
26	14	{4,1,6,5,20}		
26	15	{5,29,20,1,15}		
26	16	{4,3,1,1,10000}		
26	17	{4,1,6,5,20}		
26	18	{5,29,20,1,15}		
26	19	{4,3,1,1,10000}		
26	20	{9,2,115,1,1}		
26	21	{4,1,6,5,20}		
26	22	{5,29,20,1,15}		
26	23	{4,3,1,1,15000}		
26	24	{4,1,6,5,25}		
26	25	{5,29,20,1,20}		
26	26	{4,3,1,1,15000}		
26	27	{4,1,6,5,25}		
26	28	{5,29,20,1,20}		
26	29	{4,3,1,1,15000}		
26	30	{4,1,6,5,25}		
26	31	{4,3,1,1,5000}		
26	32	{4,3,1,1,5000}		
26	33	{4,1,6,5,10}		
26	34	{4,3,1,1,5000}		
26	35	{4,1,6,5,10}		
26	36	{4,3,1,1,5000}		
26	37	{4,1,6,5,10}		
26	38	{4,3,1,1,5000}		
26	39	{4,1,6,5,10}		
26	40	{4,3,1,1,5000}		
27	1	{4,3,1,1,7000}		
27	2	{5,29,17,1,20}		
27	3	{4,3,1,1,7000}		
27	4	{5,29,17,1,20}		
27	5	{4,3,1,1,10000}		
27	6	{5,29,17,1,25}		
27	7	{4,3,1,1,10000}		
27	8	{5,29,17,1,25}		
27	9	{4,3,1,1,15000}		
27	10	{13,1,36,1,1}		TowerRush.ImportantAward
27	11	{4,3,1,1,18000}		
27	12	{5,29,17,1,30}		
27	13	{4,3,1,1,18000}		
27	14	{5,29,17,1,30}		
27	15	{4,3,1,1,30000}		
27	16	{4,3,1,1,9000}		
27	17	{4,3,1,1,9000}		
27	18	{4,3,1,1,9000}		
27	19	{4,3,1,1,9000}		
27	20	{4,3,1,1,9000}		
