活动Id	备注文本	玩法名称（难度名称）	玩法类型(1普通2永续3勇者4联机boss5绝地6火线7海姆8禁区9脉冲10航海11绘梦沙盘)	分组(填外壳id)	分组名字(外层玩法名称)	难度(1普通2困难)	开放时间(周几开放 {...})	起始时间	结束时间	领奖结束时间	时间段(单位小时)	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具）	最大人数	匹配最长等待时间（秒），不填或填0则会一直等待匹配，直到人满	轮换关卡	每期增益角色轮换	增益角色按时间配置（优先用此规则，未配置时，按老的GainRole规则）	每个角色增益的百分比(100)	试用角色	场景词缀（0玩家，1怪物）	体力消耗(进入)	未正常通关返还百分比(0-1)	代币门槛(类型3{代币Id,消耗数量,每日累积最大体力,多少体力给1代币})	玩法卡面背景	玩法卡面ICON	玩法说明	玩法介绍(helpimages.txt里面id)	地图预览图	自定义数据(防守玩法时:{活动id(关联任务，没有配0),可获得积分,推荐等级}3类型:{活动id}4类型:{最大伤害,怪物等级}5类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级}8类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级,武器数据版本号默认1}9类型:{BP期数(联机BP，没有配0),可获得积分,推荐等级,插槽数量,收藏期数（每期不同）}10类型:{BP期数(联机BP，没有配0),推荐等级,模组期数（每期不同）,代币id} 12类型{{期数},{需要清理的货币id}}13进击行动{关联赛季id, 推荐等级})	常规隐藏(1隐藏)	单机训练关卡(5类型使用)	地区限制目前可填：{zh_CN,....},不填则无限制）	禁区协议关卡轮换时间（小时）
10	<DLC5>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	10	ui.TxtOnlineEvent14	1		[202402191000]	[202403040400]	[202403040400]		{{1,30}}	3		{{84}}	{{{15,1},{4,2},{6,2},{1,2},{11,1},{8,1}},{{15,1},{4,2},{6,2},{2,2},{11,1},{7,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{78,200,40}				
11	<DLC5>永续联战-困难	ui.online_defend_difficult2	2	10	ui.TxtOnlineEvent14	2		[202402231000]	[202403040400]	[202403040400]		{{1,30}}	3		{{85}}	{{{15,1},{4,2},{6,2},{1,2},{11,1},{8,1}},{{15,1},{4,2},{6,2},{2,2},{11,1},{7,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{78,300,80}				
12	<DLC6>绝地防线-简单	ui.online_defend_difficult1	5	12	ui.TxtDLC6.BtnEvent	1		[202403111000]	[202403280400]	[202403280400]		{{1,30}}	3		{{86}}	{{{16,1},{12,2},{8,2},{2,2},{4,1},{7,1}}},{{{16,1},{12,2},{8,2},{1,2},{14,1},{5,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	75		{1,215,40}				
13	<DLC6>绝地防线-困难	ui.online_defend_difficult2	5	12	ui.TxtDLC6.BtnEvent	2		[202403151000]	[202403280400]	[202403280400]		{{1,30}}	3		{{87}}	{{{16,1},{12,2},{8,2},{2,2},{4,1},{7,1}}},{{{16,1},{12,2},{8,2},{1,2},{14,1},{5,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	75		{1,320,80}				
14	<DLC6>联机boss第4期	ui.TxtOnlineBossItem5	4					[202403150400]	[202403250400]			{{16,2400000}}	3		{{99}}						0	1		1804055		chapter.level_des_9034			{1545640,80}	1			
15	<DLC6>勇者游戏	ui.TxtBraveGame	3					[202404011000]	[202404150400]	[202404150400]		{{1,20}}	3		{{11,12,13}}	{{{16,1},{12,2},{8,2},{2,2},{4,1},{7,1}}},{{{16,1},{12,2},{8,2},{1,2},{14,1},{5,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
16	<DLC7>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	16	ui.TxtOnlineEvent14	1		[202405131000]	[202405270400]	[202405270400]		{{1,30}}	3		{{88}}	{{{7,2},{17,1},{4,2},{12,1},{13,1},{3,1}},{{7,2},{1,2},{15,1},{5,1},{4,1},{6,1}},{{7,2},{11,2},{4,2},{8,1},{6,1},{14,1}},{{11,2},{17,1},{8,2},{1,1},{13,1},{6,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{110,200,40}				
17	<DLC7>永续联战-困难	ui.online_defend_difficult2	2	16	ui.TxtOnlineEvent14	2		[202405171000]	[202405270400]	[202405270400]		{{1,30}}	3		{{89}}	{{{7,2},{17,1},{4,2},{12,1},{13,1},{3,1}},{{7,2},{1,2},{15,1},{5,1},{4,1},{6,1}},{{7,2},{11,2},{4,2},{8,1},{6,1},{14,1}},{{11,2},{17,1},{8,2},{1,1},{13,1},{6,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{110,300,80}				
20	<DLC7>联机boss第5期	ui.TxtOnlineBossItem5	4					[202404260400]	[202405060400]			{{16,1900000}}	3		{{94}}						0	1		1804055		chapter.level_des_9044			{1181960,80}	1			
21	<DLC8>勇者游戏	ui.TxtBraveGame	3					[202406240400]	[202407080400]	[202407080400]		{{1,20}}	3		{{14,15,16}}	{{{13,2},{15,1},{10,2},{5,2},{4,1},{2,1}},{{13,2},{15,1},{8,2},{15,2},{4,1},{5,1}},{{13,2},{15,1},{6,2},{17,1},{4,1},{10,1}},{{13,2},{15,1},{12,2},{11,2},{4,1},{8,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
22	<DLC8>绝地防线2期-普通	ui.online_defend_difficult1	5	22	ui.TxtDLC6.BtnEvent	1		[202406031000]	[202406170400]	[202406170400]		{{1,30}}	3		{{70}}	{{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}},{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}},{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}},{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	75		{3,215,40}				
23	<DLC8>绝地防线2期-困难	ui.online_defend_difficult2	5	22	ui.TxtDLC6.BtnEvent	2		[202406071000]	[202406170400]	[202406170400]		{{1,30}}	3		{{71}}	{{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}},{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}},{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}},{{13,2},{15,1},{7,2},{6,2},{14,2},{4,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	75		{3,320,80}				
24	<DLC8>联机boss第6期	ui.TxtOnlineBossItem5	4					[202406100400]	[202406200400]			{{16,1700000}}	3		{{94}}						0	1		1804055		chapter.level_des_9054			{1102132,80}	1			
25	<DLC9>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	25	ui.TxtOnlineEvent14	1		[202407220400]	[202408050400]	[202408050400]		{{1,30}}	3		{{90}}	{{{8,3},{2,3},{16,1},{5,2},{4,1},{2,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{151,200,40}				
26	<DLC9>永续联战-困难	ui.online_defend_difficult2	2	25	ui.TxtOnlineEvent14	2		[202407260400]	[202408050400]	[202408050400]		{{1,30}}	3		{{91}}	{{{8,3},{2,3},{16,1},{5,2},{4,1},{2,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{151,300,80}				
27	<DLC7>勇者游戏临时增补	ui.TxtBraveGame	3					[202405231000]	[202405300400]	[202405300400]		{{1,20}}	3		{{17,18,19}}	{{{7,2},{17,1},{4,2},{12,1},{13,1},{3,1}},{{7,2},{1,2},{15,1},{5,1},{4,1},{6,1}},{{7,2},{11,2},{4,2},{8,1},{6,1},{14,1}},{{11,2},{17,1},{8,2},{1,1},{13,1},{6,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
28	<DLC9>联机boss第7期	ui.TxtOnlineBossItem5	4					[202407190400]	[202407290400]			{{16,5300000}}	3		{{94}}						0	1		1804055		chapter.level_des_9064			{3273120,80}	1			
29	<DLC9>噩梦联机-位置1（同时也是外壳）		6	29	ui.TxtOnlineHardTitle			[202408080400]	[202408220400]	[202408220400]		{{1,30}}	3		{{9858,9828}}				{103127,103128,103129,103130,103131}					1804055			112		{4}				
30	<DLC9>噩梦联机-位置2		6	29	ui.TxtOnlineHardTitle			[202408080400]	[202408220400]	[202408220400]		{{1,30}}	3		{{9816,9847,9817,9857,9845,9815,9827,9847,9816,9846,9817,9857}}				{103127,103128,103129,103130,103131}					1804055			112		{4}				
31	<DLC9>噩梦联机-位置3		6	29	ui.TxtOnlineHardTitle			[202408080400]	[202408220400]	[202408220400]		{{1,30}}	3		{{9837,9805,9836,9807,9806,9835,9807,9855,9836,9837,9825,9805}}				{103127,103128,103129,103130,103131}					1804055			112		{4}				
32	<DLC9>噩梦联机-位置4		6	29	ui.TxtOnlineHardTitle			[202408080400]	[202408220400]	[202408220400]		{{1,30}}	3		{{9801,9812,9833,9842,9802,9811,9832,9843,9841,9803,9813,9831}}				{103127,103128,103129,103130,103131}					1804055			112		{4}				
33	<DLC9>勇者游戏	ui.TxtBraveGame	3					[202408050400]	[202408190400]	[202408190400]		{{1,20}}	3		{{31,32,33}}	{{{8,3},{2,3},{16,1},{5,2},{4,1},{2,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
34	<DLC2.2>海姆向前冲		7	34	ui.TxtDLC11.BtnRush			[202409260400]	[202410210400]	[202410210400]		{{1,20}}	15	60	{{9600,9601,9602,9603,9604,9605,9606,9607,9608,9609,9610,9611}}									1804055			112		{7}	1			
36	<DLC2.1>勇者游戏	ui.TxtBraveGame	3					[202409090400]	[202409230400]	[202409230400]		{{1,20}}	3		{{34,35,36}}	{{{18,1},{14,2},{7,2},{2,3},{1,2},{11,2}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
37	<DLC2.1>塔防（绝地防线3期）-简单（同时也是外壳）	ui.online_defend_difficult1	5	37	ui.TxtDLC6.BtnEvent	1		[202408261000]	[202409090400]	[202409090400]		{{1,30}}	3		{{72}}	{{{18,1},{14,2},{7,2},{8,3},{1,2},{11,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	116		{5,215,40}				
38	<DLC2.1>塔防（绝地防线3期）-困难	ui.online_defend_difficult2	5	37	ui.TxtDLC6.BtnEvent	2		[202408301000]	[202409090400]	[202409090400]		{{1,30}}	3		{{73}}	{{{18,1},{14,2},{7,2},{8,3},{1,2},{11,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	116		{5,320,80}				
39	<DLC2.2>勇者游戏	ui.TxtBraveGame	3					[202410240400]	[202411070400]	[202411070400]		{{1,20}}	3		{{37,38,39}}	{{{15,2},{5,3},{8,3},{11,2},{12,2},{13,2}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
40	<DLC2.2>禁区协议-简单（同时也是外壳）	ui.online_defend_difficult1	8	40	ui.TxtDLC11.BtnDive	1		[202410140400]	[202410280400]	[202410280400]		{{1,30}}	3		{{9701,9702,9703,9704,9705}}	{{{15,2},{5,3},{8,3},{12,2},{14,2},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent16	124		{6,215,40}				
41	<DLC2.2>禁区协议-困难	ui.online_defend_difficult2	8	40	ui.TxtDLC11.BtnDive	2		[202410180400]	[202410280400]	[202410280400]		{{1,30}}	3		{{9706,9707,9708,9709,9710}}	{{{15,2},{5,3},{8,3},{12,2},{14,2},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent16	124		{6,320,80}				
42	<DLC2.2>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	42	ui.TxtOnlineEvent14	1		[202409300400]	[202410140400]	[202410140400]		{{1,30}}	3		{{92}}	{{{15,2},{5,3},{8,3},{12,2},{14,2},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{175,200,40}				
43	<DLC2.2>永续联战-困难	ui.online_defend_difficult2	2	42	ui.TxtOnlineEvent14	2		[202410040400]	[202410140400]	[202410140400]		{{1,30}}	3		{{93}}	{{{15,2},{5,3},{8,3},{12,2},{14,2},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{175,300,80}				
44	<DLC2.3>勇者游戏	ui.TxtBraveGame	3					[202412020400]	[202412160400]	[202412160400]		{{1,20}}	3		{{40,41,42}}	{{{4,3},{2,3},{13,2},{11,2},{15,2},{18,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
45	<DLC2.3>绝地防线-简单（同时也是外壳）	ui.online_defend_difficult1	5	45	ui.TxtDLC6.BtnEvent	1		[202411251000]	[202412090400]	[202412090400]		{{1,30}}	3		{{9109}}	{{{4,3},{2,3},{13,2},{11,2},{15,2},{18,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	131		{8,215,40}				
46	<DLC2.3>绝地防线-困难	ui.online_defend_difficult2	5	45	ui.TxtDLC6.BtnEvent	2		[202411291000]	[202412090400]	[202412090400]		{{1,30}}	3		{{9110}}	{{{4,3},{2,3},{13,2},{11,2},{15,2},{18,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	131		{8,320,80}				
47	<DLC2.3>火线突击-简单（同时也是外壳）		6	47	ui.TxtOnlineHardTitle	1		[202411111000]	[202411250400]	[202411250400]		{{1,30}}	3		{{9860,9861,9870,9871},{9880,9881,9894,9895},{9890,9891,9870,9871},{9880,9881,9890,9891}}	{{{4,3},{8,3},{13,2},{11,2},{15,2},{18,1}}}		10			0	1		1804055			137		{9,200,40}				
48	<DLC2.3>火线突击--困难		6	47	ui.TxtOnlineHardTitle	2		[202411151000]	[202411250400]	[202411250400]		{{1,30}}	3		{{9882,9883,9896,9897},{9892,9893,9872,9873},{9882,9883,9892,9893},{9862,9863,9872,9873}}	{{{4,3},{8,3},{13,2},{11,2},{15,2},{18,1}}}		10			0	1		1804055			137		{9,200,80}				
50	<DLC2.4>禁区协议二期-简单（同时也是外壳）	ui.online_defend_difficult1	8	50	ui.TxtDLC11.BtnDive	1		[202501060400]	[202501200400]	[202501200400]		{{1,30}}	3		{{9702,9705,9711,9712,9713}}	{{{20,1},{15,2},{16,1},{7,2},{4,3},{12,2}}}		10			0	1		1804055		ui.TxtOnlineEvent16	124		{10,215,40,2}				
51	<DLC2.4>禁区协议二期-困难	ui.online_defend_difficult2	8	50	ui.TxtDLC11.BtnDive	2		[202501100400]	[202501200400]	[202501200400]		{{1,30}}	3		{{9707,9710,9716,9717,9718}}	{{{20,1},{15,2},{16,1},{7,2},{4,3},{12,2}}}		10			0	1		1804055		ui.TxtOnlineEvent16	124		{10,320,80,2}				
52	<DLC2.4>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	52	ui.TxtOnlineEvent14	1		[202412230400]	[202501060400]	[202501060400]		{{1,30}}	3		{{90}}	{{{20,1},{16,1},{7,2},{4,3},{5,3},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{210,200,40}				
53	<DLC2.4>永续联战-困难	ui.online_defend_difficult2	2	52	ui.TxtOnlineEvent14	2		[202412270400]	[202501060400]	[202501060400]		{{1,30}}	3		{{91}}	{{{20,1},{16,1},{7,2},{4,3},{5,3},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{210,300,80}				
54	<DLC2.4>勇者游戏	ui.TxtBraveGame	3					[202501090400]	[202501230400]	[202501230400]		{{1,20}}	3		{{14,15,16}}	{{{20,1},{15,2},{7,2},{4,3},{5,3},{13,2}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
55	<DLC2.5>勇者游戏	ui.TxtBraveGame	3					[202501250400]	[202502080400]	[202502080400]		{{1,20}}	3		{{46,47,48}}	{{{14,3},{8,3},{13,2},{18,1},{20,1},{6,2}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
56	<DLC2.5>绝地防线-简单（同时也是外壳）	ui.online_defend_difficult1	5	56	ui.TxtDLC6.BtnEvent	1		[202502170400]	[202503030400]	[202503030400]		{{1,30}}	3		{{9111}}	{{{10,3},{14,3},{5,3},{20,1},{2,3},{14,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	131		{11,215,40}				
57	<DLC2.5>绝地防线-困难	ui.online_defend_difficult2	5	56	ui.TxtDLC6.BtnEvent	2		[202502210400]	[202503030400]	[202503030400]		{{1,30}}	3		{{9112}}	{{{10,3},{14,3},{5,3},{20,1},{2,3},{14,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	131		{11,320,80}				
58	<DLC2.5>海姆向前冲-常规玩法	ui.TxtParty.Mode2	7	58	ui.TxtDLC11.BtnRush			[202501230400]	[202503060400]	[202503060400]		{{1,20}}	15	60	{{9604,9601,9609,9611,9610,9612,9613,9614,9615,9616,9617,9618}}									1804055			112		{12}	1			
59	<DLC2.5>海姆向前冲-特殊玩法	ui.TxtParty.Mode1	7	58	ui.TxtDLC11.BtnRush			[202501230400]	[202503060400]	[202503060400]		{{1,20}}	15	60	{{9619,9620,9622}}									1804055			112		{12}	1			
60	<DLC2.6>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	60	ui.TxtOnlineEvent14	1		[202503240400]	[202504070400]	[202504070400]		{{1,30}}	3		{{9905}}	{{{11,3},{4,3},{14,3},{5,3},{18,1},{20,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{266,200,40}				
61	<DLC2.6>永续联战-困难	ui.online_defend_difficult2	2	60	ui.TxtOnlineEvent14	2		[202503280400]	[202504070400]	[202504070400]		{{1,30}}	3		{{9906}}	{{{11,3},{4,3},{14,3},{5,3},{18,1},{20,1}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{266,300,80}				
62	<DLC2.6>勇者游戏	ui.TxtBraveGame	3					[202504030400]	[202504170400]	[202504170400]		{{1,20}}	3		{{49,50,51}}	{{{11,3},{4,3},{14,3},{5,3},{18,1},{20,1}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
63	<DLC2.7>勇者游戏-轮换1	ui.TxtBraveGame	3					[202505150400]	[202505290400]	[202505290400]		{{1,20}}	3		{{52,53,54}}	{{{21,1},{20,1},{3,2},{11,2},{8,3},{14,3},{15,1},{4,3},{2,3}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
67	<DLC2.6>禁区协议三期-简单（同时也是外壳）	ui.online_defend_difficult3	8	67	ui.TxtDLC11.BtnDive	1		[202503100400]	[202503240400]	[202503240400]		{{1,30}}	3		{{9720,9721,9722,9723,9711,9702}}	{{{11,3},{15,1},{14,3},{10,3},{2,3},{8,3}}}		10	{103180,103181,103182,103183,103184}		0	1		1804055		ui.TxtOnlineEvent16	124		{13,215,40,3}				
68	<DLC2.6>禁区协议三期-困难	ui.online_defend_difficult4	8	67	ui.TxtDLC11.BtnDive	2		[202503140400]	[202503240400]	[202503240400]		{{1,30}}	3		{{9724,9725},{9726,9727},{9728,9729},{9730,9731},{9732,9733},{9734,9735},{9736,9737},{9738,9739}}	{{{11,3},{15,1},{14,3},{10,3},{2,3},{8,3}}}		10	{103180,103181,103182,103183,103184}		0	1		1804055		ui.TxtOnlineEvent16	124		{13,320,80,3}				3
69	<DLC2.7>绝地防线-简单（同时也是外壳）	ui.online_defend_difficult1	5	69	ui.TxtDLC6.BtnEvent	1		[202504210400]	[202505050400]	[202505050400]		{{1,30}}	3		{{9113}}	{{{21,1},{7,2},{11,3},{15,2},{8,3},{14,3},{6,2},{12,2},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	174		{14,215,40}				
70	<DLC2.7>绝地防线-困难	ui.online_defend_difficult2	5	69	ui.TxtDLC6.BtnEvent	2		[202504250400]	[202505050400]	[202505050400]		{{1,30}}	3		{{9114}}	{{{21,1},{7,2},{11,3},{15,2},{8,3},{14,3},{6,2},{12,2},{13,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	174		{14,320,80}				
71	<DLC2.7>海姆向前冲-冲关	ui.TxtParty.Mode2	7	70	ui.TxtDLC11.BtnRush			[202504170400]	[202505290400]	[202505290400]		{{1,20}}	15	60	{{9600,9603,9605,9611,9613,9614,9615,9616,9618,9619,9620,9622}}									1804055			176		{15}	1			
72	<DLC2.7>海姆向前冲-捉迷藏	ui.TxtParty.Mode1	7	70	ui.TxtDLC11.BtnRush			[202504170400]	[202505290400]	[202505290400]		{{1,20}}	15	60	{{9623,9624,9625}}									1804055			176		{15}	1			
73	<DLC2.8>永续联战-简单（同时也是外壳）	ui.online_defend_difficult1	2	73	ui.TxtOnlineEvent14	1		[202506090400]	[202506230400]	[202506230400]		{{1,30}}	3		{{9907}}	{{{18,2},{13,2},{4,3},{2,3},{21,1},{11,3},{14,2},{8,3},{11,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{285,200,40}				
74	<DLC2.8>永续联战-困难	ui.online_defend_difficult2	2	73	ui.TxtOnlineEvent14	2		[202506130400]	[202506230400]	[202506230400]		{{1,30}}	3		{{9908}}	{{{18,2},{13,2},{4,3},{2,3},{21,1},{11,3},{14,2},{8,3},{11,2}}}		10			0	1		1804055		ui.TxtOnlineEvent15	49		{285,300,80}				
75	<DLC2.8>勇者游戏-轮换2	ui.TxtBraveGame	3					[202506260400]	[202507100400]	[202507100400]		{{1,20}}	3		{{55,56,57}}	{{{18,2},{14,3},{10,3},{2,3},{3,2},{20,1},{7,2},{8,2},{5,3}}}		10			0	1	{15,1,200,200}	1803016		ui.online_boss_LevelDes	53						
78	<DLC2.8>脉冲-简单（同时也是外壳）	ui.online_defend_difficult1	9	78	ui.TxtTowerRush	1		[202506050400]	[202506230400]	[202506230400]		{{1,30}}	3		{{9500}}	{{{18,2},{13,2},{4,3},{2,3},{21,1},{11,3},{14,2},{8,3},{11,2}}}		10			0	1		1803115			185		{16,215,40,1,78}		{9502}		
79	<DLC2.8>脉冲--困难	ui.online_defend_difficult2	9	78	ui.TxtTowerRush	2		[202506090400]	[202506230400]	[202506230400]		{{1,30}}	3		{{9501}}	{{{18,2},{13,2},{4,3},{2,3},{21,1},{11,3},{14,2},{8,3},{11,2}}}		10			0	1		1803115			185		{16,320,80,3,78}		{9502}		
80	<DLC3.0>禁区协议四期-简单（同时也是外壳）	ui.online_defend_difficult3	8	80	ui.TxtDLC11.BtnDive	1		[202507280400]	[202508110400]	[202508110400]		{{1,30}}	3		{{9741,9742,9743,9701}}	{{{15,3},{17,2},{20,1},{2,3},{11,3},{5,3},{8,3},{18,2},{21,1}}}		10	{103203,103204,103205,103206,103207}		0	1		1804055		ui.TxtOnlineEvent16	124		{17,215,40,4}				
81	<DLC3.0>禁区协议四期-困难	ui.online_defend_difficult4	8	80	ui.TxtDLC11.BtnDive	2		[202508010400]	[202508110400]	[202508110400]		{{1,30}}	3		{{9751,9752},{9753,9754},{9755,9717},{9706,9708}}	{{{15,3},{17,2},{20,1},{2,3},{11,3},{5,3},{8,3},{18,2},{21,1}}}		10	{103203,103204,103205,103206,103207}		0	1		1804055		ui.TxtOnlineEvent16	124		{17,320,80,4}				3
