关卡ID	备注	关卡名称	玩家参与人数	地图ID	通关条件类型	运镜时间	单局游戏总时长	玩家生命次数	总积分	地图KillZ	获胜圈数（仅限竞速跑关赛，其他配1即可）		开局道具ID	队伍分配
9614	2.5海姆向前冲竞速3	2.5海姆向前冲竞速3	15	9614	1	15	180	-1		-2500	1	0	0	{}
9615	2.5海姆向前冲生存4	2.5海姆向前冲生存4	15	9615	2	10	90	3		-500	1	0	0	{}
9616	2.5海姆向前冲生存5	2.5海姆向前冲生存5	15	9616	2	10	95	1		-3000	1	0	0	{}
9617	2.5海姆向前冲生存6	2.5海姆向前冲生存6	15	9617	2	10	60	1		-10300	1	0	0	{}
9618	2.5海姆向前冲生存7	2.5海姆向前冲生存7	15	9618	2	12	90	1		-8250	1	0	0	{}
9619	2.5海姆向前冲技巧-竞速1	2.5海姆向前冲技巧-竞速1	15	9619	1	18	210	-1		-2800	2	0	1	{}
9620	2.5海姆向前冲技巧-生存2	2.5海姆向前冲技巧-生存2	15	9620	2	10	90	3		-1000	1	1	0	{}
9621	2.5海姆向前冲技巧-生存3	2.5海姆向前冲技巧-生存3	15	9621	2	10	120	3		-1000	1	1	0	{}
9622	2.5海姆向前冲技巧-积分4	2.5海姆向前冲技巧-积分4	15	9622	3	10	180	-1	30	-10300	1	0	4	{}
9623	2.7海姆向前冲-躲猫猫	2.7海姆向前冲-躲猫猫	15	9623	4	10	180	3		-10299	1	0	0	{3,12}
9624	2.7海姆向前冲-躲猫猫	2.7海姆向前冲-躲猫猫	15	9624	4	10	180	3		-10299	1	0	0	{3,12}
9625	2.7海姆向前冲-躲猫猫	2.7海姆向前冲-躲猫猫	15	9625	4	10	180	3		-10299	1	0	0	{3,12}
9626	3.2海姆向前冲-优化作战	3.2海姆向前冲-优化作战	15	9626	5	10	180	3		-10299	1	0	0	{3,12}
9627	3.2海姆向前冲竞速1	3.2海姆向前冲竞速1	15	9627	1	10	180	-1		-3000	1	0	0	{}
9628	3.2海姆向前冲竞速2	3.2海姆向前冲竞速2	15	9628	1	10	180	-1		-200	1	0	0	{}
9629	3.2海姆向前冲生存3	3.2海姆向前冲生存3	15	9629	2	10	90	3		-800	1	0	0	{}
9630	3.2海姆向前冲竞速4	3.2海姆向前冲竞速4	15	9630	1	10	180	-1		-3250	1	0	0	{}
9631	3.2海姆向前冲竞速5	3.2海姆向前冲竞速5	15	9631	1	10	180	-1		-3500	1	0	0	{}
9632	3.2海姆向前冲-优化作战	3.2海姆向前冲-优化作战	4	9632	5	10	180	3		-10299	1	0	0	{1,3}
9633	3.5海姆向前冲挑战模式	3.5海姆向前冲挑战模式	3	9633	6	10	300	3		-10299	1	0	0	{0,3}
9634	3.5海姆向前冲对抗新图	3.5海姆向前冲对抗新图	15	9634	5	10	180	3		-10299	1	0	0	{3,12}
9635	3.2海姆向前冲PVP跑图	3.5海姆向前冲对抗新图	1	9626	5	10	1800	3		-10299	1	0	0	{0,1}
9636	3.5海姆向前冲PVP跑图	3.5海姆向前冲对抗新图	1	9634	5	10	1800	3		-10299	1	0	0	{0,1}
9637	3.6海姆向前冲-躲猫猫	3.6海姆向前冲-躲猫猫	15	9637	4	10	180	3		-10299	1	0	0	{3,12}
9638	3.6海姆向前冲-躲猫猫	3.6海姆向前冲-躲猫猫	15	9638	4	10	180	3		-10299	1	0	0	{3,12}
9639	3.6海姆向前冲-躲猫猫	3.6海姆向前冲-躲猫猫	15	9639	4	10	180	3		-10299	1	0	0	{3,12}
9640	DLC37海姆塔防挑战模式	DLC37海姆塔防挑战模式	3	9640	6	10	300	3		-10299	1	0	0	{0,3}
9641	DLC37海姆向前冲对抗新图	DLC37海姆向前冲对抗新图	15	9641	5	10	180	3		-10299	1	0	0	{3,12}
9642	DLC37海姆向前冲PVP跑图	DLC37海姆向前冲PVP跑图	1	9642	5	10	1800	3		-10299	1	0	0	{0,1}
