Id	联机id	备注	类型（1防守波次  2战斗行为）	战斗行为子类型（1.伤害占比达到 2.救助队友 3.阵亡次数小于 4.释放大招次数达到 5.收集资源 6.释放智械道具次数	战斗行为参数	文本描述	积分描述	积分值	荣誉分
33	7	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
34	7	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
35	10	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	10	
36	10	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	25	
37	10	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	40	
38	10	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	60	
39	10	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	80	
40	10	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	100	
41	10	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	120	
42	10	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	145	
43	10	成功坚守9波	1			ui.online_defend_pointlist_name9	ui.online_defend_pointlist_des1	170	
44	10	成功坚守10波	1			ui.online_defend_pointlist_name10	ui.online_defend_pointlist_des1	200	
45	10	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
46	10	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
47	10	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
48	10	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
49	10	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
50	10	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
51	10	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
52	11	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
53	11	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	35	
54	11	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	60	
55	11	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	85	
56	11	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	115	
57	11	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	145	
58	11	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	180	
59	11	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	215	
60	11	成功坚守9波	1			ui.online_defend_pointlist_name9	ui.online_defend_pointlist_des1	250	
61	11	成功坚守10波	1			ui.online_defend_pointlist_name10	ui.online_defend_pointlist_des1	300	
62	11	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
63	11	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
64	11	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
65	11	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
66	11	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
67	11	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
68	11	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
69	12	成功坚守1波				ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	30	
70	12	成功坚守2波				ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	60	
71	12	成功坚守3波				ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	95	
72	12	成功坚守4波				ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	130	
73	12	成功坚守5波				ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	170	
74	12	成功坚守6波				ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	215	
75	12	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
76	12	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
77	12	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
78	12	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
79	12	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
80	12	收集资源数量达到{1}	2	5	300	ui.online_defend_pointlist_name18	ui.online_defend_pointlist_des11	5	
81	12	收集资源数量达到{1}	2	5	600	ui.online_defend_pointlist_name19	ui.online_defend_pointlist_des11	5	
82	12	收集资源数量达到{1}	2	5	1000	ui.online_defend_pointlist_name20	ui.online_defend_pointlist_des11	5	
83	13	成功坚守1波				ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	40	
84	13	成功坚守2波				ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	80	
85	13	成功坚守3波				ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	130	
86	13	成功坚守4波				ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	190	
87	13	成功坚守5波				ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	250	
88	13	成功坚守6波				ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	320	
89	13	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
90	13	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
91	13	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
92	13	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
93	13	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
94	13	收集资源数量达到{1}	2	5	300	ui.online_defend_pointlist_name18	ui.online_defend_pointlist_des11	5	
95	13	收集资源数量达到{1}	2	5	600	ui.online_defend_pointlist_name19	ui.online_defend_pointlist_des11	5	
96	13	收集资源数量达到{1}	2	5	1000	ui.online_defend_pointlist_name20	ui.online_defend_pointlist_des11	5	
97	16	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	10	
98	16	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	25	
99	16	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	40	
100	16	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	60	
101	16	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	80	
102	16	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	100	
103	16	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	120	
104	16	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	145	
105	16	成功坚守9波	1			ui.online_defend_pointlist_name9	ui.online_defend_pointlist_des1	170	
106	16	成功坚守10波	1			ui.online_defend_pointlist_name10	ui.online_defend_pointlist_des1	200	
107	16	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
108	16	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
109	16	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
110	16	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
111	16	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
112	16	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
113	16	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
114	17	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
115	17	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	35	
116	17	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	60	
117	17	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	85	
118	17	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	115	
119	17	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	145	
120	17	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	180	
121	17	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	215	
122	17	成功坚守9波	1			ui.online_defend_pointlist_name9	ui.online_defend_pointlist_des1	250	
123	17	成功坚守10波	1			ui.online_defend_pointlist_name10	ui.online_defend_pointlist_des1	300	
124	17	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
125	17	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
126	17	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
127	17	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
128	17	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
129	17	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
130	17	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
									
131	22	成功坚守1波				ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	30	
132	22	成功坚守2波				ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	70	
133	22	成功坚守3波				ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	115	
134	22	成功坚守4波				ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	165	
135	22	成功坚守5波				ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	215	
136	22	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
137	22	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
138	22	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
139	22	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
140	22	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
141	22	收集资源数量达到{1}	2	5	300	ui.online_defend_pointlist_name18	ui.online_defend_pointlist_des11	5	
142	22	收集资源数量达到{1}	2	5	600	ui.online_defend_pointlist_name19	ui.online_defend_pointlist_des11	5	
143	22	收集资源数量达到{1}	2	5	1000	ui.online_defend_pointlist_name20	ui.online_defend_pointlist_des11	5	
144	23	成功坚守1波				ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	50	
145	23	成功坚守2波				ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	105	
146	23	成功坚守3波				ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	170	
147	23	成功坚守4波				ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	240	
148	23	成功坚守5波				ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	320	
149	23	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
150	23	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
151	23	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
152	23	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
153	23	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
154	23	收集资源数量达到{1}	2	5	300	ui.online_defend_pointlist_name18	ui.online_defend_pointlist_des11	5	
155	23	收集资源数量达到{1}	2	5	600	ui.online_defend_pointlist_name19	ui.online_defend_pointlist_des11	5	
156	23	收集资源数量达到{1}	2	5	1000	ui.online_defend_pointlist_name20	ui.online_defend_pointlist_des11	5	
									
157	25	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
158	25	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	30	
159	25	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
160	25	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	70	
161	25	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	95	
162	25	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	125	
163	25	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	160	
164	25	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	200	
167	25	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
168	25	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
169	25	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
170	25	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
171	25	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
172	25	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
173	25	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
174	26	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
175	26	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	45	
176	26	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	75	
177	26	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	105	
178	26	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	145	
179	26	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	190	
180	26	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	240	
181	26	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	300	
184	26	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
185	26	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
186	26	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
187	26	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
188	26	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
189	26	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
190	26	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
									
191	37	成功坚守1波				ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	30	
192	37	成功坚守2波				ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	70	
193	37	成功坚守3波				ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	115	
194	37	成功坚守4波				ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	165	
195	37	成功坚守5波				ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	215	
196	37	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
197	37	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
198	37	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
199	37	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
200	37	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
204	38	成功坚守1波				ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	50	
205	38	成功坚守2波				ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	105	
206	38	成功坚守3波				ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	170	
207	38	成功坚守4波				ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	240	
208	38	成功坚守5波				ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	320	
209	38	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
210	38	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
211	38	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
212	38	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
213	38	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
									
214	40	营地占领进度100				ui.online_defend_pointlist_name26	ui.online_defend_pointlist_des1	70	
215	40	抵御敌人进攻1波				ui.online_defend_pointlist_name27	ui.online_defend_pointlist_des1	140	
216	40	抵御敌人进攻2波				ui.online_defend_pointlist_name28	ui.online_defend_pointlist_des1	215	
217	40	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
218	40	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
219	40	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
220	40	兵器使用次数达到5	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
221	40	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
222	41	营地占领进度100				ui.online_defend_pointlist_name26	ui.online_defend_pointlist_des1	100	
223	41	抵御敌人进攻1波				ui.online_defend_pointlist_name27	ui.online_defend_pointlist_des1	200	
224	41	抵御敌人进攻2波				ui.online_defend_pointlist_name28	ui.online_defend_pointlist_des1	320	
225	41	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
226	41	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
227	41	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
228	41	兵器使用次数达到3	2	6	3	ui.online_defend_pointlist_name30	ui.online_defend_pointlist_des11	5	
229	41	兵器使用次数达到6	2	6	6	ui.online_defend_pointlist_name31	ui.online_defend_pointlist_des11	5	
									
238	42	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
239	42	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	30	
240	42	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	50	
241	42	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	70	
242	42	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	95	
243	42	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	125	
244	42	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	160	
245	42	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	200	
246	42	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
247	42	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
248	42	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
249	42	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
250	42	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
251	42	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
252	42	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
253	43	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	20	
254	43	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	45	
255	43	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	75	
256	43	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	105	
257	43	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	145	
258	43	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	190	
259	43	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	240	
260	43	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	300	
261	43	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
262	43	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
263	43	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
264	43	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
265	43	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
266	43	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
267	43	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
									
268	45	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	30	
269	45	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	70	
270	45	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	115	
271	45	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	165	
272	45	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	215	
273	45	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
274	45	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
275	45	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
276	45	释放大招次数达到6	2	4	6	ui.online_defend_pointlist_name21	ui.online_defend_pointlist_des11	5	
277	45	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name22	ui.online_defend_pointlist_des11	5	
278	46	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	50	
279	46	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	105	
280	46	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	170	
