BufferID	Buffer蓝图资源	货币GDPL	价格	动态随机	图标	buff名称	描述	描述备注（带数值）	获得次数	稀有度	每次获得的增益	归属流派（ 0.无 1.攻击 2.防御 3.快射 4.慢射 5.技能 6.控制 7.特效）
328	RandomBuff_71	{5,12,1,1}	80	1	1001003	强制脆弱	命中目标时为其施加易伤效果，使其受到的射击伤害提升%s%%，持续%s秒，最多叠加%s层		1	4	{{4},{2.5},{10}}	{0}
329	RandomBuff_72	{5,12,1,1}	120	1	1001004	低温定格	对目标造成最后一击时，引发一次范围低温伤害，并添加冻结效果，持续%s秒，触发间隔%s秒		1	5	{{2},{10}}	{0}
330	RandomBuff_73	{5,12,1,1}	120	1	1001000	暂时代价	生命每降低%s%%，则造成的伤害提升%s%%		1	5	{{1},{1}}	{0}
331	RandomBuff_74	{5,12,1,1}	120	1	1001003	幸运数字	换弹后，你的下%s发子弹伤害提高%s%%		1	5	{{4},{100}}	{0}
332	RandomBuff_75	{5,12,1,1}	80	1	1001002	接力优势	换弹后，常规技的伤害提升%s%%，持续%s秒		1	4	{{20},{3}}	{0}
333	RandomBuff_76	{5,12,1,1}	40	1	1001010	破风	切换队员后，移动速度提升%s%%，持续%s秒		1	3	{{60},{3}}	{0}
334	RandomBuff_77	{5,12,1,1}	120	1	1001000	最佳距离	5米范围内，每存在1个敌对目标，暴击伤害提升%s%%		1	5	{{20}}	{0}
401	RandomBuff_78	{5,12,1,1}	120	1	1001007	身后无路	当前生命{1}%转化为额外攻击力	当前生命2%转化为额外攻击力	1	5	{{2}}	{0}
402	RandomBuff_79	{5,12,1,1}	40	1	1001005	尚有余力	当前生命越低，防御力越高，防御力最多提升{1}%	当前生命越低，防御力越高，防御力最多提升30%	1	3	{{30}}	{0}
403	RandomBuff_80	{5,12,1,1}	80	1	1001005	临时堡垒	拥有护盾时，射击不消耗子弹，同时射击伤害提升{1}%	拥有护盾时，射击不消耗子弹，同时射击伤害提升30%	1	4	{{30}}	{0}
404	RandomBuff_82	{5,12,1,1}	80	1	1001004	都别想跑	使用爆发技后，对周围5米范围内敌方目标施加迟缓效果，持续{1}秒	使用爆发技后，对周围5米范围内敌方目标施加迟缓效果，持续3秒	1	4	{{3}}	{0}
405	RandomBuff_84	{5,12,1,1}	40	1	1001001	胜隙	射击命中处于眩晕状态的目标必定暴击	射击命中处于眩晕状态的目标必定暴击	1	3		{0}
406	RandomBuff_85	{5,12,1,1}	120	1	1001000	可趁之机	射击命中处于被控制状态的目标时，可无视其{1}%的防御	射击命中处于被控制状态的目标时，可无视其50%的防御	1	5	{{50}}	{0}
407	RandomBuff_86	{5,12,1,1}	40	1	1001006	新型药材	射击命中处于被控制状态的目标时，可获得治疗，使当前生命回复最大生命{1}%，触发间隔{2}秒	射击命中处于被控制状态的目标时，可获得治疗，使当前生命回复最大生命1.5%，触发间隔1秒	1	3	{{1.5},{1}}	{0}
408	RandomBuff_87	{5,12,1,1}	40	1	1001004	借力	射击命中冻结状态的目标时，有{1}%概率回复{2}爆发能量，触发间隔{3}秒	射击命中冻结状态的目标时，有80%概率回复1爆发能量，触发间隔1秒	1	3	{{80},{1},{1}}	{0}
409	RandomBuff_89	{5,12,1,1}	40	1	1001009	余韵	使用爆发技后，周围10米范围内的敌方目标攻击力降低{1}%，持续{2}秒	使用爆发技后，周围10米范围内的敌方目标攻击力降低35%，持续6秒	1	3	{{35},{6}}	{0}
410	RandomBuff_91	{5,12,1,1}	80	1	1001001	闲人勿扰	以自身为中心释放1次震荡波，对周围目标造成动能类型伤害，触发间隔{1}秒	以自身为中心释放1次震荡波，对周围目标造成动能类型伤害，触发间隔5秒	1	4	{{5}}	{0}
411	RandomBuff_93	{5,12,1,1}	120	1	1001004	天外支援	召唤落雷攻击距离自身最近的目标，造成一定范围内的电击类型伤害，触发间隔{1}秒	召唤落雷攻击距离自身最近的目标，造成一定范围内的电击类型伤害，触发间隔5秒	1	5	{{5}}	{0}
412	RandomBuff_94	{5,12,1,1}	120	1	1001000	生人勿进	5米范围内的目标受到的伤害提升{1}%	5米范围内的目标受到的伤害提升20%	1	5	{{20}}	{0}
413	RandomBuff_96	{5,12,1,1}	120	1	1001008	巅峰时刻	使用爆发技后，获得霸体效果，持续{1}秒，期间造成的伤害提升{2}%，受到的伤害降低{3}%	使用爆发技后，获得霸体效果，持续6秒，期间造成的伤害提升20%，受到的伤害降低20%	1	5	{{6},{20},{20}}	{0}
414	RandomBuff_97	{5,12,1,1}	120	1	1001000	正中罩门	暴击时，该次伤害无视目标{1}%的防御力	暴击时，该次伤害无视目标40%的防御力	1	5	{{40}}	{0}
415	RandomBuff_101	{5,12,1,1}	120	1	1001009	叠甲无用	对目标造成伤害后，对其的跳弹率降低{1}%，持续{2}秒	对目标造成伤害后，对其的跳弹率降低50%，持续4秒	1	5	{{50},{4}}	{0}
416	RandomBuff_102	{5,12,1,1}	120	1	1001000	正面反馈	射击命中目标后，有{1}%的概率攻击力提升{2}%，持续{3}秒，最多叠加{4}层	射击命中目标后，有15%的概率攻击力提升1%，持续8秒，最多叠加50层	1	5	{{15},{1},{8},{50}}	{0}
417	RandomBuff_103	{5,12,1,1}	40	1	1001000	速攻策略	射击速度提升{1}%	射击速度提升10%	1	3	{{10}}	{0}
												
1101	RandomBuff_106		0	1	1001008	雀跃	在战斗中，冲刺状态耐力消耗降低{1}%	【联机防守专属】在战斗中，冲刺状态耐力消耗降低20%	1	1	{{20}}	{7}
1102	RandomBuff_107		0	1	1001003	精胜于量	降低{1}%射击速度,提升{2}%射击伤害	【联机防守专属】降低10%射击速度,提升45%射击伤害	1	3	{{10},{45}}	{4}
1103	RandomBuff_108		0	1	1001003	机会有限	降低{1}%弹匣容量,提升{2}%射击伤害	【联机防守专属】降低20%弹匣容量,提升45%射击伤害	1	3	{{20},{45}}	{1}
1104	RandomBuff_2		0	1	1001008	伤不着我	冲刺状态时受到的伤害降低{1}%	冲刺状态时受到的伤害降低75%	1	3	{{75}}	{7}
1105	RandomBuff_109		0	1	1001003	零点火力	瞄准射击的伤害提升{1}%	【联机防守专属】瞄准射击的伤害提升25%	1	3	{{25}}	{4,3}
1106	RandomBuff_110		0	1	1001002	技能强化	常规技能伤害提升{1}%	【联机防守专属】常规技能伤害提升40%	1	4	{{40}}	{5}
1108	RandomBuff_3		0	1	1001001	靶心	暴击率提升{1}%	暴击率提升15%	1	1	{{15}}	{1}
1109	RandomBuff_111		0	1	1001004	彩虹猛攻	攻击处于异常状态的敌人最终伤害增加{1}%	【联机防守专属】攻击处于异常状态的敌人伤害增加50%	1	4	{{50}}	{6}
1110	RandomBuff_112		0	1	1001005	技能防护	使用常规技能后,受到伤害降低{1}%,持续{2}秒	【联机防守专属】使用常规技能后,受到伤害降低20%,持续10秒	1	2	{{20},{10}}	{2,5}
1111	RandomBuff_37		0	1	1001005	综合防御	受到伤害降低{1}%	受到伤害降低20%	1	3	{{20}}	{2}
1112	RandomBuff_113		0	1	1001006	兼顾治疗	使用常规技能后,恢复{1}%最大生命，冷却时间{2}秒	【联机防守专属】使用常规技能后,恢复3%最大生命，冷却时间10秒	1	2	{{3},{10}}	{5}
1113	RandomBuff_39		0	1	1001006	安全体型	最大生命提升{1}%	最大生命提升20%	1	3	{{20}}	{2}
1114	RandomBuff_114		0	1	1001000	沸点	暴击伤害提升{1}%	【联机防守专属】暴击伤害增幅提升50%	1	5	{{50}}	{4}
1115	RandomBuff_115		0	1	1001006	及时治疗	在受到伤害后,恢复{1}%生命值,冷却时间{2}秒	【联机防守专属】在受到伤害后,恢复5%生命值,冷却时间5秒	1	4	{{5},{5}}	{2}
1116	RandomBuff_41		0	1	1001006	无法共生	每击倒1个敌方目标,最大生命永久提升{1}%	【联机防守专属】每击倒1个敌方目标,最大生命永久提升1%	1	4	{{1}}	{2}
1117	RandomBuff_42		0	1	1001008	耐力充足	耐力上限提升{1}%	耐力上限提升50%	1	2	{{50}}	{7}
1118	RandomBuff_116		0	1	1001008	灵巧闪避	闪避的体力消耗减少{1}%	【联机防守专属】闪避的体力消耗减少20%	1	1	{{20}}	{2}
1119	RandomBuff_44		0	1	1001005	安心一刻	换弹附带无敌效果	换弹附带无敌效果	1	3	{{2}}	{3,4}
1121	RandomBuff_47		0	1	1001002	鹰眼	与目标距离越远，瞄准射击伤害提升	与目标距离越远，瞄准射击伤害提升	1	3		{4}
1122	RandomBuff_117		0	1	1001002	锐化	常规技能对护盾伤害提升{1}%	【联机防守专属】常规技能对护盾伤害提升12%	1	1	{{12}}	{5,6}
1123	RandomBuff_118		0	1	1001002	敏捷优势	{1}秒未受伤害,常规技能伤害提升{2}%	【联机防守专属】5秒未受伤害,常规技能伤害提升40%	1	3	{{5},{40}}	{5}
1124	RandomBuff_119		0	1	1001006	以攻为守	暴击后恢复{1}%生命,触发间隔{2}秒	【联机防守专属】暴击后恢复2%生命,触发间隔2秒	1	4	{{2},{2}}	{2}
1125	RandomBuff_120		0	1	1001007	节能模式	爆发技能量获取效率提升{1}%	【联机防守专属】爆发技能量获取效率提升30%	1	3	{{30}}	{5}
1126	RandomBuff_121		0	1	1001009	常规扩容	弹匣容量提升{1}%	【联机防守专属】弹匣容量提升50%	1	4	{{50}}	{3}
1127	RandomBuff_122		0	1	1001009	流畅换弹	换弹速度提升{1}%	【联机防守专属】换弹速度提升30%	1	2	{{30}}	{3,4}
1201	RandomBuff_123		0	1	1001007	生息	冲刺状态时每{1}秒可获取{2}点大招能量	【联机防守专属】冲刺状态时每1秒可获取1点大招能量	1	3	{{1},{1}}	{5}
1204	RandomBuff_14		0	1	1001003	精准指令	击倒目标后,伤害提升{1}%,持续{2}秒	击倒目标后,伤害提升50%,持续5秒	1	5	{{50},{5}}	{1}
1205	RandomBuff_124		0	1	1001003	动能适配	动能类型伤害提升{1}%	【联机防守专属】动能类型伤害提升15%	1	2	{{15}}	{1}
1206	RandomBuff_125		0	1	1001003	有备无患	弹匣内子弹数量大于{1}%时,射击的伤害提升{2}%	【联机防守专属】弹匣内子弹数量大于50%时,射击的伤害提升40%	1	3	{{50},{40}}	{1}
1207	RandomBuff_126		0	1	1001000	致胜觉悟	最大生命降低{1}%,所有伤害提升{2}%	【联机防守专属】最大生命降低33%,所有伤害提升45%	1	4	{{33},{45}}	{1}
1208	RandomBuff_127		0	1	1001002	破釜沉舟	最大生命降低{1}%,常规技能伤害提升{2}%	【联机防守专属】最大生命降低33%,常规技能伤害提升60%	1	2	{{33},{60}}	{5}
1209	RandomBuff_128		0	1	1001004	高温适配	高温类型伤害提升{1}%	【联机防守专属】高温类型伤害提升15%	1	2	{{15}}	{1}
1210	RandomBuff_129		0	1	1001004	低温适配	低温类型伤害提升{1}%	【联机防守专属】低温类型伤害提升15%	1	2	{{15}}	{1}
1211	RandomBuff_130		0	1	1001004	异能适配	异能类型伤害提升{1}%	【联机防守专属】异能类型伤害提升15%	1	2	{{15}}	{1}
1212	RandomBuff_131		0	1	1001004	电击适配	电击类型伤害提升{1}%	【联机防守专属】电击类型伤害提升15%	1	2	{{15}}	{1}
1213	RandomBuff_132		0	1	1001004	全面适配	所有元素类型的伤害增加{1}%	【联机防守专属】所有元素类型的伤害增加30%	1	5	{{30}}	{1,6}
1214	RandomBuff_133		0	1	1001006	扭转生机	射击命中时恢复{1}%最大生命值,触发间隔{2}秒	【联机防守专属】射击命中时恢复0.5%最大生命值,触发间隔1秒	1	4	{{0.5},{1}}	{2}
1215	RandomBuff_5		0	1	1001003	疾射	暴击后射击速度提升{1}%,持续{2}秒	暴击后射击速度提升33%,持续5秒	1	4	{{33},{5}}	{3}
1216	RandomBuff_50		0	1	1001002	双响	最大爆发能量和当前已获取爆发能量均提升{1}%	最大爆发能量和当前已获取爆发能量均提升100%	1	3	{{100}}	{5}
1217	RandomBuff_7		0	1	1001002	流畅循环	击倒敌方目标后,常规技能使用间隔减少{1}秒	击倒敌方目标后,常规技能使用间隔减少1秒	1	3	{{1}}	{5}
1301	RandomBuff_134		0	1	1001003	能量转移	爆发能量值为100后每秒减少{1}点,期间射击伤害提高{2}%,且期间无法获得爆发能量直至爆发能量完全消耗	【联机防守专属】爆发能量值为100后每秒减少2点,期间射击伤害提高50%,且期间无法获得爆发能量直至爆发能量完全消耗	1	3	{{2},{50}}	{1,3}
1302	RandomBuff_19		0	1	1001000	强势首发	弹匣内第一发子弹的伤害提升{1}%	弹匣内第一发子弹的伤害提升80%	1	4	{{80}}	{4}
1303	RandomBuff_22		0	1	1001002	冷却加速	技能急速增加{1}	常规技能使用间隔降低50%	1	5	{{50}}	{5}
1304	RandomBuff_135		0	1	1001003	技不抵力	常规技能伤害降低{1}%,瞄准射击伤害提升{2}%	【联机防守专属】常规技能伤害降低50%,瞄准射击伤害提升75%	1	4	{{50},{75}}	{3,4}
1305	RandomBuff_136		0	1	1001005	最后一搏	受到极大伤害时,全伤害提高{1}%并获得无敌,持续{2}秒,每秒恢复{3}%最大生命值。冷却时间{4}秒	【联机防守专属】受到极大伤害时,全伤害提高100%并获得无敌,持续15秒,每秒恢复5%最大生命值。冷却时间120秒	1	5	{{100},{15},{5},{120}}	{2}
1306	RandomBuff_138		0	1	1001002	完备	爆发能量值为100时,常规技能伤害提升{1}%	【联机防守专属】爆发能量值为100时,常规技能伤害提升75%	1	4	{{75}}	{5}
1309	RandomBuff_137		0	1	1001001	合理热身	每击败1个敌方目标，暴击率提升{1}%	【联机防守专属】每击败1个敌方目标，暴击率提升1%	1	4	{{1}}	{1}
1310	RandomBuff_139		0	1	1001001	战术退让	闪避后常规技能伤害提升{1}%，持续{2}秒，该效果最多叠加{3}层，使用技能后层数清零	【联机防守专属】闪避后常规技能伤害提升8%，持续4秒，该效果最多叠加3层，使用技能后层数清零	1	2	{{8},{4},{3}}	{5}
1311	RandomBuff_54		0	1	1001000	逐渐熟练	每击败1个敌方目标，暴击伤害提升{1}%	每击败1个敌方目标，暴击伤害提升1%	1	4	{{1}}	{4,7}
1312	RandomBuff_55		0	1	1001000	士气正盛	爆发能量为100时，暴击伤害提升{1}%	爆发能量为100时，暴击伤害提升20%	1	1	{{20}}	{1}
1314	RandomBuff_57		0	1	1001003	压制时机	暴击后射击伤害提升{1}%，持续{2}秒，该效果最多叠加5层	暴击后射击伤害提升3%，持续3秒，该效果最多叠加5层	1	2	{{3},{3}}	{3}
1315	RandomBuff_58		0	1	1001007	命中激励	暴击后可恢复少量爆发能量	暴击后可恢复1爆发能量	1	3		{5}
1316	RandomBuff_140		0	1	1001006	生路	冲刺状态下，每秒回复{1}%的最大生命	【联机防守专属】冲刺状态下，每秒回复3%的最大生命	1	4	{{3}}	{2}
1317	RandomBuff_141		0	1	1001007	速攻	击败敌方目标后，射击速度提升{1}%，持续{2}秒	【联机防守专属】击败敌方目标后，射击速度提升15%，持续5秒	1	2	{{15},{5}}	{3}
1321	RandomBuff_64		0	1	1001005	极限方案	生命低于{1}%时，获得一个最大生命{1}%的护盾，触发间隔{2}秒	生命低于60%时，获得一个最大生命15%的护盾，触发间隔30秒	1	3	{{60},{15},{30}}	{2}
1322	RandomBuff_65		0	1	1001004	烧掠	射击命中目标时，有{1}%的概率对其施加【灼烧】状态，持续造成高热类型伤害	射击命中目标时，有15%的概率对其施加【灼烧】状态，持续造成高热类型伤害	1	2	{{15}}	{7}
1323	RandomBuff_66		0	1	1001004	电气标记	命中目标时，添加1层【电气】印记，当印记达到{1}层时触发1次电击类型伤害，并施加麻痹状态，持续{2}秒	【联机防守专属】命中目标时，添加1层【电气】印记，当印记达到20层时触发1次50%电击类型伤害，并施加麻痹状态，持续1秒	1	4	{{20},{1}}	{6}
1324	RandomBuff_67		0	1	1001004	特异追袭	射击暴击后，有{1}%概率额外造成1次特异类型伤害，触发间隔{2}秒	射击暴击后，有50%概率额外造成1次特异类型伤害，触发间隔5秒	1	3	{{50},{5}}	{7}
1325	RandomBuff_68		0	1	1001004	低温追袭	射击命中目标时，有{1}%概率额外造成1次低温类型伤害	射击命中目标时，有10%概率额外造成1次低温类型伤害	1	2	{{10}}	{7}
1327	RandomBuff_70		0	1	1001004	特异冲击	射击命中目标时，有{1}%概率引发1次特异震荡波，对范围内的所有地方目标造成特异类型伤害	射击命中目标时，有10%概率引发1次特异震荡波，对范围内的所有敌方目标造成50%特异类型伤害	1	4	{{10}}	{7}
1328	RandomBuff_71		0	1	1001003	强制脆弱	命中目标时为其施加易伤效果，使其受到的射击伤害提升{1}%，持续{2}秒，最多叠加{3}层	命中目标时为其施加易伤效果，使其受到的射击伤害提升4%，持续2.5秒，最多叠加10层	1	4	{{4},{2.5},{10}}	{3}
1329	RandomBuff_72		0	1	1001004	低温定格	对目标造成最后一击时，引发一次范围低温伤害，并添加冻结效果，持续{1}秒，触发间隔{2}秒	对目标造成最后一击时，引发一次范围低温伤害，并添加冻结效果，持续2秒，触发间隔10秒	1	4	{{2},{10}}	{6}
1330	RandomBuff_73		0	1	1001000	暂时代价	生命每降低{1}%，则造成的伤害提升{2}%	生命每降低1%，则造成的伤害提升1%	1	3	{{1},{1}}	{1}
1331	RandomBuff_142		0	1	1001003	幸运数字	换弹后，你的下{1}发子弹伤害提高{2}%	【联机防守专属】换弹后，你的下4发子弹伤害提高50%	1	4	{{4},{50}}	{4}
1334	RandomBuff_77		0	1	1001000	最佳距离	5米范围内，每存在1个敌对目标，暴击伤害提升{1}%	5米范围内，每存在1个敌对目标，暴击伤害提升20%	1	3	{{20}}	{4,7}
