鱼ID	//鱼类名称	图标	图标	名称	备注	品质（1普通2高级3稀有）	难度等级(调取QTE难度设置中的模板ID)	获取经验	长度(厘米{钓起次数,下限,上限})	重量（g)	属性精确值(长度、重量；1-1、10-0.1、100-0.01）	转化鱼肉{{钓起次数,鱼肉GDPLN}}	图鉴提供最大星级	喜好鱼饵（饵料ID，长度倍率，重量倍率）	昼夜刷新显示（1白天出现，2夜晚出现，0白天夜晚都出现)
10	闪亮王子鲀	110400470	10016	supplies.fish10	supplies.fish10_des	3	10		{{1,30,35},{3,35,40},{6,35,40},{8,40,50},{10,50,60}}	{{1,1500,2000},{3,2000,2500},{6,2500,3000},{8,3000,3500},{10,3500,4000}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	0
11	迷你皇带鱼	110400480	10017	supplies.fish11	supplies.fish11_des	3	11		{{1,40,50},{3,50,60},{6,60,70},{8,70,80},{10,80,100}}	{{1,2500,3000},{3,3000,4000},{6,4000,5000},{8,5000,5500},{10,5500,7000}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	0
12	好燃鳗	110400490	10018	supplies.fish12	supplies.fish12_des	3	12		{{1,25,30},{3,30,35},{6,35,40},{8,40,45},{10,40,50}}	{{1,1000,1300},{3,1300,1700},{6,1700,1900},{8,1900,2100},{10,2100,2500}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	0
13	黑色沙丁	110400510	10018	supplies.fish14	supplies.fish14_des	1	1		{{1,10,15},{5,15,20},{10,20,25},{15,25,30},{20,30,35}}	{{1,85,100},{5,100,120},{10,120,140},{15,140,160},{20,160,180}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
14	小火箭乌贼	110400520	10018	supplies.fish15	supplies.fish15_des	2	6		{{1,25,30},{4,30,35},{8,30,35},{10,35,40},{12,35,40},{15,40,50}}	{{1,300,350},{4,350,400},{8,400,450},{10,450,500},{12,500,550},{15,550,600}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	0
15	金鲳鱼	110400530	10018	supplies.fish16	supplies.fish16_des	2	7		{{1,20,30},{4,30,35},{8,35,40},{10,40,45},{12,45,50},{15,50,60}}	{{1,800,900},{4,900,1000},{8,900,1000},{10,1000,1200},{12,1000,1200},{15,1200,1500}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	0
16	翠点石头鱼	110400540	10018	supplies.fish17	supplies.fish17_des	3	10		{{1,15,17},{3,17,19},{6,19,21},{8,21,23},{10,23,25}}	{{1,300,340},{3,340,380},{6,380,420},{8,420,460},{10,460,500}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	0
17	悠悠旗鱼	110400550	10018	supplies.fish18	supplies.fish18_des	3	11		{{1,200,220},{3,220,240},{6,240,260},{8,260,280},{10,280,300}}	{{1,90000,92000},{3,92000,94000},{6,94000,96000},{8,96000,98000},{10,98000,100000}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	0
18	锦带鮟鱇鱼	110400560	10018	supplies.fish19	supplies.fish19_des	3	12		{{1,40,44},{3,44,48},{6,48,52},{8,52,56},{10,56,60}}	{{1,300,400},{3,400,500},{6,500,600},{8,600,700},{10,700,800}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	0
19	蓝裙鳍	110400830	10019	supplies.fish20	supplies.fish20_des	1	4		{{1,5,8},{5,8,11},{10,11,14},{15,14,17},{20,17,20}}	{{1,20,24},{5,24,28},{10,28,32},{15,32,36},{20,36,40}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	1
20	樱嘤虾	110400840	10020	supplies.fish21	supplies.fish21_des	1	4		{{1,2,4},{5,4,6},{10,6,8},{15,8,10},{20,10,12}}	{{1,10,12},{5,12,14},{10,14,16},{15,16,18},{20,18,20}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	1
21	紫螺海蜗	110400890	10021	supplies.fish22	supplies.fish22_des	2	8		{{1,8,10},{4,10,12},{8,12,14},{10,14,16},{12,16,18},{15,18,20}}	{{1,50,75},{4,75,100},{8,100,125},{10,125,150},{12,150,175},{15,175,200}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	1
22	柔光长耳蛸	110400870	10022	supplies.fish23	supplies.fish23_des	3	10		{{1,15,17},{3,17,19},{6,19,21},{8,21,23},{10,23,25}}	{{1,80,105},{3,105,130},{6,130,155},{8,155,180},{10,180,200}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	1
23	芫尾星空魟	110400850	10023	supplies.fish24	supplies.fish24_des	3	10		{{1,40,47},{3,47,54},{6,54,61},{8,61,68},{10,68,75}}	{{1,15000,16000},{3,16000,17000},{6,17000,18000},{8,18000,19000},{10,19000,20000}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	1
24	小老鼠鱼	110400900	10024	supplies.fish25	supplies.fish25_des	1	5		{{1,5,10},{5,10,15},{10,15,20},{15,20,25},{20,25,30}}	{{1,20,28},{5,28,36},{10,36,44},{15,44,52},{20,52,60}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
25	黑环海蛇	110400910	10025	supplies.fish26	supplies.fish26_des	1	5		{{1,75,100},{5,100,125},{10,125,150},{15,150,175},{20,175,200}}	{{1,500,900},{5,900,1300},{10,1300,1700},{15,1700,2100},{20,2100,2500}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
26	银灿宫珠蚌	110400880	10026	supplies.fish27	supplies.fish27_des	2	8		{{1,20,22},{4,22,25},{8,25,28},{10,28,30},{12,30,32},{15,32,35}}	{{1,1500,1800},{4,1800,2100},{8,2100,2400},{10,2400,2700},{12,2700,3000},{15,3000,3500}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	0
27	小丑鱼	110400920	10027	supplies.fish28	supplies.fish28_des	2	9		{{1,8,10},{4,10,12},{8,12,14},{10,14,16},{12,16,18},{15,18,20}}	{{1,36,40},{4,40,44},{8,44,48},{10,48,52},{12,52,56},{15,56,60}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	2
28	躺躺鱼	110400930	10028	supplies.fish29	supplies.fish29_des	2	9		{{1,180,205},{4,205,230},{8,230,255},{10,255,280},{12,280,305},{15,305,330}}	{{1,2400000,2500000},{4,2500000,2600000},{8,2600000,2700000},{10,2700000,2800000},{12,2800000,2900000},{15,2900000,3000000}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	2
29	鹧夜嫩鲥鱼	110400950	10029	supplies.fish30	supplies.fish30_des	3	11		{{1,20,30},{3,30,35},{6,35,40},{8,40,45},{10,45,50}}	{{1,500,600},{3,600,700},{6,700,800},{8,800,900},{10,900,1000}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	2
30	海丝恐棘鱼	110400960	10030	supplies.fish31	supplies.fish31_des	3	11		{{1,40,44},{3,44,48},{6,48,52},{8,52,56},{10,56,60}}	{{1,300,400},{3,400,500},{6,500,600},{8,600,700},{10,700,800}}		{{1,{{5,25,1,3,1}}}}	1	{{38,1,1},{45,1.2,1.2}}	2
31	啸天锤头鲨	110400860	10031	supplies.fish32	supplies.fish32_des	3	12		{{1,200,250},{5,230,300},{10,280,450},{15,450,550},{30,550,600}}	{{1,110000,115000},{5,113000,120000},{10,118000,135000},{15,135000,145000},{30,145000,150000}}	{100,1}	{{1,{{5,25,1,3,1}}}}		{{38,1,1},{46,1,1.2},{47,1.2,1}}	1
32	炽花火水母	110400940	10032	supplies.fish33	supplies.fish33_des	3	12		{{1,100,150},{5,130,200},{10,180,350},{15,350,450},{30,450,500}}	{{1,4000,4500},{5,4300,5000},{10,4800,6500},{15,6500,7500},{30,7500,8000}}	{100,10}	{{1,{{5,25,1,3,1}}}}		{{38,1,1},{48,1,1.2},{49,1.2,1}}	2
