音效配置ID	描述	音效事件
3180	DLC32第二次及之后进入DLC活动界面音效	Play_DLC32_Enter02
3181	DLC32进入复刷材料本界面音效	Play_DLC32_Enter03
3182	奈莉德泳装ar实机-非和谐_音乐	Play_Girl021_03_DLC32AR_a
3183	奈莉德泳装ar实机-和谐_音乐	Play_Girl021_03_DLC32AR
3184	薇蒂娅泳装ar实机-非和谐_音乐	Play_Girl018a_03_DLC32AR_a
3185	薇蒂娅泳装ar实机-和谐_音乐	Play_Girl018a_03_DLC32AR
3186	DLC32武器Up池Fenni	Play_UI_Weapon_Show_Fenni_DLC32
3187	DLC32武器Up池SeRuiSi	Play_UI_Weapon_Show_SeRuiSi_DLC32
3188	DLC32预览视频	Play_UI_SeRuiSi_HDYuLan
3189	DLC32角色Up池Fenni	Play_UI_PV_Fenni
3190	DLC32角色Up池SeRuiSi	Play_UI_PV_SeRuiSi
3191	首次进入DLC活动界面音效	Play_DLC33_Enter01
3192	第二次及之后进入DLC活动界面音效	Play_DLC33_Enter02
3193	进入复刷材料本界面音效	Play_DLC33_Enter03
3194	DLC33角色Up池	Play_UI_PV_MiYa
3195	DLC33武器Up池	Play_UI_Weapon_Show_DLC33
3196	活动主界面-转场音效（首次进入，长版）	Play_DLC34_Enter01
3197	活动主界面-转场音效（重复进入，短版）	Play_DLC34_Enter02
3198	材料本界面-转场音效	Play_DLC34_Enter03
3199	DLC34武器Up池	Play_UI_Weapon_Show_DLC34
3200	DLC34角色Up池	Play_UI_PV_LingJian
3201	活动主界面-转场音效（首次进入，长版）	Play_DLC35_Enter01
3202	活动主界面-转场音效（重复进入，短版）	Play_DLC35_Enter02
3203	材料本界面-转场音效	Play_DLC35_Enter03
3204	DLC35角色Up池茉莉安	Play_UI_PV_DLC35_Molian
3205	DLC35角色Up池安卡	Play_UI_PV_DLC35_AnKa
3206	DLC35武器Up池茉莉安	Play_UI_Weapon_Show_DLC35_Molian
3207	DLC35武器Up池安卡	Play_UI_Weapon_Show_DLC35_AnKa
3208	投币按钮音效	Play_DLC35_House_Copush48
3209	活动主界面-转场音效（首次进入，长版）	Play_DLC36_Enter01
3210	活动主界面-转场音效（重复进入，短版）	Play_DLC36_Enter02
3211	材料本界面-转场音效	Play_DLC36_Enter03
3212	DLC36武器Up池	Play_UI_Weapon_Show_DLC36
3213	DLC36角色Up池	Play_UI_PV_LongYan
		
4000	语音	
4001	装箱中，请避让	Play_Vo_dlc1_robot_1
4002	保密级别验证中	Play_Vo_dlc1_robot_2
4003	跑马无眼，小心前方	Play_Vo_dlc1_robot_3
4004	开水，开水，让一让，小心开水	Play_Vo_dlc1_robot_4
4005	以泰坦之名……感谢您。	Play_Vo_dlc1_jianglin_1
4006	请您也解救吾等同胞吧！	Play_Vo_dlc1_jianglin_2
4007	这是亵渎！	Play_Vo_dlc1_jianglin_3
4008	这些机器，果然是违背了神的旨意……	Play_Vo_dlc1_jianglin_4
4009	吾等的敌人！	Play_Vo_dlc1_jianglin_5
4010	哈哈，谢啦！	Play_Vo_dlc1_jiaolang_1
4011	我的兄弟们也麻烦你……	Play_Vo_dlc1_jiaolang_2
4012	看着点！	Play_Vo_dlc1_jiaolang_3
4013	这些机器都疯了不成？	Play_Vo_dlc1_jiaolang_4
4014	我忙不过来了！	Play_Vo_dlc1_jiaolang_5
		
		
5000	音乐	
5001	宿舍BGM	Play_BGM_UI_Dorm
		
40101	早。	Play_Vo_girl001_F_01
40102	干嘛	Play_Vo_girl001_F_02
40103	是你啊。	Play_Vo_girl001_F_03
40104	有事？	Play_Vo_girl001_F_04
40105	该打游戏了。	Play_Vo_girl001_F_05
40121	哟，那就麻烦你了。	Play_Vo_AM_girl001_01
40122	期待你露一手喽~	Play_Vo_AM_girl001_02
40123	嘶	Play_Vo_AM_girl001_03
40124	等哈哈	Play_Vo_AM_girl001_04
40125	唔~	Play_Vo_AM_girl001_05
40126	哦？感觉有效果。	Play_Vo_AM_girl001_06
40127	刚刚干得不错！	Play_Vo_AM_girl001_07
40128	可以继续趴着打游戏了，谢啦。	Play_Vo_AM_girl001_08
40129	确实不疼了，干得好分析员。	Play_Vo_AM_girl001_09
40130	身上好像更酸痛了……	Play_Vo_AM_girl001_10
		
40201	早。	Play_Vo_girl002_F_01
40202	分析员？	Play_Vo_girl002_F_02
40203	要聊什么？	Play_Vo_girl002_F_03
40204	嗯，现在有空。	Play_Vo_girl002_F_04
40205	晚安。	Play_Vo_girl002_F_05
40221	那么就拜托分析员了。	Play_Vo_AM_girl002_01
40222	我会好好配合你的。	Play_Vo_AM_girl002_02
40223	唔	Play_Vo_AM_girl002_03
40224	咳	Play_Vo_AM_girl002_04
40225	嗯	Play_Vo_AM_girl002_05
40226	刚刚感觉很好。	Play_Vo_AM_girl002_06
40227	待会儿可以再用力点。	Play_Vo_AM_girl002_07
40228	身体感觉轻松多了。	Play_Vo_AM_girl002_08
40229	分析员可以再陪我会儿吗？	Play_Vo_AM_girl002_09
40230	无论如何，还是谢谢分析员了。	Play_Vo_AM_girl002_10
		
40301	哟吼~早~	Play_Vo_girl003_F_01
40302	嘿嘿真巧。	Play_Vo_girl003_F_02
40303	嗯？什么？	Play_Vo_girl003_F_03
40304	分析员！	Play_Vo_girl003_F_04
40305	哈——（哈欠）时间过得好快啊。	Play_Vo_girl003_F_05
		
40401	早上好啊——	Play_Vo_girl004_F_01
40402	发现分析员！	Play_Vo_girl004_F_02
40403	嗯~嗯嗯~	Play_Vo_girl004_F_03
40404	哼~哼~	Play_Vo_girl004_F_04
40405	有点困了。	Play_Vo_girl004_F_05
		
40501	早安，分析员。	Play_Vo_girl005_F_01
40502	要和我聊天？	Play_Vo_girl005_F_02
40503	嗯？分析员？	Play_Vo_girl005_F_03
40504	又见到分析员了~	Play_Vo_girl005_F_04
40505	晚安，分析员。	Play_Vo_girl005_F_05
		
40601	早上好！	Play_Vo_girl006_F_01
40602	找我有什么事？	Play_Vo_girl006_F_02
40603	正好现在休息。	Play_Vo_girl006_F_03
40604	这样啊……	Play_Vo_girl006_F_04
40605	晚上好！	Play_Vo_girl006_F_05
		
40701	早……早上好！	Play_Vo_girl007_F_01
40702	分…分析员？	Play_Vo_girl007_F_02
40703	您好……	Play_Vo_girl007_F_03
40704	嗯？	Play_Vo_girl007_F_04
40705	晚……晚上好。	Play_Vo_girl007_F_05
		
40801	早呀~分析员	Play_Vo_girl008_F_01
40802	哟~分析员	Play_Vo_girl008_F_02
40803	说吧我在听	Play_Vo_girl008_F_03
40804	嗯哼~	Play_Vo_girl008_F_04
40805	晚上好呀~	Play_Vo_girl008_F_05
40821	可不是谁都能为大明星服务的哦！	Play_Vo_AM_girl008_01
40822	不好好表现的话，本小姐可不会轻饶了你~	Play_Vo_AM_girl008_02
40823	唔！	Play_Vo_AM_girl008_03
40824	呵呵……	Play_Vo_AM_girl008_04
40825	啊~	Play_Vo_AM_girl008_05
40826	嗯~表现不错，等下继续哦。	Play_Vo_AM_girl008_06
40827	哈！就知道分析员和我心有灵犀~	Play_Vo_AM_girl008_07
40828	以后也要为本小姐好好服务哦。	Play_Vo_AM_girl008_08
40829	分析员，你看我的身材有没有更好一点呢？	Play_Vo_AM_girl008_09
40830	下一次，分析员可要再加把劲儿喽。	Play_Vo_AM_girl008_10
		
41001	哈啊——早。	Play_Vo_girl010_F_01
41002	找我干嘛？	Play_Vo_girl010_F_02
41003	聊天也算加班。	Play_Vo_girl010_F_03
41004	嗨~~~	Play_Vo_girl010_F_04
41005	差不多该休息了。	Play_Vo_girl010_F_05
41021	（哈欠）哈哦~分析员快想办法帮我缓解疲劳吧！	Play_Vo_AM_girl010_01
41022	（伸懒腰）嗯啊~我来你这儿偷睡会儿嘿嘿。	Play_Vo_AM_girl010_02
41023	唔诶？	Play_Vo_AM_girl010_03
41024	噗呵~	Play_Vo_AM_girl010_04
41025	呼~	Play_Vo_AM_girl010_05
41026	刚刚舒服得我都快睡着了~	Play_Vo_AM_girl010_06
41027	嗯~歇会儿就继续吧。	Play_Vo_AM_girl010_07
41028	（伸懒腰）嗯——舒服了，再睡会儿~	Play_Vo_AM_girl010_08
41029	啊~一放松下来又困了~	Play_Vo_AM_girl010_09
41030	啊……更累了，我要请病假。	Play_Vo_AM_girl010_10
		
41101	早啊！分析员——	Play_Vo_girl011_F_01
41102	和我聊聊天嘛！	Play_Vo_girl011_F_02
41103	想我了吗？	Play_Vo_girl011_F_03
41104	找我吗？	Play_Vo_girl011_F_04
41105	今天要梦到我哦~	Play_Vo_girl011_F_05
		
41201	早安喵。	Play_Vo_girl012_F_01
41202	你好喵。	Play_Vo_girl012_F_02
41203	有什么事喵？	Play_Vo_girl012_F_03
41204	现在不忙。	Play_Vo_girl012_F_04
41205	晚安喵。	Play_Vo_girl012_F_05
		
41301	早上好呀~嘿嘿	Play_Vo_girl013_F_01
41302	你好啊~	Play_Vo_girl013_F_02
41303	嗯嗯！	Play_Vo_girl013_F_03
41304	诶？找我吗？	Play_Vo_girl013_F_04
41305	诶？现在几点了！？	Play_Vo_girl013_F_05
		
41401	早。	Play_Vo_girl014_F_01
41402	聊天？可以。	Play_Vo_girl014_F_02
41403	在看我吗？	Play_Vo_girl014_F_03
41404	天气甚好。	Play_Vo_girl014_F_04
41405	请注意休息。	Play_Vo_girl014_F_05
		
41701	元气满满的一天~	Play_Vo_girl017_F_01
41702	当当当当！	Play_Vo_girl017_F_02
41703	诶？找我？	Play_Vo_girl017_F_03
41704	有什么事吗？	Play_Vo_girl017_F_04
41705	晚上好啊嘿嘿~	Play_Vo_girl017_F_05
		
41501	嗯，是个好天气。	Play_Vo_girl015_F_01
41502	想我了吗？	Play_Vo_girl015_F_02
41503	怎么了？	Play_Vo_girl015_F_03
41504	嗯，我在听。	Play_Vo_girl015_F_04
41505	难得的安全感。	Play_Vo_girl015_F_05
41521	呵呵呵，别让我等太久哦~	Play_Vo_AM_girl015_01
41522	现在这里，只有我们两个人。	Play_Vo_AM_girl015_02
41523	嘶——	Play_Vo_AM_girl015_03
41524	呵呵~	Play_Vo_AM_girl015_04
41525	嗯~	Play_Vo_AM_girl015_05
41526	呵呵呵，我已经开始期待下一轮~	Play_Vo_AM_girl015_06
41527	哦？干劲满满嘛~	Play_Vo_AM_girl015_07
41528	不再多陪我一会儿吗	Play_Vo_AM_girl015_08
