事件名(程序自动生成此表请勿手动修改)	中文开始	中文持续	日语开始	日语持续	英语开始	英语持续	韩语开始	韩语持续
Vo_girl005b_03_win002_027	90	782	203	660	56	669	200	670
Vo_girl005b_win001_026	22	478	25	490	39	403	23	563
Vo_girl005b_win002_027	15	496	119	389	94	395	119	467
Vo_girl005_win001_026	52	588	18	592	16	180	7	772
Vo_girl005_win002_027	62	499	19	443	15	254	5	428
Vo_girl006a_02_win001_026	16	424	20	357	30	362	13	383
Vo_girl006a_02_win002_027	102	218	21	355	30	306	8	378
Vo_girl006a_win001_026	45	278	20	344	7	270	16	360
Vo_girl006a_win002_027	9	276	20	268	11	230	19	280
Vo_girl006_win001_026	16	279	20	346	20	288	4	277
Vo_girl006_win002_027	23	207	19	194	11	317	8	162
Vo_girl007a_02_win001_026	19	301	62	270	76	202	58	374
Vo_girl007a_02_win002_027	21	309	64	283	78	203	62	374
Vo_girl007a_05_win001_026	147	464	149	455	158	406	149	546
Vo_girl007a_05_win002_027	18	383	149	458	150	435	77	618
Vo_girl007a_win001_026	218	306	89	299	86	351	90	585
Vo_girl007a_win002_027	227	338	73	340	78	336	70	605
Vo_girl007_win001_026	13	449	29	320	10	329	8	352
Vo_girl007_win002_027	16	397	20	327	11	113	7	303
Vo_girl008a_03_win001_026	20	479	20	481	19	382	18	498
Vo_girl008a_03_win002_027	106	362	20	369	20	404	16	384
Vo_girl008a_04_win001_026	66	333	130	325	159	345	131	322
Vo_girl008a_04_win002_027	44	305	144	311	161	265	144	308
Vo_girl008a_win001_026	36	318	17	337	21	210	9	311
Vo_girl008a_win002_027	36	358	23	307	17	166	6	352
Vo_girl008b_02_win001_026	78	528	54	532	59	526	53	659
Vo_girl008b_02_win002_027	18	531	45	471	119	494	38	674
Vo_girl008b_03_win001_026	19	621	107	569	81	660	105	661
Vo_girl008b_03_win002_027	109	537	97	637	105	617	119	647
Vo_girl008b_win001_026	36	433	42	383	54	366	41	521
Vo_girl008b_win002_027	25	495	40	381	142	376	39	521
Vo_girl008_win001_026	11	315	19	217	12	227	5	288
Vo_girl008_win002_027	18	344	20	279	15	376	4	305
Vo_girl010a_04_win001_026	29	725	27	797	97	747	21	801
Vo_girl010a_04_win002_027	74	568	26	794	64	781	20	799
Vo_girl010a_win001_026	19	362	19	275	14	292	85	355
Vo_girl010a_win002_027	20	292	20	445	21	382	86	364
Vo_girl010b_02_win001_026	42	760	22	771	65	494	19	833
Vo_girl010b_02_win002_027	36	819	22	767	50	563	25	827
Vo_girl010b_win001_026	22	635	56	545	7	590	55	563
Vo_girl010b_win002_027	37	692	46	558	17	542	43	573
Vo_girl010_win001_026	21	409	24	212	18	267	83	212
Vo_girl010_win002_027	19	351	20	263	22	376	88	280
Vo_girl011a_02_win001_026	55	466	0	367	18	321	4	372
Vo_girl011a_02_win002_027	41	515	20	348	88	266	17	362
Vo_girl011a_03_win001_026	23	426	55	506	54	383	50	522
Vo_girl011a_03_win002_027	63	433	79	459	50	394	70	499
Vo_girl011a_win001_026	59	471	173	314	194	297	172	327
Vo_girl011a_win002_027	55	482	170	293	187	306	168	328
Vo_girl011b_02_win001_026	18	630	138	742	112	553	140	746
Vo_girl011b_02_win002_027	16	604	105	776	114	600	102	782
Vo_girl011b_win001_026	253	309	118	588	128	459	118	594
Vo_girl011b_win002_027	255	348	136	571	0	0	133	579
Vo_girl011_02_win001_026	55	365	21	475	47	367	16	493
Vo_girl011_02_win002_027	63	357	23	418	71	318	16	436
Vo_girl011_win001_026	75	345	19	409	14	260	4	346
Vo_girl011_win002_027	43	359	19	351	13	318	4	236
Vo_girl012a_02_win001_026	47	350	20	379	33	388	14	405
Vo_girl012a_02_win002_027	80	284	21	259	79	338	19	395
Vo_girl012a_win001_026	70	267	20	336	13	264	17	344
Vo_girl012a_win002_027	77	395	20	307	15	234	19	495
Vo_girl012_win001_026	176	323	20	274	13	143	4	368
Vo_girl012_win002_027	117	357	18	311	12	178	4	310
Vo_girl013a_02_win001_026	23	479	74	323	116	407	74	385
Vo_girl013a_02_win002_027	20	459	47	445	38	470	49	467
Vo_girl013a_04_win001_026	147	476	63	751	108	659	61	851
Vo_girl013a_04_win002_027	159	717	99	752	127	629	99	845
Vo_girl013a_win001_026	116	432	148	246	101	374	148	428
Vo_girl013a_win002_027	159	384	105	293	102	349	95	477
Vo_girl013_win001_026	155	452	2	549	7	254	9	292
Vo_girl013_win002_027	119	280	2	721	7	310	6	400
Vo_girl014a_03_win001_026	183	421	210	394	234	259	207	416
Vo_girl014a_04_win001_026	23	330	1	263	22	352	0	276
Vo_girl014a_04_win002_027	25	315	1	281	10	271	1	292
Vo_girl014a_win001_026	41	234	20	497	19	367	1	702
Vo_girl014a_win002_027	25	216	19	364	20	286	2	531
Vo_girl014b_02_win001_026	247	461	307	420	295	549	232	530
Vo_girl014b_02_win002_027	194	459	298	406	305	426	210	552
Vo_girl014b_03_win001_026	109	535	107	536	106	437	7	632
Vo_girl014b_03_win002_027	125	507	104	539	100	491	98	541
Vo_girl014b_win001_026	69	614	165	459	10	622	161	475
Vo_girl014b_win002_027	55	548	100	524	108	502	20	616
Vo_girl014_win001_026	22	337	20	296	19	295	2	617
Vo_girl014_win002_027	97	236	19	197	19	144	3	410
Vo_girl015a_02_win001_026	55	632	79	602	169	276	79	605
Vo_girl015a_02_win002_027	80	607	105	576	117	327	103	581
Vo_girl015a_04_win001_026	54	490	112	572	80	471	108	567
Vo_girl015a_04_win002_027	16	503	127	557	66	497	125	550
Vo_girl015a_win001_026	82	486	132	221	122	275	130	438
Vo_girl015a_win002_027	79	489	54	363	140	260	51	517
Vo_girl015_02_win001_026	19	502	93	441	33	401	89	449
Vo_girl015_02_win002_027	19	439	124	394	48	388	125	413
Vo_girl015_win001_026	19	270	188	123	146	255	183	338
Vo_girl015_win002_027	20	343	103	354	122	252	102	419
Vo_girl016_02_win001_026	19	274	3	319	102	286	6	328
Vo_girl016_02_win002_027	19	282	2	313	87	315	4	320
Vo_girl016_04_win001_026	86	690	68	714	81	706	69	817
Vo_girl016_04_win002_027	83	708	68	707	66	720	61	828
Vo_girl016_win001_026	15	359	2	357	105	331	7	362
Vo_girl016_win002_027	8	436	1	342	130	326	4	348
Vo_girl017_02_win001_026	189	381	19	358	182	327	7	379
Vo_girl017_02_win002_027	29	419	20	329	228	432	20	346
Vo_girl017_win001_026	101	282	20	297	89	284	17	319
Vo_girl017_win002_027	96	321	20	317	99	337	19	330
Vo_girl018a_02_win001_026	36	654	75	704	81	606	53	733
Vo_girl018a_02_win002_027	58	678	127	652	47	657	131	655
Vo_girl018a_win001_026	87	593	86	586	48	451	84	595
Vo_girl018a_win002_027	70	514	67	605	26	551	63	616
Vo_girl018_02_win001_026	61	460	1	458	83	427	4	472
Vo_girl018_02_win002_027	31	501	4	437	125	408	5	447
Vo_girl018_03_win001_026	145	474	33	602	40	466	99	517
Vo_girl018_03_win002_027	102	517	31	606	45	428	43	576
Vo_girl018_win001_026	189	670	282	615	245	643	282	717
Vo_girl018_win002_027	25	664	276	562	249	651	271	727
Vo_girl020_02_win001_026	79	754	126	805	110	812	120	806
Vo_girl020_02_win002_027	95	713	101	830	95	715	84	844
Vo_girl020_win001_026	256	369	191	418	12	457	187	432
Vo_girl020_win002_027	249	322	195	440	29	447	194	468
Vo_girl021_02_win001_026	76	460	71	750	142	353	72	747
Vo_girl021_02_win002_027	75	468	68	717	142	378	70	712
Vo_girl021_win001_026	95	330	29	514	51	429	30	512
Vo_girl021_win002_027	68	475	148	435	130	387	110	476
Vo_girl015b_02_win001_026	31	552	192	442	198	379	192	445
Vo_girl015b_02_win002_027	29	565	139	406	157	271	134	503
Vo_girl015b_win001_026	31	565	84	544	105	551	82	572
Vo_girl015b_win002_027	45	532	110	398	134	319	107	577
Vo_girl017a_02_win001_026	90	705	60	726	100	552	61	731
Vo_girl017a_02_win002_027	97	698	65	721	90	476	65	727
Vo_girl017a_gacha001_042	78	960	392	621	50	884	391	628
Vo_girl017a_win001_026	30	770	75	755	82	434	76	753
Vo_girl017a_win002_027	30	781	83	730	74	422	85	727
Vo_girl020_03_win001_026	63	625	58	548	60	514	50	636
Vo_girl020_03_win002_027	101	587	14	654	65	615	8	678
Vo_girl011b_03_win001_026	73	696	125	638	35	724	121	643
Vo_girl011b_03_win002_027	73	696	134	636	53	639	131	633
Vo_girl015_04_win001_026	19	707	25	468	27	419	26	488
Vo_girl015_04_win002_027	18	646	21	484	25	416	20	557
Vo_girl015b_gacha001_042	616	651	101	1150	120	1002	100	1134
Vo_girl010a_03_win001_026	19	386	27	435	51	327	27	445
Vo_girl010a_03_win002_027	21	473	21	394	75	322	17	409
Vo_girl003a_03_win001_026	182	754	104	825	71	466	102	830
Vo_girl003a_03_win002_027	170	770	79	850	36	526	78	854
Vo_girl010b_03_win001_026	68	942	49	963	99	798	41	965
Vo_girl010b_03_win002_027	92	918	63	949	90	831	62	944
Vo_girl022_02_win001_026	145	552	249	521	209	437	247	515
Vo_girl022_02_win002_027	153	544	259	511	238	444	253	513
Vo_girl022_gacha001_042	111	997	125	1001	117	790	117	999
Vo_girl022_win001_026	112	629	174	569	111	404	159	580
Vo_girl022_win002_027	78	665	174	569	116	466	109	630
Vo_girl008c_gacha001_042	48	1065	70	1168	51	1678	73	1376
Vo_girl008c_win001_026	70	452	92	360	141	535	88	464
Vo_girl008c_win002_027	78	438	89	369	108	572	87	465
Vo_girl018a_03_win001_026	45	709	160	401	200	483	162	475
Vo_girl018a_03_win002_027	56	683	92	581	16	650	50	756
Vo_girl021_03_win001_026	231	518	156	622	276	451	152	715
Vo_girl021_03_win002_027	230	595	467	318	252	665	466	401
Vo_girl008c_02_win001_026	67	344	81	426	95	798	79	503
Vo_girl008c_02_win002_027	60	428	53	435	60	833	50	532
Vo_girl013b_02_win001_026	65	665	109	700	163	776	109	837
Vo_girl013b_02_win002_027	90	619	85	651	180	759	37	915
Vo_girl013b_gacha001_042	99	1060	48	1047	80	1061	44	1692
Vo_girl013b_win001_026	38	584	55	540	95	440	51	667
Vo_girl013b_win002_027	37	592	65	612	97	420	63	623
Vo_girl006b_02_win001_026	72	478	161	339	58	952	165	359
Vo_girl006b_02_win002_027	106	443	159	311	56	954	154	370
Vo_girl006b_gacha001_042	94	829	97	937	51	1759	92	974
Vo_girl006b_win001_026	84	395	42	308	80	296	83	296
Vo_girl006b_win002_027	208	232	42	307	83	403	48	334
Vo_girl015b_03_win001_026	18	676	142	503	46	924	143	848
Vo_girl015b_03_win002_027	13	517	64	519	23	953	55	934
Vo_girl023_02_win001_026	71	591	63	460	42	635	70	945
Vo_girl023_02_win002_027	93	502	94	575	121	983	99	916
Vo_girl023_gacha001_042	249	938	197	990	72	936	195	1102
Vo_girl023_win001_026	51	641	223	435	21	948	64	925
Vo_girl023_win002_027	92	645	212	427	43	926	48	938
Vo_girl008c_03_win001_026	159	434	127	396	130	434	95	647
Vo_girl008c_03_win002_027	113	571	85	447	122	605	106	623
Vo_girl012b_02_win001_026	128	693	88	701	115	761	137	748
Vo_girl012b_02_win002_027	46	766	46	678	55	821	264	621
Vo_girl012b_gacha001_042	297	1023	289	1145	252	1155	273	1311
Vo_girl012b_win001_026	137	440	134	559	91	758	20	838
Vo_girl012b_win002_027	88	530	66	582	118	731	375	483
Vo_girl020a_02_win001_026	75	699	101	579	108	501	14	808
Vo_girl020a_02_win002_027	53	695	127	551	73	563	18	804
Vo_girl020a_gacha001_042	100	1131	86	1049	40	1169	30	1249
Vo_girl020a_win001_026	95	768	97	792	70	770	44	913
Vo_girl020a_win002_027	88	790	71	827	76	795	46	911
Vo_girl005c_02_win001_026	111	650	175	632	51	955	78	901
Vo_girl005c_gacha001_042	803	917	314	1415	108	1902	818	1233
Vo_girl005c_win001_026	128	728	244	524	106	1020	223	804
Vo_girl023_03_win001_026	57	708	66	659	19	634	23	876
Vo_girl001b_02_win001_026	127	618	122	704	91	1095	30	950
Vo_girl001b_gacha001_042	501	1146	283	1325	213	1626	345	1514
Vo_girl001b_win001_026	78	386	76	466	61	388	45	530
Vo_girl013b_03_win001_026	61	657	16	823	41	945	31	931
Vo_girl001b_02_win002_027	142	651	116	652	80	1106	90	890
Vo_girl001b_win002_027	89	411	75	499	55	395	49	528
Vo_girl005c_02_win002_027	57	542	176	712	55	1229	182	798
Vo_girl005c_win002_027	94	765	264	643	128	998	348	678
Vo_girl013b_03_win002_027	72	661	128	601	43	656	28	934
Vo_girl023_03_win002_027	77	631	46	672	33	671	17	882
Vo_girl004c_02_win001_026	72	580	29	655	37	606	29	655
Vo_girl004c_gacha001_042	87	1178	150	1194	109	1137	150	1194
Vo_girl004c_win001_026	67	660	34	847	61	661	34	847
Vo_girl006b_03_win001_026	175	546	151	613	111	579	151	613
Vo_girl024_02_win001_026	162	535	229	504	54	905	229	504
Vo_girl024_02_win002_027	66	722	228	576	36	923	228	576
Vo_girl024_gacha001_042	9	858	223	688	23	1037	223	688
Vo_girl024_win001_026	111	414	137	748	107	811	137	748
Vo_girl024_win002_027	230	408	113	772	48	854	113	772
Vo_girl004c_02_win002_027	69	530	63	548	43	562	63	548
Vo_girl004c_win002_027	44	713	26	786	31	654	26	786
Vo_girl006b_03_win002_027	187	560	170	517	103	591	170	517
