 	角色ID	Wwise事件	描述	气泡文本key	多个Wwise事件时随机概率	是否播放状态:0-自己播,队友不播;1-自己播,队友也播
main702_01	111702	Play_Vo_girl017a_02_main702_01	chu~有请我唯一的幸运观众，送你一个小可爱！哇！成功了！耶！诶诶诶~？	speak.111702_main702_01	1	0
main702_02	111702	Play_Vo_girl017a_02_main702_02	诶诶诶！谢谢我最棒的观众！	speak.111702_main702_02	1	0
main703_01	111702	Play_Vo_girl017a_02_main703_01	有了！亲爱的，你身上有什么东西呢？嘿嘿！诶！？哎？缠住了，帮帮我嘛。	speak.111702_main703_01	1	0
main703_02	111702	Play_Vo_girl017a_02_main703_02	本来想变出花送你的……下次我一定要表演成功！	speak.111702_main703_02	1	0
main711	111702	Play_Vo_girl017a_02_main711	来，真可爱。哈哈你们也是来祝福我们的吗？（给个反应语气词）	speak.111702_main711	1	0
main712	111702	Play_Vo_girl017a_02_main712	谢谢。嘻嘻~该你了。	speak.111702_main712	1	0
main713	111702	Play_Vo_girl017a_02_main713	真好看！那接下来轮到我咯！这是我一生只用一次的魔术，用来牢牢绑住你的魔术。	speak.111702_main713	1	0
main720	111702	Play_Vo_girl017a_02_main720	我有个好东西！当当当当！这可不是普通的帽子哦~嘿！我在这里哦~这里是我专门为你创造的空间。嘿！你喜欢就好……	speak.111702_main720	1	0
main731	111702	Play_Vo_girl017a_02_main731	嗯。		1	0
main732	111702	Play_Vo_girl017a_02_main732	嘻~		1	0
main733	111702	Play_Vo_girl017a_02_main733	哦？		1	0
main734	111702	Play_Vo_girl017a_02_main734	诶！		1	0
main735	111702	Play_Vo_girl017a_02_main735	嘿嘿~		1	0
main736	111702	Play_Vo_girl017a_02_main736	嗯嗯~		1	0
main737	111702	Play_Vo_girl017a_02_main737	嗯……		1	0
main738	111702	Play_Vo_girl017a_02_main738	嗯~		1	0
main739	111702	Play_Vo_girl017a_02_main739	啊！		1	0
main740	111702	Play_Vo_girl017a_02_main740	嗯？		1	0
main741	111702	Play_Vo_girl017a_02_main741	啊？		1	0
main742	111702	Play_Vo_girl017a_02_main742	呵呵。		1	0
main743	111702	Play_Vo_girl017a_02_main743	唔~		1	0
main744	111702	Play_Vo_girl017a_02_main744	嗯——		1	0
main745	111702	Play_Vo_girl017a_02_main745	唔……		1	0
main746	111702	Play_Vo_girl017a_02_main746	哈哈。		1	0
main747	111702	Play_Vo_girl017a_02_main747	诶诶诶~		1	0
main761	111702	Play_Vo_girl017a_02_main761	哎哟！唔……抱歉我想得太投入了，好像以前也被你……噗哈哈。	speak.111702_main761	1	0
main762	111702	Play_Vo_girl017a_02_main762	呜哇！呼……吓我一跳，刚刚是想起那时候你……哈哈哈。	speak.111702_main762	1	0
main763	111702	Play_Vo_girl017a_02_main763	诶！！不行！现在还不可以看……这可是待会儿要给你的惊喜。	speak.111702_main763	1	0
main764	111702	Play_Vo_girl017a_02_main764	啊！等等！我还没准备好啦……等我酝酿一下再读给你听。	speak.111702_main764	1	0
main765	111702	Play_Vo_girl017a_02_main765	来，啊——嘿~哈哈，啊？真狡猾（笑）呵呵好吃吗？	speak.111702_main765	1	0
main766	111702	Play_Vo_girl017a_02_main766	要尝一口吗？诶~不给~啊？还有这招啊。哈哈味道不错吧？	speak.111702_main766	1	0
main767	111702	Play_Vo_girl017a_02_main767	哇啊！唔……掉到衣服上了。该怎么办呢？啊！那个，这个……要，要再来点吗？	speak.111702_main767	1	0
main768	111702	Play_Vo_girl017a_02_main768	唔！这……怎么掉这里了……这种奶油，应该洗得掉吧。唔！我！额……谢、谢谢。	speak.111702_main768	1	0
main769	111702	Play_Vo_girl017a_02_main769	啊！好险好险。嗯？嘿~还好我反应快。啊呜，真好吃。	speak.111702_main769	1	0
main770	111702	Play_Vo_girl017a_02_main770	哇！差点就掉了。哦~嘿嘿我还是这么笨手笨脚呢。啊呜，好吃好吃~	speak.111702_main770	1	0
main771	111702	Play_Vo_girl017a_02_main771	嗯？怎么只有一只？还有一只鞋子去哪儿了？	speak.111702_main771	1	0
main772	111702	Play_Vo_girl017a_02_main772	诶？什么时候只剩一只了？我刚刚放到别的地方了吗？	speak.111702_main772	1	0
main773	111702	Play_Vo_girl017a_02_main773	亲爱的，可以帮我穿下鞋吗？唔哈哈……啊！真是的，又逗我玩了。	speak.111702_main773	1	0
main774	111702	Play_Vo_girl017a_02_main774	我的王子殿下，可以帮我穿上吗？哈哈哈……诶！你就配合我一下嘛。	speak.111702_main774	1	0
main775	111702	Play_Vo_girl017a_02_main775	啊！腰一软就……还好没扭到脚，我们继续吧。	speak.111702_main775	1	0
main776	111702	Play_Vo_girl017a_02_main776	唔！我撑不住了……呼……幸好没有受伤，放心，真的不痛啦。	speak.111702_main776	1	0
main780	111702	Play_Vo_girl017a_02_main780	哇啊！？你已经来了?	speak.111702_main780	1	0
main781	111702	Play_Vo_girl017a_02_main781	没、没有呀，哈哈哈哈……我只是一看见你就太兴奋了！	speak.111702_main781	1	0
main782	111702	Play_Vo_girl017a_02_main782	今天一睁眼满脑子就都是你……早上装饰蛋糕的时候还差点摔了。	speak.111702_main782	1	0
main783	111702	Play_Vo_girl017a_02_main783	没有没有，我完全没事！倒是蛋糕被我蹭掉了一点点奶油，对不起……	speak.111702_main783	1	0
main784	111702	Play_Vo_girl017a_02_main784	好狡猾啊，又说这种……让我心脏跳得快蹦出来的话。	speak.111702_main784	1	0
main785	111702	Play_Vo_girl017a_02_main785	可是我的一切都交给你了哦！	speak.111702_main785	1	0
main786	111702	Play_Vo_girl017a_02_main786	我还有好多好多话想跟你说，又怕说不好。	speak.111702_main786	1	0
main787	111702	Play_Vo_girl017a_02_main787	锵锵~你应该不会介意我提前写好吧！咳咳，那我开始咯。	speak.111702_main787	1	0
main788	111702	Play_Vo_girl017a_02_main788	遇见你以来，我的人生就开始围着你打转了，或许我是为了与你相遇才诞生在这个世界上呢？我从没放弃过追逐你的背影，所以现在才能站在你的面前，我也终于有了心被填满的感觉。	speak.111702_main788	1	0
main789	111702	Play_Vo_girl017a_02_main789	我……真的很感谢你的出现，让我们相遇。	speak.111702_main789	1	0
main790	111702	Play_Vo_girl017a_02_main790	呜呜怎么办，我高兴得快疯掉了。	speak.111702_main790	1	0
main791	111702	Play_Vo_girl017a_02_main791	那我们快切蛋糕吧！playername（读亲爱的），你把我抱起来吧！	speak.111702_main791	1	0
main792	111702	Play_Vo_girl017a_02_main792	看好咯，这个是——苔丝魔术生涯最最精彩的魔术！	speak.111702_main792	1	0
main793	111702	Play_Vo_girl017a_02_main793	哈哈喜欢吗？以后也请多指教了，亲爱的。	speak.111702_main793	1	0
					1	0
凯西娅_狂诗_星抚恋音						
main700	121502	Play_Vo_girl015b_02_main700	还坐在里面干什么？是在等我邀请你吗？这位帅哥，赏个脸一起吹吹夜风吧？	speak.121502_main700	1	0
main701_01	121502	Play_Vo_girl015b_02_main701_01	嗯~这里环境还不错。嗯？呵。拍我？你不觉得镜头里少了些什么吗？来，呵呵。	speak.121502_main701_01	1	0
main701_02	121502	Play_Vo_girl015b_02_main701_02	要拍喽~你刚刚表情有点太正经了吧？呵呵不过拍得还不错。诶~呵呵，这个归我保管。	speak.121502_main701_02	1	0
main701_03	121502	Play_Vo_girl015b_02_main701_03	要拍……嗯？！你这家伙……哼，（然后嘬一口分析员的脸）可不要小看女人的胜负欲哦。	speak.121502_main701_03	1	0
main702_01	121502	Play_Vo_girl015b_02_main702_01	过来一下~你有样东西放在我这里了，需要你……亲·自·来·拿。	speak.121502_main702_01	1	0
main702_02	121502	Play_Vo_girl015b_02_main702_02	嗯？怎么不继续了？你这不是找到了吗？这可是恒约仪式的一部分哦，哼哼。	speak.121502_main702_02	1	0
main703_01	121502	Play_Vo_girl015b_02_main703_01	你在看什么呢？我可不准，你的视线从我身上移开。烟花，难道比我好看吗？	speak.121502_main703_01	1	0
main703_02	121502	Play_Vo_girl015b_02_main703_02	呼……我以为只有我着急呢。原来你也心急如焚，呵呵~哎呀，头发都弄乱了呢。	speak.121502_main703_02	1	0
main711	121502	Play_Vo_girl015b_02_main711	久等了。在这边哦。你大意了呵呵。不逗你了，我们开始吧。	speak.121502_main711	1	0
main712	121502	Play_Vo_girl015b_02_main712	唔？嗯？你竟然还准备了烟花？	speak.121502_main712	1	0
main713	121502	Play_Vo_girl015b_02_main713	我是个难缠的女人，你可逃不掉了。从一开始，我就只属于你。	speak.121502_main713	1	0
main720	121502	Play_Vo_girl015b_02_main720	时间也不早了，你一直在等我主动吧？那我可不客气了。	speak.121502_main720	1	0
main731	121502	Play_Vo_girl015b_02_main731	呵。		1	0
main732	121502	Play_Vo_girl015b_02_main732	嗯。		1	0
main733	121502	Play_Vo_girl015b_02_main733	嗯~~		1	0
main734	121502	Play_Vo_girl015b_02_main734	呵呵。		1	0
main735	121502	Play_Vo_girl015b_02_main735	呼~		1	0
main736	121502	Play_Vo_girl015b_02_main736	诶？		1	0
main737	121502	Play_Vo_girl015b_02_main737	嗯。		1	0
main738	121502	Play_Vo_girl015b_02_main738	哼~		1	0
main739	121502	Play_Vo_girl015b_02_main739	嗯~		1	0
main740	121502	Play_Vo_girl015b_02_main740	哼……		1	0
main741	121502	Play_Vo_girl015b_02_main741	嗯？		1	0
main742	121502	Play_Vo_girl015b_02_main742	哦？		1	0
main743	121502	Play_Vo_girl015b_02_main743	嗯。		1	0
main744	121502	Play_Vo_girl015b_02_main744	呵呵。		1	0
main745	121502	Play_Vo_girl015b_02_main745	嗯！		1	0
main746	121502	Play_Vo_girl015b_02_main746	唔嗯！		1	0
main761	121502	Play_Vo_girl015b_02_main761	你倒是越来越懂浪漫了?挺好看的，还有吗？	speak.121502_main761	1	0
main762	121502	Play_Vo_girl015b_02_main762	哦？你准备还挺多的嘛，偶尔幼稚一下也不错。	speak.121502_main762	1	0
main763	121502	Play_Vo_girl015b_02_main763	你，懂的吧？在这边~我就喜欢这个表情。	speak.121502_main763	1	0
main764	121502	Play_Vo_girl015b_02_main764	这里有点冷了，过来点，触感是不是不一样？	speak.121502_main764	1	0
main765	121502	Play_Vo_girl015b_02_main765	你的技术是越来越好了，那……想要我怎么报答你？	speak.121502_main765	1	0
main766	121502	Play_Vo_girl015b_02_main766	辛苦了，刚刚很舒服，那……要不要互换一下？	speak.121502_main766	1	0
main767	121502	Play_Vo_girl015b_02_main767	喜欢吗？不如再来一曲？	speak.121502_main767	1	0
main768	121502	Play_Vo_girl015b_02_main768	一曲完成，好久没弹首了。	speak.121502_main768	1	0
main769	121502	Play_Vo_girl015b_02_main769	弹得怎么样？那你是不是该给个奖励？也感谢你的倾听。	speak.121502_main769	1	0
main770	121502	Play_Vo_girl015b_02_main770	刚刚即兴了一段，我是不是可以要一个吻呢？改主意了，一个不够。	speak.121502_main770	1	0
main771	121502	Play_Vo_girl015b_02_main771	嗯？!放心，这点问题不会影响我为你演奏。	speak.121502_main771	1	0
main772	121502	Play_Vo_girl015b_02_main772	唔？呵~看来我今天也有点太过兴奋了。	speak.121502_main772	1	0
main773	121502	Play_Vo_girl015b_02_main773	巧了，我的杯子也空了，不用这么小心翼翼，今天就让我们好好放纵一下吧。	speak.121502_main773	1	0
main774	121502	Play_Vo_girl015b_02_main774	顺便也帮我倒满吧。这种时候就让我喝个够吧，毕竟今天是最值得庆祝的日子。	speak.121502_main774	1	0
main775	121502	Play_Vo_girl015b_02_main775	喝之前，可是要干杯的，嗯……这样是不是更好喝？	speak.121502_main775	1	0
main776	121502	Play_Vo_girl015b_02_main776	还是来点仪式感吧。咕……这下就是独一无二的味道了。	speak.121502_main776	1	0
main777	121502	Play_Vo_girl015b_02_main777	鞋都让你给弄松了，你可得负责啊。谢啦~	speak.121502_main777	1	0
main778	121502	Play_Vo_girl015b_02_main778	嗯？竟然松掉了，那就拜托你了。越来越熟练了嘛。	speak.121502_main778	1	0
main780	121502	Play_Vo_girl015b_02_main780	想不到……你会安排在这里。	speak.121502_main780	1	0
main781	121502	Play_Vo_girl015b_02_main781	（轻笑）呵~是啊，我以为你会找个更寻常，或者更传统一些的地方。	speak.121502_main781	1	0
main782	121502	Play_Vo_girl015b_02_main782	（开心一笑）呵呵~开玩笑的。	speak.121502_main782	1	0
main783	121502	Play_Vo_girl015b_02_main783	谢谢你准备了这么浪漫的地方，我也有东西给你。是刚刚拍的照片，还有……为了今天做的拨片。	speak.121502_main783	1	0
main784	121502	Play_Vo_girl015b_02_main784	我曾一度把心灵寄托给音乐，现在我把它们一起交给你。	speak.121502_main784	1	0
main785	121502	Play_Vo_girl015b_02_main785	（突然认真）明知故问，这种时候就不要说话了，要行动起来。	speak.121502_main785	1	0
main786	121502	Play_Vo_girl015b_02_main786	（幸福微笑）嗯，我知道，你一直都……	speak.121502_main786	1	0
main787	121502	Play_Vo_girl015b_02_main787	啊！？	speak.121502_main787	1	0
main788	121502	Play_Vo_girl015b_02_main788	怎么会？这点高度，我早就不害怕了，更何况现在你还在我身边。	speak.121502_main788	1	0
main789	121502	Play_Vo_girl015b_02_main789	你不信？	speak.121502_main789	1	0
main790	121502	Play_Vo_girl015b_02_main790	playername（读亲爱的），我爱你！！！！！	speak.121502_main790	1	0
main791	121502	Play_Vo_girl015b_02_main791	怎么样？这下信了吧？	speak.121502_main791	1	0
main792	121502	Play_Vo_girl015b_02_main792	你这家伙……	speak.121502_main792	1	0
						
芬妮_澄意_夕晖蜜约						
main700	130802	Play_Vo_girl008c_02_main700	♪~嗯？达令！呵呵，一起来享受阳光吧！达令也快过来吧！	speak.130802_main700	1	0
main701_01	130802	Play_Vo_girl008c_02_main701_01	要不要来玩一二三木头人的游戏呢？比比谁的反应快，嘻嘻~我准备好了。	speak.130802_main701_01	1	0
main701_02	130802	Play_Vo_girl008c_02_main701_02	一、二、三，木头人~	speak.130802_main701_02	1	0
main701_03	130802	Play_Vo_girl008c_02_main701_03	一二三，木头人。	speak.130802_main701_03	1	0
main701_04	130802	Play_Vo_girl008c_02_main701_04	一二三木头人！	speak.130802_main701_04	1	0
main701_05	130802	Play_Vo_girl008c_02_main701_05	哎呀，不愧是达令啊。	speak.130802_main701_05	1	0
main701_06	130802	Play_Vo_girl008c_02_main701_06	哼哼~可不能小瞧我哦。	speak.130802_main701_06	1	0
main701_07	130802	Play_Vo_girl008c_02_main701_07	等……诶等等！哈哈……哇！唔你今天怎么都不心疼我啦（娇嗔）	speak.130802_main701_07	1	0
main701_08	130802	Play_Vo_girl008c_02_main701_08	啊！达令放过我吧！哈哈……啊！真是的，我老是输给达令呢……	speak.130802_main701_08	1	0
main701_09	130802	Play_Vo_girl008c_02_main701_09	嘿~被我抓住了吧！看来今天我有奖（励）……你坏！哈哈哈……	speak.130802_main701_09	1	0
main702_01	130802	Play_Vo_girl008c_02_main702_01	差不多该吃早餐了，达令，先喝点饮料吧？	speak.130802_main702_01	1	0
main702_02	130802	Play_Vo_girl008c_02_main702_02	啊！溅了一身……来，干杯，（喝）嗯？早餐漂走了！交给我吧。	speak.130802_main702_02	1	0
main703_01	130802	Play_Vo_girl008c_02_main703_01	嗯？嘿~让本小姐也试试，沾上我的气息了呢？诶！？挂在那上面了，达令你到这儿来，我来帮你取。	speak.130802_main703_01	1	0
main703_02	130802	Play_Vo_girl008c_02_main703_02	嘿！到手！唔！你又这样，还给你啦，哼~（假装生气气）哈哈放心吧，我才不会生达令的气呢~	speak.130802_main703_02	1	0
main720	130802	Play_Vo_girl008c_02_main720	来吃甜点吧！我特地准备的哦。来，啊——啊，（被糊奶油）诶？你这是要……？嗯？我也要吃~掉进水里了……（狡黠一笑）那就交给我来吧。	speak.130802_main720	1	0
main731	130802	Play_Vo_girl008c_02_main731	哈？		1	0
main732	130802	Play_Vo_girl008c_02_main732	哈哈。		1	0
main733	130802	Play_Vo_girl008c_02_main733	哇啊！		1	0
main734	130802	Play_Vo_girl008c_02_main734	诶！		1	0
main735	130802	Play_Vo_girl008c_02_main735	嗯~		1	0
main736	130802	Play_Vo_girl008c_02_main736	嗯？		1	0
main737	130802	Play_Vo_girl008c_02_main737	唔！		1	0
main738	130802	Play_Vo_girl008c_02_main738	咳咳		1	0
main739	130802	Play_Vo_girl008c_02_main739	嗯嗯~		1	0
main740	130802	Play_Vo_girl008c_02_main740	哈哈		1	0
main741	130802	Play_Vo_girl008c_02_main741	啦啦~		1	0
main742	130802	Play_Vo_girl008c_02_main742	哦？		1	0
main743	130802	Play_Vo_girl008c_02_main743	嗯——		1	0
main744	130802	Play_Vo_girl008c_02_main744	哼~		1	0
main745	130802	Play_Vo_girl008c_02_main745	嘿！		1	0
main746	130802	Play_Vo_girl008c_02_main746	嘿嘿~		1	0
main747	130802	Play_Vo_girl008c_02_main747	哈啊！		1	0
main748	130802	Play_Vo_girl008c_02_main748	呼——		1	0
main761	130802	Play_Vo_girl008c_02_main761	哇！你又逗我，好像卡住了！（一阵挣扎）嘿——嗯！终于出来了。	speak.130802_main761	1	0
main762	130802	Play_Vo_girl008c_02_main762	啊！吓我一跳，怎么出不来！（一阵挣扎）嘿——嗯！刚刚好险啊。	speak.130802_main762	1	0
main763	130802	Play_Vo_girl008c_02_main763	啊？！不要……不要晃啦，都洒在身上了，待会儿再倒一杯吧。	speak.130802_main763	1	0
main764	130802	Play_Vo_girl008c_02_main764	啊？！停（打磕）……快停下呀，全都洒出来了，还好穿的是泳衣。	speak.130802_main764	1	0
main765	130802	Play_Vo_girl008c_02_main765	来，达令也喝点吧。味道怎么样？（喝）嗯~这样更好喝啦~	speak.130802_main765	1	0
main766	130802	Play_Vo_girl008c_02_main766	要尝尝我这杯吗？（笑一笑）喜欢这种吗？（喝）嗯~这样就更甜了~	speak.130802_main766	1	0
main767	130802	Play_Vo_girl008c_02_main767	（舔）达令选的就是好吃！诶，快化掉了！（舔）	speak.130802_main767	1	0
main768	130802	Play_Vo_girl008c_02_main768	（舔）夏天果然还是要吃冰的！诶，得吃快点了！（舔）	speak.130802_main768	1	0
main769	130802	Play_Vo_girl008c_02_main769	哈哈哈别，诶！怎么突然这么坏心眼啦？虽然不讨厌，但也不要一直逗弄我嘛。	speak.130802_main769	1	0
main770	130802	Play_Vo_girl008c_02_main770	哈哈哈等等，啊！我这里很怕痒的啊！知道你是逗我开心，但笑太多会长皱纹的哦。	speak.130802_main770	1	0
main771	130802	Play_Vo_girl008c_02_main771	泡沫好像有点太多了，到处都滑溜溜的，啊！果然很滑呢，连达令也站不住……呵呵~	speak.130802_main771	1	0
main772	130802	Play_Vo_girl008c_02_main772	沐浴露好像用太多了，得好好冲一冲才行，啊！看来不多，这个量……刚、刚、好呵呵~	speak.130802_main772	1	0
main773	130802	Play_Vo_girl008c_02_main773	背上擦不到呢，帮帮我呗~哈哈！你偷袭！我反击反击反击反击哈哈哈哈哈……	speak.130802_main773	1	0
main774	130802	Play_Vo_girl008c_02_main774	这边够不到，达令，交给你啦~哈哈！你又来！我也要挠你痒痒哈哈哈哈……	speak.130802_main774	1	0
main775	130802	Play_Vo_girl008c_02_main775	达令，来帮我个忙嘛！哈哈你真是越来越熟练了。	speak.130802_main775	1	0
main776	130802	Play_Vo_girl008c_02_main776	达令，过来一下。我们真是越来越有默契了。	speak.130802_main776	1	0
main777	130802	Play_Vo_girl008c_02_main777	嗯？怎么了？	speak.130802_main777	1	0
main778	130802	Play_Vo_girl008c_02_main778	你在看吗？	speak.130802_main778	1	0
main704_01	130802	Play_Vo_girl008c_02_main704_01	唔！		1	0
main704_02	130802	Play_Vo_girl008c_02_main704_02	诶诶！		1	0
main704_03	130802	Play_Vo_girl008c_02_main704_03	唔，哈哈~		1	0
main704_04	130802	Play_Vo_girl008c_02_main704_04	哇啊，停停哈哈……		1	0
						
瑟瑞丝_悠游_碧波浮游						
main700	121302	Play_Vo_girl013b_02_main700		speak.121302_main700	1	0
main701_01	121302	Play_Vo_girl013b_02_main701_01	嗯……分析员，你有看到刚刚的小船吗？	speak.121302_main701_01	1	0
main701_02	121302	Play_Vo_girl013b_02_main701_02	唔！嗯……那我……嘿！反击！哈哈……啊！我投降我投降，分析员太厉害了	speak.121302_main701_02	1	0
main702_01	121302	Play_Vo_girl013b_02_main702_01	呼~嘿！偷袭！哈哈哈哈（语气词）诶？等等……分析员的力气好大啊。	speak.121302_main702_01	1	0
main702_02	121302	Play_Vo_girl013b_02_main702_02	哦？这个，呼——？呵呵。	speak.121302_main702_02	1	0
main703_01	121302	Play_Vo_girl013b_02_main703_01	去吧，谢谢，诶！？看来需要我赢回来呢。	speak.121302_main703_01	1	0
main703_02	121302	Play_Vo_girl013b_02_main703_02	石头剪刀布！	speak.121302_main703_02	1	0
main703_03	121302	Play_Vo_girl013b_02_main703_03	耶！这下可以给我了吧？嗯？哇啊！又捉弄我，呼——哈哈。	speak.121302_main703_03	1	0
main703_04	121302	Play_Vo_girl013b_02_main703_04	呜，输了，还给我嘛，分析员。啊？等…等一下！久…久等了，呵呵。	speak.121302_main703_04	1	0
main720	121302	Play_Vo_girl013b_02_main720	哈哈，这次也留下很多快乐的回忆了，哦？分析员你来啦！（被摸头后轻笑）来，一起坐吧。（语气词）你看，是属于我们的假日纪念哦。分析员快看！好美的落日啊！得赶紧拍下来！来，这样，哈哈	speak.121302_main720	1	0
main731	121302	Play_Vo_girl013b_02_main731	嗯？		1	0
main732	121302	Play_Vo_girl013b_02_main732	诶？		1	0
main733	121302	Play_Vo_girl013b_02_main733	嗯！		1	0
main734	121302	Play_Vo_girl013b_02_main734	呵呵。		1	0
main735	121302	Play_Vo_girl013b_02_main735	唔……		1	0
main736	121302	Play_Vo_girl013b_02_main736	嗯……		1	0
main737	121302	Play_Vo_girl013b_02_main737	哈哈哈~		1	0
main738	121302	Play_Vo_girl013b_02_main738	哦！		1	0
main739	121302	Play_Vo_girl013b_02_main739	啊？		1	0
main740	121302	Play_Vo_girl013b_02_main740	诶！？		1	0
main741	121302	Play_Vo_girl013b_02_main741	嗯——		1	0
main742	121302	Play_Vo_girl013b_02_main742	呵~		1	0
main743	121302	Play_Vo_girl013b_02_main743	嗯……		1	0
main744	121302	Play_Vo_girl013b_02_main744	嘻嘻……		1	0
main745	121302	Play_Vo_girl013b_02_main745	啊？		1	0
main746	121302	Play_Vo_girl013b_02_main746	嗯！		1	0
main761	121302	Play_Vo_girl013b_02_main761	出发咯！这边这边哈哈哈……哇啊——呼~哈哈~		1	0
main762	121302	Play_Vo_girl013b_02_main762	冲呀！我在这里哦~~~哇啊——呼~哈哈~		1	0
