索引（最大65535）	步骤ID	备注	指引类型	类别 0或不配:移动端和PC端都会触发 1：移动端 2：PC端	PC端按键	地图ID(关卡内通过NotifyUI触发的指引才配)	前置指引	是否可以跳过	是否在和谐状态下禁止触发（1禁止）	是否重复触发	跳过的话顺带完成的指引ID	组[x,y] 如果x步已经完成，则跳转到Y步	{step,func,{param1,param1,}}如果func返回true，则跳转到step步	是否需要清空用户输入	指引出现延迟时间	窗口名	目标按钮路径	控件路径	3DUI路径	目标Actor名	控制可点击范围大小，不填则按按钮大小控制	阴影显示形状 1或不配圆形 2矩形	阴影区域显示大小，不填则默认370*370	指引框偏移，格式：{10,10}	气泡浮窗提示（{txtkey,nDirection},nDirection 填1、2、3、4 表示上、下、左、右	新浮窗提示	文字提示	键盘按键文字显示	文字提示-手柄	键盘按键文字显示-手柄	文字控件位置	Role头像(对应PlotRoleImg中的名称索引)	文字控件标题	文字提示消失延迟（秒）	是否显示黑色遮罩	是否按任意位置结束指引步骤	倒计时自动结束步骤	是否返回键完成指引	步骤结束模式（Move,Rotate,Click,Up,Down,Touch,LongPress,Notify)	是否为点击不穿透模式	参数列表	关卡已通关则直接完成指引	达到特定条件直接完成指引	显示的控件列表(多个控件用逗号隔开)	隐藏的控件列表（多个控件用逗号隔开）	显示控件列表的缩放	目标界面打开时时调用	指引步骤开始时调用	指引步骤结束时调用	UI名字（只用于只有图片的指引）	图片路径（对应helpimages.txt中的ID,只用于只有图片的指引）	重复开始指引的通关条件，如果指定关卡未正常通关，则会重复开启	完成后是否触发新的指引	指引过程中有新的指引触发是否等待(默认直接顶替，等待结束配1)	步骤结束延迟进入下一步	备注	老玩家模式是否触发配置（1不触发，不配触发）
	1	引导文字			MapWay									1	0	Fight	LevelTask/TaskList/1/BtnTask						{150}				guideui.MapLine01		guideui.MapLine01handle	{"TxtKeySteer"}	{500,300}	卡罗琳	card.NPC001	0	1				Click									{"SetKeyboardInput",{0,12,13,14}}	{"SetKeyboardInput",{1,12,13,14}}						2		
																																																									
21		目标引导	NonForce	2											0																																										
	1	引导文字			MapWay										0								{150}				guideui.MapLine01pc	{"TxtKeySteer"}	guideui.MapLine01handle	{"TxtKeySteer"}	{500,300}	卡罗琳	card.NPC001	3	0		3																		2		
																																																									
3		自动射击-宝宝巴士	NonForce	1											0																																										
	1	射击													0	Fight	SkillPanel/FireNew										guideui.simpleshooting		guideui.simpleshooting		{300,300}	卡罗琳	card.NPC001	0	0									GuideClick		1.5		{"SetBBBS",{0}};{"SetKeyInput",{"Fire",1}}									
																																																									
3		自动射击	NonForce	2											0																																										
	1	射击													0												guideui.Auto_tip1pc	{"TxtKeyFire"}	guideui.Auto_tip1handle	{"TxtKeyFire"}	{300,300}	卡罗琳	card.NPC001	0	0	1												{"SetKeyInput",{"Fire",1}}									
																																																									
4		技能3	Force	1											0																																										
	1	换弹			Reload										0	Fight	SkillPanel/ReloadNew										guideui.skill_Aim		guideui.skill_Aim		{300,300}	卡罗琳	card.NPC001	1	0				Click					GuideClick				{"SetKeyInput",{"Reload",1}};{"SetKeyInput",{"Fire",0}}									
																																																									
4		技能3	Force	2											0																																										
	1	换弹			Reload										0												guideui.skill_Aimpc	{"TxtKeyReload"}	guideui.skill_Aimhandle	{"TxtKeyReload"}	{300,300}	卡罗琳	card.NPC001	1	0													{"SetKeyInput",{"Reload",1}};{"SetKeyInput",{"Fire",0}}									
																																																									
12		暂停相关	NonForce	0											0																																										
	1	设置已打开													0	Fight	Pause/pauseNew										guideui.pause		guideui.pause		{500,300}	卡罗琳	card.NPC001	0	0		4		Click					GuideClick													
																																																									
22		进入掩体	Force	1											0																																										
	1	掩体			BunkerInteract									1	0	Fight	InteractList/ListInteractItems/0/InteractBtn						{320}	{40,0}			guideui.HideinBunker		guideui.HideinBunker		{300,300}	卡罗琳	card.NPC001	0	1				Click									{"SetKeyboardInput",{0,4,6,12,13,15}}	{"SetKeyboardInput",{1,4,6,12,13,15}}								
																																																									
22		进入掩体	Force	2											0																																										
	1	掩体			BunkerInteract										0	Fight	InteractList/ListInteractItems/0/InteractBtn	InteractList/ListInteractItems/0/PanelKey					{340}	{20,16}			guideui.HideinBunkerpc	{"TxtKeyUse"}	guideui.HideinBunkerhandle	{"TxtKeyUse"}	{300,300}	卡罗琳	card.NPC001	0	1				Click																		
																																																									
5		精准射击	Force	1											0																																										
	1	精准			Aim										0	Fight	SkillPanel/AimNew										guideui.prologue_tip2		guideui.prologue_tip2		{300,300}	卡罗琳	card.NPC001	2	0				Click					GuideClick		2		{"SetKeyInput",{"Fire",1}};{"SetKeyInput",{"Aim",1}}									
																																																									
5		精准射击	Force	2											0																																										
	1	精准			Aim										0												guideui.prologue_tip2pc	{"TxtKeyAim"}	guideui.prologue_tip2handle	{"TxtKeyAim"}	{300,300}	卡罗琳	card.NPC001	2	0													{"SetKeyInput",{"Fire",1}};{"SetKeyInput",{"Aim",1}}									
																																																									
501		操作模式设置-开火模式	Force	1											0																																					10100					
	1	提示文本													0												guideui.FightAction5011		guideui.FightAction5011		{300,300}	卡罗琳	card.NPC001	1	0		1																				
	2	操作模式设置													0																																	{"SetGamePaused",{1}};{"ExhaleMouse",{1}}	{"SetGamePaused",{0}};{"ExhaleMouse",{0}}	FightAction2					2		
	3	提示文本													0												guideui.FightAction5012		guideui.FightAction5012		{100,100}	卡罗琳	card.NPC001	1	0		1.5																				
																																																									
7		闪避	NonForce	1											0																																										
	1	闪避			Dodge										0	Fight	SkillPanel/RushNew										guideui.skill_dodge		guideui.skill_dodge		{300,300}	卡罗琳	card.NPC001	1	0				Click					GuideClick		1.5											
																																																									
7		闪避	NonForce	2											0																																										
	1	闪避			Dodge										0												guideui.skill_dodgepc	{"TxtKeyMiss"}	guideui.skill_dodgehandle	{"TxtKeyMiss"}	{300,300}	卡罗琳	card.NPC001	1	0																						
																																																									
8		常规技	NonForce	1											0																																										
	1	无人机齐射			Skill_1										0	Fight	SkillPanel/SkillNew										guideui.skill_2		guideui.skill_2		{300,300}	卡罗琳	card.NPC001	1	0				Click					GuideClick													
																																																									
8		常规技	NonForce	2											0																																										
	1	无人机齐射			Skill_1										0	Fight	SkillPanel/Skill1										guideui.skill_2pc	{"TxtKeySkill1"}	guideui.skill_2handle	{"TxtKeySkill1"}	{300,300}	卡罗琳	card.NPC001	1	0				Click																		
																																																									
9		开停车场门	Force	1											0																																										
	1	引导文字													0												guideui.prologue_tip4		guideui.prologue_tip4		{500,300}	卡罗琳	card.NPC001	0	0	1			Click																2		
																																																									
9		开停车场门	Force	2											0																																										
	1	引导文字													0												guideui.prologue_tip4pc	{"TxtKeyUse"}	guideui.prologue_tip4handle	{"TxtKeyUse"}	{500,300}	卡罗琳	card.NPC001	0	0	1																			2		
																																																									
201		操作模式设置	Force	1											0																																					10100					
	1	操作模式设置													0																																	{"SetGamePaused",{1}};{"ExhaleMouse",{1}}	{"SetGamePaused",{0}};{"ExhaleMouse",{0}}	FightAction					2		
																																																									
23		翻越掩体	NonForce	1											0																																										
	1	翻越掩体教学图													0																																	{"SetGamePaused",{1}};{"ExhaleMouse",{1}};{"SetKeyboardInput",{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	{"SetGamePaused",{0}};{"ExhaleMouse",{0}};{"SetKeyboardInput",{1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	HelpPop	51				2		
	2	翻越掩体			Cross										0	Fight	SkillPanel/RushNew										guideui.OverBunker		guideui.OverBunker		{300,300}	卡罗琳	card.NPC001	1	0				Click					GuideClick		1.5											
																																																									
23		翻越掩体	NonForce	2											0																																										
	1	翻越掩体教学图													0																																	{"SetGamePaused",{1}};{"ExhaleMouse",{1}};{"SetKeyboardInput",{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	{"SetGamePaused",{0}};{"ExhaleMouse",{0}};{"SetKeyboardInput",{1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	HelpPop	52				2		
	2	翻越掩体			Cross										0												guideui.OverBunkerpc	{"TxtKeyMiss"}	guideui.OverBunkerhandle	{"TxtKeyMiss"}	{300,300}	卡罗琳	card.NPC001	1	0																						
																																																									
11		技能3	NonForce	1											0																																										
	1	大招			SupperSkill										0	Fight	SkillPanel/SuperSkillNew										guideui.skill_3		guideui.skill_3		{300,300}	卡罗琳	card.NPC001	1	0				Click					GuideClick													
																																																									
11		技能3	NonForce	2											0																																										
	1	大招			SupperSkill										0	Fight	SkillPanel/Skill3										guideui.skill_3pc	{"TxtKeySkill2"}	guideui.skill_3handle	{"TxtKeySkill2"}	{300,300}	卡罗琳	card.NPC001	1	0				Click																		
																																																									
601		设置终端教学	Force	1				1							0																																					10100					
	1	设置终端教学图													0																																	{"SetGamePaused",{1}};{"ExhaleMouse",{1}};{"SetKeyboardInput",{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	{"SetGamePaused",{0}};{"ExhaleMouse",{0}};{"SetKeyboardInput",{1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	HelpPop	50				2		
																																																									
31		新序章移动	NonForce	1		10121									0																											10101										10124					
	1	移动			Move										0	Fight	Joystick/ImgCompass								{"guideui.DLC32move",1}				guideui.DLC32movehandle		{-100,-250}			3	0				Move					GuideCover				{"SetKeyInput",{"Fire",0}};{"SetKeyboardInput",{0,13,14,15}};{"SetKeyInput",{"Aim",0}};{"SetKeyInput",{"Reload",0}};{"SetKeyInput",{"Rush",0}};{"SetKeyInput",{"Dodege",0}}	{"SetKeyboardInput",{1,13,14,15}}								
																																																									
31		新序章移动	NonForce	2		10121									0																											10101										10124					
	1	移动			Move										0											guideui.DLC32movepc		{"TxtKeyMove1","TxtKeyMove2","TxtKeyMove3","TxtKeyMove4"}	guideui.DLC32movehandlepc		{0,0}			3	0													{"SetKeyInput",{"Fire",0}};{"SetKeyInput",{"Aim",0}};{"SetKeyInput",{"Reload",0}};{"SetKeyInput",{"Rush",0}}									
																																																									
33		新序章转向	NonForce	1		10121									0																											10101										10124					
	1	旋转			Rot										0	Fight	blank								{"guideui.DLC32turn",3}				guideui.DLC32turnhandle		{0,0}			3	0				Rotate					GuideNovice													
																																																									
33		新序章转向	NonForce	2		10121									0																											10101										10124					
	1	旋转			Rot										0											guideui.DLC32turnpc			guideui.DLC32turnhandlepc		{0,0}			3	0																						
																																																									
34		新序章疾跑	NonForce	1		10121									0																											10101										10124					
	1	疾跑			Rush										0	Fight	SkillPanel/RushNew								{"guideui.DLC32skill_run",1}				guideui.DLC32skill_runhandlenew	{"TxtKeyRun"}	{-200,-100}			3	0		10		Notify					GuideLongPress		3		{"SetKeyInput",{"Rush",1}}									
																																																									
34		新序章疾跑	NonForce	2		10121									0																											10101										10124					
	1	疾跑			Rush										0											guideui.DLC32skill_runpc		{"TxtKeyRun"}	guideui.DLC32skill_runhandlenewpc	{"TxtKeyRun"}	{0,0}			3	0													{"SetKeyInput",{"Rush",1}}									
																																																									
36		新序章自动射击-宝宝巴士	NonForce	1		10121									0																											10101										10124					
	1	射击			Fire										0	Fight	SkillPanel/FireNew								{"guideui.DLC32simpleshooting",3}				guideui.DLC32Auto_tip1handle	{"TxtKeyFire"}	{-60,-80}			3	0		10		Click					GuideRound		0.5		{"SetKeyInput",{"Fire",1}};{"SetKeyInput",{"Reload",1}};{"SetKeyInput",{"Dodege",1}}									
																																																									
36		新序章自动射击	NonForce	2		10121									0																											10101										10124					
	1	射击			Fire										0											guideui.DLC32Auto_tip1pc		{"TxtKeyFire"}	guideui.DLC32Auto_tip1handle	{"TxtKeyFire"}	{0,0}			3	0													{"SetKeyInput",{"Fire",1}};{"SetKeyInput",{"Reload",1}};{"SetKeyInput",{"Dodege",1}}									
																																																									
38		新序章灵敏度相关	Force	1		10121									0																											10100										10124					
	1	引导玩家点击按钮			SwitchSkillIntro										0	Fight	PanelAlternate/0/BtnChange						{150}		{"guideui.DLC32sensitive",1}				guideui.DLC32sensitivehandle	{"Txttipstab"}	{-100,-80}			1	0				Click					GuideRound		0.3											
																																																									
38		新序章灵敏度相关	Force	2		10121									0																											10100										10124					
	1	引导玩家点击按钮			SwitchSkillIntro										0	Fight	PanelAlternate/0/BtnChange						{150}		{"guideui.DLC32sensitivepc",3}			{"Txttipstab"}	guideui.DLC32sensitivehandle	{"Txttipstab"}	{0,0}			1	0				Click					GuideRound		0.3											
																																																									
32		新序章跳跃教学	Force	1		10122									0																											10100										10124					
	1	跳跃按钮													0	Fight	SkillPanel/JumpNew						{200}		{"guideui.DLC32jump",1}				guideui.DLC32jumphandle	{"TxtKeyJump"}	{-100,-70}			4	0									GuideRound		0.5											
																																																									
32		新序章跳跃教学	NonForce	2		10122									0																											10100										10124					
	1	跳跃按钮													0	Fight	SkillPanel/JumpNew						{200}			guideui.DLC32jumppc		{"TxtKeyJump"}	guideui.DLC32jumphandle	{"TxtKeyJump"}	{-100,-70}			4	0									GuideRound		0.5											
																																																									
37		新序章常规技	NonForce	1		10121									0																											10100										10124					
	1	无限之视常规技			Skill_1										0	Fight	SkillPanel/SkillNew								{"guideui.DLC32skill_2",1}				guideui.DLC32skill_2handle	{"TxtKeySkill1"}	{-150,-50}			3	0		8		Click					GuideRound		0.4		{"SetKeyInput",{"Skill_1",1}}									
																																																									
37		新序章常规技	NonForce	2		10121									0																											10100										10124					
	1	无限之视常规技			Skill_1										0	Fight	SkillPanel/Skill1									guideui.DLC32skill_2pc		{"TxtKeySkill1"}	guideui.DLC32skill_2handle	{"TxtKeySkill1"}	{0,0}			3	0		30		Notify					GuideRound		0.4		{"SetKeyInput",{"Skill_1",1}}									
																																																									
49		新序章常规技	NonForce	1		10121									0																											10100										10124					
	1	常规技第二次			Skill_1										0	Fight	SkillPanel/SkillNew																	3	0		8		Click					GuideRound		0.4											
																																																									
49		新序章常规技	NonForce	2		10121									0																											10100										10124					
	1	常规技第二次			Skill_1										0	Fight	SkillPanel/Skill1																	3	0		30		Notify					GuideRound		0.4											
																																																									
39		新序章技能3	NonForce	1		10121									0																											10100										10124					
	1	大招			SupperSkill										0	Fight	SkillPanel/SuperSkillNew								{"guideui.DLC32skill_3",1}				guideui.DLC32skill_3handle	{"TxtKeySkill2"}	{-130,-50}			1	0		8		Click					GuideRound		1		{"SetKeyInput",{"SupperSkill",1}}									
																																																									
39		新序章技能3	NonForce	2		10121									0																											10100										10124					
	1	大招			SupperSkill										0	Fight	SkillPanel/Skill3									guideui.DLC32skill_3pc		{"TxtKeySkill2"}	guideui.DLC32skill_3handle	{"TxtKeySkill2"}	{0,0}			1	0				Notify					GuideRound		1		{"SetKeyInput",{"SupperSkill",1}}									
																																																									
40		新序章目标引导	NonForce	1		10122									0																											10100										10124					
	1	引导线			MapWay										0	Fight	LevelTask/TaskList/1/BtnTask						{150}		{"guideui.DLC32mapline",4}				guideui.DLC32maplinehandle	{"TxtKeySteer"}	{-70,20}			0.5	0		8		Click									{"SetKeyboardInput",{0,18,19,20,7,8}}							2		
																																																									
40		新序章目标引导	NonForce	2		10122									0																											10100										10124					
	1	引导线			MapWay										0	Fight	LevelTask/TaskList/1/BtnTask									guideui.DLC32maplinepc		{"TxtKeySteer"}	guideui.DLC32maplinehandle	{"TxtKeySteer"}	{0,0}			1	0													{"SetKeyboardInput",{0,18,19,20,7,8}}							2		
																																																									
41		新序章支援技教学	Force	1		10122		1							0																											10100										10124					
	1	支援技			BackSkill2									1	0	Fight	PlayerSelect/PlayerList/1/BtnSkill						{150}		{"guideui.DLC32backskill",1}				guideui.DLC32backskillhandle	{"TxtKeyBackSuperSkillCombo"}	{-150,-50}			0.5	1				Click					GuideRound		0.4		{"SelectJoystic",{1}};{"SetGamePaused",{1}};{"SetKeyboardInput",{1,18,19,20}};{"SetKeyboardInput",{0,7,8}}	{"SetGamePaused",{0}};{"RecoveryJoystic"};{"SetKeyboardInput",{0,7,8}}						2		
																																																									
41		新序章支援技教学	Force	2		10122		1							0																											10100										10124					
	1	支援技			BackSkill2									1	0	Fight	PlayerSelect/PlayerList/1/BtnSkill						{150}		{"guideui.DLC32backskillpc",1}			{"TxtKeyBackSkill2"}	guideui.DLC32backskillhandle	{"TxtKeyBackSuperSkillCombo"}	{-150,-50}			0.5	1				Released					GuideRound		0.4		{"SelectJoystic",{1}};{"SetGamePaused",{1}};{"SetKeyboardInput",{0,17}};{"SetKeyboardInput",{1,18,19,20}};{"SetKeyboardInput",{0,7,8}}	{"SetGamePaused",{0}};{"RecoveryJoystic"};{"SetKeyboardInput",{1,17}};{"SetKeyboardInput",{0,7,8}}						2		
																																																									
42		新序章换人教学	Force	1		10122									0																											10100										10124					
	1	换人（里芙）			SwitchPre									1	0	Fight	PlayerSelect/PlayerList/1/Btn						{150}		{"guideui.DLC32switchplayer",1}				guideui.DLC32switchplayerhandle	{"TxtKeySwitch2"}	{-150,-50}			0.5	1				Click					GuideRound		0.4		{"SelectJoystic",{1}};{"SetKeyboardInput",{0,8,9,11}};{"SetGamePaused",{1}};{"SetKeyboardInput",{1,7}}	{"SetGamePaused",{0}};{"RecoveryJoystic"};{"SetKeyboardInput",{1,7,8,9,10,11}}						2		
																																																									
42		新序章换人教学	Force	2		10122									0																											10100										10124					
	1	换人（里芙）			SwitchPre									1	0	Fight	PlayerSelect/PlayerList/1/Btn						{150}		{"guideui.DLC32switchplayerpc",1}			{"TxtKeySwitch2"}	guideui.DLC32switchplayerhandle	{"TxtKeySwitch2"}	{-150,-50}			0.5	1				Released					GuideRound		0.4		{"SelectJoystic",{1}};{"SetKeyboardInput",{0,8,9,11}};{"SetGamePaused",{1}};{"SetKeyboardInput",{1,7}}	{"SetGamePaused",{0}};{"RecoveryJoystic"};{"SetKeyboardInput",{1,7,8,9,10,11}}						2		
																																																									
51		新序章换人教学	Force	1		10122									0																											10100										10124					
	1	换人（芬妮）			SwitchPre									1	0	Fight	PlayerSelect/PlayerList/0/Btn						{150}		{"guideui.DLC32switchplayer",1}				guideui.DLC32switchplayerhandle	{"TxtKeySwitch2"}	{-150,-50}			0.5	1				Click					GuideRound		0.4		{"SelectJoystic",{1}};{"SetKeyboardInput",{0,10,11}};{"SetGamePaused",{1}}	{"SetGamePaused",{0}};{"RecoveryJoystic"};{"SetKeyboardInput",{1,10,11}}						2		
																																																									
51		新序章换人教学	Force	2		10122									0																											10100										10124					
	1	换人（芬妮）			SwitchPre									1	0	Fight	PlayerSelect/PlayerList/0/Btn						{150}		{"guideui.DLC32switchplayerpc",1}			{"TxtKeySwitch1"}	guideui.DLC32switchplayerhandle	{"TxtKeySwitch2"}	{-150,-50}			0.5	1				Released					GuideRound		0.4		{"SelectJoystic",{1}};{"SetKeyboardInput",{0,10,11}};{"SetGamePaused",{1}}	{"SetGamePaused",{0}};{"RecoveryJoystic"};{"SetKeyboardInput",{1,10,11}}						2		
																																																									
43		新序章暂停相关	NonForce	1		10121									0																											10100										10124					
	1	设置已打开													0	Fight	Pause/pauseNew																		0		1																				
																																																									
43		新序章暂停相关	NonForce	2		10121									0																											10100										10124					
	1	设置已打开													0	Fight	Pause/pauseNew																		0		1																				
																																																									
44		新序章Act2技能3	NonForce	1		10122									0																											10100										10124					
	1	充能引导大招			SupperSkill										0	Fight	SkillPanel/SuperSkillNew								{"guideui.DLC32skill_3",1}				guideui.DLC32skill_3handle	{"TxtKeySkill2"}	{-130,-50}			3	0		8		Click					GuideRound		0.4											
																																																									
44		新序章Act2技能3	NonForce	2		10122									0																											10100										10124					
	1	充能引导大招			SupperSkill										0	Fight	SkillPanel/Skill3									guideui.DLC32skill_3pc		{"TxtKeySkill2"}	guideui.DLC32skill_3handle	{"TxtKeySkill2"}	{0,0}			3	0		30		Notify					GuideRound		0.4											
																																																									
45		新序章精准射击	NonForce	1		10121									0																											10100										10124					
	1	精准			Aim										0	Fight	SkillPanel/AimNew								{"guideui.DLC32aim",1}				guideui.DLC32aimhandle	{"TxtKeyAim","TxtKeyFire"}	{-200,-100}			3	0		10		Click					GuideRound		0.6		{"SetKeyInput",{"Aim",1}}									
																																																									
45		新序章精准射击	NonForce	2		10121									0																											10100										10124					
	1	精准			Aim										0											guideui.DLC32aimpc		{"TxtKeyAim","TxtKeyFire"}	guideui.DLC32aimhandle	{"TxtKeyAim","TxtKeyFire"}	{0,0}			3	0		30											{"SetKeyInput",{"Aim",1}}									
																																																									
46		新序章闪避	Force	1		10121									0																											10100										10124					
	1	闪避			Dodge										0	Fight	SkillPanel/RushNew									guideui.DLC32dodge			guideui.DLC32dodge		{-200,-50}			0.5	1				Click					GuideRound		0.6		{"SelectJoystic",{1}};{"SetGamePaused",{1}}	{"SetGamePaused",{0}};{"RecoveryJoystic"}								
																																																									
46		新序章闪避	Force	2		10121									0																											10100										10124					
	1	闪避			Dodge										0											guideui.DLC32dodgepc		{"TxtKeyMiss"}	guideui.DLC32dodgepc	{"TxtKeyMiss"}	{-200,-50}			3	0													{"SelectJoystic",{1}};{"SetGamePaused",{1}}	{"SetGamePaused",{0}};{"RecoveryJoystic"}								
																																																									
602		设置终端教学	Force	1											0																																										
	1	设置终端教学图													0																																	{"SetGamePaused",{1}};{"ExhaleMouse",{1}};{"SetKeyboardInput",{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	{"SetGamePaused",{0}};{"ExhaleMouse",{0}};{"SetKeyboardInput",{1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24}}	HelpPop	50				2		
																																																									
47		新序章机枪教学	NonForce	1		10123									0																											10100										10124					
	1	机枪射击			Fire										0	Fight	PanelTurret/0/FireBtn								{"guideui.DLC32simpleshooting",1}				guideui.DLC32Auto_tip1handle	{"TxtKeyFire"}	{-120,-130}			1	0		10		Click					GuideRound		0.6											
																																																									
47		新序章机枪教学	NonForce	2		10123									0																											10100										10124					
	1	机枪射击			Fire									1	1											guideui.DLC32Auto_tip1pc		{"TxtKeyFire"}	guideui.DLC32Auto_tip1handle	{"TxtKeyFire"}	{0,0}			1	0		30																				
																																																									
48		2.5新增教学互动	Force	1											0																																										
	1	互动			BunkerInteract										0	Fight	InteractList/ListInteractItems/0/InteractBtn						{320}	{40,0}			guideui.HideinBunker		guideui.HideinBunker		{300,300}	卡罗琳	card.NPC001	0	1				Click									{"SetKeyboardInput",{0,4,6,12,13,15}}	{"SetKeyboardInput",{1,4,6,12,13,15}}								
																																																									
48		2.5新增教学互动	Force	2											0																																										
	1	互动			BunkerInteract										0	Fight	InteractList/ListInteractItems/0/InteractBtn	InteractList/ListInteractItems/0/PanelKey					{340}	{20,16}			guideui.HideinBunkerpc	{"TxtKeyUse"}	guideui.HideinBunkerhandle	{"TxtKeyUse"}	{300,300}	卡罗琳	card.NPC001	0	1				Click																		
																																																									
50		新序章射击炸药桶	NonForce	1		10122									0																											10101										10124					
	1	指向炸药桶			Fire										0	Fight	Center								{"guideui.DLC32bomb",1}				guideui.DLC32bomb		{-150,-50}			1	1		2							GuideRound		1		{"SetKeyInput",{"Fire",1}};{"SetKeyInput",{"Jump",0}}	{"SetKeyInput",{"Jump",0}}								
																																																									
50		新序章射击炸药桶	NonForce	2		10122									0																											10101										10124					
	1	指向炸药桶			Fire										0	Fight	Center								{"guideui.DLC32bomb",1}				guideui.DLC32bomb		{-150,-50}			1	1		2							GuideRound		1		{"SetKeyInput",{"Fire",1}};{"SetKeyInput",{"Jump",0}}	{"SetKeyInput",{"Jump",0}}								
																																																									
52		新序章按键设置开启	NonForce	1		10121									0																											10100										10124					
