ID（1至6500之间）	备注	关卡ID（对应Level.txt中的ID）	索引到具体BOSS	对应buffID	难度对应等级{难度,等级,倍率,基础分}	词条库ID	描述	对应scene_data.txt中的ID
10	波伏娃13	504	6003101	{8230001}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,5,12,15,23,106}	bossDesc4	4
11	刻耳柏洛斯	509	6001301	{8230002}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,3,7,16,23,113}	bossDesc9	9
12	“野牛”约瑟夫	502	6002003	{8230002}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,7,16,23,103}	bossDesc2	2
13	爱思特	510	6001004	{8230003}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,5,10,20,23,114}	bossDesc10	10
14	海拉	503	6003201	{8230003}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,10,20,23,105}	bossDesc3	3
15	刻耳柏洛斯	509	6001301	{8230004}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,5,12,17,24,113}	bossDesc9	9
16	加文	507	6002102	{8230004}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,6,12,17,24,111}	bossDesc7	7
17	二型验证机甲	501	6002002	{8230005}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,6,9,19,24,101}	bossDesc1	1
18	让·苏瑞安·萨特	506	6002103	{8230005}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,4,9,19,24,110}	bossDesc6	6
19	二型验证机甲·荒猎	505	6002005	{8230006}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,3,8,14,24,108}	bossDesc5	5
20	爱思特	510	6001004	{8230006}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,4,8,14,24,114}	bossDesc10	10
21	海拉	503	6003201	{8230011}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,6,12,13,22,104}	bossDesc3	3
22	“野牛”约瑟夫	502	6002003	{8230011}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,12,13,22,102}	bossDesc2	2
23	祟（火）	512	600120502	{8230012}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,8,15,22,115}	bossDesc10	11
24	波伏娃13	504	6003101	{8230012}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,3,8,15,22,106}	bossDesc4	4
25	祟（冰）	513	600120503	{8230014}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,3,11,18,21,116}	bossDesc10	12
26	让·苏瑞安·萨特	506	6002103	{8230014}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,4,11,18,21,109}	bossDesc6	6
27	刻耳柏洛斯	509	6001301	{8230015}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,5,10,19,21,113}	bossDesc9	9
28	爱思特	510	6001004	{8230015}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,4,10,19,21,114}	bossDesc10	10
29	海拉·怒棘	508	6001204	{8230017}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,5,9,16,24,112}	bossDesc8	8
30	加文	507	6002102	{8230017}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,4,9,16,24,111}	bossDesc7	7
31	二型验证机甲·荒猎	505	6002005	{8230018}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,6,7,14,24,107}	bossDesc5	5
32	“野牛”约瑟夫	502	6002003	{8230018}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,5,7,14,24,103}	bossDesc2	2
33	二型验证机甲	501	6002002	{8230007}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,3,8,17,23,101}	bossDesc1	1
34	波伏娃13	504	6003101	{8230007}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,8,17,23,106}	bossDesc4	4
35	威尔·安德森	514	600150101	{8230007}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,8,17,23,117}	bossDesc1	13
36	凯茜娅	515	6001505	{8230007}	{{1,25,1,200},{2,30,1.5,300},{3,40,2,350},{4,50,2.3,500},{5,60,2.7,600},{6,70,3,650},{7,80,3.5,700},{8,90,4,750}}	{1,2,8,17,23,118}	bossDesc1	14
