关卡ID	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	任务资源	Boss最大血量	是否统计小怪承伤(不填和填0不统计，填1统计)
2537	0	2507	1	{{2,2527}}	{{600150302,80}}	1	SeasonBoss/SeasonBoss_2507_04.SeasonBoss_2507_04	1093000	
2547	0	2507	1	{{2,2537}}	{{600150302,90}}	1	SeasonBoss/SeasonBoss_2507_05.SeasonBoss_2507_05	-1	
2508	0	2508	1		{{600100205,25}}	1	SeasonBoss/SeasonBoss_2508_01.SeasonBoss_2508_01	74000	
2518	0	2508	1	{{2,2508}}	{{600100205,40}}	1	SeasonBoss/SeasonBoss_2508_02.SeasonBoss_2508_02	185600	
2528	0	2508	1	{{2,2518}}	{{600100205,60}}	1	SeasonBoss/SeasonBoss_2508_03.SeasonBoss_2508_03	516200	
2538	0	2508	1	{{2,2528}}	{{600100205,80}}	1	SeasonBoss/SeasonBoss_2508_04.SeasonBoss_2508_04	1093000	
2548	0	2508	1	{{2,2538}}	{{600100205,90}}	1	SeasonBoss/SeasonBoss_2508_05.SeasonBoss_2508_05	-1	
2509	0	2509	1		{{600120504,25}}	1	SeasonBoss/SeasonBoss_2509_1.SeasonBoss_2509_1	74000	
2519	0	2509	1	{{2,2509}}	{{600120504,40}}	1	SeasonBoss/SeasonBoss_2509_2.SeasonBoss_2509_2	185600	
2529	0	2509	1	{{2,2519}}	{{600120504,60}}	1	SeasonBoss/SeasonBoss_2509_3.SeasonBoss_2509_3	516200	
2539	0	2509	1	{{2,2529}}	{{600120504,80}}	1	SeasonBoss/SeasonBoss_2509_4.SeasonBoss_2509_4	1093000	
2549	0	2509	1	{{2,2539}}	{{600120504,90}}	1	SeasonBoss/SeasonBoss_2509_5.SeasonBoss_2509_5	-1	
2601	0	2601	1		{{600130204,25}}	1	SeasonBoss/SeasonBoss_2601_01.SeasonBoss_2601_01	74000	
2611	0	2601	1	{{2,2601}}	{{600130204,40}}	1	SeasonBoss/SeasonBoss_2601_02.SeasonBoss_2601_02	185600	
2621	0	2601	1	{{2,2611}}	{{600130204,60}}	1	SeasonBoss/SeasonBoss_2601_03.SeasonBoss_2601_03	516200	
2631	0	2601	1	{{2,2621}}	{{600130204,80}}	1	SeasonBoss/SeasonBoss_2601_04.SeasonBoss_2601_04	1093000	
2641	0	2601	1	{{2,2631}}	{{600130204,90}}	1	SeasonBoss/SeasonBoss_2601_05.SeasonBoss_2601_05	-1	
2602	0	2602	1		{{600100402,25}}	1	SeasonBoss/SeasonBoss_2602_01.SeasonBoss_2602_01	74000	
2612	0	2602	1	{{2,2602}}	{{600100402,40}}	1	SeasonBoss/SeasonBoss_2602_02.SeasonBoss_2602_02	185600	
2622	0	2602	1	{{2,2612}}	{{600100402,60}}	1	SeasonBoss/SeasonBoss_2602_03.SeasonBoss_2602_03	516200	
2632	0	2602	1	{{2,2622}}	{{600100402,80}}	1	SeasonBoss/SeasonBoss_2602_04.SeasonBoss_2602_04	1093000	
2642	0	2602	1	{{2,2632}}	{{600100402,90}}	1	SeasonBoss/SeasonBoss_2602_05.SeasonBoss_2602_05	-1	
2603	0	2603	1		{{600120604,25}}	1	SeasonBoss/SeasonBoss_2603_01.SeasonBoss_2603_01	74000	
2613	0	2603	1	{{2,2603}}	{{600120604,40}}	1	SeasonBoss/SeasonBoss_2603_02.SeasonBoss_2603_02	185600	
2623	0	2603	1	{{2,2613}}	{{600120604,60}}	1	SeasonBoss/SeasonBoss_2603_03.SeasonBoss_2603_03	516200	
2633	0	2603	1	{{2,2623}}	{{600120604,80}}	1	SeasonBoss/SeasonBoss_2603_04.SeasonBoss_2603_04	1093000	
2643	0	2603	1	{{2,2633}}	{{600120604,90}}	1	SeasonBoss/SeasonBoss_2603_05.SeasonBoss_2603_05	-1	
2604	0	2604	1		{{600140103,25},4001211,4001212,4001213}	1	SeasonBoss/SeasonBoss_2604_01.SeasonBoss_2604_01	94868	1
2614	0	2604	1	{{2,2604}}	{{600140103,40},4001211,4001212,4001213}	1	SeasonBoss/SeasonBoss_2604_02.SeasonBoss_2604_02	241081	1
2624	0	2604	1	{{2,2614}}	{{600140103,60},4001211,4001212,4001213}	1	SeasonBoss/SeasonBoss_2604_03.SeasonBoss_2604_03	683659	1
2634	0	2604	1	{{2,2624}}	{{600140103,80},4001211,4001212,4001213}	1	SeasonBoss/SeasonBoss_2604_04.SeasonBoss_2604_04	1476711	1
2644	0	2604	1	{{2,2634}}	{{600140103,90},4001211,4001212,4001213}	1	SeasonBoss/SeasonBoss_2604_05.SeasonBoss_2604_05	-1	1
2605	0	2605	1		{{600100601,25}}	1	SeasonBoss/SeasonBoss_2605_01.SeasonBoss_2605_01	74000	
2615	0	2605	1	{{2,2605}}	{{600100601,40}}	1	SeasonBoss/SeasonBoss_2605_02.SeasonBoss_2605_02	185600	
2625	0	2605	1	{{2,2615}}	{{600100601,60}}	1	SeasonBoss/SeasonBoss_2605_03.SeasonBoss_2605_03	516200	
2635	0	2605	1	{{2,2625}}	{{600100601,80}}	1	SeasonBoss/SeasonBoss_2605_04.SeasonBoss_2605_04	1093000	
2645	0	2605	1	{{2,2635}}	{{600100601,90}}	1	SeasonBoss/SeasonBoss_2605_05.SeasonBoss_2605_05	-1	
2606	0	2606	1		{{600150601,25}}	1	SeasonBoss/SeasonBoss_2606_01.SeasonBoss_2606_01	74000	
2616	0	2606	1	{{2,2606}}	{{600150601,40}}	1	SeasonBoss/SeasonBoss_2606_02.SeasonBoss_2606_02	185600	
2626	0	2606	1	{{2,2616}}	{{600150601,60}}	1	SeasonBoss/SeasonBoss_2606_03.SeasonBoss_2606_03	516200	
2636	0	2606	1	{{2,2626}}	{{600150601,80}}	1	SeasonBoss/SeasonBoss_2606_04.SeasonBoss_2606_04	1093000	
2646	0	2606	1	{{2,2636}}	{{600150601,90}}	1	SeasonBoss/SeasonBoss_2606_05.SeasonBoss_2606_05	-1	
2607	0	2607	1		{{600230102,25}}	1	SeasonBoss/SeasonBoss_2607_01.SeasonBoss_2607_01	74000	
2617	0	2607	1	{{2,2607}}	{{600230102,40}}	1	SeasonBoss/SeasonBoss_2607_02.SeasonBoss_2607_02	185600	
2627	0	2607	1	{{2,2617}}	{{600230102,60}}	1	SeasonBoss/SeasonBoss_2607_03.SeasonBoss_2607_03	516200	
2637	0	2607	1	{{2,2627}}	{{600230102,80}}	1	SeasonBoss/SeasonBoss_2607_04.SeasonBoss_2607_04	1093000	
2647	0	2607	1	{{2,2637}}	{{600230102,90}}	1	SeasonBoss/SeasonBoss_2607_05.SeasonBoss_2607_05	-1	
2608	0	2608	1		{{600160101,25},4009013}	1	SeasonBoss/SeasonBoss_2608_01.SeasonBoss_2608_01	74000	
2618	0	2608	1	{{2,2608}}	{{600160101,40},4009013}	1	SeasonBoss/SeasonBoss_2608_02.SeasonBoss_2608_02	185600	
2628	0	2608	1	{{2,2618}}	{{600160101,60},4009013}	1	SeasonBoss/SeasonBoss_2608_03.SeasonBoss_2608_03	516200	
2638	0	2608	1	{{2,2628}}	{{600160101,80},4009013}	1	SeasonBoss/SeasonBoss_2608_04.SeasonBoss_2608_04	1093000	
2648	0	2608	1	{{2,2638}}	{{600160101,90},4009013}	1	SeasonBoss/SeasonBoss_2608_05.SeasonBoss_2608_05	-1	
2609	0	2609	1		{{600160203,25}}	1	SeasonBoss/SeasonBoss_2609_01.SeasonBoss_2609_01	74000	
2619	0	2609	1	{{2,2609}}	{{600160203,40}}	1	SeasonBoss/SeasonBoss_2609_02.SeasonBoss_2609_02	185600	
2629	0	2609	1	{{2,2619}}	{{600160203,60}}	1	SeasonBoss/SeasonBoss_2609_03.SeasonBoss_2609_03	516200	
2639	0	2609	1	{{2,2629}}	{{600160203,80}}	1	SeasonBoss/SeasonBoss_2609_04.SeasonBoss_2609_04	1093000	
2649	0	2609	1	{{2,2639}}	{{600160203,90}}	1	SeasonBoss/SeasonBoss_2609_05.SeasonBoss_2609_05	-1	
2701	0	2701	1		{{600220601,25}}	1	SeasonBoss/SeasonBoss_2701_01.SeasonBoss_2701_01	74000	
2711	0	2701	1	{{2,2701}}	{{600220601,40}}	1	SeasonBoss/SeasonBoss_2701_02.SeasonBoss_2701_02	185600	
2721	0	2701	1	{{2,2711}}	{{600220601,60}}	1	SeasonBoss/SeasonBoss_2701_03.SeasonBoss_2701_03	516200	
2731	0	2701	1	{{2,2721}}	{{600220601,80}}	1	SeasonBoss/SeasonBoss_2701_04.SeasonBoss_2701_04	1093000	
2741	0	2701	1	{{2,2731}}	{{600220601,90}}	1	SeasonBoss/SeasonBoss_2701_05.SeasonBoss_2701_05	-1	
2702	0	2702	1		{{600120901,25}}	1	SeasonBoss/SeasonBoss_2702_01.SeasonBoss_2702_01	74000	
2712	0	2702	1	{{2,2702}}	{{600120901,40}}	1	SeasonBoss/SeasonBoss_2702_02.SeasonBoss_2702_02	185600	
2722	0	2702	1	{{2,2712}}	{{600120901,60}}	1	SeasonBoss/SeasonBoss_2702_03.SeasonBoss_2702_03	516200	
2732	0	2702	1	{{2,2722}}	{{600120901,80}}	1	SeasonBoss/SeasonBoss_2702_04.SeasonBoss_2702_04	1093000	
2742	0	2702	1	{{2,2732}}	{{600120901,90}}	1	SeasonBoss/SeasonBoss_2702_05.SeasonBoss_2702_05	-1	
