ID	注释	索引到具体词条技能	解锁条件（1:积分 2:等级,不填表示不需要解锁）	难度限制	显示优先级	类型（1：时间限制类  2：角色存活限制 3：更换地图 0或不配表示其他类）	扩展参数{}	具体描述
1202	使用常规技后，技能伤害提升40%但射击伤害降低40%，持续10秒	{8810009}		{5}	1			bossentries.pvp64
1203	全队及其附属单位的治疗加成提升50%但全队队员防御力降低40%	{8810013}		{5}	1			bossentries.pvp65
1204	射击命中目标后，目标防御降低20%，持续5秒但队员受到的伤害提升20%	{8810017}		{5}	1			bossentries.pvp66
1205	造成暴击伤害时，无视目标20%抗性但非暴击伤害最终伤害降低15%（含没暴击的技能伤害）	{8810031}		{5}	1			bossentries.pvp63
1206	生命高于50%时，攻击力提升40%，生命低于50%时，防御力降低40%	{8810033}		{5}	1			bossentries.pvp64
1207	敌方与我方攻击力提升30%	{8810038}		{5}	1			bossentries.pvp65
1208	全队队员全类型伤害提升40%，但当前场上队员全类型伤害每秒降低3%，至多降低90%，离场后该效果移除	{8810041}		{5}	1			bossentries.pvp66
1209	极夜幽影不再拥有蓝色外甲，但其受到的射击伤害降低30%，受到的技能伤害提升20%	{8810046}		{5}	1			bossentries.pvp63
1210	敌方与我方防御力提升30%	{8810047}		{5}	1			bossentries.pvp64
1211	射击命中目标后，目标防御降低20%，持续5秒但队员受到的伤害提升20%；	{8810017}		{5}	1			bossentries.pvp65
1212	使用常规技后，技能伤害提升40%但射击伤害降低40%，持续10秒；	{8810009}		{5}	1			bossentries.pvp66
1213	射击命中目标后，目标防御降低20%，持续5秒但队员受到的伤害提升20%；	{8810017}		{5}	1			bossentries.pvp63
1214	使用常规技后，暴击伤害增幅降低50%，但技能伤害提升40%，持续8秒	{8810048}		{5}	1			bossentries.pvp64
1215	全队队员全类型伤害提升40%，但当前场上队员全类型伤害每秒降低3%，至多降低90%，离场后该效果移除	{8810041}		{5}	1			bossentries.pvp65
1216	使用常规技后，技能伤害提升40%但射击伤害降低40%，持续10秒；	{8810009}		{5}	1			bossentries.pvp66
1217	2.8环境buff1	{8810069}		{5}	1			bossentries.pvp63
1218	2.8环境buff2	{8810009}		{5}	1			bossentries.pvp64
1219	2.8环境buff3	{8810065}		{5}	1			bossentries.pvp65
1220	2.8环境buff4	{8810038}		{5}	1			bossentries.pvp66
1221	3.0环境（难度5）buff1	{8810404}		{5}	1			bossentries.pvp63
1222	3.0环境（难度5）buff2	{8810017}		{5}	1			bossentries.pvp64
1223	3.0环境（难度5）buff3	{8810048}		{5}	1			bossentries.pvp65
1224	3.0环境（难度5）buff4	{8810409}		{5}	1			bossentries.pvp66
1225	3.1环境（难度5）buff1	{8810017}		{5}	1			bossentries.pvp63
1226	3.1环境（难度5）buff2	{8810009}		{5}	1			bossentries.pvp64
1227	3.1环境（难度5）buff3	{8810409}		{5}	1			bossentries.pvp65
1228	3.1环境（难度5）buff4	{8810038}		{5}	1			bossentries.pvp66
1229	3.2环境（难度5）buff1	{8810301}		{5}	1			bossentries.pvp63
1230	3.2环境（难度5）buff2	{8810038}		{5}	1			bossentries.pvp64
1231	3.2环境（难度5）buff3	{8810304}		{5}	1			bossentries.pvp65
1232	3.2环境（难度5）buff4	{8810017}		{5}	1			bossentries.pvp66
1233	3.3（难度5）buff1	{8810601}		{5}	1			bossentries.pvp63
1234	3.3（难度5）buff2	{8810301}		{5}	1			bossentries.pvp64
1235	3.3（难度5）buff3	{8810602}		{5}	1			bossentries.pvp65
1236	3.3（难度5）buff4	{8810017}		{5}	1			bossentries.pvp66
1237	3.5（难度5）buff1	{8810702}		{5}	1			bossentries.pvp63
1238	3.5（难度5）buff1	{8810017}		{5}	1			bossentries.pvp64
1239	3.5（难度5）buff1	{8810048}		{5}	1			bossentries.pvp65
1240	3.5（难度5）buff1	{8810304}		{5}	1			bossentries.pvp66
1241	3.6（难度5）buff1	{8810801}		{5}	1			bossentries.pvp63
1242	3.6（难度5）buff1	{8810009}		{5}	1			bossentries.pvp64
1243	3.6（难度5）buff1	{8810404}		{5}	1			bossentries.pvp65
1244	3.6（难度5）buff1	{8810601}		{5}	1			bossentries.pvp66
1245	3.7（难度5）buff1	{8810801}		{5}	1			bossentries.pvp63
1246	3.7（难度5）buff1	{8810009}		{5}	1			bossentries.pvp64
1247	3.7（难度5）buff1	{8810404}		{5}	1			bossentries.pvp65
1248	3.7（难度5）buff1	{8810601}		{5}	1			bossentries.pvp66
2101	使用爆发技后，暴击伤害增幅提升45%，持续8秒	{8810044}		{1,2,3,4,5}	1			bossentries.pvp67
2102	支援技的技能急速增加100	{8810006}		{1,2,3,4,5}	1			bossentries.pvp68
2103	每次射击命中会使目标受到的技能伤害提升3%，持续0.5秒，至多叠加10层	{8810011}		{1,2,3,4,5}	1			bossentries.pvp69
2104	使用常规技后，队员射击伤害会无视目标25%防御力，持续5秒	{8810015}		{1,2,3,4,5}	1			bossentries.pvp70
2105	使用常规技后，暴击伤害增幅提升45%，持续8秒	{8810029}		{1,2,3,4,5}	1			bossentries.pvp67
2106	战术闪避和冲刺不消耗耐力	{8810032}		{1,2,3,4,5}	1			bossentries.pvp68
2107	射击暴击后，全队防御力提升10%，至多叠加5层	{8810036}		{1,2,3,4,5}	1			bossentries.pvp69
2108	切换队员后，当前场上队员技能伤害提升40%，持续10秒	{8810039}		{1,2,3,4,5}	1			bossentries.pvp70
2109	使用常规技后，下一次爆发技伤害提升20%，至多叠加3次	{8810044}		{1,2,3,4,5}	1			bossentries.pvp67
2110	使用常规技后，暴击伤害增幅提升45%，持续8秒	{8810029}		{1,2,3,4,5}	1			bossentries.pvp68
2111	战术闪避和冲刺不消耗耐力	{8810032}		{1,2,3,4,5}	1			bossentries.pvp69
2112	切换队员后，当前场上队员技能伤害提升40%，持续10秒	{8810039}		{1,2,3,4,5}	1			bossentries.pvp70
2113	使用爆发技后，暴击伤害增幅提升45%，持续8秒	{8810001}		{1,2,3,4,5}	1			bossentries.pvp67
2114	首领生命及技能护盾不会降低，受到的技能伤害额外提升25%	{8810063}		{1,2,3,4,5}	1			bossentries.pvp68
2115	切换队员后，当前场上队员技能伤害提升40%，持续10秒	{8810039}		{1,2,3,4,5}	1			bossentries.pvp69
2116	首领生命及技能护盾不会降低，受到的技能伤害额外提升25%	{8810063}		{1,2,3,4,5}	1			bossentries.pvp70
2117	2.8环境对抗buff1	{8810068}		{1,2,3,4,5}	1			bossentries.pvp67
2118	2.8环境对抗buff2	{8810039}		{1,2,3,4,5}	1			bossentries.pvp68
2119	2.8环境对抗buff3	{8810064}		{1,2,3,4,5}	1			bossentries.pvp69
2120	2.8环境对抗buff4	{8810072}		{1,2,3,4,5}	1			bossentries.pvp70
2121	3.0环境对抗（1-5）buff1	{8810401}		{1,2,3,4,5}	1			bossentries.pvp67
2122	3.0环境对抗（1-5）buff1	{8810015}		{1,2,3,4,5}	1			bossentries.pvp68
2123	3.0环境对抗（1-5）buff1	{8810044}		{1,2,3,4,5}	1			bossentries.pvp69
2124	3.0环境对抗（1-5）buff1	{8810406}		{1,2,3,4,5}	1			bossentries.pvp70
2125	3.1环境对抗（1-5）buff1	{8810401}		{1,2,3,4,5}	1			bossentries.pvp67
2126	3.1环境对抗（1-5）buff1	{8810501}		{1,2,3,4,5}	1			bossentries.pvp68
2127	3.1环境对抗（1-5）buff1	{8810406}		{1,2,3,4,5}	1			bossentries.pvp69
2128	3.1环境对抗（1-5）buff1	{8810502}		{1,2,3,4,5}	1			bossentries.pvp70
2129	3.2环境对抗（1-5）buff1	{8810072}		{1,2,3,4,5}	1			bossentries.pvp67
2130	3.2环境对抗（1-5）buff2	{8810039}		{1,2,3,4,5}	1			bossentries.pvp68
2131	3.2环境对抗（1-5）buff3	{8810044}		{1,2,3,4,5}	1			bossentries.pvp69
2132	3.2环境对抗（1-5）buff4	{8810401}		{1,2,3,4,5}	1			bossentries.pvp70
2133	3.3（1-5）buff1	{8810001}		{1,2,3,4,5}	1			bossentries.pvp67
2134	3.3（1-5）buff2	{8810044}		{1,2,3,4,5}	1			bossentries.pvp68
2135	3.3（1-5）buff3	{8810015}		{1,2,3,4,5}	1			bossentries.pvp69
2136	3.3（1-5）buff4	{8810401}		{1,2,3,4,5}	1			bossentries.pvp70
2137	3.5（1-5）buff1	{8810701}		{1,2,3,4,5}	1			bossentries.pvp67
2138	3.5（1-5）buff2	{8810401}		{1,2,3,4,5}	1			bossentries.pvp68
2139	3.5（1-5）buff3	{8810072}		{1,2,3,4,5}	1			bossentries.pvp69
2140	3.5（1-5）buff4	{8810044}		{1,2,3,4,5}	1			bossentries.pvp70
2141	3.6（1-5）buff1	{8810015}		{1,2,3,4,5}	1			bossentries.pvp67
2142	3.6（1-5）buff1	{8810501}		{1,2,3,4,5}	1			bossentries.pvp68
2143	3.6（1-5）buff1	{8810401}		{1,2,3,4,5}	1			bossentries.pvp69
2144	3.6（1-5）buff1	{8810001}		{1,2,3,4,5}	1			bossentries.pvp70
2145	3.7（1-5）buff1	{8810015}		{1,2,3,4,5}	1			bossentries.pvp67
2146	3.7（1-5）buff1	{8810501}		{1,2,3,4,5}	1			bossentries.pvp68
2147	3.7（1-5）buff1	{8810401}		{1,2,3,4,5}	1			bossentries.pvp69
2148	3.7（1-5）buff1	{8810001}		{1,2,3,4,5}	1			bossentries.pvp70
