活动Id	日期	重点标记	奖励{g,d,p,l,n}
165	4		{{5,1,1,4,3}}
165	5		{{4,2,1,4,2}}
165	6		{{5,2,1,4,3}}
165	7	1	{{4,3,2,1,100}}
			
169	1	1	{{4,3,2,1,100}}
169	2		{{4,2,1,4,1}}
169	3	1	{{4,3,2,1,100}}
169	4		{{5,1,1,4,3}}
169	5		{{4,2,1,4,2}}
169	6		{{5,2,1,4,3}}
169	7	1	{{4,3,2,1,100}}
			
190	1	1	{{4,3,2,1,100}}
190	2		{{4,2,1,4,1}}
190	3	1	{{4,3,2,1,100}}
190	4		{{5,1,1,4,3}}
190	5		{{4,2,1,4,2}}
190	6		{{5,2,1,4,3}}
190	7	1	{{4,3,2,1,100}}
			
202	1	1	{{4,3,2,1,100}}
202	2		{{4,2,1,4,1}}
202	3	1	{{4,3,2,1,100}}
202	4		{{5,1,1,4,3}}
202	5		{{4,2,1,4,2}}
202	6		{{5,2,1,4,3}}
202	7	1	{{4,3,2,1,100}}
			
231	1	1	{{4,3,2,1,100}}
231	2		{{4,2,1,4,1}}
231	3	1	{{4,3,2,1,100}}
231	4		{{5,1,1,4,3}}
231	5		{{4,2,1,4,2}}
231	6		{{5,2,1,4,3}}
231	7	1	{{4,3,2,1,100}}
			
			
251	1	1	{{4,3,2,1,100}}
251	2		{{4,2,1,4,1}}
251	3	1	{{4,3,2,1,100}}
251	4		{{5,1,1,4,3}}
251	5		{{4,2,1,4,2}}
251	6		{{5,2,1,4,3}}
251	7	1	{{4,3,2,1,100}}
			
268	1	1	{{4,3,2,1,100}}
268	2		{{4,2,1,4,1}}
268	3	1	{{4,3,2,1,100}}
268	4		{{5,1,1,4,3}}
268	5		{{4,2,1,4,2}}
268	6		{{5,2,1,4,3}}
268	7	1	{{4,3,2,1,100}}
			
288	1	1	{{4,3,2,1,100}}
288	2		{{4,2,1,4,1}}
288	3	1	{{4,3,2,1,100}}
288	4		{{5,1,1,4,3}}
288	5		{{4,2,1,4,2}}
288	6		{{5,2,1,4,3}}
288	7	1	{{4,3,2,1,100}}
			
330	1	1	{{4,3,2,1,100}}
330	2		{{4,2,1,4,1}}
330	3	1	{{4,3,2,1,100}}
330	4		{{5,1,1,4,3}}
330	5		{{4,2,1,4,2}}
330	6		{{5,2,1,4,3}}
330	7	1	{{4,3,2,1,100}}
			
351	1	1	{{4,3,2,1,100}}
351	2		{{4,2,1,4,1}}
351	3	1	{{4,3,2,1,100}}
351	4		{{5,1,1,4,3}}
351	5		{{4,2,1,4,2}}
351	6		{{5,2,1,4,3}}
351	7	1	{{4,3,2,1,100}}
			
386	1	1	{{4,3,2,1,100}}
386	2		{{4,2,1,4,1}}
386	3	1	{{4,3,2,1,100}}
386	4		{{5,1,1,4,3}}
386	5		{{4,2,1,4,2}}
386	6		{{5,2,1,4,3}}
386	7	1	{{4,3,2,1,100}}
			
393	1	1	{{4,3,2,1,100}}
393	2		{{4,2,1,4,1}}
393	3	1	{{4,3,2,1,100}}
393	4		{{5,1,1,4,3}}
393	5		{{4,2,1,4,2}}
393	6		{{5,2,1,4,3}}
393	7	1	{{4,3,2,1,100}}
			
405	1	1	{{4,3,2,1,100}}
405	2		{{4,2,1,4,1}}
405	3	1	{{4,3,2,1,100}}
405	4		{{5,1,1,4,3}}
405	5		{{4,2,1,4,2}}
405	6		{{5,2,1,4,3}}
405	7	1	{{4,3,2,1,100}}
			
560	1	1	{{4,3,2,1,100}}
560	2		{{4,2,1,4,1}}
560	3	1	{{4,3,2,1,100}}
560	4		{{5,1,1,4,3}}
560	5		{{4,2,1,4,2}}
560	6		{{5,2,1,4,3}}
560	7	1	{{4,3,2,1,100}}
			
604	1	1	{{4,3,2,1,100}}
604	2		{{4,2,1,4,1}}
604	3	1	{{4,3,2,1,100}}
604	4		{{5,1,1,4,3}}
604	5		{{4,2,1,4,2}}
604	6		{{5,2,1,4,3}}
604	7	1	{{4,3,2,1,100}}
			
619	1	1	{{4,3,2,1,100}}
619	2		{{4,2,1,4,1}}
619	3	1	{{4,3,2,1,100}}
619	4		{{5,1,1,4,3}}
619	5		{{4,2,1,4,2}}
619	6		{{5,2,1,4,3}}
619	7	1	{{4,3,2,1,100}}
