	中文简体	1=临时文案  0和不填都=正式文案	//备注
TxtActivityBuffCurr	协调频率	0	
TxtActivityLock	已占用	0	
TxtActivitySave	维持	0	
TxtActivityNotSave	不维持	0	
TxtActivityBossDifficulty	拟境深度	0	
TxtActivityBossRate	倍率	0	
TxtActivitySettleChallenge	本次测评	0	
TxtActivitySettleRecord	测评记录	0	
TxtActivitySaveContent	本次测评精神稳定值上升，是否维持当前阵容构建？\n（将会替换已选定的角色、武器、后勤）	0	
TxtNotActive	未激活	0	
TxtActivityBuffdiff	// 难度倍率：	0	
		0	
TxtLogisSkill	技能	0	
TxtLogisAffix	特长	0	
TxtLogisSuit	套装	0	
TxtSupportDetail	详情	0	
TxtSupportStory	履历	0	
TxtSupportUp	养成	0	
TxtSupportMax	后勤等级已满	0	
TxtLogisAffixUnlockCondition1	特长1 后勤人员报到时解锁	0	
TxtLogisAffixUnlockCondition2	特长2 后勤人员报到时解锁	0	
TxtLogisAffixUnlockCondition3	特长3 后勤人员培养至+15时解锁	0	
TxtLogisAffixLock	第三条特长满级解锁	0	
TxtLogisStoryLock	解锁	0	
TxtLogisStoryLockImg	暂未解锁该立绘	0	
TxtLogisStoryA	未突破	0	
TxtLogisStoryB	突破	0	
TxtLogisAffixUnlock	特长解锁	0	
TxtLogisUpUnlockTip	培养至+12解锁进阶形象	0	
TxtLogisUpUnlockTip2	基础档案解锁	0	
TxtLogisUpUnlockTip3	履历一解锁	0	
TxtLogisUpUnlockTip4	履历二解锁	0	
TxtLogisUpUnlockTip5	进阶形象解锁	0	
TxtSupportStorytitle1	基础档案	0	
TxtSupportStorytitle2	履历一	0	
TxtSupportStorytitle3	履历二	0	
TxtArmLock1	50级解锁	0	
TxtArmLock2	已解锁	0	
TxtArmLock4	未解锁	0	
TxtArmLock3	解锁配件	0	
TxtArmLock5	未解锁	0	
TxtArmAtt1	武器伤害	0	
