字符串索引	中文简体	1=临时文案  0和不填都=正式文案	备注	
1012100_des	常规技会使伊切尔向前位移的同时将小范围内的目标吸附至自己面前造成1次伤害，并基于此次伤害命中的目标数量为伊切尔回复生命；且如果【领地梭巡】命中了敌方目标，则伊切尔的下两次射击强化为【穿林之风】，造成范围伤害，且射击间隔大幅减少	0		
1012200_name	秉性扑咬	0		支援技
1012200_des	伊切尔的支援技会使她跃向目标造成伤害并击退落点周围的敌方目标，伊切尔在离场时还会为周围所有队友回复一定生命	0		
1012300_name	撕裂饥寒，破晓将至	0		爆发技
1012300_des	伊切尔爆发技会快速突袭面前范围内所有敌方目标并为所有队员回复生命，之后将爆发技造成的一部分伤害储存为【越冬爪印】充能，并基于当前【越冬爪印】的充能量为所有队员提供攻击力加成，若场上队员当前生命过低则自动消耗并为其回复等于【越冬爪印】充能量的生命	0		
1013100_name	厌恶心理	0	琴诺-悖谬	常规技
1013100_des	琴诺在指定位置创造1个【自厌旋涡】，【自厌旋涡】在生成时吸附周围目标并对范围内目标添加一定层数的【恶绪】效果，此外琴诺可以通过长按常规技引爆【自厌旋涡】，长按期间【恶绪】的伤害频率大幅提升，【自厌旋涡】引爆时会基于目标当前的【恶绪】层数造成大量伤害	0		
1013200_name	光芒渗透	0		支援技
1013200_des	琴诺的支援技会击飞范围内目标并添加【光刺】效果，携带【光刺】效果的目标在被射击命中时【光刺】会被引爆，并基于【光刺】的层数造成伤害	0		
1013300_name	于光明中湮灭	0		爆发技
1013300_des	琴诺对范围内所有目标造成1次特异类型伤害并立即对命中的目标添加满层【恶绪】，是琴诺快速叠加【恶绪】层数的核心手段，使用爆发技后可以立刻使用常规技对目标造成大量【恶绪】引爆伤害	0		
1014100_name	密林温差	0	恩雅-羽蜕	常规技
1014100_des	恩雅的常规技会向前方展开一面持续向前推进的【雷霆坠暮】，对路径上穿过的敌人造成电击类型伤害并施加麻痹状态	0		
1014200_name	风录历法	0		支援技
1014200_des	恩雅的支援技会在面前布置【沉雾翠环】，处于范围内友方的技能伤害提升，友方处于范围内造成技能伤害时会消耗【生律】附带1次额外的电击类型伤害，范围内队员每次射击命中时获得1层【生律】	0		
1014300_name	丰雨已至	0		爆发技
1014300_des	恩雅的爆发技会用【生灵守护舱】包裹当前场上队员，队员处于舱内时获得无敌状态并持续回复生命，期间守护舱还会持续对周围敌人造成伤害，并在结束时爆炸，对周围所有敌人施加麻痹状态	0		
1015100_name	十四合一	0	瑟瑞斯-瞬刻	常规技
1015100_des	瑟瑞斯使用常规技后会展开力场进入冲刺状态，冲刺过程中受到来自前方的全伤害降低且若能量充足则瑟瑞斯受到的所有伤害额外降低，冲刺过程中若命中目标会拖拽目标，并持续对其造成高热伤害，此外在冲刺期间力场会得到强化升级，升级后再次使用常规技会结束冲刺并对自身面前所有目标造成伤害	0		
1015200_name	归魂坐标	0		支援技
1015200_des	瑟瑞斯的支援技会击退周围所有目标并为范围内的所有队员提供护盾	0		
1015300_name	反向轮回	0		爆发技
1015300_des	瑟瑞斯施展爆发技时会进入蓄力状态，蓄力过程中暂停时间并不断消耗【坚魂值】对视野内至多5名目标添加【逆光塔】标记，在蓄力期间为【逆光塔】标记进行充能，蓄力结束后发射【逆光洪流】对标记目标造成基于【逆光塔】充能的伤害，且蓄力期间消耗的【坚魂值】越多则造成的最终伤害越高，并对前方范围目标造成伤害	0		
1016100_name	无尽霜刃	0	里芙-无限之视	常规技
1016100_des	里芙拥有更快的移动速度和闪避速度，使用常规技进行快速穿梭同时攻击多个目标，并对周围所有目标造成伤害并添加【瞬析】标记，单个目标至多添加3个，里芙闪射时若场上目标拥有【瞬析】标记，则会对拥有标记的目标额外造成伤害	0		
1016200_name	冻沙激流	0		支援技
1016200_des	里芙对前方发射【震析】射线，对前方直线方向的目标造成伤害，若【震析】射线仅命中了1个目标则最终伤害提升	0		
1016300_name	吞噬神座	0		爆发技
1016300_des	里芙进入【通界视主】状态，期间对周围目标持续造成伤害，但对远距离目标造成的伤害降低，里芙处于【通界视主】状态时可以进行移动，再次使用爆发技可以提前退出【通界视主】状态，使用常规技为目标添加的【瞬析】标记还可以在一定时间内降低爆发能量消耗	0		
1017100_name	星光之途	0	芬妮-辉耀	常规技
1017100_des	芬妮的常规技可根据自身位移方向提供3种特殊弹匣：向前移动获得【耀晶弹匣·金】，降低射速但提升单次伤害且子弹命中时造成范围爆炸伤害；向左右移动获得【耀晶弹匣·朱】，射击造成的动能类型伤害提升；向后移动不消耗常规能量获得【耀晶弹匣·青】，且射击命中时回复常规能量	0		
1017200_name	激励之声	0		支援技
1017200_des	芬妮的支援技会为当前场上队员提供1个【辉石弹匣】，当队员持有【辉石弹匣】时可以消耗特殊子弹进行射击并获得攻击力提升，但【辉石弹匣】的子弹无法触发赋能效果，芬妮的支援技在被使用时不会打断当前场上队员行为，此时芬妮仍然会被视为处于场下，【辉石弹匣】无法叠加，再次使用支援技会替换全新弹匣	0		
1017300_name	绝对主角	0		爆发技
1017300_des	芬妮启动并短暂引导发射【零点烬光】，对自身前方直线范围内所有目标持续造成动能类型伤害，芬妮可以在引导一段时间后强行结束引导，结束引导不会提前结束【零点烬光】	0		
				
1018100_name	四维技法	0	龙舌兰	常规技
1018100_des	薇蒂雅向前方攻击，对直接命中的目标造成伤害并对其周围目标造成溅射伤害，若直接命中的目标拥有可破坏部位则对至多2个部位造成破坏并获得1层【真相碎片】：使薇蒂雅的下次常规技能量消耗降低；薇蒂雅连续使用常规技时会提升其等阶，最多提升至4，造成的伤害和溅射范围会随其等阶提升，薇蒂雅击败目标后，则下次使用常规技不消耗常规能量	0		
1018200_name	特技指导	0		支援技
1018200_des	薇蒂雅使用支援技会消耗最大常规能量的20%，对前方范围内目标造成伤害，若支援技消耗的常规能量超过10，则基于超过10的部分提升全队和周围队友的攻击力，消耗的常规能量越多则该提升越高	0		
1018300_name	导演剪辑版	0		爆发技
1018300_des	薇蒂雅击飞前方范围内所有目标并造成伤害，爆发技的被动效果会使薇蒂雅的常规能量上限增加但无法自动回复常规能量，薇蒂雅射击命中时会获得【灵闪】并基于【灵闪】的层数获得常规能量，此外，常规技命中时还会获得【个人风格】层数，可提升薇蒂雅的爆发技伤害	0		
				
				
1019100_name	晶羽留痕	0	凯茜娅-朝翼	常规技
1019100_des	凯茜娅的常规技会向前位移并在终点生成【灵羽晶】对周围目标造成伤害，若【灵羽晶】生成时命中目标，则该【灵羽晶】会被凯茜娅回收，位移过程中再次使用常规技可触发【滑翼】效果：不会额外消耗蓄能层数额外生成1个【灵羽晶】，该【灵羽晶】不会对周围目标造成伤害；凯茜娅在场上且场上存在【灵羽晶】时，凯茜娅每秒获得【升流值】，且每次射击命中（包含跳弹）会额外获得【升流值】，【升流值】为满时射击命中目标凯茜娅会消耗全部【升流值】引导一定数量的【灵羽晶】对命中目标发射【贯云流】造成低温类型伤害	0		
1019200_name	破云冰尖	0		支援技
1019200_des	凯茜娅向后跳跃并发射2次【雹散矢】，【雹散矢】在发射一定时间后会带有追踪效果	0		
1019300_name	裂空音爆	0		爆发技
1019300_des	凯茜娅射出1发【震空矢】造成范围低温类型伤害并使命中的目标冻结，若场上有【灵羽晶】存在，则立即引导一定数量的【灵羽晶】发射一次【贯云流】攻击【震空矢】命中的首个目标，并同时回收一定数量的【灵羽晶】	0		
				
1020100_name	虹海渔猎	0	茉莉安·幽潮	常规技
1020100_des	茉莉安的常规技会为枪械装填【海兽弹匣】，在装填【海兽弹匣】期间射击会消耗【海兽弹匣】内的子弹并发射【兽啸弹】对命中目标造成技能伤害，装填【海兽弹匣】期间再次使用常规技可以提前拆卸【海兽弹匣】	0		
1020200_name	塞壬轻歌	0		支援技
1020200_des	当茉莉安未拥有【海兽弹匣】并处于场下时每秒获得一定的【歌潮值】，若当前场上队员使用常规技茉莉安额外获得一定【歌潮值】，【歌潮值】到达一定量会转化为1颗【歌潮弹】；当茉莉安使用支援技时会立即登场并将所有【歌潮弹】转化为【兽啸弹】并自动装填【海兽弹匣】	0		
1020300_name	海底岩浆	0		爆发技
1020300_des	茉莉安投掷出【归潮爆浪弹】，产生3次范围逐渐扩大的爆炸，对范围内目标造成伤害；此外爆发技的被动效果向全队队员提供【彩浪】效果：造成技能伤害时无视目标一定的全类型抗性	0		
				
1021100_name	漂泊太阳	0	2.3芙提雅·驰掣试玩建议	常规技
1021100_des	战术闪避后进入短时间的【截神驱动】状态，极大提升移动速度，【截神驱动】状态不会因换弹中断，但会因下落中断；此状态下芙提雅会持续获得【异源值】，达到一定值时使用常规技会切换为【源点】形态，该形态下非瞄准射击可使用辅助瞄准框锁定距离准心最近的部位，且芙提雅消耗【异源值】进行射击，射击速度大幅提升，基础暴击伤害为固定值，同时调整自身武器的武器适配率为特定值	0	2.3芙提雅·驰掣试玩建议	
1021200_name	心烬锚点	0	2.3芙提雅·驰掣试玩建议	支援技
1021200_des	芙提雅快速朝目标移动，一定时间后或与目标距离一定范围时，制造【堕神冲撞】，对范围内所有目标造成伤害并顺势后跳一段距离，可通过支援技快速接近敌人或脱离包围	0	2.3芙提雅·驰掣试玩建议	
1021300_name	坠落，点亮世界	0	2.3芙提雅·驰掣试玩建议	爆发技
1021300_des	【异源值】不低于40时，芙提雅可使用爆发技，消耗所有【异源值】向瞄准方向发射【神骸裂变】造成范围伤害，若消耗的【异源值】大于40则根据额外消耗的【异源值】提升【神骸裂变】的伤害范围和最终伤害，同场战斗内，再使用爆发技【坠落，点亮世界】将不再播放技能动画且使用时可以移动	0	2.3芙提雅·驰掣试玩建议	
				
1022100_name	签香三段	0	卜卜试玩建议	常规技
1022100_des	卜卜每次射击时可通过消耗常规能量，提升本次射击伤害，并使子弹在目标之间弹射\n卜卜长按使用常规技会获得常规能量，长按时间越久，回复的常规能量越多	0	卜卜试玩建议	
1022200_name	蓬尺十寸	0	卜卜试玩建议	支援技
1022200_des	卜卜使用支援技可制造【五雷阵】，阵内的目标会受到灼烧伤害\n射击命中阵内的【五雷牌】时，会对阵内的全部目标造成1次伤害	0	卜卜试玩建议	
1022300_name	印承三宝	0	卜卜试玩建议	爆发技
1022300_des	卜卜在场上会积攒【法承值】，并转化为【法印】；当敌方目标被施加麻痹和眩晕效果时，卜卜也会获得1枚【法印】\n卜卜通过消耗【法印】使用爆发技后，卜卜的全部射击转换为必定暴击的【秘丹·八荒】，且暴击伤害增幅提升	0	卜卜试玩建议	
				
1023100_name	前庭时雨	0	琼弦试玩建议	常规技
1023100_des	辰星朝前方多个目标持续射出必定暴击的【骤夏箭雨】；\n若【骤夏箭雨】直接击败目标，则辰星获得常规能量	0	琼弦试玩建议	
1023200_name	古巷飘叶	0	琼弦试玩建议	支援技
1023200_des	辰星在天空中布下【徐林阵】，持续对随机位置射出【雷叶】；\n【雷叶】接触地面后生成雷电地网，持续对目标造成伤害	0	琼弦试玩建议	
1023300_name	玉阙纷雪	0	琼弦试玩建议	爆发技
1023300_des	被动：辰星的满蓄力射击目标会在命中位置刺嵌1支箭矢；\n辰星将箭矢从目标身上拽出，根据拽出的箭矢数量对其造成电击类型伤害并补充弹药	0	琼弦试玩建议	
				
1024100_name	明暗冲击	0	夜天光试玩建议	常规技
1024100_des	肴发射【急躁监工】冲向附近的敌方目标并爆炸，造成范围伤害后回复爆发能量\n被爆发技强化后：\n肴召唤出多个【急躁监工】冲向敌方目标造成范围伤害并击飞目标	0	夜天光试玩建议	
1024200_name	夜幕切割	0	夜天光试玩建议	支援技
1024200_des	肴对敌方目标抛出【勤勉光索】，持续对目标造成伤害并回复爆发能量；\n被链接目标的暴击伤害脆弱属性会提升	0	夜天光试玩建议	
1024300_name	遇暗愈熠	0	夜天光试玩建议	爆发技
1024300_des	肴展开【暮闪领域】，根据自身防御力提高我方队员的攻击力；\n肴使用爆发技时还会对多个敌方目标发射强化【勤勉光索】，持续造成伤害并使其暴击伤害脆弱属性会提升；\n【暮闪领域】持续期间会持续消耗爆发能量并且全队无法获得爆发能量	0	夜天光试玩建议	
				
1025100_name	风途启思	0	澜风试玩建议	常规技
1025100_des	恩雅点按常规技变身为【深谷风枢】持续击飞范围内的敌方目标并造成动能类型伤害，每次造成伤害时获得【启风值】\n恩雅长按常规技变身为持续消耗【启风值】的【近海风枢】，持续击飞大范围内的敌方目标并造成动能类型伤害\n被动：恩雅使用战术闪避后会变身为【叶间风枢】向前方冲刺，持续击飞路径上的敌方目标并造成动能类型伤害，每次造成伤害时获得【启风值】	0	澜风试玩建议	
1025200_name	升念气旋	0	澜风试玩建议	支援技
1025200_des	恩雅在队员下方布置1个【粒子风坪】并对周围目标造成1次动能类型伤害，队友位于【粒子风坪】下方时会自动移动至【粒子风坪】上	0	澜风试玩建议	
1025300_name	虚轴飓风	0	澜风试玩建议	爆发技
1025300_des	恩雅消耗全部爆发能量对周围大范围的敌方目标造成1次动能类型伤害	0	澜风试玩建议	
				
1026100_name	悔恨流转	0	冥河代理人试玩建议	常规技
1026100_des	奈莉德短按常规技会进入【冥流】状态：持续对前方多个目标造成特异类型伤害并获得【悔语值】，再次短按常规技会结束【冥流】状态；\n奈莉德长按常规技，消耗全部【悔语值】发射【忏悔束带】，对前方多个目标造成特异类型伤害	0	冥河代理人试玩建议	
1026200_name	誓言缠缚	0	冥河代理人试玩建议	支援技
1026200_des	强袭型支援技\n向后跳跃并向前方锥形区域内发射丝带进行攻击，造成特异类型伤害	0	冥河代理人试玩建议	
1026300_name	背誓之罚	0	冥河代理人试玩建议	爆发技
1026300_des	奈莉德向前方展开【测谎者】：目标身上的【幻堕值】不会继续结算为伤害，且后续获得的【幻堕值】提高\n【测谎者】持续期间，队友对目标造成特异类型技能伤害时，也会使目标【幻堕值】增加\n【测谎者】结束时会产生爆炸，造成1次范围特异类型伤害，并将全部【幻堕值】结算为伤害	0	冥河代理人试玩建议	
				
1027100_name	红鲱鱼	0	天鹅座试玩建议	常规技
1027100_des	薇蒂雅布置【诱导信标】造成特异类型伤害，【诱导信标】布置完成后，目标进入【诱导信标】触发范围，薇蒂雅会引爆【诱导信标】；\n薇蒂雅在场时会逐渐提升【诱导信标】爆炸范围及伤害，薇蒂雅可以通过射击【诱导信标】和离场来主动引爆【诱导信标】	0	天鹅座试玩建议	
1027200_name	物证链	0	天鹅座试玩建议	支援技
1027200_des	薇蒂雅进入【列证】状态，布置【检索助手】链接目标并生成【检索圈】，被链接目标防御力降低\n【检索助手】链接目标受到任意类型伤害均会使【检索助手】变为对应伤害类型的链接状态：根据【检索助手】链接状态降低被其链接目标及【检索圈】内所有目标对应类型抗性，降低抗性效果会逐渐加强\n【列证】状态下，薇蒂雅无法自然回复常规能量且会持续消耗常规能量\n【物证链】使用间隔结束后，薇蒂雅立刻获得常规能量	0	天鹅座试玩建议	
1027300_name	时间线	0	天鹅座试玩建议	爆发技
1027300_des	薇蒂雅对至多1个目标施加【嫌疑人】标记，若该目标不存在护盾，且当前生命低于薇蒂雅攻击力一定值时会触发【真相】效果：薇蒂雅立即消耗所有爆发能量对其造成真实伤害	0	天鹅座试玩建议	
				
1028100_name	溯时双翼	0	狂诗试玩建议	常规技
1028100_des	凯茜娅展开持续消耗常规能量的【时空力场】，两侧【时空追击炮】会协同攻击造成低温类型伤害，射击穿过力场会使力场升级：【时空力场】范围逐渐扩大，达到3级，射击穿过力场命中目标会使自身射击伤害提升\n凯茜娅可以长按使用常规技收回力场，为自己回复常规能量并补充子弹\n进入战斗环境和战术闪避后，凯茜娅均会获得一定【追时值】，拥有【追时值】时，凯茜娅疾跑会替换为【追时】状态，位移期间持续消耗【追时值】，若场上不存在【时空力场】会额外获得常规能量	0	狂诗试玩建议	
1028200_name	滞空碎星	0	狂诗试玩建议	支援技
1028200_des	凯茜娅对目标造成低温类型伤害后使其上升然后保持浮空状态，随后对其进行攻击持续造成低温类型伤害	0	狂诗试玩建议	
1028300_name	穿云激流	0	狂诗试玩建议	爆发技
1028300_des	凯茜娅悬浮在低空中，持续使用【碎雨炮】【钢岚炮】对目标范围进行地毯式扫射，期间击败目标，会使持续时间延长	0	狂诗试玩建议	
				
1029100_name	交错流光	0	绮幻试玩建议	常规技
1029100_des	苔丝点按常规技切换【助理苹果】的颜色，不同颜色的【助理苹果】状态下苔丝长按使用常规技会获得不同的效果：【助理苹果·翠枝】提升苔丝的移动速度并且回复常规能量；【助理苹果·红实】提供赋能效果；【助理苹果·金蕊】可造成范围低温类型伤害	0	绮幻试玩建议	
1029200_name	折叠镜面	0	绮幻试玩建议	支援技
1029200_des	苔丝可以为场上队员提供赋能效果，赋能效果持续期间，每累计造成一定次数赋能伤害可为敌方目标添加【冻伤】效果，该效果单次支援技持续期间仅能触发1次	0	绮幻试玩建议	
1029300_name	幻影矩阵	0	绮幻试玩建议	爆发技
1029300_des	苔丝展开【纷妙悬浮矩阵】，使自身赋能伤害提升，并且使矩阵内的队友射击伤害提升，【纷妙悬浮矩阵】持续期间，苔丝施加【冻伤】效果可以延长【视觉礼花】持续时间	0	绮幻试玩建议	
				
1030100_name	薄暮食梦	0	绯月试玩建议	常规技
1030100_des	克罗瑞娜使用常规技消耗生命制造赤绒蝠，对前方目标造成动能类型伤害\n克罗瑞娜在使用常规技和战术闪避后会获得【血族视界】，在特定时机使用的下一次射击和常规技会强化为【暗红射击】和【暗暮食梦】，【暗红射击】和【暗暮食梦】均能获得固化治疗效果	0	绯月试玩建议	
1030200_name	午夜赤雨	0	绯月试玩建议	支援技
1030200_des	克罗瑞娜使用支援技会对前方圆形范围内一定数量敌方目标造成多段动能类型伤害	0	绯月试玩建议	
1030300_name	瑰色硝烟	0	绯月试玩建议	爆发技
1030300_des	被动：克罗瑞娜每次使用【薄暮食梦】、【暗红射击】和【暗暮食梦】时会获得【绯荫值】\n拥有一定【绯荫值】时，克罗瑞娜使用爆发技进入【伞铳】状态，消耗【绯荫值】向瞄准方向发射【瑰影子弹】，造成动能类型伤害并获得固化治疗效果\n【绯荫值】不足时，克罗瑞娜会退出【伞铳】状态	0	绯月试玩建议	
				
1031100_name	炽染澄空	0	澄意试玩建议	常规技
1031100_des	芬妮向目标突进使用【炽源协能球】造成范围伤害并进入【澄空】状态：期间芬妮可触发两种不同攻击方式\n【浮澄射击】：芬妮在【澄空】状态下可进行射击并且获得赋能效果，多次射击后可触发【炽能超载】对单体敌人造成高热类型伤害获得【炽源驱动】\n【浮澄击球】：芬妮在【澄空】状态下可使用【炽源协能球】对目标造成范围高热类型伤害\n此外，芬妮在【澄空】状态下还可使用【浮澄闪避】来维持【澄空】状态	0	澄意试玩建议	
1031200_name	艳阳轰鸣	0	澄意试玩建议	支援技
1031200_des	强袭类支援技\n芬妮朝目标进行砸击造成范围伤害并进入【澄空】状态	0	澄意试玩建议	
1031300_name	超驱澄炎	0	澄意试玩建议	爆发技
1031300_des	【炽源驱动】 达到3层时，可使用爆发技：\n芬妮击出【炽源协能球】对目标造成范围高热类型伤害\n芬妮爆发能量不低于特定值时，【炽源协能球】被强化为【炽源速燃球】，芬妮可消耗全部爆发能量对目标造成范围高热类型伤害	0	澄意试玩建议	
				
1032100_name	纵游热浪	0	悠游试玩建议	常规技
1032100_des	瑟瑞斯乘上动力翼板进入【悠浪】状态：撞击目标造成伤害，\n【悠浪】状态下，瑟瑞斯的射击将会对周围目标造成数次伤害并获得一定【升浪值】，期间瑟瑞斯再次使用常规技会消耗所有【升浪值】造成伤害并退出【悠浪】状态\n消耗满【升浪值】时，再次使用常规技后不会退出【悠浪】状态	0	悠游试玩建议	
1032200_name	盛夏激流	0	悠游试玩建议	支援技
1032200_des	瑟瑞斯进入明流视界朝指定目标冲刺造成伤害并为命中目标添加【潮落】标记：使其攻击力降低；同时为场上队员添加满层【游漪】标记和数层【巡洋】标记\n场上队员造成技能伤害时会为该队员自身添加【巡洋】标记，每层【巡洋】标记会提升场上队员技能造成的高热类型伤害，持有一定层数【巡洋】标记时，则攻击力额外提升	0	悠游试玩建议	
1032300_name	悠悠热浪	0	悠游试玩建议	爆发技
