字符串索引	中文简体	1=临时文案  0和不填都=正式文案
girl_leveltitle_06	思绪守护-3	0
girl_leveltitle_07	异绪挑战-1	0
girl_leveltitle_08	异绪挑战-2	0
girl_leveltitle_09	异绪挑战-3	0
girl_leveldes_01	消除所有的情绪投影	0
girl_leveldes_02	阻止情绪投影突围	0
girl_leveldes_03	消除所有的情绪投影	0
girl_leveldes_04	阻止情绪投影突围	0
girl_leveldes_05	消除所有的情绪投影	0
girl_leveldes_06	阻止情绪投影突围	0
girl_leveldes_07	合理规划路线消除所有的情绪投影	0
girl_leveldes_08	合理规划路线消除所有的情绪投影	0
girl_leveldes_09	合理规划路线消除所有的情绪投影	0
girl_levelrankdes_01	90秒内	0
girl_levelrankdes_02	150秒内	0
girl_levelrankdes_03	210秒内	0
girl_levelrankdes_04	300秒内	0
girl_levelrankdes_05	5%	1
girl_levelrankdes_06	10%	1
girl_levelrankdes_07	15%	1
girl_levelrankdes_08	20%	1
girl_levelrankdes_09	9波	0
girl_levelrankdes_10	7波	0
girl_levelrankdes_11	5波	0
girl_levelrankdes_12	3波	0
Skill_ExtraUnlock1	首次通关关卡【%s】解锁	0
Weapon_ExtraUnlock1	关卡【%s】评分达到【%s】解锁	0
girl_levelrankresult_01	秒	0
girl_levelrankresult_02	%	0
girl_levelrankresult_03	波	0
girl_levelchosen01	思绪充能	0
girl_leveLpcbutton_01	换弹	0
girl_leveLpcbutton_02	射击	0
girl_leveLpcbutton_03	离开掩体	0
girl_leveLskilltips01	战技能量不足	0
girl_leveLskilltips02	请尝试其他少女或者更换枪械后再来挑战吧	0
