编号	事件类型	备注	标题key	配图	描述key	选项1	选项2	选项3	2段key1	2段key2	2段key3	选项1数值增加（坚毅;智识;温柔;魅力;幽默增加）	选项2数值增加（勇气;学识;体贴;魅力;灵巧增加）	选项3数值增加（勇气;学识;体贴;魅力;灵巧增加）	角色	触发权重
303	3	普通周里芙约会3	richmanlove_lifuevent_03_title	2014	richmanlove_lifuevent_03_q	richmanlove_lifuevent_03_q_a	richmanlove_lifuevent_03_q_b					{0,30,0,0,0}	{30,0,0,0,0}		1	
304	3	普通周里芙约会4	richmanlove_lifuevent_04_title	2014	richmanlove_lifuevent_04_q	richmanlove_lifuevent_04_q_a	richmanlove_lifuevent_04_q_b					{0,30,0,0,0}	{30,0,0,0,0}		1	
305	3	普通周里芙约会5	richmanlove_lifuevent_05_title	2014	richmanlove_lifuevent_05_q	richmanlove_lifuevent_05_q_a	richmanlove_lifuevent_05_q_b					{0,30,0,0,0}	{30,0,0,0,0}		1	
306	3	普通周里芙约会6	richmanlove_lifuevent_06_title	2014	richmanlove_lifuevent_06_q	richmanlove_lifuevent_06_q_a	richmanlove_lifuevent_06_q_b					{0,30,0,0,0}	{30,0,0,0,0}		1	
307	3	普通周芬妮约会1	richmanlove_fennievent_01_title	2014	richmanlove_fennievent_01_q	richmanlove_fennievent_01_q_a	richmanlove_fennievent_01_q_b					{0,0,0,30,0}	{0,0,30,0,0}		2	
308	3	普通周芬妮约会2	richmanlove_fennievent_02_title	2014	richmanlove_fennievent_02_q	richmanlove_fennievent_02_q_a	richmanlove_fennievent_02_q_b					{0,0,0,30,0}	{0,0,30,0,0}		2	
309	3	普通周芬妮约会3	richmanlove_fennievent_03_title	2014	richmanlove_fennievent_03_q	richmanlove_fennievent_03_q_a	richmanlove_fennievent_03_q_b					{0,0,0,30,0}	{0,0,30,0,0}		2	
310	3	普通周芬妮约会4	richmanlove_fennievent_04_title	2014	richmanlove_fennievent_04_q	richmanlove_fennievent_04_q_a	richmanlove_fennievent_04_q_b					{0,0,0,30,0}	{0,0,30,0,0}		2	
311	3	普通周芬妮约会5	richmanlove_fennievent_05_title	2014	richmanlove_fennievent_05_q	richmanlove_fennievent_05_q_a	richmanlove_fennievent_05_q_b					{0,0,0,30,0}	{0,0,30,0,0}		2	
312	3	普通周芬妮约会6	richmanlove_fennievent_06_title	2014	richmanlove_fennievent_06_q	richmanlove_fennievent_06_q_a	richmanlove_fennievent_06_q_b					{0,0,0,30,0}	{0,0,30,0,0}		2	
313	3	普通周茉莉安约会1	richmanlove_molianevent_01_title	2014	richmanlove_molianevent_01_q	richmanlove_molianevent_01_q_a	richmanlove_molianevent_01_q_b					{0,0,0,0,30}	{0,30,0,0,0}		3	
314	3	普通周茉莉安约会2	richmanlove_molianevent_02_title	2014	richmanlove_molianevent_02_q	richmanlove_molianevent_02_q_a	richmanlove_molianevent_02_q_b					{0,0,0,0,30}	{0,30,0,0,0}		3	
315	3	普通周茉莉安约会3	richmanlove_molianevent_03_title	2014	richmanlove_molianevent_03_q	richmanlove_molianevent_03_q_a	richmanlove_molianevent_03_q_b					{0,0,0,0,30}	{0,30,0,0,0}		3	
316	3	普通周茉莉安约会4	richmanlove_molianevent_04_title	2014	richmanlove_molianevent_04_q	richmanlove_molianevent_04_q_a	richmanlove_molianevent_04_q_b					{0,0,0,0,30}	{0,30,0,0,0}		3	
317	3	普通周茉莉安约会5	richmanlove_molianevent_05_title	2014	richmanlove_molianevent_05_q	richmanlove_molianevent_05_q_a	richmanlove_molianevent_05_q_b					{0,0,0,0,30}	{0,30,0,0,0}		3	
318	3	普通周茉莉安约会6	richmanlove_molianevent_06_title	2014	richmanlove_molianevent_06_q	richmanlove_molianevent_06_q_a	richmanlove_molianevent_06_q_b					{0,0,0,0,30}	{0,30,0,0,0}		3	
401	4	特殊周随机1		2015	richmanlove_rollevent_q_12	richmanlove_rollevent_q_12_a	richmanlove_rollevent_q_12_b	richmanlove_rollevent_q_12_c	richmanlove_rollevent_qa_12_a	richmanlove_rollevent_qa_12_b	richmanlove_rollevent_qa_12_c	{20,20,0,0,0}	{0,0,20,0,20}	{0,0,20,20,0}		100
402	4	特殊周随机2		2015	richmanlove_rollevent_q_13	richmanlove_rollevent_q_13_a	richmanlove_rollevent_q_13_b	richmanlove_rollevent_q_13_c	richmanlove_rollevent_qa_13_a	richmanlove_rollevent_qa_13_b	richmanlove_rollevent_qa_13_c	{0,20,20,0,0}	{20,20,0,0,0}	{0,0,0,20,20}		100
403	4	特殊周随机3		2015	richmanlove_rollevent_q_14	richmanlove_rollevent_q_14_a	richmanlove_rollevent_q_14_b	richmanlove_rollevent_q_14_c	richmanlove_rollevent_qa_14_a	richmanlove_rollevent_qa_14_b	richmanlove_rollevent_qa_14_c	{20,0,0,0,20}	{0,20,20,0,0}	{0,0,20,20,0}		100
404	4	特殊周随机4		2015	richmanlove_rollevent_q_15	richmanlove_rollevent_q_15_a	richmanlove_rollevent_q_15_b	richmanlove_rollevent_q_15_c	richmanlove_rollevent_qa_15_a	richmanlove_rollevent_qa_15_b	richmanlove_rollevent_qa_15_c	{0,20,0,20,0}	{20,0,20,0,0}	{20,0,0,0,20}		100
405	4	特殊周随机5		2016	richmanlove_rollevent_q_16	richmanlove_rollevent_q_16_a	richmanlove_rollevent_q_16_b	richmanlove_rollevent_q_16_c	richmanlove_rollevent_qa_16_a	richmanlove_rollevent_qa_16_b	richmanlove_rollevent_qa_16_c	{520,520,0,0,0}	{0,0,520,520,0}	{0,520,0,0,520}		20
