ID	备注	关卡名	关卡详情	地图ID	关联growintensity怪物强度模板	BUFFID（可以多个）	队伍规则	任务资源
5064	皮肤试玩_瑟瑞斯·瞬刻斑斓水色	activity.try_girl_Name65	activity.try_girl_Desc0	5029	3		30061	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5065	皮肤试玩_辰星不灭守望	activity.try_girl_Name66	activity.try_girl_Desc0	5029	3		30062	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5066	皮肤试玩_恩雅·羽蜕专属教练	activity.try_girl_Name67	activity.try_girl_Desc0	5029	3		30063	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5067	卜卜	activity.try_girl_Name68	activity.try_girl_Desc0	5032	3		30064	DemoTask/Demo_Girl12011.Demo_Girl12011
5068	皮肤试玩_伊切尔·豹豹捕猎演习	activity.try_girl_Name69	activity.try_girl_Desc0	5031	3		30065	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5069	皮肤试玩_琴诺·悖谬清荷雅弈	activity.try_girl_Name70	activity.try_girl_Desc0	5031	3		30066	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5070	皮肤试玩_凯西娅·朝翼秘密彩蛋	activity.try_girl_Name71	activity.try_girl_Desc0	5031	3		30067	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5071	辰星·琼弦	activity.try_girl_Name72	activity.try_girl_Desc0	5034	3		30072	DemoTask/Demo_Girl11431.Demo_Girl11431
5072	肴·夜天光	activity.try_girl_Name73	activity.try_girl_Desc0	5034	3		30073	DemoTask/Demo_Girl11031.Demo_Girl11031
5073	皮肤试玩_辰星·琼弦欣描红妆	activity.try_girl_Name74	activity.try_girl_Desc0	5033	3		30068	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5074	皮肤试玩_肴·夜天光暖夜情醺	activity.try_girl_Name75	activity.try_girl_Desc0	5033	3		30069	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5075	皮肤试玩_芬妮·辉耀金狮舞瑞	activity.try_girl_Name76	activity.try_girl_Desc0	5033	3		30070	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5076	皮肤试玩_瑟瑞斯·瞬刻纯白午后	activity.try_girl_Name77	activity.try_girl_Desc0	5033	3		30071	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5077	恩雅·澜风	activity.try_girl_Name78	activity.try_girl_Desc0	5036	3		30074	DemoTask/Demo_Girl11131.Demo_Girl11131
5078	皮肤试玩_恩雅·澜风望云清咏	activity.try_girl_Name79	activity.try_girl_Desc0	5035	3		30075	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5079	皮肤试玩_茉莉安·幽潮绒尾迷梦	activity.try_girl_Name80	activity.try_girl_Desc0	5035	3		30076	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5080	皮肤试玩_薇蒂雅·龙舌兰舞夜与焰	activity.try_girl_Name81	activity.try_girl_Desc0	5035	3		30077	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5081	皮肤试玩_芙提雅·驰掣草莓甜心	activity.try_girl_Name82	activity.try_girl_Desc0	5035	3		30078	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5082	皮肤试玩_里芙·星期三不灭银星	activity.try_girl_Name83	activity.try_girl_Desc0	5035	3		30079	DemoTask/DemoLevel_Skin.DemoLevel_Skin
5083	奈莉德·冥河代理人	activity.try_girl_Name84	activity.try_girl_Desc0	5038	3		30080	DemoTask/Demo_Girl12111.Demo_Girl12111
5084	皮肤试玩_奈莉德·冥河代理人晨曦统令	activity.try_girl_Name85	activity.try_girl_Desc0	5037	3		30081	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5085	皮肤试玩_妮塔·悸响林间潋滟	activity.try_girl_Name86	activity.try_girl_Desc0	5037	3		30082	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5086	皮肤试玩_凯茜娅·朝翼绮锦流韵	activity.try_girl_Name87	activity.try_girl_Desc0	5037	3		30083	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5087	皮肤试玩_卜卜·小天师元气愈养	activity.try_girl_Name88	activity.try_girl_Desc0	5037	3		30084	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5088	皮肤试玩_肴·冬至暖馨侍奉	activity.try_girl_Name89	activity.try_girl_Desc0	5037	3		30085	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5089	皮肤试玩_芬妮·辉耀疾速耀星	activity.try_girl_Name90	activity.try_girl_Desc0	5037	3		30086	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5090	薇蒂雅·天鹅座	activity.try_girl_Name91	activity.try_girl_Desc0	5040	3		30087	DemoTask/Demo_Girl11821.Demo_Girl11821
5091	皮肤试玩_薇蒂雅·天鹅座云端之邀	activity.try_girl_Name92	activity.try_girl_Desc0	5039	3		30088	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5092	皮肤试玩_芙提雅·驰掣泳池护卫	activity.try_girl_Name93	activity.try_girl_Desc0	5039	3		30090	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5093	皮肤试玩_辰星·琼弦慵倚花阴	activity.try_girl_Name94	activity.try_girl_Desc0	5039	3		30089	DemoTask/DemoLevel_Skin_11431.DemoLevel_Skin_11431
5094	皮肤试玩_里芙·无限之视引风飒意	activity.try_girl_Name95	activity.try_girl_Desc0	5039	3		30091	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5095	皮肤试玩_瑟瑞斯·瞬刻不灭恒忆	activity.try_girl_Name96	activity.try_girl_Desc0	5039	3		30092	DemoTask/DemoLevel_Skin_27.DemoLevel_Skin_27
5096	凯茜娅-狂诗	activity.try_girl_Name97	activity.try_girl_Desc0	5043	3		30093	DemoTask/Demo_Girl11531.Demo_Girl11531
5097	苔丝-绮幻	activity.try_girl_Name98	activity.try_girl_Desc0	5042	3		30094	DemoTask/Demo_Girl11721.Demo_Girl11721
5098	皮肤试玩_凯茜娅·狂诗星抚恋音	activity.try_girl_Name99	activity.try_girl_Desc0	5041	3		30095	DemoTask/DemoLevel_Skin_30.DemoLevel_Skin_30
5099	皮肤试玩_苔丝·绮幻恋如花舞	activity.try_girl_Name100	activity.try_girl_Desc0	5041	3		30096	DemoTask/DemoLevel_Skin_30.DemoLevel_Skin_30
5100	皮肤试玩_卜卜·小天师畅饮狂欢	activity.try_girl_Name101	activity.try_girl_Desc0	5041	3		30097	DemoTask/DemoLevel_Skin_30.DemoLevel_Skin_30
5101	皮肤试玩_恩雅·澜风秘密侍奉	activity.try_girl_Name102	activity.try_girl_Desc0	5041	3		30098	DemoTask/DemoLevel_Skin_30.DemoLevel_Skin_30
5102	皮肤试玩_茉莉安·幽潮甜蜜困扰	activity.try_girl_Name103	activity.try_girl_Desc0	5041	3		30099	DemoTask/DemoLevel_Skin_30.DemoLevel_Skin_30
5103	绯月-试玩	activity.try_girl_Name104	activity.try_girl_Desc0	5045	3		30100	DemoTask/DemoLevel_12211.DemoLevel_12211
5104	皮肤试玩_克罗瑞娜·绯月皎月幽祈	activity.try_girl_Name105	activity.try_girl_Desc0	5044	3		30101	DemoTask/DemoLevel_Skin_31.DemoLevel_Skin_31
5105	皮肤试玩_妮塔·悸响轻罗曼舞	activity.try_girl_Name106	activity.try_girl_Desc0	5044	3		30102	DemoTask/DemoLevel_Skin_31.DemoLevel_Skin_31
5106	皮肤试玩_肴·夜天光共待曙明	activity.try_girl_Name107	activity.try_girl_Desc0	5044	3		30103	DemoTask/DemoLevel_Skin_31.DemoLevel_Skin_31
5107	皮肤试玩_卜卜·小天师雨沁轻衫	activity.try_girl_Name108	activity.try_girl_Desc0	5044	3		30104	DemoTask/DemoLevel_Skin_31.DemoLevel_Skin_31
5108	皮肤试玩_猫汐尔·不灭灵影	activity.try_girl_Name109	activity.try_girl_Desc0	5044	3		30105	DemoTask/DemoLevel_Skin_31.DemoLevel_Skin_31
5109	澄意-试玩	activity.try_girl_Name110	activity.try_girl_Desc0	5047	3		30106	DemoTask/Demo_Girl1841.Demo_Girl1841
5110	悠游-试玩	activity.try_girl_Name111	activity.try_girl_Desc0	5048	3		30107	DemoTask/Demo_Girl11331.Demo_Girl11331
5111	皮肤试玩_芬妮·澄意夕晖蜜约	activity.try_girl_Name112	activity.try_girl_Desc0	5046	3		30108	DemoTask/DemoLevel_Skin_32.DemoLevel_Skin_32
5112	皮肤试玩_瑟瑞斯·悠游碧波浮游	activity.try_girl_Name113	activity.try_girl_Desc0	5046	3		30109	DemoTask/DemoLevel_Skin_32.DemoLevel_Skin_32
5113	皮肤试玩_薇蒂雅·天鹅座海境鲛梦	activity.try_girl_Name114	activity.try_girl_Desc0	5046	3		30110	DemoTask/DemoLevel_Skin_32.DemoLevel_Skin_32
5114	皮肤试玩_奈莉德·冥河代理人热沙激浪	activity.try_girl_Name115	activity.try_girl_Desc0	5046	3		30111	DemoTask/DemoLevel_Skin_32.DemoLevel_Skin_32
5115	皮肤试玩_辰星·琼弦柔倚身畔	activity.try_girl_Name116	activity.try_girl_Desc0	5046	3		30112	DemoTask/DemoLevel_Skin_32.DemoLevel_Skin_32
5116	角色试玩_米娅·星彩	activity.try_girl_Name117	activity.try_girl_Desc0	5050	3		30113	DemoTask/DemoLevel_12311.DemoLevel_12311
5117	皮肤试玩_米娅·星彩暗空魅影	activity.try_girl_Name118	activity.try_girl_Desc0	5049	3		30114	DemoTask/DemoLevel_Skin_33.DemoLevel_Skin_33
5118	皮肤试玩_晴·霆光清光虔愿	activity.try_girl_Name119	activity.try_girl_Desc0	5049	3		30115	DemoTask/DemoLevel_Skin_33.DemoLevel_Skin_33
5119	皮肤试玩_凯茜娅·狂诗花间蝶踪	activity.try_girl_Name120	activity.try_girl_Desc0	5049	3		30116	DemoTask/DemoLevel_Skin_33.DemoLevel_Skin_33
5120	皮肤试玩_肴·暖雾凝眸	activity.try_girl_Name121	activity.try_girl_Desc0	5049	3		30117	DemoTask/DemoLevel_Skin_33.DemoLevel_Skin_33
5121	角色试玩_卜卜·灵鉴	activity.try_girl_Name122	activity.try_girl_Desc0	5053	3		30118	DemoTask/Demo_Girl12021.Demo_Girl12021
5122	皮肤试玩_卜卜·灵鉴绮恋星灵	activity.try_girl_Name123	activity.try_girl_Desc0	5051	3		30119	DemoTask/DemoLevel_Skin_34.DemoLevel_Skin_34
5123	皮肤试玩_猫汐尔·莲驱喵语祈念	activity.try_girl_Name124	activity.try_girl_Desc0	5051	3		30120	DemoTask/DemoLevel_Skin_34.DemoLevel_Skin_34
5124	皮肤试玩_芬妮·澄意颂夜欢歌	activity.try_girl_Name125	activity.try_girl_Desc0	5051	3		30121	DemoTask/DemoLevel_Skin_34.DemoLevel_Skin_34
5125	皮肤试玩_恩雅·澜风恋恋秋行	activity.try_girl_Name126	activity.try_girl_Desc0	5051	3		30122	DemoTask/DemoLevel_Skin_34.DemoLevel_Skin_34
5126	皮肤试玩_晴·旧日王牌不灭锋铭	activity.try_girl_Name127	activity.try_girl_Desc0	5051	3		30123	DemoTask/DemoLevel_Skin_34.DemoLevel_Skin_34
5127	角色试玩_安卡希雅·时之重奏	activity.try_girl_Name128	activity.try_girl_Desc0	5053	3		30118	DemoTask/Demo_Girl12021.Demo_Girl12021
5128	角色试玩_茉莉安·霄鹰	activity.try_girl_Name129	activity.try_girl_Desc0	5055	3		30129	DemoTask/Demo_Girl1541.Demo_Girl1541
5129	皮肤试玩_安卡希雅·时之重奏恒约	activity.try_girl_Name130	activity.try_girl_Desc0	5054	3		30124	DemoTask/DemoLevel_Skin_35.DemoLevel_Skin_35
5130	皮肤试玩_茉莉安·霄鹰恒约	activity.try_girl_Name131	activity.try_girl_Desc0	5054	3		30125	DemoTask/DemoLevel_Skin_35.DemoLevel_Skin_35
5131	皮肤试玩_瑟瑞斯·悠游汉服	activity.try_girl_Name132	activity.try_girl_Desc0	5054	3		30126	DemoTask/DemoLevel_Skin_35.DemoLevel_Skin_35
5132	皮肤试玩_米娅·星彩旗袍	activity.try_girl_Name133	activity.try_girl_Desc0	5054	3		30127	DemoTask/DemoLevel_Skin_35.DemoLevel_Skin_35
5133	皮肤试玩_奈莉德·冥河代理人BP	activity.try_girl_Name134	activity.try_girl_Desc0	5054	3		30128	DemoTask/DemoLevel_Skin_35.DemoLevel_Skin_35
5134	角色试玩_新安卡	activity.try_girl_Name128	activity.try_girl_Desc0	5052	3		30130	DemoTask/Demo_Girl5134.Demo_Girl5134
5135	角色试玩_胧嫣·瑞狐	activity.try_girl_Name135	activity.try_girl_Desc0	5057	3		30131	DemoTask/Demo_Girl12411.Demo_Girl12411
5136	皮肤试玩_胧嫣·瑞狐珠光曳影	activity.try_girl_Name136	activity.try_girl_Desc0	5056	3		30132	DemoTask/DemoLevel_Skin_36.DemoLevel_Skin_36
5137	皮肤试玩_芙提雅·炬芯国主驾到	activity.try_girl_Name137	activity.try_girl_Desc0	5056	3		30133	DemoTask/DemoLevel_Skin_1441.DemoLevel_Skin_1441
5138	皮肤试玩_晴·霆光剑意逍遥	activity.try_girl_Name138	activity.try_girl_Desc0	5056	3		30134	DemoTask/DemoLevel_Skin_36.DemoLevel_Skin_36
5139	皮肤试玩_芬妮·澄意轻纱暖寐	activity.try_girl_Name139	activity.try_girl_Desc0	5056	3		30135	DemoTask/DemoLevel_Skin_36.DemoLevel_Skin_36
5140	皮肤试玩_恩雅·不灭柔情	activity.try_girl_Name140	activity.try_girl_Desc0	5056	3		30136	DemoTask/DemoLevel_Skin_36.DemoLevel_Skin_36
