ID	//备注	角色GDPL	奖励	试用角色Id	关卡Id	Spine资源路径	Spine切换动画{时间,{开始位置x,y},{结束位置x,y},{缩放开始,结束}}	立绘Id	立绘偏移缩放{x,y,缩放}	背景颜色	背景图	标题颜色	标题底图	标题底图颜色	pv	跳转界面	条件跳转	跳转参数	跳转按键名	跳转图标
9	行疾脱兔	{1,4,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103015	5005	/Game/Spine/Hero/Girl004a_02/tryGirl_004a_02.tryGirl_004a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,604}	activity.try_girl_Icon3	1701220
10	蜂刺蔷薇	{1,8,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103016	5007	/Game/Spine/Hero/Girl008a_02/tryGirl_008a_02.tryGirl_008a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
11	猫汐尔-溯影	{1,12,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103027	5010	/Game/Spine/Hero/Girl012a/tryGirl_012a.tryGirl_012a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,183}	activity.try_girl_Icon1	1701222
13	灼阳假期	{1,12,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103036	5012	/Game/Spine/Hero/Girl012a_02/tryGirl_012a_02.tryGirl_012a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,605}	activity.try_girl_Icon3	1701220
14	波光倩影	{1,14,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103037	5013	/Game/Spine/Hero/Girl014a_03/tryGirl_014a_03.tryGirl_014a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,606}	activity.try_girl_Icon3	1701220
15	情迷炎日	{1,11,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103035	5014	/Game/Spine/Hero/Girl011_02/tryGirl_011_02.tryGirl_011_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			DLC_Logic.EnterShop		activity.try_girl_Icon5	1701219
16	一掷千金	{1,5,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103033	5015	/Game/Spine/Hero/Girl005a_02/tryGirl_005a_02.tryGirl_005a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
17	不灭残辉	{1,10,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103038	5016	/Game/Spine/Hero/Girl010_03/tryGirl_010_03.tryGirl_010_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{7,50}	activity.try_girl_Icon7	1701220
18	粼粼尾浪	{1,10,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103034	5017	/Game/Spine/Hero/Girl010a_03/tryGirl_010a_03.tryGirl_010a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF		MallCharge			activity.try_girl_Icon4	1701219
																				
19	苔丝	{1,17,1,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103054	5018	/Game/Spine/Hero/Girl017/tryGirl_017.tryGirl_017	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,133}	activity.try_girl_Icon1	1701222
20	流放欢愉	{1,17,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103052	5019	/Game/Spine/Hero/Girl017_02/tryGirl_017_02.tryGirl_017_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,607}	activity.try_girl_Icon3	1701220
21	霜舞盛典	{1,2,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103050	5020	/Game/Spine/Hero/Girl002a_03/tryGirl_002a_03.tryGirl_002a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,609}	activity.try_girl_Icon3	1701220
22	初晴金雪	{1,8,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103051	5021	/Game/Spine/Hero/Girl008a_03/tryGirl_008a_03.tryGirl_008a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,608}	activity.try_girl_Icon3	1701220
23	雪岭焰行	{1,10,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103053	5022	/Game/Spine/Hero/Girl010a_02/tryGirl_010a_02.tryGirl_010a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
24	凯茜娅	{1,15,1,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103075	5023	/Game/Spine/Hero/Girl015/tryGirl_015.tryGirl_015	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,117}	activity.try_girl_Icon1	1701222
25	远曲独舞	{1,15,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103071	5024	/Game/Spine/Hero/Girl015_02/tryGirl_015_02.tryGirl_015_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,610}	activity.try_girl_Icon3	1701220
26	狂曲雅跃	{1,4,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103072	5025	/Game/Spine/Hero/Girl004a_03/tryGirl_004a_03.tryGirl_004a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,611}	activity.try_girl_Icon3	1701220
27	循风谍舞	{1,6,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103073	5026	/Game/Spine/Hero/Girl006a_03/tryGirl_006a_03.tryGirl_006a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
28	不灭傲姿	{1,8,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103074	5027	/Game/Spine/Hero/Girl008_03/tryGirl_008_03.tryGirl_008_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{7,50}	activity.try_girl_Icon7	1701220
29	宵宴绯盏	{1,2,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103079	5028	/Game/Spine/Hero/Girl002a_02/tryGirl_002a_02.tryGirl_002a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,602}	activity.try_girl_Icon3	1701220
30	东流映荷	{1,1,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103080	5029	/Game/Spine/Hero/Girl001a_03/tryGirl_001a_03.tryGirl_001a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,612}	activity.try_girl_Icon3	1701220
																				
31	伊切尔	{1,16,1,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103081	5030	/Game/Spine/Hero/Girl016/tryGirl_016.tryGirl_016	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,177}	activity.try_girl_Icon1	1701222
32	甜蜜统治	{1,8,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103082	5031	/Game/Spine/Hero/Girl008a_04/tryGirl_008a_04.tryGirl_008a_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,613}	activity.try_girl_Icon3	1701220
33	迟到花蕾	{1,16,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103083	5032	/Game/Spine/Hero/Girl016_02/tryGirl_016_02.tryGirl_016_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,614}	activity.try_girl_Icon3	1701220
34	街头规则	{1,2,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103084	5033	/Game/Spine/Hero/Girl002a_04/tryGirl_002a_04.tryGirl_002a_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
35	琴诺悖谬	{1,7,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103094	5034	/Game/Spine/Hero/Girl007a/tryGirl_007a.tryGirl_007a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,197}	activity.try_girl_Icon1	1701222
36	恩雅羽蜕	{1,11,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103095	5035	/Game/Spine/Hero/Girl011a/tryGirl_011a.tryGirl_011a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,183}	activity.try_girl_Icon1	1701222
37	见习侍奉	{1,7,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103097	5036	/Game/Spine/Hero/Girl007a_02/tryGirl_007a_02.tryGirl_007a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,615}	activity.try_girl_Icon3	1701220
38	轻语疗法	{1,11,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103098	5037	/Game/Spine/Hero/Girl011a_02/tryGirl_011a_02.tryGirl_011a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,616}	activity.try_girl_Icon3	1701220
39	秘密约会	{1,17,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103099	5038	/Game/Spine/Hero/Girl017_04/tryGirl_017_04.tryGirl_017_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
40	瑟瑞斯-瞬刻	{1,13,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103100	5039	/Game/Spine/Hero/Girl013a/tryGirl_013a.tryGirl_013a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,161}	activity.try_girl_Icon1	1701222
41	须臾蹁跹	{1,13,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103101	5040	/Game/Spine/Hero/Girl013a_02/tryGirl_013a_02.tryGirl_013a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,617}	activity.try_girl_Icon3	1701220
42	精练特助	{1,15,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103102	5041	/Game/Spine/Hero/Girl015_04/tryGirl_015_04.tryGirl_015_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,618}	activity.try_girl_Icon3	1701220
43	不灭耀心	{1,4,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103104	5042	/Game/Spine/Hero/Girl004_04/tryGirl_004_04.tryGirl_004_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{7,50}	activity.try_girl_Icon7	1701220
44	喵步巧跃	{1,12,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103103	5043	/Game/Spine/Hero/Girl012a_03/tryGirl_012a_03.tryGirl_012a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
45	无限之视	{1,2,3,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103114	5044	/Game/Spine/Hero/Girl002b/tryGirl_002b.tryGirl_002b	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,195}	activity.try_girl_Icon1	1701222
46	芬妮-辉耀	{1,8,3,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103115	5045	/Game/Spine/Hero/Girl008b/tryGirl_008b.tryGirl_008b	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,195}	activity.try_girl_Icon1	1701222
47	爱意凝晶	{1,2,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103117	5046	/Game/Spine/Hero/Girl002b_02/tryGirl_002b_02.tryGirl_002b_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1006}	activity.try_girl_Icon3	1701220
48	绽于恋时	{1,8,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103118	5047	/Game/Spine/Hero/Girl008b_02/tryGirl_008b_02.tryGirl_008b_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1007}	activity.try_girl_Icon3	1701220
49	绯染夜幕	{1,5,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103119	5048	/Game/Spine/Hero/Girl005a_03/tryGirl_005a_03.tryGirl_005a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,621}	activity.try_girl_Icon3	1701220
50	归航一心	{1,2,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103120	5049	/Game/Spine/Hero/Girl002_03/tryGirl_002_03.tryGirl_002_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{15,148}	activity.try_girl_Icon8	1701221
51	绒绒漫步	{1,16,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103121	5050	/Game/Spine/Hero/Girl016_03/tryGirl_016_03.tryGirl_016_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
52	龙舌兰	{1,18,1,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103132	5051	/Game/Spine/Hero/Girl018/tryGirl_018.tryGirl_018	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,133}	activity.try_girl_Icon1	1701222
53	翠翎倩姿	{1,18,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103133	5052	/Game/Spine/Hero/Girl018_02/tryGirl_018_02.tryGirl_018_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,9,1008}	activity.try_girl_Icon3	1701220
54	点墨化龙	{1,14,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103134	5053	/Game/Spine/Hero/Girl014a_04/tryGirl_014a_04.tryGirl_014a_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,9,660}	activity.try_girl_Icon3	1701220
55	不灭榜首	{1,1,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103135	5054	/Game/Spine/Hero/Girl001_03/tryGirl_001_03.tryGirl_001_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{7,50}	activity.try_girl_Icon7	1701220
																				
56	轻语疗法	{1,11,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103136	5055	/Game/Spine/Hero/Girl011a_02/tryGirl_011a_02.tryGirl_011a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,616}	activity.try_girl_Icon3	1701220
																				
57	凯茜娅-朝翼	{1,15,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103137	5056	/Game/Spine/Hero/Girl015a/tryGirl_015a.tryGirl_015a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,197}	activity.try_girl_Icon1	1701222
58	茉莉安-幽潮	{1,5,3,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103138	5057	/Game/Spine/Hero/Girl005b/tryGirl_005b.tryGirl_005b	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,183}	activity.try_girl_Icon1	1701222
59	沐浪倦姿	{1,15,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103139	5058	/Game/Spine/Hero/Girl015a_02/tryGirl_015a_02.tryGirl_015a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,629}	activity.try_girl_Icon3	1701220
60	灿阳一刻	{1,5,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103140	5059	/Game/Spine/Hero/Girl005b_02/tryGirl_005b_02.tryGirl_005b_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,630}	activity.try_girl_Icon3	1701220
61	浅憩之处	{1,11,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103142	5060	/Game/Spine/Hero/Girl011a_03/tryGirl_011a_03.tryGirl_011a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,631}	activity.try_girl_Icon3	1701220
62	静聆潮韵	{1,7,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103141	5061	/Game/Spine/Hero/Girl007a_04/tryGirl_007a_04.tryGirl_007a_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
63	芙提雅-驰掣	{1,4,3,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103148	5062	/Game/Spine/Hero/Girl004b/tryGirl_004b.tryGirl_004b	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,169}	activity.try_girl_Icon1	1701222
64	毛绒派对	{1,4,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103149	5063	/Game/Spine/Hero/Girl004b_02/tryGirl_004b_02.tryGirl_004b_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1013}	activity.try_girl_Icon3	1701220
65	斑斓水色	{1,13,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103150	5064	/Game/Spine/Hero/Girl013a_04/tryGirl_013a_04.tryGirl_013a_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,633}	activity.try_girl_Icon3	1701220
66	不灭守望	{1,14,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103151	5065	/Game/Spine/Hero/Girl014_02/tryGirl_014_02.tryGirl_014_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{7,50}	activity.try_girl_Icon7	1701220
67	专属教练	{1,11,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103152	5066	/Game/Spine/Hero/Girl011a_04/tryGirl_011a_04.tryGirl_011a_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
68	卜卜	{1,20,1,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103158	5067	/Game/Spine/Hero/Girl020/tryGirl_020.tryGirl_020	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,167}	activity.try_girl_Icon1	1701222
69	捕猎演习	{1,16,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103159	5068	/Game/Spine/Hero/Girl016_04/tryGirl_016_04.tryGirl_016_04	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1016}	activity.try_girl_Icon3	1701220
70	清荷雅弈	{1,7,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103160	5069	/Game/Spine/Hero/Girl007a_05/tryGirl_007a_05.tryGirl_007a_05	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1015}	activity.try_girl_Icon3	1701220
71	秘密彩蛋	{1,15,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103161	5070	/Game/Spine/Hero/Girl015a_03/tryGirl_015a_03.tryGirl_015a_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
72	辰星-琼弦	{1,14,3,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103162	5071	/Game/Spine/Hero/Girl014b/tryGirl_014b.tryGirl_014b	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,195}	activity.try_girl_Icon1	1701222
73	肴-夜天光	{1,10,3,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103163	5072	/Game/Spine/Hero/Girl010b/tryGirl_010b.tryGirl_010b	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,195}	activity.try_girl_Icon1	1701222
74	欣描红妆	{1,14,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103164	5073	/Game/Spine/Hero/Girl014b_02/tryGirl_014b_02.tryGirl_014b_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1017}	activity.try_girl_Icon3	1701220
75	暖夜情醺	{1,10,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103165	5074	/Game/Spine/Hero/Girl010b_02/tryGirl_010b_02.tryGirl_010b_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1020}	activity.try_girl_Icon3	1701220
76	金狮舞瑞	{1,8,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103166	5075	/Game/Spine/Hero/Girl008b_03/tryGirl_008b_03.tryGirl_008b_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1019}	activity.try_girl_Icon3	1701220
77	纯白午后	{1,13,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103167	5076	/Game/Spine/Hero/Girl013a_05/tryGirl_013a_05.tryGirl_013a_05	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{27}	activity.try_girl_Icon2	1701221
																				
78	恩雅-澜风	{1,11,3,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103174	5077	/Game/Spine/Hero/Girl011b/tryGirl_011b.tryGirl_011b	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,195}	activity.try_girl_Icon1	1701222
79	望云清咏	{1,11,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103175	5078	/Game/Spine/Hero/Girl011b_02/tryGirl_011b_02.tryGirl_011b_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1021}	activity.try_girl_Icon3	1701220
80	绒尾迷梦	{1,5,3,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103176	5079	/Game/Spine/Hero/Girl005b_03/tryGirl_005b_03.tryGirl_005b_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,1023}	activity.try_girl_Icon3	1701220
81	舞夜与焰	{1,18,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103177	5080	/Game/Spine/Hero/Girl018_03/tryGirl_018_03.tryGirl_018_03	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,640}	activity.try_girl_Icon3	1701220
