Id	试用角色	活动说明	单独界面	是否自选卡池试玩（填1为自选卡池试玩，不填为普通试玩）
341	{31}	activity.try_girl_test1	Dlc1Try	
342	{84}	activity.try_girl_test1	Dlc1Try	
343	{105}	activity.try_girl_test1	Dlc1Try	
344	{106}	activity.try_girl_test1	Dlc1Try	
345	{107}	activity.try_girl_test1	Dlc1Try	
346	{108}	activity.try_girl_test1	Dlc1Try	
347	{109}	activity.try_girl_test1	Dlc1Try	
348	{85}	activity.try_girl_test1	Dlc1Try	
349	{69}	activity.try_girl_test1	Dlc1Try	
354	{11}	activity.try_girl_test1	Dlc1Try	
357	{110}	activity.try_girl_test1	Dlc1Try	
358	{111}	activity.try_girl_test1	Dlc1Try	
359	{91}	activity.try_girl_test1	Dlc1Try	
360	{72}	activity.try_girl_test1	Dlc1Try	
361	{45}	activity.try_girl_test1	Dlc1Try	
362	{46}	activity.try_girl_test1	Dlc1Try	
363	{3}	activity.try_girl_test1	Dlc1Try	
364	{11}	activity.try_girl_test1	Dlc1Try	
365	{57}	activity.try_girl_test1	Dlc1Try	
366	{58}	activity.try_girl_test1	Dlc1Try	
367	{36}	activity.try_girl_test1	Dlc1Try	
368	{112}	activity.try_girl_test1	Dlc1Try	
369	{113}	activity.try_girl_test1	Dlc1Try	
370	{114}	activity.try_girl_test1	Dlc1Try	
371	{115}	activity.try_girl_test1	Dlc1Try	
372	{116}	activity.try_girl_test1	Dlc1Try	
373	{59}	activity.try_girl_test1	Dlc1Try	
374	{60}	activity.try_girl_test1	Dlc1Try	
375	{61}	activity.try_girl_test1	Dlc1Try	
376	{13}	activity.try_girl_test1	Dlc1Try	
377	{14}	activity.try_girl_test1	Dlc1Try	
378	{94}	activity.try_girl_test1	Dlc1Try	
379	{92}	activity.try_girl_test1	Dlc1Try	
380	{87}	activity.try_girl_test1	Dlc1Try	
381	{80}	activity.try_girl_test1	Dlc1Try	
382	{54}	activity.try_girl_test1	Dlc1Try	
387	{84}	activity.try_girl_test1	Dlc1Try	
388	{85}	activity.try_girl_test1	Dlc1Try	
394	{117}	activity.try_girl_test1	Dlc1Try	
395	{78}	activity.try_girl_test1	Dlc1Try	
396	{97}	activity.try_girl_test1	Dlc1Try	
397	{98}	activity.try_girl_test1	Dlc1Try	
398	{118}	activity.try_girl_test1	Dlc1Try	
399	{119}	activity.try_girl_test1	Dlc1Try	
400	{120}	activity.try_girl_test1	Dlc1Try	
401	{121}	activity.try_girl_test1	Dlc1Try	
402	{113}	activity.try_girl_test1	Dlc1Try	
403	{79}	activity.try_girl_test1	Dlc1Try	
404	{102}	activity.try_girl_test1	Dlc1Try	
407	{122}	activity.try_girl_test1	Dlc1Try	
408	{84}	activity.try_girl_test1	Dlc1Try	
409	{104}	activity.try_girl_test1	Dlc1Try	
410	{123}	activity.try_girl_test1	Dlc1Try	
411	{124}	activity.try_girl_test1	Dlc1Try	
412	{125}	activity.try_girl_test1	Dlc1Try	
413	{126}	activity.try_girl_test1	Dlc1Try	
414	{127}	activity.try_girl_test1	Dlc1Try	
415	{105}	activity.try_girl_test1	Dlc1Try	
416	{85}	activity.try_girl_test1	Dlc1Try	
561	{128}	activity.try_girl_test1	Dlc1Try	
562	{129}	activity.try_girl_test1	Dlc1Try	
563	{110}	activity.try_girl_test1	Dlc1Try	
564	{111}	activity.try_girl_test1	Dlc1Try	
565	{97}	activity.try_girl_test1	Dlc1Try	
566	{98}	activity.try_girl_test1	Dlc1Try	
567	{78}	activity.try_girl_test1	Dlc1Try	
568	{72}	activity.try_girl_test1	Dlc1Try	
569	{73}	activity.try_girl_test1	Dlc1Try	
570	{45}	activity.try_girl_test1	Dlc1Try	
571	{46}	activity.try_girl_test1	Dlc1Try	
572	{91}	activity.try_girl_test1	Dlc1Try	
573	{57}	activity.try_girl_test1	Dlc1Try	
574	{35}	activity.try_girl_test1	Dlc1Try	
575	{3}	activity.try_girl_test1	Dlc1Try	
576	{130}	activity.try_girl_test1	Dlc1Try	
577	{131}	activity.try_girl_test1	Dlc1Try	
578	{132}	activity.try_girl_test1	Dlc1Try	
579	{133}	activity.try_girl_test1	Dlc1Try	
580	{134}	activity.try_girl_test1	Dlc1Try	
581	{99}	activity.try_girl_test1	Dlc1Try	
582	{100}	activity.try_girl_test1	Dlc1Try	
583	{74}	activity.try_girl_test1	Dlc1Try	
584	{75}	activity.try_girl_test1	Dlc1Try	
585	{47}	activity.try_girl_test1	Dlc1Try	
586	{48}	activity.try_girl_test1	Dlc1Try	
587	{125}	activity.try_girl_test1	Dlc1Try	
588	{120}	activity.try_girl_test1	Dlc1Try	
589	{107}	activity.try_girl_test1	Dlc1Try	
590	{102}	activity.try_girl_test1	Dlc1Try	
591	{92}	activity.try_girl_test1	Dlc1Try	
592	{94}	activity.try_girl_test1	Dlc1Try	
593	{87}	activity.try_girl_test1	Dlc1Try	
594	{79}	activity.try_girl_test1	Dlc1Try	
595	{76}	activity.try_girl_test1	Dlc1Try	
596	{70}	activity.try_girl_test1	Dlc1Try	
597	{54}	activity.try_girl_test1	Dlc1Try	
598	{29}	activity.try_girl_test1	Dlc1Try	
605	{135}	activity.try_girl_test1	Dlc1Try	
606	{104}	activity.try_girl_test1	Dlc1Try	
607	{117}	activity.try_girl_test1	Dlc1Try	
608	{136}	activity.try_girl_test1	Dlc1Try	
609	{137}	activity.try_girl_test1	Dlc1Try	
610	{138}	activity.try_girl_test1	Dlc1Try	
611	{139}	activity.try_girl_test1	Dlc1Try	
612	{140}	activity.try_girl_test1	Dlc1Try	
				
621	{5}	activity.try_girl_test1	Dlc1Try	
622	{3,4}	activity.try_girl_test1	Dlc1Try	
623	{2}	activity.try_girl_test1	Dlc1Try	
624	{5}	activity.try_girl_test1	Dlc1Try	
625	{35}	activity.try_girl_test1	Dlc1Try	
626	{36}	activity.try_girl_test1	Dlc1Try	
627	{40}	activity.try_girl_test1	Dlc1Try	
628	{45}	activity.try_girl_test1	Dlc1Try	
629	{46}	activity.try_girl_test1	Dlc1Try	
630	{52}	activity.try_girl_test1	Dlc1Try	
631	{57}	activity.try_girl_test1	Dlc1Try	
632	{58}	activity.try_girl_test1	Dlc1Try	
633	{63}	activity.try_girl_test1	Dlc1Try	
634	{3}	activity.try_girl_test1	Dlc1Try	
635	{68}	activity.try_girl_test1	Dlc1Try	
636	{72}	activity.try_girl_test1	Dlc1Try	
637	{73}	activity.try_girl_test1	Dlc1Try	
638	{78}	activity.try_girl_test1	Dlc1Try	
639	{84}	activity.try_girl_test1	Dlc1Try	
640	{91}	activity.try_girl_test1	Dlc1Try	
641	{97}	activity.try_girl_test1	Dlc1Try	
642	{98}	activity.try_girl_test1	Dlc1Try	
643	{104}	activity.try_girl_test1	Dlc1Try	
644	{110}	activity.try_girl_test1	Dlc1Try	
645	{111}	activity.try_girl_test1	Dlc1Try	
646	{117}	activity.try_girl_test1	Dlc1Try	
647	{122}	activity.try_girl_test1	Dlc1Try	
648	{128}	activity.try_girl_test1	Dlc1Try	
649	{129}	activity.try_girl_test1	Dlc1Try	
650	{135}	activity.try_girl_test1	Dlc1Try	
651	{6}	activity.try_girl_test1	Dlc1Try	
652	{7}	activity.try_girl_test1	Dlc1Try	
653	{11}	activity.try_girl_test1	Dlc1Try	
654	{19}	activity.try_girl_test1	Dlc1Try	
655	{24}	activity.try_girl_test1	Dlc1Try	
656	{31}	activity.try_girl_test1	Dlc1Try	
657	{8}	activity.try_girl_test1	Dlc1Try	
658	{20}	activity.try_girl_test1	Dlc1Try	
659	{138}	activity.try_girl_test1	Dlc1Try	
660	{139}	activity.try_girl_test1	Dlc1Try	
661	{140}	activity.try_girl_test1	Dlc1Try	
662	{21}	activity.try_girl_test1	Dlc1Try	
663	{22}	activity.try_girl_test1	Dlc1Try	
664	{23}	activity.try_girl_test1	Dlc1Try	
665	{25}	activity.try_girl_test1	Dlc1Try	
666	{26}	activity.try_girl_test1	Dlc1Try	
667	{27}	activity.try_girl_test1	Dlc1Try	
668	{28}	activity.try_girl_test1	Dlc1Try	
669	{29}	activity.try_girl_test1	Dlc1Try	
670	{30}	activity.try_girl_test1	Dlc1Try	
671	{9}	activity.try_girl_test1	Dlc1Try	
672	{32}	activity.try_girl_test1	Dlc1Try	
673	{33}	activity.try_girl_test1	Dlc1Try	
674	{34}	activity.try_girl_test1	Dlc1Try	
675	{37}	activity.try_girl_test1	Dlc1Try	
676	{38}	activity.try_girl_test1	Dlc1Try	
677	{39}	activity.try_girl_test1	Dlc1Try	
678	{41}	activity.try_girl_test1	Dlc1Try	
679	{42}	activity.try_girl_test1	Dlc1Try	
680	{43}	activity.try_girl_test1	Dlc1Try	
681	{44}	activity.try_girl_test1	Dlc1Try	
682	{10}	activity.try_girl_test1	Dlc1Try	
683	{47}	activity.try_girl_test1	Dlc1Try	
684	{48}	activity.try_girl_test1	Dlc1Try	
685	{49}	activity.try_girl_test1	Dlc1Try	
686	{50}	activity.try_girl_test1	Dlc1Try	
687	{51}	activity.try_girl_test1	Dlc1Try	
688	{53}	activity.try_girl_test1	Dlc1Try	
689	{54}	activity.try_girl_test1	Dlc1Try	
690	{55}	activity.try_girl_test1	Dlc1Try	
691	{59}	activity.try_girl_test1	Dlc1Try	
692	{60}	activity.try_girl_test1	Dlc1Try	
693	{13}	activity.try_girl_test1	Dlc1Try	
694	{61}	activity.try_girl_test1	Dlc1Try	
695	{62}	activity.try_girl_test1	Dlc1Try	
696	{64}	activity.try_girl_test1	Dlc1Try	
697	{65}	activity.try_girl_test1	Dlc1Try	
698	{66}	activity.try_girl_test1	Dlc1Try	
699	{67}	activity.try_girl_test1	Dlc1Try	
700	{69}	activity.try_girl_test1	Dlc1Try	
701	{70}	activity.try_girl_test1	Dlc1Try	
702	{71}	activity.try_girl_test1	Dlc1Try	
703	{74}	activity.try_girl_test1	Dlc1Try	
704	{14}	activity.try_girl_test1	Dlc1Try	
705	{75}	activity.try_girl_test1	Dlc1Try	
706	{76}	activity.try_girl_test1	Dlc1Try	
707	{77}	activity.try_girl_test1	Dlc1Try	
708	{79}	activity.try_girl_test1	Dlc1Try	
709	{80}	activity.try_girl_test1	Dlc1Try	
710	{81}	activity.try_girl_test1	Dlc1Try	
711	{82}	activity.try_girl_test1	Dlc1Try	
712	{83}	activity.try_girl_test1	Dlc1Try	
713	{85}	activity.try_girl_test1	Dlc1Try	
714	{86}	activity.try_girl_test1	Dlc1Try	
715	{15}	activity.try_girl_test1	Dlc1Try	
716	{87}	activity.try_girl_test1	Dlc1Try	
717	{88}	activity.try_girl_test1	Dlc1Try	
718	{89}	activity.try_girl_test1	Dlc1Try	
719	{90}	activity.try_girl_test1	Dlc1Try	
720	{92}	activity.try_girl_test1	Dlc1Try	
721	{93}	activity.try_girl_test1	Dlc1Try	
722	{94}	activity.try_girl_test1	Dlc1Try	
723	{95}	activity.try_girl_test1	Dlc1Try	
724	{96}	activity.try_girl_test1	Dlc1Try	
725	{99}	activity.try_girl_test1	Dlc1Try	
726	{16}	activity.try_girl_test1	Dlc1Try	
727	{100}	activity.try_girl_test1	Dlc1Try	
728	{101}	activity.try_girl_test1	Dlc1Try	
729	{102}	activity.try_girl_test1	Dlc1Try	
730	{103}	activity.try_girl_test1	Dlc1Try	
731	{105}	activity.try_girl_test1	Dlc1Try	
732	{106}	activity.try_girl_test1	Dlc1Try	
733	{107}	activity.try_girl_test1	Dlc1Try	
734	{108}	activity.try_girl_test1	Dlc1Try	
735	{109}	activity.try_girl_test1	Dlc1Try	
736	{112}	activity.try_girl_test1	Dlc1Try	
737	{17}	activity.try_girl_test1	Dlc1Try	
738	{113}	activity.try_girl_test1	Dlc1Try	
739	{114}	activity.try_girl_test1	Dlc1Try	
740	{115}	activity.try_girl_test1	Dlc1Try	
741	{116}	activity.try_girl_test1	Dlc1Try	
742	{118}	activity.try_girl_test1	Dlc1Try	
743	{119}	activity.try_girl_test1	Dlc1Try	
744	{120}	activity.try_girl_test1	Dlc1Try	
745	{121}	activity.try_girl_test1	Dlc1Try	
746	{123}	activity.try_girl_test1	Dlc1Try	
747	{124}	activity.try_girl_test1	Dlc1Try	
748	{18}	activity.try_girl_test1	Dlc1Try	
749	{125}	activity.try_girl_test1	Dlc1Try	
750	{126}	activity.try_girl_test1	Dlc1Try	
751	{127}	activity.try_girl_test1	Dlc1Try	
752	{130}	activity.try_girl_test1	Dlc1Try	
753	{131}	activity.try_girl_test1	Dlc1Try	
754	{132}	activity.try_girl_test1	Dlc1Try	
755	{133}	activity.try_girl_test1	Dlc1Try	
756	{134}	activity.try_girl_test1	Dlc1Try	
757	{136}	activity.try_girl_test1	Dlc1Try	
758	{137}	activity.try_girl_test1	Dlc1Try	
