ID	备注	类型（0普通关 1boss关）	BUFF生效对象（1给玩家添加，0 底层设定都添加）	关卡BUFF{id1,id2,id3...}		地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{G,D,P,L}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	BossID	关卡概念图	任务资源
6034	RealTower_004	0	1	{8300065}		604	1	{{2,6033}}	{0,0}		{4001005,4002007,4001002,4001017,500201003}	4				0	0	6035				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower034.RealTower034
6035	RealTower_013	0	1	{8300075,8300067}		613	1		{0,0}		{4001211,400121203,4001212,400121102,4001213,5001205}	4				0	0	6037				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower036.RealTower036
6036	RealTower_007	0	1	{8300071}		607	1	{{2,6035}}	{0,0}		{34003007,34003006,34001015,35001001}	4				0	0	6013				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower007.RealTower007
6037	RealTower_015	0	1	{8300068}		615	1	{{2,6036}}	{0,0}		{4001212,4001211,400121302,400121102,5002208}	4				0	0	6038				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower037.RealTower037
6038	RealTower_009	0	1	{8300074}		609	1	{{2,6037}}	{0,0}		{4003103,400110802,4001112,4001115,400111401,4001108,5001101}	4				0	0	6039				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower038.RealTower038
6039	RealTower_008	0	1	{8300065}		608	1	{{2,6038}}	{0,0}		{4002003,4003004,4001002,400100601,4003006,400100304,5002010}	4				0	0	6040				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower039.RealTower039
6040	RealTower_010	1	1	{8300069,8300066}		610	1	{{2,6035}}	{0,0}		{6002002}	4				0	0	6041				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804030	6001002	1801000	RealTower/RealTower040.RealTower040
6041	RealTower_006	0	1	{8300072}		606	1	{{2,6040}}	{0,0}		{4002003,4003006,4001007,400901304,4002004,4001005,4001002,400100601,4009013,500201003,4001003,4003004,5002010,400100403,4001006}	4				0	0	6042				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower041.RealTower041
6042	RealTower_005	0	1	{8300065}		605	1	{{2,6041}}	{0,0}		{4001103,4001108,400111401,4002106,4001114,4002102,4001115,4003103}	4				0	0	6046				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower045.RealTower045
6043	RealTower_013	0	1	{8300059}		613	1	{{2,6042}}	{0,0}		{4001211,4001212,400121102,400121302,400121203,5001204}	4				0	0	6044				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower043.RealTower043
6044	RealTower_015	0	1	{8300065}		615	1	{{2,6043}}	{0,0}		{4001212,400121102,4001213,400121203,5001205}	4				0	0	6045				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower044.RealTower044
6045	RealTower_007	0	1	{8300071,8300079}		607	1		{0,0}		{34003007,400100403,34003006,400100802,34001015,400101607,35001001,400901304}	4				0	0	6043				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower042.RealTower042
6046	RealTower_012	0	1	{8300066}		612	1	{{2,6045}}	{0,0}		{4001211,4001212,400121203,400121302,4001213,400121102,5003208}	4				0	0	6047				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower046.RealTower046
6047	RealTower_014	0	1	{8300064}		614	1	{{2,6046}}	{0,0}		{400110601,4002103,4001115,4003106,400111401,4001114,5001109}	4				0	0	6048				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower047.RealTower047
6048	RealTower_015	0	1	{8300068}		615	1	{{2,6047}}	{0,0}		{4001212,4001211,400121302,400121203,4001213,5001206}	4				0	0	6049				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower048.RealTower048
6049	RealTower_009	0	1	{8300059}		609	1	{{2,6048}}	{0,0}		{4003007,400100601,4001002,4003016,400100403,500101002}	4				0	0	6050				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower049.RealTower049
6050	RealTower_010	1	1	{8300068,8300059}		610	1	{{2,6045}}	{0,0}		{6003101}	4				0	0	6051				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804032	6001101	1801000	RealTower/RealTower050.RealTower050
6051	RealTower_002	0	1	{8300059}		602	1	{{2,6050}}	{0,0}		{400100601,4001005,4001007,4001017,500201003}	4				0	0	6052				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower051.RealTower051
6052	RealTower_001	0	1	{8300060}		601	1	{{2,6051}}	{0,0}		{400100403,4001005,4001002,4001004,5001001,400100304}	4				0	0	6053				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower052.RealTower052
6053	RealTower_002	0	1	{8300066}		602	1	{{2,6052}}	{0,0}		{4001103,4001108,400111401,4001112,400110201,400111201,400110401}	4				0	0	6054				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower053.RealTower053
6054	RealTower_005	0	1	{8300065}		605	1	{{2,6053}}	{0,0}		{4003003,4002004,400201608,400100304,4001002,4003006,4003004,4001004,400100601,4003007}	4				0	0	6056				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower055.RealTower055
6055	RealTower_004	0	1	{8300068,8300080}		604	1		{0,0}		{4001005,400100601,4001002,4001017,4002007,500201003}	4				0	0	6055				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower054.RealTower054
6056	RealTower_013	0	1	{8300072}		613	1	{{2,6055}}	{0,0}		{4001211,400121203,4001212,400121302,5001209}	4				0	0	6057				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower056.RealTower056
6057	RealTower_015	0	1	{8300061}		615	1	{{2,6056}}	{0,0}		{4001212,4001211,400121302,400121203,5001205}	4				0	0	6058				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower057.RealTower057
6058	RealTower_009	0	1	{8300067}		609	1	{{2,6057}}	{0,0}		{4003103,400110802,4001112,4001115,4001114,400111201,400111401,5001101}	4				0	0	6059				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower058.RealTower058
6059	RealTower_008	0	1	{8300065}		608	1	{{2,6058}}	{0,0}		{4002003,400100403,4001002,4003006,4003004,400100601,400100304,500201003}	4				0	0	6060				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower059.RealTower059
6060	RealTower_010	1	1	{8300063,8300077}		610	1	{{2,6055}}	{0,0}		{6002005}	4				0	0	6061				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804037	6001005	1801000	RealTower/RealTower060.RealTower060
6061	RealTower_006	0	1	{8300062}		606	1	{{2,6060}}	{0,0}		{4002003,400100601,4001007,400901304,4002004,400100403,4009013,4001005,4001002,5002010,400101504,400100304,4001006,4003006,4001003,4003004}	4				0	0	6062				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower061.RealTower061
6062	RealTower_007	0	1	{8300060}		607	1	{{2,6061}}	{0,0}		{34003007,34003006,34001015,35001001}	4				0	0	6063				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower062.RealTower062
6063	RealTower_013	0	1	{8300074}		613	1	{{2,6062}}	{0,0}		{400121102,4001212,4001213,4001211,400121203,5003208}	4				0	0	6064				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower063.RealTower063
6064	RealTower_015	0	1	{8300065}		615	1	{{2,6063}}	{0,0}		{4001212,4001211,4001213,400121203,400121102,5001205}	4				0	0	6065				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower064.RealTower064
6065	RealTower_012	0	1	{8300069,8300071}		612	1		{0,0}		{4001211,4001212,400121203,400121302,4001213,5003208}	4				0	0	6067				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower066.RealTower066
6066	RealTower_005	0	1	{8300059}		605	1	{{2,6065}}	{0,0}		{4001103,4001108,400111201,4002106,400110601,4001114,4002102,400111401,4001115,4003102}	4				0	0	6066				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower065.RealTower065
6067	RealTower_014	0	1	{8300064}		614	1	{{2,6066}}	{0,0}		{400110601,4002103,4001115,400111401,4003106,5001109}	4				0	0	6068				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower067.RealTower067
6068	RealTower_015	0	1	{8300067}		615	1	{{2,6067}}	{0,0}		{4001212,4001211,400121102,400121302,400121203,5001204}	4				0	0	6069				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower068.RealTower068
6069	RealTower_009	0	1	{8300065}		609	1	{{2,6068}}	{0,0}		{4003007,400100601,4001002,400301609,400100403,4003016,5001010}	4				0	0	6070				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower069.RealTower069
6070	RealTower_010	1	1	{8300082,8300078}		610	1	{{2,6065}}	{0,0}		{6002103}	4				0	0	6071				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804034	6001103	1801000	RealTower/RealTower070.RealTower070
6071	RealTower_003	0	1	{8300062}		603	1	{{2,6070}}	{0,0}		{4001004,400100403,4001005,4001007,400101504,4001015,500101002}	4				0	0	6072				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower071.RealTower071
6072	RealTower_008	0	1	{8300068}		608	1	{{2,6071}}	{0,0}		{4001108,4003102,4003106,400110802,4001114,400110601,4001115,4001112,5001111}	4				0	0	6073				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower072.RealTower072
6073	RealTower_001	0	1	{8300061}		601	1	{{2,6072}}	{0,0}		{4001004,4001005,4001002,400100304,5001001,400100403}	4				0	0	6074				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower073.RealTower073
6074	RealTower_014	0	1	{8300065}		614	1	{{2,6073}}	{0,0}		{4001211,400121203,400121102,4001213,4001212,5001214}	4				0	0	6075				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower074.RealTower074
6075	RealTower_006	0	1	{8300068,8300072}		606	1		{0,0}		{4002103,4002106,4003102,400111201,4001112,4001108,400110601,4001115,4001104,5001110}	4				0	0	6077				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower076.RealTower076
6076	RealTower_009	0	1	{8300074}		609	1	{{2,6075}}	{0,0}		{4001211,4001212,400121102,4001213,400121203,400121302}	4				0	0	6076				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower075.RealTower075
6077	RealTower_003	0	1	{8300065}		603	1	{{2,6076}}	{0,0}		{4002103,400110601,4001112,4001107,400111201,4001103,500110902}	4				0	0	6078				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower077.RealTower077
6078	RealTower_004	0	1	{8300059}		604	1	{{2,6077}}	{0,0}		{4001107,4002102,400110802,400110601,4001108,5001110,400110201}	4				0	0	6079				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower078.RealTower078
6079	RealTower_012	0	1	{8300065}		612	1	{{2,6078}}	{0,0}		{400121102,4001212,4001213,400121203,4001211,400121302,5003208}	4				0	0	6080				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower079.RealTower079
6080	RealTower_011	1	1	{8300065,8300072}		611	1	{{2,6075}}	{0,0}		{6003201}	4				0	0	6081				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804035	6001201	1801000	RealTower/RealTower080.RealTower080
6081	RealTower_002	0	1	{8300079}		602	1	{{2,6080}}	{0,0}		{400100601,4001005,4001007,4001017,500201003}	4				0	0	6082				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower081.RealTower081
6082	RealTower_005	0	1	{8300061}		605	1	{{2,6081}}	{0,0}		{4003003,400100403,4002013,4001002,400100601,4003004,400100304}	4				0	0	6086				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower085.RealTower085
6083	RealTower_002	0	1	{8300065}		602	1	{{2,6082}}	{0,0}		{4001103,400110802,400111201,4001112,4001108,4001102,400110401}	4				0	0	6084				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower083.RealTower083
6084	RealTower_004	0	1	{8300076}		604	1	{{2,6083}}	{0,0}		{4001005,4002007,4001002,4001017,400100601,500201003}	4				0	0	6085				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower084.RealTower084
6085	RealTower_001	0	1	{8300066,8300077}		601	1		{0,0}		{400100403,4001005,4001002,400100304,4001004,5001001}	4				0	0	6083				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower082.RealTower082
6086	RealTower_013	0	1	{8300065}		613	1	{{2,6085}}	{0,0}		{400121102,4001212,4001211,4001213,400121203,5002208}	4				0	0	6087				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower086.RealTower086
6087	RealTower_015	0	1	{8300066}		615	1	{{2,6086}}	{0,0}		{400121203,4001211,4001213,400121302,4001212,400121102,5001209}	4				0	0	6088				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower087.RealTower087
6088	RealTower_009	0	1	{8300074}		609	1	{{2,6087}}	{0,0}		{4003103,400110802,400111201,4001115,400111401,5001101}	4				0	0	6089				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower088.RealTower088
6089	RealTower_008	0	1	{8300075}		608	1	{{2,6088}}	{0,0}		{400100304,4003004,4001002,400100601,400100403,4003006,4002003,500201003}	4				0	0	6090				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower089.RealTower089
6090	RealTower_010	1	1	{8300068,8300075}		610	1	{{2,6085}}	{0,0}		{6002003}	4				0	0	6091				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}	1804031	6001003	1801000	RealTower/RealTower090.RealTower090
6091	RealTower_006	0	1	{8300063}		606	1	{{2,6090}}	{0,0}		{4002003,400100601,4001007,400901304,4002004,400100403,4001005,4001002,4003006,4009013,400101504,400100304,500201003,4001003,4001006,5002010,4003004}	4				0	0	6092				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower091.RealTower091
6092	RealTower_005	0	1	{8300072}		605	1	{{2,6091}}	{0,0}		{4001103,400110802,400111201,4002106,400111401,4001114,400110201,4001115,400110601}	4				0	0	6096				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower095.RealTower095
6093	RealTower_013	0	1	{8300065}		613	1	{{2,6092}}	{0,0}		{4001211,400121203,4001213,5001208}	4				0	0	6094				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower093.RealTower093
6094	RealTower_015	0	1	{8300074}		615	1	{{2,6093}}	{0,0}		{4001212,4001211,4001213,400121203,400121102,400121302,5001205}	4				0	0	6095				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower094.RealTower094
6095	RealTower_007	0	1	{8300074,8300080}		607	1		{0,0}		{34003007,400100403,34003006,400100802,34001015,400101607,35001001,400901304}	4				0	0	6093				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower092.RealTower092
6096	RealTower_012	0	1	{8300077}		612	1	{{2,6095}}	{0,0}		{4001211,400121203,400121302,4001212,4001213,5003208}	4				0	0	6097				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower096.RealTower096
6097	RealTower_014	0	1	{8300074}		614	1	{{2,6096}}	{0,0}		{400110601,4002103,4001115,400111401,4003106,4001114,5001109}	4				0	0	6098				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower097.RealTower097
6098	RealTower_015	0	1	{8300081}		615	1	{{2,6097}}	{0,0}		{400121203,4001211,400121302,5003208}	4				0	0	6099				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower098.RealTower098
6099	RealTower_009	0	1	{8300075}		609	1	{{2,6098}}	{0,0}		{4003007,400100601,4001002,400301609,400100403,4003016,500101002}	4				0	0	6100				{}	{6003}					{{4,3,2,1,20},{4,3,1,1,2000}}			1801000	RealTower/RealTower099.RealTower099
