 	关卡ID	备注	开启时间	结束时间	战区buff（调用buff表）	词条库id(调用entreisid)	ui场景模型（调用scenendata）	boss概念图	关卡概念图	关卡标题	关卡描述	对应任务奖励
2644	2644	二期战区二第5关	[202502130400]	[202502200400]	{2108}	{1001,1108,1208}	4	1804100	1801000	season_title_name2	season_level_des5	19020
												
2701	2507	一期战区一第1关	[202503061000]	[202503200400]	{2109}	{1109}	5	1804145	1801000	season_title_name1	season_level_des1	19001
2702	2517	一期战区一第2关	[202503061000]	[202503200400]	{2109}	{1109}	5	1804145	1801000	season_title_name1	season_level_des2	19002
2703	2527	一期战区一第3关	[202503061000]	[202503200400]	{2109}	{1109}	5	1804145	1801000	season_title_name1	season_level_des3	19003
2704	2537	一期战区一第4关	[202503061000]	[202503200400]	{2109}	{1109}	5	1804145	1801000	season_title_name1	season_level_des4	19004
2705	2547	一期战区一第5关	[202503061000]	[202503200400]	{2109}	{1001,1109,1209}	5	1804145	1801000	season_title_name1	season_level_des5	19005
2711	2508	一期战区二第1关	[202503130400]	[202503200400]	{2110}	{1110}	6	1804030	1801000	season_title_name2	season_level_des1	19006
2712	2518	一期战区二第2关	[202503130400]	[202503200400]	{2110}	{1110}	6	1804030	1801000	season_title_name2	season_level_des2	19007
2713	2528	一期战区二第3关	[202503130400]	[202503200400]	{2110}	{1110}	6	1804030	1801000	season_title_name2	season_level_des3	19008
2714	2538	一期战区二第4关	[202503130400]	[202503200400]	{2110}	{1110}	6	1804030	1801000	season_title_name2	season_level_des4	19009
2715	2548	一期战区二第5关	[202503130400]	[202503200400]	{2110}	{1001,1110,1210}	6	1804030	1801000	season_title_name2	season_level_des5	19010
2721	2501	二期战区一第1关	[202503200400]	[202504030400]	{2111}	{1111}	7	1804045	1801000	season_title_name1	season_level_des1	19011
2722	2511	二期战区一第2关	[202503200400]	[202504030400]	{2111}	{1111}	7	1804045	1801000	season_title_name1	season_level_des2	19012
2723	2521	二期战区一第3关	[202503200400]	[202504030400]	{2111}	{1111}	7	1804045	1801000	season_title_name1	season_level_des3	19013
2724	2531	二期战区一第4关	[202503200400]	[202504030400]	{2111}	{1111}	7	1804045	1801000	season_title_name1	season_level_des4	19014
2725	2541	二期战区一第5关	[202503200400]	[202504030400]	{2111}	{1001,1111,1211}	7	1804045	1801000	season_title_name1	season_level_des5	19015
2731	2503	二期战区二第1关	[202503270400]	[202504030400]	{2112}	{1112}	8	1804124	1801000	season_title_name2	season_level_des1	19016
2732	2513	二期战区二第2关	[202503270400]	[202504030400]	{2112}	{1112}	8	1804124	1801000	season_title_name2	season_level_des2	19017
2733	2523	二期战区二第3关	[202503270400]	[202504030400]	{2112}	{1112}	8	1804124	1801000	season_title_name2	season_level_des3	19018
2734	2533	二期战区二第4关	[202503270400]	[202504030400]	{2112}	{1112}	8	1804124	1801000	season_title_name2	season_level_des4	19019
2735	2543	二期战区二第5关	[202503270400]	[202504030400]	{2112}	{1001,1112,1212}	8	1804124	1801000	season_title_name2	season_level_des5	19020
												
2801	2505	一期战区一第1关	[202504170400]	[202505010400]	{2113}	{1113}	1	1804109	1801000	season_title_name1	season_level_des1	19001
2802	2515	一期战区一第2关	[202504170400]	[202505010400]	{2113}	{1113}	1	1804109	1801000	season_title_name1	season_level_des2	19002
2803	2525	一期战区一第3关	[202504170400]	[202505010400]	{2113}	{1113}	1	1804109	1801000	season_title_name1	season_level_des3	19003
2804	2535	一期战区一第4关	[202504170400]	[202505010400]	{2113}	{1113}	1	1804109	1801000	season_title_name1	season_level_des4	19004
2805	2545	一期战区一第5关	[202504170400]	[202505010400]	{2113}	{1001,1113,1213}	1	1804109	1801000	season_title_name1	season_level_des5	19005
2811	2601	一期战区二第1关	[202504240400]	[202505010400]	{2114}	{1114}	9	1804166	1801000	season_title_name2	season_level_des1	19006
2812	2611	一期战区二第2关	[202504240400]	[202505010400]	{2114}	{1114}	9	1804166	1801000	season_title_name2	season_level_des2	19007
2813	2621	一期战区二第3关	[202504240400]	[202505010400]	{2114}	{1114}	9	1804166	1801000	season_title_name2	season_level_des3	19008
2814	2631	一期战区二第4关	[202504240400]	[202505010400]	{2114}	{1114}	9	1804166	1801000	season_title_name2	season_level_des4	19009
2815	2641	一期战区二第5关	[202504240400]	[202505010400]	{2114}	{1001,1114,1214}	9	1804166	1801000	season_title_name2	season_level_des5	19010
2821	2506	二期战区一第1关	[202505010400]	[202505150400]	{2115}	{1115}	3	1804066	1801000	season_title_name1	season_level_des1	19011
2822	2516	二期战区一第2关	[202505010400]	[202505150400]	{2115}	{1115}	3	1804066	1801000	season_title_name1	season_level_des2	19012
2823	2526	二期战区一第3关	[202505010400]	[202505150400]	{2115}	{1115}	3	1804066	1801000	season_title_name1	season_level_des3	19013
2824	2536	二期战区一第4关	[202505010400]	[202505150400]	{2115}	{1115}	3	1804066	1801000	season_title_name1	season_level_des4	19014
2825	2546	二期战区一第5关	[202505010400]	[202505150400]	{2115}	{1001,1115,1215}	3	1804066	1801000	season_title_name1	season_level_des5	19015
2831	2509	二期战区二第1关	[202505080400]	[202505150400]	{2116}	{1116}	10	1804165	1801000	season_title_name2	season_level_des1	19016
2832	2519	二期战区二第2关	[202505080400]	[202505150400]	{2116}	{1116}	10	1804165	1801000	season_title_name2	season_level_des2	19017
2833	2529	二期战区二第3关	[202505080400]	[202505150400]	{2116}	{1116}	10	1804165	1801000	season_title_name2	season_level_des3	19018
2834	2539	二期战区二第4关	[202505080400]	[202505150400]	{2116}	{1116}	10	1804165	1801000	season_title_name2	season_level_des4	19019
2835	2549	二期战区二第5关	[202505080400]	[202505150400]	{2116}	{1001,1116,1216}	10	1804165	1801000	season_title_name2	season_level_des5	19020
												
2901	2602	一期战区一第1关	[202505291000]	[202506120400]	{2117}	{1117}	1	1804046	1801000	season_title_name1	season_level_des1	19001
2902	2612	一期战区一第2关	[202505291000]	[202506120400]	{2117}	{1117}	1	1804046	1801000	season_title_name1	season_level_des2	19002
2903	2622	一期战区一第3关	[202505291000]	[202506120400]	{2117}	{1117}	1	1804046	1801000	season_title_name1	season_level_des3	19003
2904	2632	一期战区一第4关	[202505291000]	[202506120400]	{2117}	{1117}	1	1804046	1801000	season_title_name1	season_level_des4	19004
2905	2642	一期战区一第5关	[202505291000]	[202506120400]	{2117}	{1001,1117,1217}	1	1804046	1801000	season_title_name1	season_level_des5	19005
2911	2504	一期战区二第1关	[202506050400]	[202506120400]	{2118}	{1118}	4	1804100	1801000	season_title_name2	season_level_des1	19006
2912	2514	一期战区二第2关	[202506050400]	[202506120400]	{2118}	{1118}	4	1804100	1801000	season_title_name2	season_level_des2	19007
2913	2524	一期战区二第3关	[202506050400]	[202506120400]	{2118}	{1118}	4	1804100	1801000	season_title_name2	season_level_des3	19008
2914	2534	一期战区二第4关	[202506050400]	[202506120400]	{2118}	{1118}	4	1804100	1801000	season_title_name2	season_level_des4	19009
2915	2544	一期战区二第5关	[202506050400]	[202506120400]	{2118}	{1001,1118,1218}	4	1804100	1801000	season_title_name2	season_level_des5	19010
2921	2603	二期战区一第1关	[202506120400]	[202506260400]	{2119}	{1119}	12	1804196	1801000	season_title_name1	season_level_des1	19011
2922	2613	二期战区一第2关	[202506120400]	[202506260400]	{2119}	{1119}	12	1804196	1801000	season_title_name1	season_level_des2	19012
2923	2623	二期战区一第3关	[202506120400]	[202506260400]	{2119}	{1119}	12	1804196	1801000	season_title_name1	season_level_des3	19013
2924	2633	二期战区一第4关	[202506120400]	[202506260400]	{2119}	{1119}	12	1804196	1801000	season_title_name1	season_level_des4	19014
2925	2643	二期战区一第5关	[202506120400]	[202506260400]	{2119}	{1001,1119,1219}	12	1804196	1801000	season_title_name1	season_level_des5	19015
2931	2501	二期战区二第1关	[202506190400]	[202506260400]	{2120}	{1120}	13	1804045	1801000	season_title_name2	season_level_des1	19016
2932	2511	二期战区二第2关	[202506190400]	[202506260400]	{2120}	{1120}	13	1804045	1801000	season_title_name2	season_level_des2	19017
2933	2521	二期战区二第3关	[202506190400]	[202506260400]	{2120}	{1120}	13	1804045	1801000	season_title_name2	season_level_des3	19018
2934	2531	二期战区二第4关	[202506190400]	[202506260400]	{2120}	{1120}	13	1804045	1801000	season_title_name2	season_level_des4	19019
2935	2541	二期战区二第5关	[202506190400]	[202506260400]	{2120}	{1001,1120,1220}	13	1804045	1801000	season_title_name2	season_level_des5	19020
												
3001	2605	一期战区一第1关	[202507100400]	[202507240400]	{2121}	{1121}	14	1804106	1801000	season_title_name1	season_level_des1	19001
3002	2615	一期战区一第2关	[202507100400]	[202507240400]	{2121}	{1121}	14	1804106	1801000	season_title_name1	season_level_des2	19002
3003	2625	一期战区一第3关	[202507100400]	[202507240400]	{2121}	{1121}	14	1804106	1801000	season_title_name1	season_level_des3	19003
3004	2635	一期战区一第4关	[202507100400]	[202507240400]	{2121}	{1121}	14	1804106	1801000	season_title_name1	season_level_des4	19004
3005	2645	一期战区一第5关	[202507100400]	[202507240400]	{2121}	{1001,1121,1221}	14	1804106	1801000	season_title_name1	season_level_des5	19005
3011	2501	一期战区二第1关	[202507170400]	[202507240400]	{2122}	{1122}	13	1804045	1801000	season_title_name2	season_level_des1	19016
3012	2511	一期战区二第2关	[202507170400]	[202507240400]	{2122}	{1122}	13	1804045	1801000	season_title_name2	season_level_des2	19017
3013	2521	一期战区二第3关	[202507170400]	[202507240400]	{2122}	{1122}	13	1804045	1801000	season_title_name2	season_level_des3	19018
3014	2531	一期战区二第4关	[202507170400]	[202507240400]	{2122}	{1122}	13	1804045	1801000	season_title_name2	season_level_des4	19019
3015	2541	一期战区二第5关	[202507170400]	[202507240400]	{2122}	{1001,1122,1222}	13	1804045	1801000	season_title_name2	season_level_des5	19020
3021	2604	二期战区一第1关	[202507240400]	[202508070400]	{2123}	{1123}	15	1804138	1801000	season_title_name1	season_level_des1	19011
3022	2614	二期战区一第2关	[202507240400]	[202508070400]	{2123}	{1123}	15	1804138	1801000	season_title_name1	season_level_des2	19012
3023	2624	二期战区一第3关	[202507240400]	[202508070400]	{2123}	{1123}	15	1804138	1801000	season_title_name1	season_level_des3	19013
3024	2634	二期战区一第4关	[202507240400]	[202508070400]	{2123}	{1123}	15	1804138	1801000	season_title_name1	season_level_des4	19014
3025	2644	二期战区一第5关	[202507240400]	[202508070400]	{2123}	{1001,1123,1223}	15	1804138	1801000	season_title_name1	season_level_des5	19015
3031	2503	二期战区二第1关	[202507310400]	[202508070400]	{2124}	{1124}	8	1804124	1801000	season_title_name2	season_level_des1	19016
3032	2513	二期战区二第2关	[202507310400]	[202508070400]	{2124}	{1124}	8	1804124	1801000	season_title_name2	season_level_des2	19017
3033	2523	二期战区二第3关	[202507310400]	[202508070400]	{2124}	{1124}	8	1804124	1801000	season_title_name2	season_level_des3	19018
3034	2533	二期战区二第4关	[202507310400]	[202508070400]	{2124}	{1124}	8	1804124	1801000	season_title_name2	season_level_des4	19019
3035	2543	二期战区二第5关	[202507310400]	[202508070400]	{2124}	{1001,1124,1224}	8	1804124	1801000	season_title_name2	season_level_des5	19020
												
3101	2607	一期战区一第1关	[202508211000]	[202509040400]	{2125}	{1125}	17	1804146	1801000	season_title_name1	season_level_des1	19001
3102	2617	一期战区一第2关	[202508211000]	[202509040400]	{2125}	{1125}	17	1804146	1801000	season_title_name1	season_level_des2	19002
3103	2627	一期战区一第3关	[202508211000]	[202509040400]	{2125}	{1125}	17	1804146	1801000	season_title_name1	season_level_des3	19003
3104	2637	一期战区一第4关	[202508211000]	[202509040400]	{2125}	{1125}	17	1804146	1801000	season_title_name1	season_level_des4	19004
3105	2647	一期战区一第5关	[202508211000]	[202509040400]	{2125}	{1001,1125,1225}	17	1804146	1801000	season_title_name1	season_level_des5	19005
3111	2603	一期战区二第1关	[202508280400]	[202509040400]	{2126}	{1126}	18	1804196	1801000	season_title_name2	season_level_des1	19006
3112	2613	一期战区二第2关	[202508280400]	[202509040400]	{2126}	{1126}	18	1804196	1801000	season_title_name2	season_level_des2	19007
3113	2623	一期战区二第3关	[202508280400]	[202509040400]	{2126}	{1126}	18	1804196	1801000	season_title_name2	season_level_des3	19008
3114	2633	一期战区二第4关	[202508280400]	[202509040400]	{2126}	{1126}	18	1804196	1801000	season_title_name2	season_level_des4	19009
3115	2643	一期战区二第5关	[202508280400]	[202509040400]	{2126}	{1001,1126,1226}	18	1804196	1801000	season_title_name2	season_level_des5	19010
3121	2606	二期战区一第1关	[202509040400]	[202509180400]	{2127}	{1127}	16	1804163	1801000	season_title_name1	season_level_des1	19011
3122	2616	二期战区一第2关	[202509040400]	[202509180400]	{2127}	{1127}	16	1804163	1801000	season_title_name1	season_level_des2	19012
3123	2626	二期战区一第3关	[202509040400]	[202509180400]	{2127}	{1127}	16	1804163	1801000	season_title_name1	season_level_des3	19013
3124	2636	二期战区一第4关	[202509040400]	[202509180400]	{2127}	{1127}	16	1804163	1801000	season_title_name1	season_level_des4	19014
3125	2646	二期战区一第5关	[202509040400]	[202509180400]	{2127}	{1001,1127,1227}	16	1804163	1801000	season_title_name1	season_level_des5	19015
3131	2601	一期战区二第1关	[202509110400]	[202509180400]	{2128}	{1128}	9	1804166	1801000	season_title_name2	season_level_des1	19016
3132	2611	一期战区二第2关	[202509110400]	[202509180400]	{2128}	{1128}	9	1804166	1801000	season_title_name2	season_level_des2	19017
3133	2621	一期战区二第3关	[202509110400]	[202509180400]	{2128}	{1128}	9	1804166	1801000	season_title_name2	season_level_des3	19018
3134	2631	一期战区二第4关	[202509110400]	[202509180400]	{2128}	{1128}	9	1804166	1801000	season_title_name2	season_level_des4	19019
3135	2641	一期战区二第5关	[202509110400]	[202509180400]	{2128}	{1001,1128,1228}	9	1804166	1801000	season_title_name2	season_level_des5	19020
												
3201	2603	一期战区一第1关	[202509250400]	[202510090400]	{2129}	{1129}	18	1804196	1801000	season_title_name1	season_level_des1	19001
3202	2613	一期战区一第2关	[202509250400]	[202510090400]	{2129}	{1129}	18	1804196	1801000	season_title_name1	season_level_des2	19002
3203	2623	一期战区一第3关	[202509250400]	[202510090400]	{2129}	{1129}	18	1804196	1801000	season_title_name1	season_level_des3	19003
3204	2633	一期战区一第4关	[202509250400]	[202510090400]	{2129}	{1129}	18	1804196	1801000	season_title_name1	season_level_des4	19004
3205	2643	一期战区一第5关	[202509250400]	[202510090400]	{2129}	{1001,1129,1229}	18	1804196	1801000	season_title_name1	season_level_des5	19005
3211	2608	一期战区二第1关	[202510020400]	[202510090400]	{2130}	{1130}	19	1804153	1801000	season_title_name2	season_level_des1	19006
3212	2618	一期战区二第2关	[202510020400]	[202510090400]	{2130}	{1130}	19	1804153	1801000	season_title_name2	season_level_des2	19007
3213	2628	一期战区二第3关	[202510020400]	[202510090400]	{2130}	{1130}	19	1804153	1801000	season_title_name2	season_level_des3	19008
3214	2638	一期战区二第4关	[202510020400]	[202510090400]	{2130}	{1130}	19	1804153	1801000	season_title_name2	season_level_des4	19009
3215	2648	一期战区二第5关	[202510020400]	[202510090400]	{2130}	{1001,1130,1230}	19	1804153	1801000	season_title_name2	season_level_des5	19010
3221	2504	二期战区一第1关	[202510090400]	[202510230400]	{2131}	{1131}	21	1804100	1801000	season_title_name1	season_level_des1	19011
3222	2514	二期战区一第2关	[202510090400]	[202510230400]	{2131}	{1131}	21	1804100	1801000	season_title_name1	season_level_des2	19012
3223	2524	二期战区一第3关	[202510090400]	[202510230400]	{2131}	{1131}	21	1804100	1801000	season_title_name1	season_level_des3	19013
3224	2534	二期战区一第4关	[202510090400]	[202510230400]	{2131}	{1131}	21	1804100	1801000	season_title_name1	season_level_des4	19014
3225	2544	二期战区一第5关	[202510090400]	[202510230400]	{2131}	{1001,1131,1231}	21	1804100	1801000	season_title_name1	season_level_des5	19015
3231	2609	一期战区二第1关	[202510160400]	[202510230400]	{2132}	{1132}	20	1804154	1801000	season_title_name2	season_level_des1	19006
3232	2619	一期战区二第2关	[202510160400]	[202510230400]	{2132}	{1132}	20	1804154	1801000	season_title_name2	season_level_des2	19007
3233	2629	一期战区二第3关	[202510160400]	[202510230400]	{2132}	{1132}	20	1804154	1801000	season_title_name2	season_level_des3	19008
3234	2639	一期战区二第4关	[202510160400]	[202510230400]	{2132}	{1132}	20	1804154	1801000	season_title_name2	season_level_des4	19009
3235	2649	一期战区二第5关	[202510160400]	[202510230400]	{2132}	{1001,1132,1232}	20	1804154	1801000	season_title_name2	season_level_des5	19010
												
3301	2702	一期战区一第1关	[202511060400]	[202511200400]	{2133}	{1133}	22	1804225	1801000	season_title_name1	season_level_des1	19001
3302	2712	一期战区一第2关	[202511060400]	[202511200400]	{2133}	{1133}	22	1804225	1801000	season_title_name1	season_level_des2	19002
3303	2722	一期战区一第3关	[202511060400]	[202511200400]	{2133}	{1133}	22	1804225	1801000	season_title_name1	season_level_des3	19003
3304	2732	一期战区一第4关	[202511060400]	[202511200400]	{2133}	{1133}	22	1804225	1801000	season_title_name1	season_level_des4	19004
3305	2742	一期战区一第5关	[202511060400]	[202511200400]	{2133}	{1001,1133,1233}	22	1804225	1801000	season_title_name1	season_level_des5	19005
3311	2501	一期战区二第1关	[202511130400]	[202511200400]	{2134}	{1134}	13	1804045	1801000	season_title_name2	season_level_des1	19006
3312	2511	一期战区二第2关	[202511130400]	[202511200400]	{2134}	{1134}	13	1804045	1801000	season_title_name2	season_level_des2	19007
3313	2521	一期战区二第3关	[202511130400]	[202511200400]	{2134}	{1134}	13	1804045	1801000	season_title_name2	season_level_des3	19008
3314	2531	一期战区二第4关	[202511130400]	[202511200400]	{2134}	{1134}	13	1804045	1801000	season_title_name2	season_level_des4	19009
3315	2541	一期战区二第5关	[202511130400]	[202511200400]	{2134}	{1001,1134,1234}	13	1804045	1801000	season_title_name2	season_level_des5	19010
3321	2701	二期战区一第1关	[202511200400]	[202512040400]	{2135}	{1135}	18	1804144	1801000	season_title_name1	season_level_des1	19011
3322	2711	二期战区一第2关	[202511200400]	[202512040400]	{2135}	{1135}	18	1804144	1801000	season_title_name1	season_level_des2	19012
3323	2721	二期战区一第3关	[202511200400]	[202512040400]	{2135}	{1135}	18	1804144	1801000	season_title_name1	season_level_des3	19013
3324	2731	二期战区一第4关	[202511200400]	[202512040400]	{2135}	{1135}	18	1804144	1801000	season_title_name1	season_level_des4	19014
3325	2741	二期战区一第5关	[202511200400]	[202512040400]	{2135}	{1001,1135,1235}	18	1804144	1801000	season_title_name1	season_level_des5	19015
3331	2506	一期战区二第1关	[202511270400]	[202512040400]	{2136}	{1136}	23	1804066	1801000	season_title_name2	season_level_des1	19006
3332	2516	一期战区二第2关	[202511270400]	[202512040400]	{2136}	{1136}	23	1804066	1801000	season_title_name2	season_level_des2	19007
3333	2526	一期战区二第3关	[202511270400]	[202512040400]	{2136}	{1136}	23	1804066	1801000	season_title_name2	season_level_des3	19008
3334	2536	一期战区二第4关	[202511270400]	[202512040400]	{2136}	{1136}	23	1804066	1801000	season_title_name2	season_level_des4	19009
3335	2546	一期战区二第5关	[202511270400]	[202512040400]	{2136}	{1001,1136,1236}	23	1804066	1801000	season_title_name2	season_level_des5	19010
												
3401	2601	一期战区一第1关	[202601290400]	[202602120400]	{2137}	{1137}	24	1804166	1801000	season_title_name1	season_level_des1	19001
3402	2611	一期战区一第2关	[202601290400]	[202602120400]	{2137}	{1137}	24	1804166	1801000	season_title_name1	season_level_des2	19002
3403	2621	一期战区一第3关	[202601290400]	[202602120400]	{2137}	{1137}	24	1804166	1801000	season_title_name1	season_level_des3	19003
3404	2631	一期战区一第4关	[202601290400]	[202602120400]	{2137}	{1137}	24	1804166	1801000	season_title_name1	season_level_des4	19004
3405	2641	一期战区一第5关	[202601290400]	[202602120400]	{2137}	{1001,1137,1237}	24	1804166	1801000	season_title_name1	season_level_des5	19005
3411	2702	一期战区二第1关	[202602050400]	[202602120400]	{2138}	{1138}	25	1804225	1801000	season_title_name2	season_level_des1	19016
3412	2712	一期战区二第2关	[202602050400]	[202602120400]	{2138}	{1138}	25	1804225	1801000	season_title_name2	season_level_des2	19017
3413	2722	一期战区二第3关	[202602050400]	[202602120400]	{2138}	{1138}	25	1804225	1801000	season_title_name2	season_level_des3	19018
3414	2732	一期战区二第4关	[202602050400]	[202602120400]	{2138}	{1138}	25	1804225	1801000	season_title_name2	season_level_des4	19019
3415	2742	一期战区二第5关	[202602050400]	[202602120400]	{2138}	{1001,1138,1238}	25	1804225	1801000	season_title_name2	season_level_des5	19020
3421	2603	二期战区一第1关	[202602120400]	[202602260400]	{2139}	{1139}	12	1804196	1801000	season_title_name1	season_level_des1	19011
3422	2613	二期战区一第2关	[202602120400]	[202602260400]	{2139}	{1139}	12	1804196	1801000	season_title_name1	season_level_des2	19012
3423	2623	二期战区一第3关	[202602120400]	[202602260400]	{2139}	{1139}	12	1804196	1801000	season_title_name1	season_level_des3	19013
3424	2633	二期战区一第4关	[202602120400]	[202602260400]	{2139}	{1139}	12	1804196	1801000	season_title_name1	season_level_des4	19014
3425	2643	二期战区一第5关	[202602120400]	[202602260400]	{2139}	{1001,1139,1239}	12	1804196	1801000	season_title_name1	season_level_des5	19015
3431	2504	一期战区二第1关	[202602190400]	[202602260400]	{2140}	{1140}	4	1804100	1801000	season_title_name2	season_level_des1	19016
3432	2514	一期战区二第2关	[202602190400]	[202602260400]	{2140}	{1140}	4	1804100	1801000	season_title_name2	season_level_des2	19017
3433	2524	一期战区二第3关	[202602190400]	[202602260400]	{2140}	{1140}	4	1804100	1801000	season_title_name2	season_level_des3	19018
3434	2534	一期战区二第4关	[202602190400]	[202602260400]	{2140}	{1140}	4	1804100	1801000	season_title_name2	season_level_des4	19019
3435	2544	一期战区二第5关	[202602190400]	[202602260400]	{2140}	{1001,1140,1240}	4	1804100	1801000	season_title_name2	season_level_des5	19020
												
3501	2508	一期战区一第1关	[202605080400]	[202605220400]	{2141}	{1141}	26	1804030	1801000	season_title_name1	season_level_des1	19001
3502	2518	一期战区一第2关	[202605080400]	[202605220400]	{2141}	{1141}	26	1804030	1801000	season_title_name1	season_level_des2	19002
3503	2528	一期战区一第3关	[202605080400]	[202605220400]	{2141}	{1141}	26	1804030	1801000	season_title_name1	season_level_des3	19003
3504	2538	一期战区一第4关	[202605080400]	[202605220400]	{2141}	{1141}	26	1804030	1801000	season_title_name1	season_level_des4	19004
