ID	备注	开启时间	结束时间	关卡类型（0教学1普通2困难3挑战）	玩法类型（0或不填为普通玩法，1为传送带玩法）	记录类型（1防线血量2最高波次）	胜利条件参数	关卡目标描述(参数读胜利条件参数)	关卡目标记录参数	关卡目标记录（参数读通关最高记录）	解锁植物	奖励列表	环境增益类型	环境增益数值	地图ID	解锁条件(1表示需要通关某个关卡，后面填关卡ID)	上一关ID	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	最大种植数量	环境buff	禁用植物	关卡buff组	关卡名称	试用角色	掉落参数	锁定植物/道具	推荐植物/道具	礼盒配置	失败引导怪物（填怪物id）
8721		[202507171000]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{4,1,28,1,2},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_02		8721	{{1,8720}}	8720	{4811310,4811212,4811602,4811213,4811506,5811109,5811309}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_10	{103181,103208,103209}	{[-1]=4.8,[3]=1.7,[2]=3.3}				
8722		[202507240400]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{4,1,28,1,3},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_11		8722	{{1,8721}}	8721	{4811217,4811310,4811213,4811506,5811109,4811212,4811216}	25	30		{15}	{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_11	{103181,103208,103209}	{[-1]=2.6,[3]=1.2,[2]=2.6}				
8723		[202507240400]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{4,1,28,1,2},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_12	{30}	8723	{{1,8722}}	8722	{4811310,4811212,4811602,4811213,4811216,5811207}	25	30	{51}		{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_12	{103181,103208,103209}	{[-1]=2.8,[3]=1.3,[2]=3.3}				
8724		[202507240400]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_13	{50}	8724	{{1,8723}}	8723	{4811213,4811212,5811109,4811506}	25	30	{50}		{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_13	{103181,103208,103209}	{[-1]=2.6,[3]=1.4,[2]=2.6}				
8725		[202507240400]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_14	{18}	8725	{{1,8724}}	8724	{4811213,4811212,4811602,4811506,4811310,5811309}	25	18			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_14	{103181,103208,103209}	{[-1]=2.3,[3]=1,[2]=2.2}				
8726		[202507240400]	[202508210400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_03		8726	{{1,8725}}	8725	{4811310,4811213,4811212,5811511,4811216,4811508}	25	30			{{1,1000},{2,1000},{3,1000},{4,1000},{5,1000},{6,1000},{7,1000},{8,1000},{9,1000},{10,1000},{11,1000},{12,1000},{13,1000},{14,1000},{15,1000},{16,1000},{17,1000},{18,1000},{19,1000},{20,1000},{21,1000},{22,1000},{23,1000},{24,1000},{25,1000},{28,1000},{29,1000},{30,1000},{31,1000},{32,1000},{33,1000},{34,1000},{35,1000},{36,1000},{37,1000},{38,1000},{39,1000},{40,1000},{41,1000},{42,1000},{43,1000},{44,1000},{45,1000},{46,1000},{47,1000},{48,1000},{49,1000}}	farmwar.farmwar_levelname_15	{103181,103208,103209}	{[-1]=2.8,[3]=1.5,[2]=3.9}				
8892		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{28}	{{4,1,28,1,7},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8892		8726	{4811217,4811310}	25	30			{}	farmwar.farmwar_levelname2_01	{103181,103208,103209}	{[-1]=12.1,[3]=2.42,[2]=3.23}	{19,21,33}			
8893		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{37}	{{4,1,28,1,7},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8893	{{1,8892}}	8892	{4811217,4811508,4811310,4811602}	25	30			{}	farmwar.farmwar_levelname2_02	{103181,103208,103209}	{[-1]=7.41,[3]=1.26,[2]=2.53}	{19,21,28,33}			
8894		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{22,24,26}	{{4,1,28,1,7},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8894	{{1,8893}}	8893	{4811217,4811414,4811213,4811508,4811310}	25	30			{}	farmwar.farmwar_levelname2_03	{103181,103208,103209}	{[-1]=4.12,[3]=1.64,[2]=4.37}	{37}			
8895		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{40,20}	{{4,1,28,1,7},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8895	{{1,8894}}	8894	{4811217,4811310,4811213,4811212,4811412}	25	30			{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{84,1000},{85,1000},{86,1000},{91,1000},{92,1000},{93,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{116,1000},{117,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{135,1000},{136,1000},{138,1000},{139,1000},{141,1000},{142,1000},{150,1000},{151,1000},{152,1000}}	farmwar.farmwar_levelname2_04	{103181,103208,103209}	{[-1]=3.81,[3]=1.33,[2]=3.11}	{21}			
8896		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{30,38,39}	{{4,1,28,1,7},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8896	{{1,8895}}	8895	{4811217,4811213,4811412,4811508,5811117,4811306}	25	30			{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{84,1000},{85,1000},{86,1000},{91,1000},{92,1000},{93,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{116,1000},{117,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{135,1000},{136,1000},{138,1000},{139,1000},{141,1000},{142,1000},{150,1000},{151,1000},{152,1000},{157,1000},{158,1000},{159,1000}}	farmwar.farmwar_levelname2_05	{103181,103208,103209}	{[-1]=7.89,[3]=2.5,[2]=9.49}	{40}			
8897		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{43,41,42}	{{4,1,28,1,7},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_01		8897	{{1,8896}}	8896	{4811217,481130105,4811213,4811508,4811306,4811016}	25	30			{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{72,1000},{73,1000},{74,1000},{84,1000},{85,1000},{86,1000},{91,1000},{92,1000},{93,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{116,1000},{117,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{135,1000},{136,1000},{138,1000},{139,1000},{141,1000},{142,1000},{150,1000},{151,1000},{152,1000},{153,1000},{154,1000},{155,1000},{156,1000},{157,1000},{158,1000},{159,1000}}	farmwar.farmwar_levelname2_06	{103181,103208,103209}	{[-1]=3.17,[3]=1.09,[2]=4.34}	{30}			
8898		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{34,35,36,29}	{{4,1,28,1,7},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_15	{50}	8898	{{1,8897}}	8897	{4811213,481130105,4811508,481160601,5811117}	25	30	{181}		{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{72,1000},{73,1000},{74,1000},{84,1000},{85,1000},{86,1000},{91,1000},{92,1000},{93,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{115,1000},{116,1000},{117,1000},{119,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{135,1000},{136,1000},{138,1000},{139,1000},{141,1000},{142,1000},{150,1000},{151,1000},{152,1000},{153,1000},{154,1000},{155,1000},{156,1000},{157,1000},{158,1000},{159,1000},{160,1000},{161,1000},{162,1000},{163,1000},{164,1000},{165,1000},{166,1000},{167,1000}}	farmwar.farmwar_levelname2_07	{103181,103208,103209}	{[-1]=3.27,[3]=1.49,[2]=4.89}	{43}			
8899		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{44,45,46,47}	{{4,1,28,1,7},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_17		8899	{{1,8898}}	8898	{4811217,4811213,4811310,4811602,481130105,4811412,4811414,4811216,5811001}	25	30	{181}	{19,20}	{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{72,1000},{73,1000},{74,1000},{84,1000},{85,1000},{86,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{115,1000},{116,1000},{117,1000},{119,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{136,1000},{138,1000},{139,1000},{141,1000},{142,1000},{143,1000},{144,1000},{145,1000},{146,1000},{147,1000},{150,1000},{151,1000},{152,1000},{153,1000},{154,1000},{155,1000},{156,1000},{157,1000},{158,1000},{159,1000},{160,1000},{161,1000},{162,1000},{163,1000},{164,1000},{165,1000},{166,1000},{167,1000}}	farmwar.farmwar_levelname2_08	{103181,103208,103209}	{[-1]=1.59,[3]=0.86,[2]=1.75}				
8900		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{48,23,25,27}	{{4,1,28,1,7},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_15	{50}	8900	{{1,8899}}	8899	{4811217,4811213,4811212,4811602,5811214}	25	30	{181}		{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{72,1000},{73,1000},{74,1000},{84,1000},{85,1000},{86,1000},{91,1000},{92,1000},{93,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{115,1000},{116,1000},{117,1000},{119,1000},{123,1000},{126,1000},{127,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{135,1000},{136,1000},{138,1000},{139,1000},{141,1000},{142,1000},{143,1000},{144,1000},{145,1000},{146,1000},{147,1000},{150,1000},{151,1000},{152,1000},{153,1000},{154,1000},{155,1000},{156,1000},{157,1000},{158,1000},{159,1000},{160,1000},{161,1000},{162,1000},{163,1000},{164,1000},{165,1000},{166,1000},{167,1000}}	farmwar.farmwar_levelname2_09	{103181,103208,103209}	{[-1]=4.74,[3]=1.53,[2]=3.35}	{44}	{28,44}		
8901		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{31,32}	{{4,1,28,1,7},{5,1,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_15	{50}	8901	{{1,8900}}	8900	{4811213,4811602,481130105,4811412,4811310,4811216,4811217}	25	30	{181}		{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{72,1000},{73,1000},{74,1000},{84,1000},{85,1000},{86,1000},{91,1000},{92,1000},{93,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{108,1000},{115,1000},{116,1000},{117,1000},{119,1000},{123,1000},{126,1000},{127,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{135,1000},{136,1000},{137,1000},{138,1000},{139,1000},{140,1000},{141,1000},{142,1000},{143,1000},{144,1000},{145,1000},{146,1000},{147,1000},{150,1000},{151,1000},{152,1000},{153,1000},{154,1000},{155,1000},{156,1000},{157,1000},{158,1000},{159,1000},{160,1000},{161,1000},{162,1000},{163,1000},{164,1000},{165,1000},{166,1000},{167,1000},{168,1000},{169,1000},{170,1000}}	farmwar.farmwar_levelname2_10	{103181,103208,103209}	{[-1]=4.73,[3]=2.99,[2]=5.56}	{48}	{40,44}		
8902		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01	{49,50}	{{4,1,28,1,7},{5,2,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_15	{50}	8902	{{1,8901}}	8901	{4811217,4811310,4811602,481130105,5811001,4811508,4811306}	25	30	{181}		{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{72,1000},{73,1000},{74,1000},{84,1000},{85,1000},{86,1000},{91,1000},{92,1000},{93,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{108,1000},{115,1000},{116,1000},{117,1000},{119,1000},{123,1000},{126,1000},{127,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{135,1000},{136,1000},{137,1000},{138,1000},{139,1000},{140,1000},{141,1000},{142,1000},{143,1000},{144,1000},{145,1000},{146,1000},{147,1000},{148,1000},{149,1000},{150,1000},{151,1000},{152,1000},{153,1000},{154,1000},{155,1000},{156,1000},{157,1000},{158,1000},{159,1000},{160,1000},{161,1000},{162,1000},{163,1000},{164,1000},{165,1000},{166,1000},{167,1000},{168,1000},{169,1000},{170,1000}}	farmwar.farmwar_levelname2_11	{103181,103208,103209}	{[-1]=1.63,[3]=0.63,[2]=1.56}		{28,43}		
8903		[202601080400]	[202601290400]	1		{1}	{10}	farmwar.farmwar_PassDes_01		farmwar.farmwar_passrecord_01		{{4,1,28,1,7},{5,3,1,3,2},{4,3,1,1,5000}}	farmwar.farmwar_environment_16		8903	{{1,8902}}	8902	{4811213,4811212,4811216,4811412,4811414,4811310,481130105,6811302}	25	30		{19,20}	{{66,1000},{67,1000},{68,1000},{69,1000},{70,1000},{71,1000},{72,1000},{73,1000},{74,1000},{84,1000},{85,1000},{86,1000},{94,1000},{95,1000},{96,1000},{97,1000},{98,1000},{108,1000},{115,1000},{116,1000},{117,1000},{119,1000},{123,1000},{126,1000},{127,1000},{129,1000},{130,1000},{131,1000},{132,1000},{133,1000},{134,1000},{136,1000},{137,1000},{138,1000},{139,1000},{140,1000},{141,1000},{142,1000},{143,1000},{144,1000},{145,1000},{146,1000},{147,1000},{148,1000},{149,1000},{150,1000},{151,1000},{152,1000},{153,1000},{154,1000},{155,1000},{156,1000},{157,1000},{158,1000},{159,1000},{160,1000},{161,1000},{162,1000},{163,1000},{164,1000},{165,1000},{166,1000},{167,1000},{168,1000},{169,1000},{170,1000},{171,1000},{172,1000},{173,1000},{174,1000}}	farmwar.farmwar_levelname2_12	{103181,103208,103209}	{[-1]=0.7,[3]=0.39,[2]=0.94}		{40,43}		
