任务组分页ID	任务ID（注意：任务ID不能超过65500）	任务排序分组	刷新规则(不配置为不刷新 1为每日刷新 2为每周刷新 3特殊刷新时间,单位天 4每周定期刷新)	//备注	分页名	任务名	任务介绍	任务或成就图标	标签{"颜色ID","表.key"})	排序	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	奖励列表	开始时间,格式	结束时间，格式同开始时间	每周定期刷新	跳转界面	跳转参数	条件跳转	背景图	背景SPINE	地区限制目前可填：0国内外,1国内,2海外
2	74			【成就】累积探索4个任意洞		vircapture.task_name_13	vircapture.task_desc_13_6					1	219	4	{8}	{{4,3,2,1,10}}									
2	75			【成就】累积探索8个任意洞		vircapture.task_name_13	vircapture.task_desc_13_6					1	219	8	{8}	{{4,3,2,1,20}}									
2	76			【成就】累积探索16个任意洞		vircapture.task_name_13	vircapture.task_desc_13_6					1	219	16	{8}	{{4,3,2,1,30}}									
2	77	13		【成就】开拓等级达到45级		vircapture.task_name_5	vircapture.task_desc_5					1	204	45		{{4,3,2,1,10}}									
2	78	54		【成就】累积开启90个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	90	{6}	{{4,3,2,1,20}}									
2	79	54		【成就】累积开启110个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	110	{6}	{{4,3,2,1,20}}									
2	80	54		【成就】累积开启130个搓饭煲		vircapture.task_name_13	vircapture.task_desc_13_1					1	219	130	{6}	{{4,3,2,1,20}}									
2	81	59		【成就】累积收集120个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	120	{4}	{{4,3,2,1,20}}									
2	82	59		【成就】累积收集140个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	140	{4}	{{4,3,2,1,20}}									
2	83	59		【成就】累积收集160个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	160	{4}	{{4,3,2,1,20}}									
2	84	59		【成就】累积收集180个金块块		vircapture.task_name_13	vircapture.task_desc_13_2					1	219	180	{4}	{{4,3,2,1,20}}									
2	85	64		【成就】累积打破200个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	200	{5}	{{4,3,2,1,20}}									
2	86	64		【成就】累积打破240个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	240	{5}	{{4,3,2,1,20}}									
2	87	64		【成就】累积打破280个惊喜盒		vircapture.task_name_13	vircapture.task_desc_13_3					1	219	280	{5}	{{4,3,2,1,20}}									
2	88	68		【成就】累积激活25个整备点		vircapture.task_name_13	vircapture.task_desc_13_4					1	219	25	{9}	{{4,3,2,1,10}}									
2	89	68		【成就】累积激活30个整备点		vircapture.task_name_13	vircapture.task_desc_13_4					1	219	30	{9}	{{4,3,2,1,10}}									
2	90	68		【成就】累积激活35个整备点		vircapture.task_name_13	vircapture.task_desc_13_4					1	219	35	{9}	{{4,3,2,1,10}}									
2	91	72		【成就】累积完成30个小目标		vircapture.task_name_13	vircapture.task_desc_13_5					1	219	30	{2}	{{4,3,2,1,30}}									
2	92	72		【成就】累积完成40个小目标		vircapture.task_name_13	vircapture.task_desc_13_5					1	219	40	{2}	{{4,3,2,1,30}}									
2	93	72		【成就】累积完成55个小目标		vircapture.task_name_13	vircapture.task_desc_13_5					1	219	55	{2}	{{4,3,2,1,30}}									
2	94	76		【成就】累积探索25个任意洞		vircapture.task_name_13	vircapture.task_desc_13_6					1	219	25	{8}	{{4,3,2,1,30}}									
2	95	76		【成就】累积探索35个任意洞		vircapture.task_name_13	vircapture.task_desc_13_6					1	219	35	{8}	{{4,3,2,1,30}}									
2	96	76		【成就】累积探索45个任意洞		vircapture.task_name_13	vircapture.task_desc_13_6					1	219	45	{8}	{{4,3,2,1,30}}									
2	97			【成就】累积点燃15个流光炫彩		vircapture.task_name_13	vircapture.task_desc_13_7					1	219	15	{13}	{{4,3,2,1,10}}									
2	98			【成就】累积点燃30个流光炫彩		vircapture.task_name_13	vircapture.task_desc_13_7					1	219	30	{13}	{{4,3,2,1,10}}									
2	99			【成就】累积点燃45个流光炫彩		vircapture.task_name_13	vircapture.task_desc_13_7					1	219	45	{13}	{{4,3,2,1,10}}									
2	100			【成就】累积点燃60个流光炫彩		vircapture.task_name_13	vircapture.task_desc_13_7					1	219	60	{13}	{{4,3,2,1,10}}									
2	101			【成就】累积点燃81个流光炫彩		vircapture.task_name_13	vircapture.task_desc_13_7					1	219	81	{13}	{{4,3,2,1,10}}									
2	102			【成就】累积捕捉25只夜光虫		vircapture.task_name_13	vircapture.task_desc_13_8					1	219	25	{12}	{{4,3,2,1,10}}									
2	103			【成就】累积捕捉50只夜光虫		vircapture.task_name_13	vircapture.task_desc_13_8					1	219	50	{12}	{{4,3,2,1,10}}									
2	104			【成就】累积捕捉75只夜光虫		vircapture.task_name_13	vircapture.task_desc_13_8					1	219	75	{12}	{{4,3,2,1,10}}									
2	105			【成就】累积捕捉100只夜光虫		vircapture.task_name_13	vircapture.task_desc_13_8					1	219	100	{12}	{{4,3,2,1,10}}									
2	106			【成就】累积捕捉135只夜光虫		vircapture.task_name_13	vircapture.task_desc_13_8					1	219	135	{12}	{{4,3,2,1,10}}									
2	107			【成就】累积放飞40盏浮影灯		vircapture.task_name_13	vircapture.task_desc_13_9					1	219	40	{11}	{{4,3,2,1,10}}									
2	108			【成就】累积放飞80盏浮影灯		vircapture.task_name_13	vircapture.task_desc_13_9					1	219	80	{11}	{{4,3,2,1,10}}									
2	109			【成就】累积放飞120盏浮影灯		vircapture.task_name_13	vircapture.task_desc_13_9					1	219	120	{11}	{{4,3,2,1,10}}									
2	110			【成就】累积放飞160盏浮影灯		vircapture.task_name_13	vircapture.task_desc_13_9					1	219	160	{11}	{{4,3,2,1,10}}									
2	111			【成就】累积放飞210盏浮影灯		vircapture.task_name_13	vircapture.task_desc_13_9					1	219	210	{11}	{{4,3,2,1,10}}									
2	112			【成就】累积完成3个解密点		vircapture.task_name_13	vircapture.task_desc_13_10					1	219	3	{14}	{{4,3,2,1,20}}									
2	113			【成就】累积完成6个解密点		vircapture.task_name_13	vircapture.task_desc_13_10					1	219	6	{14}	{{4,3,2,1,20}}									
2	114			【成就】累积完成12个解密点		vircapture.task_name_13	vircapture.task_desc_13_10					1	219	12	{14}	{{4,3,2,1,20}}									
2	115			【成就】累积完成18个解密点		vircapture.task_name_13	vircapture.task_desc_13_10					1	219	18	{14}	{{4,3,2,1,20}}									
																									
3	201			【赛季】钓鱼大赛期间，累积采集20株草药		vircapture.task_name_14	vircapture.task_desc_14_1					1	219	20	{10}	{{4,3,2,1,10},{4,3,1,1,3000}}									
3	202			【赛季】钓鱼大赛期间，累积采集50株草药		vircapture.task_name_14	vircapture.task_desc_14_1					1	219	50	{10}	{{4,3,2,1,10},{4,3,1,1,3000}}									
3	203			【赛季】钓鱼大赛期间，累积采集100株草药		vircapture.task_name_14	vircapture.task_desc_14_1					1	219	100	{10}	{{4,3,2,1,20},{4,3,1,1,3000}}									
3	204			【赛季】钓鱼大赛期间，累积制作10个鱼饵		vircapture.task_name_14	vircapture.task_desc_14_2					1	261	10		{{4,3,2,1,10},{4,3,1,1,3000}}									
3	205			【赛季】钓鱼大赛期间，累积制作30个鱼饵		vircapture.task_name_14	vircapture.task_desc_14_2					1	261	30		{{4,3,2,1,10},{4,3,1,1,3000}}									
3	206			【赛季】钓鱼大赛期间，累积制作50个鱼饵		vircapture.task_name_14	vircapture.task_desc_14_2					1	261	50		{{4,3,2,1,20},{4,3,1,1,3000}}									
3	207			【赛季】钓鱼大赛期间，累积在白天进行钓鱼15次		vircapture.task_name_15	vircapture.task_desc_15_1					1	212	15	{-1,1}	{{4,3,2,1,10},{4,3,1,1,3000}}									
3	208			【赛季】钓鱼大赛期间，累积在白天进行钓鱼30次		vircapture.task_name_15	vircapture.task_desc_15_1					1	212	30	{-1,1}	{{4,3,2,1,20},{4,3,1,1,3000}}									
3	209			【赛季】钓鱼大赛期间，累积在夜晚进行钓鱼15次		vircapture.task_name_15	vircapture.task_desc_15_2					1	212	15	{-1,2}	{{4,3,2,1,10},{4,3,1,1,3000}}									
3	210			【赛季】钓鱼大赛期间，累积在夜晚进行钓鱼30次		vircapture.task_name_15	vircapture.task_desc_15_2					1	212	30	{-1,2}	{{4,3,2,1,20},{4,3,1,1,3000}}									
3	211			【赛季】钓鱼大赛总评分达到10000		vircapture.task_name_16	vircapture.task_desc_16_1					1	262	10000		{{4,3,2,1,10},{4,3,1,1,3000}}									
3	212			【赛季】钓鱼大赛总评分达到20000		vircapture.task_name_16	vircapture.task_desc_16_1					1	262	20000		{{4,3,2,1,20},{4,3,1,1,3000}}									
3	213			【赛季】钓鱼大赛总评分达到32000		vircapture.task_name_16	vircapture.task_desc_16_1					1	262	32000		{{11,1,32,1,1},{4,3,1,1,3000}}									
3	214			【赛季】啸天锤头鲨评分达到6000		vircapture.task_name_16	vircapture.task_desc_16_2					1	263	6000	{31}	{{4,3,2,1,10},{4,3,1,1,3000}}									
3	215			【赛季】啸天锤头鲨评分达到12000		vircapture.task_name_16	vircapture.task_desc_16_2					1	263	12000	{31}	{{4,3,2,1,20},{4,3,1,1,3000}}									
3	216			【赛季】炽花火水母评分达到6000		vircapture.task_name_16	vircapture.task_desc_16_3					1	263	6000	{32}	{{4,3,2,1,10},{4,3,1,1,3000}}									
3	217			【赛季】炽花火水母评分达到12000		vircapture.task_name_16	vircapture.task_desc_16_3					1	263	12000	{32}	{{4,3,2,1,20},{4,3,1,1,3000}}									
																									
4	301			蓝图岛等级提升至2级		vircapture.task_name_17	vircapture.task_desc_17_1					1	309	2	{326}	{{4,3,2,1,10},{5,9,1,3,1}}									
4	302			蓝图岛等级提升至3级		vircapture.task_name_17	vircapture.task_desc_17_1					1	309	3	{326}	{{4,3,2,1,20},{5,9,1,3,1}}									
4	303			蓝图岛等级提升至4级		vircapture.task_name_17	vircapture.task_desc_17_1					1	309	4	{326}	{{4,3,2,1,30},{5,5,1,4,1}}									
4	304			蓝图岛等级提升至5级		vircapture.task_name_17	vircapture.task_desc_17_1					1	309	5	{326}	{{4,3,2,1,40},{9,2,91,1,1}}									
4	305			累计获得蓝图币达到10000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	10000	{55}	{{4,3,2,1,10},{4,3,1,1,1500}}									
4	306			累计获得蓝图币达到50000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	50000	{55}	{{4,3,2,1,10},{4,3,1,1,3000}}									
4	307			累计获得蓝图币达到100000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	100000	{55}	{{4,3,2,1,20},{4,3,1,1,4500}}									
4	308			累计获得蓝图币达到500000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	500000	{55}	{{4,3,2,1,20},{4,3,1,1,6000}}									
4	309			累计获得蓝图币达到1000000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	1000000	{55}	{{4,3,2,1,30},{4,3,1,1,7500}}									
4	310			累计获得蓝图币达到5000000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	5000000	{55}	{{4,3,2,1,30},{4,3,1,1,9000}}									
4	311			累计获得蓝图币达到10000000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	10000000	{55}	{{4,3,2,1,40},{4,3,1,1,10500}}									
4	312			累计获得蓝图币达到50000000		vircapture.task_name_18	vircapture.task_desc_18_1					1	12	50000000	{55}	{{4,3,2,1,40},{4,3,1,1,12000}}									
4	313			蓝图岛总员工数量达到10		vircapture.task_name_19	vircapture.task_desc_19_1					1	310	10		{{4,3,2,1,10},{4,1,6,8,5000}}									
4	314			蓝图岛总员工数量达到30		vircapture.task_name_19	vircapture.task_desc_19_1					1	310	30		{{4,3,2,1,30},{4,1,6,8,10000}}									
4	315			蓝图岛总员工数量达到50		vircapture.task_name_19	vircapture.task_desc_19_1					1	310	50		{{4,3,2,1,50},{4,1,6,8,15000}}									
4	316			蓝图岛蓝色员工数量达到6		vircapture.task_name_19	vircapture.task_desc_19_2					1	310	6	{3,1}	{{4,3,2,1,10},{4,3,1,1,5000}}									
4	317			蓝图岛蓝色员工数量达到15		vircapture.task_name_19	vircapture.task_desc_19_2					1	310	15	{3,1}	{{4,3,2,1,10},{4,3,1,1,10000}}									
4	318			蓝图岛蓝色员工数量达到21		vircapture.task_name_19	vircapture.task_desc_19_2					1	310	21	{3,1}	{{4,3,2,1,20},{4,3,1,1,20000}}									
4	319			蓝图岛紫色员工数量达到5		vircapture.task_name_19	vircapture.task_desc_19_3					1	310	5	{4,1}	{{4,3,2,1,10},{4,3,1,1,5000}}									
4	320			蓝图岛紫色员工数量达到10		vircapture.task_name_19	vircapture.task_desc_19_3					1	310	10	{4,1}	{{4,3,2,1,10},{4,3,1,1,10000}}									
4	321			蓝图岛紫色员工数量达到15		vircapture.task_name_19	vircapture.task_desc_19_3					1	310	15	{4,1}	{{4,3,2,1,20},{4,3,1,1,20000}}									
4	322			蓝图岛橙色员工数量达到4		vircapture.task_name_19	vircapture.task_desc_19_4					1	310	4	{5,1}	{{4,3,2,1,10},{4,3,1,1,5000}}									
4	323			蓝图岛橙色员工数量达到6		vircapture.task_name_19	vircapture.task_desc_19_4					1	310	6	{5,1}	{{4,3,2,1,10},{4,3,1,1,10000}}									
4	324			蓝图岛橙色员工数量达到10		vircapture.task_name_19	vircapture.task_desc_19_4					1	310	10	{5,1}	{{4,3,2,1,20},{4,3,1,1,20000}}									
4	325			蓝图岛红色员工数量达到1		vircapture.task_name_19	vircapture.task_desc_19_5					1	310	1	{6,1}	{{4,3,2,1,10},{4,3,1,1,1800}}									
4	326			蓝图岛红色员工数量达到2		vircapture.task_name_19	vircapture.task_desc_19_5					1	310	2	{6,1}	{{4,3,2,1,10},{4,3,1,1,5000}}									
4	327			蓝图岛红色员工数量达到3		vircapture.task_name_19	vircapture.task_desc_19_5					1	310	3	{6,1}	{{4,3,2,1,10},{4,3,1,1,10000}}									
4	328			蓝图岛红色员工数量达到4		vircapture.task_name_19	vircapture.task_desc_19_5					1	310	4	{6,1}	{{4,3,2,1,20},{4,3,1,1,20000}}									
4	329			蓝图岛的4级员工数量达到5		vircapture.task_name_19	vircapture.task_desc_19_6					1	310	5	{-1,4}	{{4,3,2,1,10},{4,1,6,5,50}}									
4	330			蓝图岛的4级员工数量达到10		vircapture.task_name_19	vircapture.task_desc_19_6					1	310	10	{-1,4}	{{4,3,2,1,20},{4,1,6,5,50}}									
4	331			蓝图岛的4级员工数量达到15		vircapture.task_name_19	vircapture.task_desc_19_6					1	310	15	{-1,4}	{{4,3,2,1,30},{4,1,6,5,100}}									
4	332			蓝图岛的4级员工数量达到20		vircapture.task_name_19	vircapture.task_desc_19_6					1	310	20	{-1,4}	{{4,3,2,1,40},{4,1,6,5,200}}									
4	333			完成【区域1】中全部建筑的建造		vircapture.task_name_20	vircapture.task_desc_20_1					1	312	2	{326,1,1}	{{4,3,2,1,10},{4,1,6,8,15000}}									
4	334			完成【区域2】中全部建筑的建造		vircapture.task_name_20	vircapture.task_desc_20_2					1	312	3	{326,2,1}	{{4,3,2,1,10},{4,1,6,8,30000}}									
4	335			完成【区域3】中全部建筑的建造		vircapture.task_name_20	vircapture.task_desc_20_3					1	312	3	{326,3,1}	{{4,3,2,1,10},{4,1,6,8,45000}}									
4	336			完成【区域4】中全部建筑的建造		vircapture.task_name_20	vircapture.task_desc_20_4					1	312	2	{326,4,1}	{{4,3,2,1,10},{4,1,6,8,60000}}									
4	337			【区域1】中拥有1栋达到2级的建筑		vircapture.task_name_20	vircapture.task_desc_20_5					1	312	1	{326,1,2}	{{4,3,2,1,10},{4,1,6,8,15000}}									
4	338			【区域1】中拥有2栋达到2级的建筑		vircapture.task_name_20	vircapture.task_desc_20_5					1	312	2	{326,1,2}	{{4,3,2,1,10},{4,1,6,8,15000}}									
4	339			【区域1】中拥有1栋达到4级的建筑		vircapture.task_name_20	vircapture.task_desc_20_6					1	312	1	{326,1,4}	{{4,3,2,1,10},{4,1,6,8,30000}}									
4	340			【区域1】中拥有2栋达到4级的建筑		vircapture.task_name_20	vircapture.task_desc_20_6					1	312	2	{326,1,4}	{{4,3,2,1,10},{4,1,6,8,30000}}									
4	341			【区域1】中拥有2栋达到8级的建筑		vircapture.task_name_20	vircapture.task_desc_20_7					1	312	2	{326,1,8}	{{4,3,2,1,10},{4,1,6,8,30000}}									
4	342			【区域1】中拥有2栋达到12级的建筑		vircapture.task_name_20	vircapture.task_desc_20_8					1	312	2	{326,1,12}	{{4,3,2,1,10},{4,1,6,8,30000}}									
