id	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具 20劝降等级）	地图Id	战斗逻辑配置	星级条件 {{1,300},{1,180},{2,2}}	出场怪物	怪物强度模板	UI展示首通奖励	首通掉落ID	Boss概率图	关卡概念图	是否关闭等级压制（0或不填默认开启、1关闭）	任务资源	关卡Buff(SkillForPlayer)	关卡环境效果（条件类型，条件参数，BuffID）	试玩角色	关卡展示怪物等级
5834	{{2,5833}}	5834	1	{{31,1},{1,60}}	{4001108,4001112,5003110,500110901}	17	{{5,3,1,4,1},{4,3,1,1,1000}}	{7082}		1801000	1	DLC9Task/Pal/Tower/pal_tower_15.pal_tower_15	{5000055}		{100001,100002,100009}	8
5835	{{2,5834}}	5835	1	{{31,1},{1,60}}	{4009013}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_16.pal_tower_16	{5000055}		{100001,100002,100009}	8
5836	{{2,5835}}	5836	1	{{31,1},{1,60}}	{4001108,4002003,4002006,400100802,5001001}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_17.pal_tower_17	{5000055}		{100001,100002,100009}	9
5837	{{2,5836}}	5837	1	{{31,1},{1,60}}	{4002004,4003007,4001005,5002010}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_18.pal_tower_18	{5000055}		{100001,100002,100009}	9
5838	{{2,5837}}	5838	1	{{31,1},{1,60}}	{4003004,4003003,4003007,4007013,4001017,4001002}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_19.pal_tower_19	{5000055}		{100001,100002,100009}	10
5839	{{2,5838}}	5839	1	{{31,1},{1,60}}	{4003003,500101002,5001009,5001019}	17	{{5,3,1,4,1},{4,3,1,1,1000}}	{7082}		1801000	1	DLC9Task/Pal/Tower/pal_tower_20.pal_tower_20	{5000055}		{100001,100002,100009}	10
5840	{{2,5839}}	5840	1	{{31,1},{1,60}}	{4003004,4003007,4001005}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_21.pal_tower_21	{5000055}		{100001,100002,100009}	11
5841	{{2,5840}}	5841	1	{{31,1},{1,60}}	{4001213,4001212,4001215,5001207}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_22.pal_tower_22	{5000055}		{100001,100002,100009}	12
5842	{{2,5841}}	5842	1	{{31,1},{1,60}}	{4001216,4001213,4001215,5001214}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_23.pal_tower_23	{5000055}		{100001,100002,100009}	13
5843	{{2,5842}}	5843	1	{{31,1},{1,75}}	{34003007,400100403,34003006,34001015}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_24.pal_tower_24	{5000055}		{100001,100002,100009}	14
5844	{{2,5843}}	5844	1	{{31,1},{1,60}}	{4001211,5001205,5001209,4001213,4001215}	17	{{5,3,1,4,1},{4,3,1,1,1000}}	{7082}		1801000	1	DLC9Task/Pal/Tower/pal_tower_25.pal_tower_25	{5000055}		{100001,100002,100009}	15
5845	{{2,5844}}	5845	1	{{31,1},{1,60}}	{4003003,4003004,4002002,400160202,5001009,4001002}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_26.pal_tower_26	{5000055}		{100001,100002,100009}	16
5846	{{2,5845}}	5846	1	{{31,1},{1,60}}	{400160601,400160202,4002002,5001019,4001002}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_27.pal_tower_27	{5000055}		{100001,100002,100009}	17
5847	{{2,5846}}	5847	1	{{31,1},{1,60}}	{4002004,4001005,4009013,4001017}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_28.pal_tower_28	{5000055}		{100001,100002,100009}	18
5848	{{2,5847}}	5848	1	{{31,1},{1,60}}	{4002004,500101002,400160202,500201003}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_29.pal_tower_29	{5000055}		{100001,100002,100009}	19
5849	{{2,5848}}	5849	1	{{31,1},{1,60}}	{4001016,6001003}	17	{{5,3,1,4,1},{4,3,1,1,1000}}	{7082}		1801000	1	DLC9Task/Pal/Tower/pal_tower_30.pal_tower_30	{5000055}		{100001,100002,100009}	20
5850	{{2,5849}}	5850	1	{{31,1},{1,60}}	{4001211,4001213,4001212,5001206,4001215}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_31.pal_tower_31	{5000055}		{100001,100002,100009}	21
5851	{{2,5850}}	5851	1	{{31,1},{1,60}}	{4001211,4001212,5001209,4001213}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_32.pal_tower_32	{5000055}		{100001,100002,100009}	22
5852	{{2,5851}}	5852	1	{{31,1},{1,60}}	{4001215,4001213,4001216,5001207}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_33.pal_tower_33	{5000055}		{100001,100002,100009}	23
5853	{{2,5852}}	5853	1	{{31,1},{1,60}}	{4001216,4001211,4001215,4001213,5002208}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_34.pal_tower_34	{5000055}		{100001,100002,100009}	24
5854	{{2,5853}}	5854	1	{{31,1},{1,60}}	{4001212,4001213,5001207,4001211,5001209,5003208}	17	{{5,3,1,4,2},{4,3,1,1,1000}}	{7087}		1801000	1	DLC9Task/Pal/Tower/pal_tower_35.pal_tower_35	{5000055}		{100001,100002,100009}	25
5855	{{2,5854}}	5855	1	{{31,1},{1,60}}	{4001008,400160202,4001017,5001018}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_36.pal_tower_36	{5000055}		{100001,100002,100009}	26
5856	{{2,5855}}	5856	1	{{31,1},{1,60}}	{4001013,4001004,4003006,5001009,4001017}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_37.pal_tower_37	{5000055}		{100001,100002,100009}	27
5857	{{2,5856}}	5857	1	{{31,1},{1,60}}	{400160601,4001004,4003003,4002002,5001001,4001002}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_38.pal_tower_38	{5000055}		{100001,100002,100009}	28
5858	{{2,5857}}	5858	1	{{31,1},{1,75}}	{34003007,400100403,34003006,400100802,34001015,35001001}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_39.pal_tower_39	{5000055}		{100001,100002,100009}	29
5859	{{2,5858}}	5859	1	{{31,1},{1,60}}	{4003003,5001001,4003007,5001009,5001019,5001018,4001005}	17	{{5,3,1,4,2},{4,3,1,1,1000}}	{7087}		1801000	1	DLC9Task/Pal/Tower/pal_tower_40.pal_tower_40	{5000055}		{100001,100002,100009}	30
5860	{{2,5859}}	5860	1	{{31,1},{1,60}}	{4001108,4002103,4001112,500110902}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_41.pal_tower_41	{5000055}		{100001,100002,100009}	31
5861	{{2,5860}}	5861	1	{{31,1},{1,60}}	{4001116,4002106,4001112,5001110}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_42.pal_tower_42	{5000055}		{100001,100002,100009}	32
5862	{{2,5861}}	5862	1	{{31,1},{1,60}}	{4001112,4001114,4001108,5002110}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_43.pal_tower_43	{5000055}		{100001,100002,100009}	33
5863	{{2,5862}}	5863	1	{{31,1},{1,60}}	{4001108,4001116,4002106,4001104}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_44.pal_tower_44	{5000055}		{100001,100002,100009}	34
5864	{{2,5863}}	5864	1	{{31,1},{1,60}}	{4001108,4001112,4003106,4001104,5001101,5003110}	17	{{5,3,1,4,2},{4,3,1,1,1000}}	{7087}		1801000	1	DLC9Task/Pal/Tower/pal_tower_45.pal_tower_45	{5000055}		{100001,100002,100009}	35
5865	{{2,5864}}	5865	1	{{31,1},{1,60}}	{4009013}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_46.pal_tower_46	{5000055}		{100001,100002,100009}	36
5866	{{2,5865}}	5866	1	{{31,1},{1,60}}	{4002004,4001005,4003003,5001009,5001010}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_47.pal_tower_47	{5000055}		{100001,100002,100009}	37
5867	{{2,5866}}	5867	1	{{31,1},{1,60}}	{400100802,4003007,4001005,4002004,5002010,5001018}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_48.pal_tower_48	{5000055}		{100001,100002,100009}	38
5868	{{2,5867}}	5868	1	{{31,1},{1,60}}	{400100802,4003003,400160601,4007013,4001017,5001009}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_49.pal_tower_49	{5000055}		{100001,100002,100009}	39
5869	{{2,5868}}	5869	1	{{31,1},{1,60}}	{4002004,4001017,400101601,5001018,500101002,500201003,4003003}	17	{{5,3,1,4,2},{4,3,1,1,1000}}	{7087}		1801000	1	DLC9Task/Pal/Tower/pal_tower_50.pal_tower_50	{5000055}		{100001,100002,100009}	40
5870	{{2,5869}}	5870	1	{{31,1},{1,60}}	{4003004,4003007,4002016,5001019}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_51.pal_tower_51	{5000055}		{100001,100002,100009}	41
5871	{{2,5870}}	5871	1	{{31,1},{1,60}}	{4003004,4002003,4003006,400160202,5001018,5001019}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_52.pal_tower_52	{5000055}		{100001,100002,100009}	42
5872	{{2,5871}}	5872	1	{{31,1},{1,60}}	{4001008,400160202,4001005,5001009}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_53.pal_tower_53	{5000055}		{100001,100002,100009}	43
5873	{{2,5872}}	5873	1	{{31,1},{1,75}}	{34003007,400100403,34003006,34001015,4001016,35001001}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_54.pal_tower_54	{5000055}		{100001,100002,100009}	44
5874	{{2,5873}}	5874	1	{{31,1},{1,60}}	{4003003,4002013,5001018,4001017}	17	{{5,3,1,4,2},{4,3,1,1,1000}}	{7087}		1801000	1	DLC9Task/Pal/Tower/pal_tower_55.pal_tower_55	{5000055}		{100001,100002,100009}	45
5875	{{2,5874}}	5875	1	{{31,1},{1,60}}	{400160601,4003004,5001010,400160202,5001009,5002010}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_56.pal_tower_56	{5000055}		{100001,100002,100009}	46
5876	{{2,5875}}	5876	1	{{31,1},{1,60}}	{400160202,4002002,5001019}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_57.pal_tower_57	{5000055}		{100001,100002,100009}	47
5877	{{2,5876}}	5877	1	{{31,1},{1,60}}	{4002004,4001015,4009013,4001017}	17	{{5,3,1,3,3},{4,3,1,1,1000}}	{7085}		1801000	1	DLC9Task/Pal/Tower/pal_tower_58.pal_tower_58	{5000055}		{100001,100002,100009}	48
5878	{{2,5877}}	5878	1	{{31,1},{1,60}}	{4002004,500101002,400101601,500201003}	17	{{5,1,1,3,3},{4,3,1,1,1000}}	{7086}		1801000	1	DLC9Task/Pal/Tower/pal_tower_59.pal_tower_59	{5000055}		{100001,100002,100009}	49
5879	{{2,5878}}	5879	1	{{31,1},{1,60}}	{400121203,6001201,400121102,5001207,5001206}	17	{{5,3,1,4,2},{4,3,1,1,1000}}	{7087}		1801000	1	DLC9Task/Pal/Tower/pal_tower_60.pal_tower_60	{5000055}		{100001,100002,100009}	50
																
910	{{20,30}}	910	1		{4001006,4001005,4001007,4002006,5001001,4002007,4001004}	17	{{5,6,1,2,1}}	{7088}		1801000	1	PalTask/Tower/pal_tower_h01.pal_tower_h01	{5000055}	{{4,{4,5},5000093}}	{100001,100002,100009}	
911	{{2,910}}	911	1		{5001402,400130103,400150602,500100902,400350602,5001403}	17	{{4,3,1,1,10000}}	{7089}		1801000	1	PalTask/Tower/pal_tower_h02.pal_tower_h02	{5000055}	{{1,7,5000088}}	{100001,100002,100009}	
912	{{2,911}}	912	1		{4001102,4001108,4001103,5001113,500110901,500110902,4002102,4001104}	17	{{5,6,1,2,1}}	{7088}		1801000	1	PalTask/Tower/pal_tower_h03.pal_tower_h03	{5000055}	{{3,{2,4},5000089}}	{100001,100002,100009}	
913	{{2,912}}	913	1		{4001116,5001118,4001102,4001108,4001103,5001101,500110902,500110901}	17	{{5,9,1,3,1}}	{7090}		1801000	1	PalTask/Tower/pal_tower_h04.pal_tower_h04	{5000055}	{{3,{1,3},5000089}}	{100001,100002,100009}	
914	{{2,913}}	914	1		{6001003,5001019,5001010,5002010,4001017}	17	{{5,5,1,4,1}}	{7097}		1801000	1	PalTask/Tower/pal_tower_h05.pal_tower_h05	{5000055}	{{5,0,5000090}}	{100001,100002,100009}	
915	{{2,914}}	915	1		{4002007,4002003,4001002,4001005,4001112,4001114,4001103,500110902,500110901,5001113}	17	{{5,6,1,2,1}}	{7088}		1801000	1	PalTask/Tower/pal_tower_h06.pal_tower_h06	{5000055}	{{4,{3,6},5000093}}	{100001,100002,100009}	
916	{{2,915}}	916	1		{400160202,4001017,4001002,4002004,5001019,5001010,5001001}	17	{{4,3,1,1,10000}}	{7089}		1801000	1	PalTask/Tower/pal_tower_h07.pal_tower_h07	{5000055}	{{3,{1,4},5000091}}	{100001,100002,100009}	
917	{{2,916}}	917	1		{4002004,4002003,5001018,5001010,5001019,5001009,5001001,400100304,4001002}	17	{{5,6,1,2,1}}	{7088}		1801000	1	PalTask/Tower/pal_tower_h08.pal_tower_h08	{5000055}	{{2,15,5000088}}	{100001,100002,100009}	
918	{{2,917}}	918	1		{400121102,4001212,4001213,4001215,4001216,5001214,5001209}	17	{{5,9,1,3,1}}	{7090}		1801000	1	PalTask/Tower/pal_tower_h09.pal_tower_h09	{5000055}	{{3,{2,3},5000092}}	{100001,100002,100009}	
919	{{2,918}}	919	1		{6001206,4001404,500100901}	17	{{4,3,2,1,50}}	{7098}		1801000	1	PalTask/Tower/pal_tower_h10.pal_tower_h10	{5000055}	{{5,0,5000090}}	{100001,100002,100009}	
