顺序ID	关卡ID，对应Level.txt中的关卡ID	关卡BUFF，对应固定的环境BUFF（可以多个）	BUff描述	不同难度对应的怪物等级	周期结束是否重置数据	星级条件 {{29,300},{29,180},{2,2}}			怪物信息{id,等级,id,等级}...}		
318	318	{8020111}	climbtower.8020111			{{29,90},{6,80},{29,60}}	{{29,120},{16,5},{25,1}}	{{29,120},{9},{29,100}}	{4001108,4001112,4001114,4001104}	{4001211,4001212,4001213}	{4001107,4001115,5001113}
319	319	{8020121}	climbtower.8020121			{{29,90},{29,80},{29,60}}	{{29,90},{15,4},{16,5}}	{{29,120},{6,60},{29,90}}	{4001108}	{4001017}	{4001212,5001214}
320	320	{8020121}	climbtower.8020121			{{29,60},{20,5},{21,5}}	{{29,90},{21,7},{21,9}}	{{29,90},{6,70},{27,2}}	{4008013,4009013}	{4001003,4001004,4001108,4001103,4001211,4001212}	{5001001}
321	321	{8020131}	climbtower.8020131			{{29,90},{14,2},{6,70}}	{{29,90},{20,5},{20,4}}	{{29,150},{6,50},{9}}	{4001108,4001114,4001104}	{4001003,4001005}	{5001010,4001007}
322	322	{8020131}	climbtower.8020131			{{29,60},{20,5},{20,4}}	{{29,90},{17,4},{20,5}}	{{29,120},{6,70},{27,1}}	{4001102,4001106}	{4008013}	{500110901,5001111}
323	323	{8020141}	climbtower.8020141			{{29,60},{6,80},{16,3}}	{{29,150},{9},{15,3}}	{{29,120},{9},{29,100}}	{4001211,4001212,4001213}	{5003110,4001102}	{500110901}
324	324	{8020141}	climbtower.8020141			{{29,90},{6,80},{15,3}}	{{29,90},{6,70},{17,4}}	{{29,120},{9},{29,100}}	{4001108,4001103,4001112}	{5001101}	{5001207,4001212}
											
3011	3011	{8023151}	climbtower.8023151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400121102,4001212,400121302}	{4001003,4001004}	{4001116,4001112,4001114,4001103}
3012	3012	{8023151}	climbtower.8023151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001003,4001004,4001005}	{5001214,400121302,4001212}	{400100601,5002010,4001004}
3013	3013	{8024161}	climbtower.8024161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001003,4001008,4001004,4001007}	{4001003,4001002,4001004}	{4001213,4001211,4001212,4001215}
3014	3014	{8024161}	climbtower.8024161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{500110102,4001103}	{4001107,400110201,400110601}	{500101002,4001004,4002016}
3015	3015	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001103,4001112,4001116,4001114}	{4002104,4001116,4001112,4001114,400110802}	{4001215,4001211,4001212,5001204,4001213}
3016	3016	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001017,4001006,4001005}	{500110901,4001115,4001112}	{500111301,4001102,500110102}
3017	3017	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001103,4001108,400111201,400111401}	{5001206,400121203,400121102}	{5001110,5003110,400111601}
3018	3018	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001104}	{5001001,4001004,500101002}	{5001207,5001205}
											
3021	3021	{8022151}	climbtower.8022151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001114,4001108}	{4001004,4009013}	{4001006,4001008}
3022	3022	{8022151}	climbtower.8022151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001104,4001108}	{4001017,4001004,4001008}	{4001112,4001108,4001114}
3023	3023	{8023161}	climbtower.8023161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001102,4001108,4001104}	{4001003,4009013,4001002,4001004,4001008}	{4001213,4001212,4001211,5001214}
3024	3024	{8023161}	climbtower.8023161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001103,4001108,4001114}	{4001115,4001112,4001108,4001114}	{4001213,4001212,4001211}
3025	3025	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001112,4001108,4001114,4001103}	{4001003,4001006,4001005,5001010,4009013,4001008}	{5001206,4001212,4001211,5001205}
3026	3026	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001107,4001103,4001106,4001112,4001114}	{4001006,4009013,5001001}	{5001203,4001211,4001212,5001204}
3027	3027	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5002010,4001004,4001008,4001003,4001016}	{4001103,4001108,5001111,5003110}	{5001203,4001212,4001213,5003208}
3028	3028	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5001207,4001213,4001211,4001212}	{4001115,4001104}	{5001001,5002010,4001008,4009013}
											
3031	3031	{8024151}	climbtower.8024151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001108,4001106}	{4001106,4001108,4001103}	{4001003,4001005,4001016}
3032	3032	{8024151}	climbtower.8024151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001211,4001212}	{4001108,4001102}	{4001003,4001006,4001002}
3033	3033	{8024161}	climbtower.8024161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001004,4001005,4002016}	{4001108,4001106,4001107}	{4001005,4001003,4001008}
3034	3034	{8024161}	climbtower.8024161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001213,4001212,4001211}	{4001002,4001008,4001003,4001004}	{4001102,4001108,4001104}
3035	3035	{8024171}	climbtower.8024171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001016}	{4001103,4001106,5001109}	{4001106}
3036	3036	{8024171}	climbtower.8024171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001102,4001115}	{4002002,4001003,5001010}	{4001102,4001103,4001108,5003110}
3037	3037	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5001203}	{5001001,5002010}	{4003016,5001001}
3038	3038	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001102,4001104}	{4001107,4001102}	{5002010,4002002,4001017}
											
3041	3041	{8021151}	climbtower.8021151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001017}	{5001001,4003004}	{4001213}
3042	3042	{8021151}	climbtower.8021151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5001101,4001108}	{500110901}	{4201115,4001104}
3043	3043	{8023161}	climbtower.8023161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5002010}	{5201010,4201007}	{5001206}
3044	3044	{8023161}	climbtower.8023161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{500110902,4001112}	{5002110,4001108}	{5001111,4001102}
3045	3045	{8022171}	climbtower.8022171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5201001,4201007}	{520110901,4001112}	{5201214,4001212}
3046	3046	{8022171}	climbtower.8022171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5001209}	{5003208}	{5201010,4002002}
3047	3047	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5201214,4001215}	{4001215}	{5001504,5001501}
3048	3048	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4201103,4201104}	{4201107,5201113,4201102}	{500110901}
											
3051	3051	{8023151}	climbtower.8023151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001116}	{4001116,4001102}	{4001115,4001102,4001108}
3052	3052	{8023151}	climbtower.8023151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001211,4001212,4001213}	{4001003,4001004}	{4001108,4001112}
3053	3053	{8022161}	climbtower.8022161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001115,4001108}	{4001114,4001102,4001116}	{4001003,4001006}
3054	3054	{8022161}	climbtower.8022161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001003,4001008}	{4001003,4001004,4001002}	{4001213,4001211,4001212,5001214}
3055	3055	{8022171}	climbtower.8022171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001103,4001112,4001116,4001114}	{4001103,4001104,4001116,4001112,4001114,4001108}	{5001214,4001211,4001212,5001204}
3056	3056	{8022171}	climbtower.8022171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001213,4001212}	{4001003,4001005,4001007}	{4001103,4001114,4001112,4001116}
3057	3057	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001211,4001213,4001212}	{4001211,4001212,5001209}	{5001204,4001211,4001212,5001203}
3058	3058	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001103,4001116,4001108,4001112,4001114}	{5001010,4001004,5001001}	{5001208,4001212,5001206,5001214}
											
3061	3061	{8021151}	climbtower.8021151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001108,400111401,4001116}	{4001108,4001102,4001116}	{5001203,4001213}
3062	3062	{8021151}	climbtower.8021151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001003,4001004,4001005}	{5001010,4001003}	{4001003,400100601,5002010,4001004}
3063	3063	{8021161}	climbtower.8021161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001003,4001004,4001002}	{4001004,4001015,4001003}	{4001003,4001007,500201003}
3064	3064	{8021161}	climbtower.8021161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{500110102,4001103}	{4001107,500110901,4001103}	{500101002,4001007,4002016}
3065	3065	{8021171}	climbtower.8021171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{500201003,4001004,4001005}	{4001115,4001106,4001108}	{5001001,400100403,4001005,5002010}
3066	3066	{8021171}	climbtower.8021171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{500201003,4001004,4001005}	{500110902,400111201,400110802,4001107}	{500111301,4001114,5001111}
3067	3067	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001016,4001005}	{5001110,4001112,400111601,5001111}	{5001204,4001211,5001206}
3068	3068	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001104,500111301}	{5001214,4001213}	{5001110,5003110}
											
3071	3071	{8023151}	climbtower.8023151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400160601,4001004,4001005}	{5001009,400100304,4001004}	{4001008,4001006}
3072	3072	{8023151}	climbtower.8023151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400110201,4001103,4003106,4001108}	{5001110,4001112}	{500110901,5001118,4001114}
3073	3073	{8024161}	climbtower.8024161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001108,4002103}	{4001107,4001116,4003102,4001108,4001106}	{4001106,4001003,4001604,5001507}
3074	3074	{8024161}	climbtower.8024161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001905}	{4001905,4002002,4002004}	{4001002,4002002,4001003,5001018,4001004}
3075	3075	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{5001117,4001116,4001108}	{5001305,4001303,4001301}	{4001115,5001118,4001108}
3076	3076	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001301,4001306,5001302}	{400101602,4001603,4001604,4001606}	{500100902,400350602,400130103}
3077	3077	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001404,400250601,500140201,400150603,400250603}	{400121203,4001215,400121302,5001214,4001216}	{5001504,5001501}
3078	3078	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001107,4002106,500110102}	{5001118,400111201}	{5001307,5001309}
											
3081	3081	{8022151}	climbtower.8022151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400701301,400101610}	{5001601,400901302,4001605,4001604}	{5001403,400350602}
3082	3082	{8022151}	climbtower.8022151	{30,40,50}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400130404,5001501}	{500100903,400350603,400250603}	{5001204,400121102,4001212,4001215,4001216}
3083	3083	{8023161}	climbtower.8023161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001216,400121203,5001214}	{4002106,4001108,4002104,500110901}	{5001113,400111601,4001108,4001107}
3084	3084	{8023161}	climbtower.8023161	{40,50,60}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001013,400100304,4001016}	{4001102,4001112,5001110}	{5001001,400100403,4001008,4001015,4001013}
3085	3085	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400100304,4001007,400160601,4001006,4002002}	{5001308,4001303,4001301,4001306}	{5001205,400121102,4001212}
3086	3086	{8023171}	climbtower.8023171	{50,60,70}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400350601,400150601,4001404,400130102,400130402}	{4001017,4001016,500100901,400130102}	{5001208,4001215,4001212,400121302}
3087	3087	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{400110401,4002103,5001117,4001116}	{4001604,4001602,5001308,4001301}	{5001403,5001402}
3088	3088	{8020181}	climbtower.8020181	{60,70,80}	1	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{{29,120},{2,1},{6,20}}	{4001112,5001111,4001116}	{5001601,4001606,4001602}	{400121302,4001216,400121203,5001203,5001214}
											
