活动编号	活动开始时间	活动结束时间	基座关卡列表	大楼关卡列表	大楼解锁条件 1等级	当期BUFF（可以多个）	BUff描述
40	[202502160400]	[202503010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020921}	climbtower.8020921
41	[202503010400]	[202503160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020921}	climbtower.8020921
42	[202503160400]	[202504010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020031}	climbtower.8020031
43	[202504010400]	[202504160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020031}	climbtower.8020031
44	[202504160400]	[202505010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020919}	climbtower.8020919
45	[202505010400]	[202505160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020922}	climbtower.8020922
46	[202505160400]	[202506010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020923}	climbtower.8020923
47	[202506010400]	[202506160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020915}	climbtower.8020915
48	[202506160400]	[202507010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020920}	climbtower.8020920
49	[202507010400]	[202507160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020921}	climbtower.8020921
50	[202507160400]	[202508010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020924}	climbtower.8020924
51	[202508010400]	[202508160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020925}	climbtower.8020925
52	[202508160400]	[202509010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020925}	climbtower.8020925
53	[202509010400]	[202509160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020923}	climbtower.8020923
54	[202509160400]	[202510010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020923}	climbtower.8020923
55	[202510010400]	[202510160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020926}	climbtower.8020926
56	[202510160400]	[202511010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020927}	climbtower.8020927
57	[202511010400]	[202511160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020927}	climbtower.8020927
58	[202511160400]	[202512010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020021}	climbtower.8020021
59	[202512010400]	[202512160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020021}	climbtower.8020021
60	[202512160400]	[202601010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020021}	climbtower.8020021
61	[202601010400]	[202601160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020922}	climbtower.8020922
62	[202601160400]	[202602010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020922}	climbtower.8020922
63	[202602010400]	[202602160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020929}	climbtower.8020929
64	[202602160400]	[202603010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020929}	climbtower.8020929
65	[202603010400]	[202603160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020929}	climbtower.8020929
66	[202603160400]	[202604010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020927}	climbtower.8020927
67	[202604010400]	[202604160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020927}	climbtower.8020927
68	[202604160400]	[202605010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020927}	climbtower.8020927
69	[202605010400]	[202605160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020923}	climbtower.8020923
70	[202605160400]	[202606010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3061,3062},{3063,3064},{3065,3066},{3067,3068}}		{8020923}	climbtower.8020923
71	[202606010400]	[202606160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020926}	climbtower.8020926
72	[202606160400]	[202607010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3051,3052},{3053,3054},{3055,3056},{3057,3058}}		{8020927}	climbtower.8020927
73	[202607010400]	[202607160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020927}	climbtower.8020927
74	[202607160400]	[202608010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3021,3022},{3023,3024},{3025,3026},{3027,3028}}		{8020021}	climbtower.8020021
75	[202608010400]	[202608160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020021}	climbtower.8020021
76	[202608160400]	[202609010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3031,3032},{3033,3034},{3035,3036},{3037,3038}}		{8020021}	climbtower.8020021
77	[202609010400]	[202609160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020922}	climbtower.8020922
78	[202609160400]	[202610010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3041,3042},{3043,3044},{3045,3046},{3047,3048}}		{8020922}	climbtower.8020922
79	[202610010400]	[202610160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020031}	climbtower.8020031
80	[202610160400]	[202611010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3071,3072},{3073,3074},{3075,3076},{3077,3078}}		{8020918}	climbtower.8020918
81	[202611010400]	[202611160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020919}	climbtower.8020919
82	[202611160400]	[202612010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3081,3082},{3083,3084},{3085,3086},{3087,3088}}		{8020919}	climbtower.8020919
83	[202612010400]	[202612160400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020925}	climbtower.8020925
84	[202612160400]	[202701010400]	{{301},{302},{303},{304},{305,306},{307,308},{309,310},{311,312},{313,314},{315,316},{317,318},{319,320},{321,322},{323,324}}	{{3011,3012},{3013,3014},{3015,3016},{3017,3018}}		{8020925}	climbtower.8020925
