ID	备注	地图ID	战斗逻辑配置ID	解锁条件	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{G,D,P,L}}	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	关联growintensity怪物强度模板
311	tower08a	311	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	312	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
312	tower08b	312	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
313	tower09a	313	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	314	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
314	tower09b	314	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
315	tower10a	315	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	316	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
316	tower10b	316	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
317	tower11a	317	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	318	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
318	tower11b	318	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
319	tower12a	319	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	320	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
320	tower12b	320	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
321	tower13a	321	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	322	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
322	tower13b	322	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
323	tower14a	323	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	324	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
324	tower14b	324	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	4
3011	r1_tower09a	3011	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3012	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3012	r1_tower09b	3012	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3013	r1_tower10a	3013	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3014	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3014	r1_tower10b	3014	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3015	r1_tower11a	3015	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3016	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3016	r1_tower11b	3016	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3017	r1_tower12a	3017	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3018	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3018	r1_tower12b	3018	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3021	r2_tower01a	3021	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3022	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3022	r2_tower01b	3022	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3023	r2_tower02a	3023	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3024	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3024	r2_tower02b	3024	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3025	r2_tower03a	3025	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3026	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3026	r2_tower03b	3026	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3027	r2_tower04a	3027	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3028	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3028	r2_tower04b	3028	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3031	r3_tower01a	3031	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3032	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3032	r3_tower01b	3032	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3033	r3_tower02a	3033	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3034	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3034	r3_tower02b	3034	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3035	r3_tower03a	3035	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3036	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3036	r3_tower03b	3036	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3037	r3_tower04a	3037	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3038	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3038	r3_tower04b	3038	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3041	r4_tower01a	3041	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3042	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3042	r4_tower01b	3042	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3043	r4_tower02a	3043	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3044	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3044	r4_tower02b	3044	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3045	r4_tower03a	3045	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3046	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3046	r4_tower03b	3046	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3047	r4_tower04a	3047	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3048	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3048	r4_tower04b	3048	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3051	r5_tower01a	3051	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3052	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3052	r5_tower01b	3052	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3053	r5_tower02a	3053	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3054	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3054	r5_tower02b	3054	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3055	r5_tower03a	3055	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3056	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3056	r5_tower03b	3056	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3057	r5_tower04a	3057	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3058	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3058	r5_tower04b	3058	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3061	r6_tower01a	3061	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3062	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3062	r6_tower01b	3062	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3063	r6_tower02a	3063	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3064	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3064	r6_tower02b	3064	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3065	r6_tower03a	3065	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3066	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3066	r6_tower03b	3066	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3067	r6_tower04a	3067	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3068	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3068	r6_tower04b	3068	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3071	r7_tower01a	3071	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3072	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3072	r7_tower01b	3072	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3073	r7_tower02a	3073	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3074	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3074	r7_tower02b	3074	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3075	r7_tower03a	3075	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3076	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3076	r7_tower03b	3076	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3077	r7_tower04a	3077	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3078	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3078	r7_tower04b	3078	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3081	r8_tower01a	3081	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3082	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3082	r8_tower01b	3082	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3083	r8_tower02a	3083	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3084	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3084	r8_tower02b	3084	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3085	r8_tower03a	3085	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3086	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3086	r8_tower03b	3086	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3087	r8_tower04a	3087	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	3088	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
3088	r8_tower04b	3088	1		{0,0}		{{1,2,1,1}}	1	12345	0	0	0	0	0										1801004	TowerTask/Tower01/TTask01a.TTask01a	5
